轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
11.77,64.0,0.23,0.21,0.21,11.7,12.0,12.5,12.02,4.7,0.06,0.14,208.2,5.8,255.0,1.0,3.0,431.0,695.0,520.0,1.0,544.0,12.08,608.6,420.0,32.6,32.2,0.0,2.6,1889.8,0.0,16.56,-5.4,27.6,23.9,28.7,24.4,23.9,24.1,23.8,24.6,47.9,47.7,15.0,24.0,6.4,11.8,35.0,35.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,11.0,11.0,11.0,32.0,39.0,35.0,24.0,24.0,22.0,44.81,44.88,44.85,48.0,370.0,4.3,0.0,0.0,0.0
11.84,64.0,0.23,0.21,0.21,11.7,12.0,12.5,12.13,10.5,0.09,0.14,208.6,6.0,257.0,1.0,3.0,446.0,695.0,538.0,3.0,561.0,12.19,627.2,429.0,32.3,32.0,0.0,2.5,2180.0,0.0,17.0,-5.5,26.9,23.6,28.2,23.8,23.3,23.5,23.0,23.9,47.8,47.6,15.0,24.0,6.4,11.8,35.0,35.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,11.0,11.0,11.0,32.0,39.0,35.0,24.0,24.0,22.0,44.81,44.88,44.86,48.0,370.0,4.3,0.0,0.0,0.0
10.47,64.0,0.23,0.21,0.21,10.9,11.5,11.5,10.67,-7.6,0.0,0.16,208.2,5.5,257.0,1.0,3.0,308.0,696.0,373.0,-3.0,388.0,10.73,484.7,335.0,29.9,30.9,0.0,2.5,2180.0,0.0,17.0,-5.5,26.8,23.3,27.9,23.6,23.1,23.5,22.8,23.8,47.7,47.4,15.0,24.0,6.2,11.8,33.0,33.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,11.0,11.0,11.0,32.0,39.0,35.0,24.0,24.0,22.0,44.82,44.88,44.85,47.0,370.0,4.2,0.0,0.0,0.0
12.23,64.0,0.23,0.21,0.21,11.8,12.4,11.7,12.48,-9.4,0.07,0.12,208.2,5.3,262.0,1.0,3.0,515.0,696.0,621.0,5.0,650.0,12.82,689.8,472.0,31.0,30.6,0.0,2.5,2180.0,0.0,17.0,-5.4,27.2,23.4,28.1,24.0,23.6,23.7,23.1,24.0,47.8,47.5,16.0,24.0,6.4,11.8,34.0,33.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,11.0,11.0,11.0,32.0,39.0,35.0,24.0,24.0,22.0,44.82,44.88,44.86,48.0,360.0,4.3,0.0,0.0,0.0
12.62,64.0,0.23,0.21,0.21,11.9,12.3,11.6,12.82,1.9,0.05,0.16,208.0,6.7,255.0,1.0,3.0,536.0,696.0,647.0,5.0,676.0,12.96,700.9,481.0,29.7,29.1,0.0,2.5,2058.3,0.0,16.82,-5.5,26.4,23.0,27.6,23.3,22.9,23.0,22.5,23.6,47.7,47.5,15.0,24.0,6.2,11.8,32.0,32.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,11.0,11.0,11.0,32.0,39.0,35.0,24.0,24.0,22.0,44.81,44.88,44.86,48.0,360.0,4.3,0.0,0.0,0.0
10.98,64.0,0.23,0.21,0.21,11.3,12.1,11.8,11.39,8.4,0.09,0.14,208.2,6.1,251.0,1.0,3.0,379.0,695.0,458.0,1.0,480.0,11.48,558.8,382.0,33.2,32.6,0.0,2.5,2180.0,0.0,17.0,-5.5,26.9,23.3,28.0,23.7,23.3,23.3,22.9,23.8,47.7,47.5,15.0,24.0,6.2,11.8,36.0,35.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,11.0,11.0,11.0,32.0,39.0,35.0,24.0,24.0,22.0,44.82,44.88,44.86,48.0,360.0,4.3,0.0,0.0,0.0
12.1,64.0,0.23,0.21,0.21,11.8,12.2,12.5,12.33,-4.2,0.1,0.16,208.0,6.5,257.0,1.0,3.0,479.0,695.0,578.0,4.0,600.0,12.46,655.8,448.0,31.8,31.6,0.0,2.5,2180.0,0.0,17.0,-5.5,27.1,23.4,28.2,23.8,23.5,23.6,23.0,24.0,47.7,47.6,16.0,24.0,6.4,11.8,35.0,34.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,11.0,11.0,11.0,32.0,39.0,35.0,24.0,24.0,22.0,44.82,44.88,44.86,48.0,370.0,4.3,0.0,0.0,0.0
11.95,64.0,0.23,0.21,0.21,11.8,12.2,12.4,12.44,-7.9,0.11,0.16,208.0,6.2,257.0,1.0,3.0,480.0,695.0,579.0,0.0,604.0,12.47,659.8,452.0,31.8,31.2,0.0,2.5,2180.0,0.0,17.0,-5.5,27.1,23.4,28.2,23.8,23.5,23.6,23.1,24.0,47.7,47.6,15.0,24.0,6.4,11.8,34.0,34.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,11.0,11.0,11.0,32.0,39.0,35.0,24.0,24.0,22.0,44.82,44.88,44.86,48.0,370.0,4.3,0.0,0.0,0.0
11.9,64.0,0.23,0.21,0.21,11.6,12.0,11.6,12.14,8.7,0.11,0.14,207.9,6.1,256.0,1.0,3.0,451.0,696.0,545.0,-5.0,569.0,12.26,629.2,436.0,32.5,32.0,0.0,2.6,2180.0,0.0,17.0,-5.5,26.9,23.5,28.2,23.8,23.3,23.7,23.0,23.8,47.8,47.6,15.0,24.0,6.4,11.8,35.0,35.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,11.0,11.0,11.0,32.0,39.0,35.0,24.0,24.0,22.0,44.82,44.88,44.86,48.0,370.0,4.3,0.0,0.0,0.0
12.85,64.0,0.25,0.19,0.19,11.7,12.5,13.2,13.12,0.0,0.16,0.14,207.8,7.5,254.0,1.0,3.0,579.0,697.0,700.0,-2.0,730.0,13.26,743.6,510.0,30.6,30.5,0.0,2.5,2180.0,0.0,17.0,-5.5,26.4,22.9,27.6,23.2,22.8,23.2,22.3,23.4,47.6,47.3,15.0,24.0,6.3,11.8,34.0,33.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,11.0,11.0,11.0,32.0,39.0,34.0,24.0,24.0,22.0,44.81,44.88,44.85,48.0,370.0,4.3,0.0,0.0,0.0
