轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
6.46,329,0.25,0.27,0.25,11.1,10.8,10.5,0.0,23.0,0.09,0.14,0,1.4,262,1,1,1,680,1,-2,0,6.65,54.7,0,41.7,41.3,0.7,3.3,527.1,-448,11.75,-15.7,-1.8,-4.5,-2.2,-2.5,-2.0,-3.1,-2.3,-2.0,36.1,36.5,5,11,-3.1,0.0,42,43,41,0,0,0,6,6,4,0,8,2,3,19,26,18,11,11,11,0,0,0,0,0,0,0,0,0
6.5,15,0.25,0.27,0.25,10.4,10.8,10.4,0.0,17.4,0.15,0.14,0,2.1,262,1,1,1,682,-2,2,0,6.76,54.5,0,41.7,41.2,0.7,3.3,527.1,-448,11.75,-15.7,-1.8,-4.0,-1.8,-2.5,-2.0,-2.7,-2.3,-2.0,36.1,36.6,5,10,-3.1,0.0,42,43,41,0,0,0,6,6,4,0,8,3,3,19,26,18,10,10,12,0,0,0,0,0,0,0,0,0
6.38,112,0.25,0.27,0.25,10.5,10.8,11.1,0.0,19.5,0.09,0.14,0,2.0,263,1,1,0,680,1,-1,0,6.65,54.0,0,41.8,41.5,0.7,3.3,527.1,-448,11.75,-15.7,-1.8,-4.4,-2.2,-2.6,-2.0,-3.2,-2.3,-1.9,36.1,36.5,5,10,-3.1,0.0,42,43,41,0,0,0,6,6,4,0,8,2,3,19,26,18,10,10,11,0,0,0,0,0,0,0,0,0
6.15,66,0.25,0.27,0.25,10.7,10.8,11.2,0.0,27.5,0.09,0.13,0,1.3,258,1,1,1,682,0,-2,0,6.44,55.0,0,36.4,37.8,0.7,3.3,527.1,-448,11.75,-15.7,-1.8,-4.1,-2.0,-2.5,-2.0,-2.9,-2.3,-2.0,36.1,36.5,5,10,-3.1,0.0,38,38,41,0,0,0,6,6,4,0,8,2,3,19,26,17,10,10,11,0,0,0,0,0,0,0,0,0
7.03,152,0.25,0.27,0.25,10.6,10.8,10.4,0.0,-3.2,0.04,0.12,0,2.7,286,1,1,25,680,30,1,28,7.28,39.5,39,41.0,40.6,0.7,3.3,527.1,-448,11.75,-15.7,-1.7,-4.2,-1.8,-2.3,-2.0,-2.6,-2.2,-1.8,36.2,36.6,5,10,-3.0,0.1,41,42,41,0,0,0,6,6,4,0,9,3,3,19,26,17,10,10,12,0,0,0,0,0,0,0,0,0
6.69,208,0.25,0.27,0.25,10.4,10.8,10.5,0.0,6.1,0.27,0.19,0,1.9,269,1,1,2,682,-1,-3,0,6.97,52.2,0,41.5,40.9,0.7,3.3,527.1,-448,11.75,-15.7,-1.8,-4.0,-1.8,-2.3,-2.0,-2.6,-2.2,-1.9,36.1,36.6,4,10,-3.1,0.0,42,43,41,0,0,0,6,6,4,0,8,3,3,19,26,17,10,10,12,0,0,0,0,0,0,0,0,0
6.77,264,0.25,0.27,0.25,10.4,10.9,11.5,0.0,18.2,-0.15,0.15,0,1.7,269,1,1,0,684,1,1,0,7.02,52.5,0,41.5,40.9,0.7,3.3,527.1,-448,11.75,-15.7,-1.8,-4.1,-1.9,-2.5,-2.0,-3.0,-2.2,-1.9,36.1,36.6,5,11,-3.1,0.0,42,42,41,0,0,0,6,6,4,0,8,3,3,19,26,18,11,11,12,0,0,0,0,0,0,0,0,0
6.36,146,0.25,0.27,0.25,10.4,10.8,11.5,0.0,25.1,0.09,0.14,0,1.7,261,1,1,0,683,0,1,0,6.64,54.1,0,41.9,41.5,0.7,3.3,527.1,-448,11.75,-15.8,-1.8,-4.2,-2.0,-2.6,-2.0,-2.9,-2.3,-2.0,36.1,36.5,4,11,-3.1,0.0,42,43,41,0,0,0,6,6,4,0,8,3,3,19,26,17,11,11,11,0,0,0,0,0,0,0,0,0
6.98,198,0.25,0.27,0.25,10.4,10.9,10.6,0.0,-3.3,0.26,0.12,0,2.6,287,1,1,0,680,-1,0,0,7.28,44.9,0,41.1,40.5,0.7,3.3,527.1,-448,11.75,-15.7,-1.7,-4.3,-1.9,-2.3,-2.0,-2.8,-2.2,-1.8,36.2,36.7,5,11,-3.0,0.1,41,42,41,0,0,0,6,6,4,0,9,3,3,19,26,18,11,11,12,0,0,0,0,0,0,0,0,0
6.37,297,0.25,0.27,0.25,10.5,10.8,11.2,0.0,22.8,0.09,0.14,0,1.5,261,1,1,1,681,-2,1,0,6.72,54.2,0,41.7,41.1,0.7,3.3,527.1,-448,11.75,-15.7,-1.8,-4.3,-2.0,-2.5,-2.0,-2.9,-2.3,-1.9,36.1,36.6,5,10,-3.1,0.0,42,43,41,0,0,0,6,6,4,0,8,3,3,19,26,17,10,10,11,0,0,0,0,0,0,0,0,0
