轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
11.54,249,0.25,0.2,0.21,11.5,11.6,14.1,11.86,7.1,0.1,0.12,207.4,5.9,51,1,1,449,671,523,-5,558,12.08,620.4,421,31.4,31.6,0,2.7,1436.0,0,15.87,24.2,38.6,33.7,38.2,35.5,35.9,35.2,35.4,35.6,52.7,52.9,38,48,27.2,32.2,34,33,36,0,0,0,6,6,4,0,34,34,35,42,49,48,48,48,45,44.78,44.8,44.8,72,620,7.5,0,0,0
9.96,250,0.25,0.2,0.21,11.3,10.9,14.1,10.01,9.3,0.08,0.14,207.3,5.4,40,1,1,273,671,318,-2,327,10.23,437.4,305,31.3,31.6,0,2.7,1053.6,0,14.81,24.2,38.9,33.8,38.4,35.7,36.1,35.3,35.5,35.7,52.9,53.1,39,48,27.2,32.2,33,33,36,0,0,0,6,6,4,0,34,34,35,42,48,48,48,48,45,44.78,44.8,44.8,73,620,7.5,0,0,0
11.09,259,0.31,0.26,0.26,11.6,11.3,12.9,11.36,-10.2,0.12,0.13,207.6,5.8,55,1,1,377,671,439,1,466,11.46,545.1,375,31.2,31.4,0,2.7,1497.8,0,15.97,24.4,38.7,33.6,38.2,35.6,35.9,35.1,35.4,35.5,53.1,53.2,38,48,27.4,32.2,34,33,36,0,0,0,6,6,4,0,34,34,35,42,49,48,48,48,45,44.78,44.8,44.81,73,610,7.3,0,0,0
10.87,194,0.31,0.26,0.26,11.2,11.1,12.3,10.99,-9.0,0.05,0.16,207.6,4.6,57,1,1,360,671,419,-2,448,11.23,533.0,364,31.3,31.6,0,2.7,1587.4,0,16.11,24.4,38.8,33.6,38.3,35.6,36.0,35.1,35.4,35.5,53.0,53.2,39,48,27.4,32.2,34,33,36,0,0,0,6,6,4,0,34,34,35,42,48,48,48,48,45,44.78,44.8,44.8,72,620,7.3,0,0,0
9.94,242,0.25,0.2,0.21,11.7,10.8,14.3,10.01,2.0,0.14,0.16,207.2,5.7,41,1,1,262,671,305,-4,318,10.2,419.7,293,31.2,31.5,0,2.7,1058.7,0,14.83,24.3,38.8,33.7,38.4,35.6,36.0,35.2,35.5,35.6,53.0,53.1,37,48,27.2,32.2,33,33,36,0,0,0,6,6,4,0,34,34,35,42,49,49,48,48,45,44.78,44.8,44.8,73,620,7.4,0,0,0
10.3,24,0.25,0.2,0.21,12.1,11.4,14.3,10.5,16.6,0.09,0.14,207.7,5.8,40,1,1,297,671,346,-5,373,10.6,462.7,321,31.6,31.9,0,2.7,1107.8,0,15.06,24.2,38.8,33.8,38.4,35.7,36.0,35.2,35.5,35.7,52.9,53.1,38,48,27.2,32.2,33,33,36,0,0,0,6,6,4,0,34,34,35,42,49,49,48,48,45,44.78,44.8,44.81,73,620,7.5,0,0,0
10.77,252,0.31,0.26,0.26,11.6,11.2,12.9,11.04,-9.3,0.06,0.16,207.3,6.7,57,1,1,353,671,405,-2,421,11.09,514.9,359,31.1,31.4,0,2.7,1213.5,0,15.51,24.4,38.7,33.6,38.3,35.6,35.9,35.2,35.3,35.5,53.0,53.2,38,48,27.4,32.2,33,33,36,0,0,0,6,6,4,0,34,34,35,42,49,48,48,48,45,44.78,44.8,44.81,71,620,7.4,0,0,0
10.75,187,0.31,0.26,0.26,11.2,11.1,12.4,10.86,-6.3,0.11,0.16,207.6,6.2,56,1,1,337,670,393,-5,413,11.06,505.1,350,31.4,31.4,0,2.7,1213.5,0,15.51,24.4,38.7,33.6,38.3,35.6,35.9,35.2,35.3,35.5,53.0,53.2,37,48,27.4,32.2,33,33,36,0,0,0,6,6,4,0,34,34,35,42,49,48,48,48,45,44.78,44.8,44.8,71,620,7.4,0,0,0
12.98,63,0.25,0.2,0.21,12.5,12.2,16.3,13.24,12.6,0.12,0.19,207.8,7.1,40,1,1,613,673,716,4,742,13.34,763.8,517,31.2,31.7,0,2.7,1968.4,0,16.68,24.2,38.7,33.6,38.3,35.6,35.9,35.2,35.5,35.6,52.8,53.0,38,48,27.2,32.2,34,34,36,0,0,0,6,6,4,0,34,34,35,42,49,48,48,48,45,44.78,44.8,44.8,73,620,7.6,0,0,0
11.07,233,0.25,0.2,0.21,11.4,11.6,14.1,11.26,12.3,0.05,0.16,208.0,5.7,45,1,1,377,671,439,-5,462,11.42,547.2,370,31.4,31.6,0,2.7,1336.1,0,15.71,24.2,38.7,33.6,38.3,35.6,35.9,35.2,35.4,35.6,52.8,53.0,38,48,27.2,32.2,34,34,36,0,0,0,6,6,4,0,34,34,35,42,49,48,48,48,45,44.78,44.8,44.81,73,620,7.5,0,0,0
10.14,10,0.25,0.2,0.21,12.3,11.3,14.5,10.38,9.8,0.06,0.12,207.9,5.9,39,1,1,288,671,336,2,345,10.41,452.1,313,31.6,31.6,0,2.7,1053.6,0,14.81,24.2,38.9,33.8,38.4,35.7,36.1,35.2,35.5,35.7,52.9,53.1,38,48,27.2,32.2,33,33,36,0,0,0,6,6,4,0,34,34,35,42,49,48,48,48,45,44.78,44.8,44.8,72,620,7.5,0,0,0
10.89,11,0.25,0.2,0.21,12.4,11.4,14.7,11.15,10.2,0.09,0.17,207.5,6.0,42,1,1,353,672,413,0,438,11.23,530.5,360,31.5,31.6,0,2.7,1309.3,0,15.67,24.2,38.9,33.8,38.5,35.7,36.1,35.3,35.5,35.7,52.9,53.1,37,48,27.2,32.2,34,34,36,0,0,0,6,6,4,0,34,34,35,42,49,48,48,48,45,44.78,44.8,44.8,73,620,7.6,0,0,0
9.56,81,0.25,0.2,0.21,10.9,11.9,13.7,9.75,1.7,0.08,0.14,207.7,3.4,39,1,1,236,670,275,-3,297,9.82,400.2,278,31.6,31.7,0,2.7,1058.7,0,14.83,24.3,38.8,33.8,38.3,35.6,36.0,35.2,35.5,35.7,52.9,53.1,38,48,27.2,32.2,33,33,36,0,0,0,6,6,4,0,34,34,35,42,49,49,48,48,45,44.78,44.8,44.8,73,610,7.4,0,0,0
11.03,79,0.25,0.2,0.21,11.7,11.8,14.9,11.29,4.4,0.05,0.19,207.5,6.0,48,1,1,379,671,442,-2,460,11.34,546.4,375,31.1,31.5,0,2.7,1669.8,0,16.23,24.2,38.6,33.6,38.1,35.5,35.9,35.0,35.4,35.6,52.8,53.0,38,48,27.2,32.2,34,34,36,0,0,0,6,6,4,0,34,34,35,42,49,48,48,48,45,44.78,44.8,44.8,73,620,7.6,0,0,0
9.88,111,0.25,0.2,0.21,10.9,12.0,13.6,10.18,14.8,0.09,0.15,207.8,4.9,40,1,1,270,671,315,1,329,10.19,444.5,304,31.6,31.6,0,2.7,1147.7,0,15.24,24.2,38.8,33.9,38.4,35.7,35.9,35.3,35.5,35.7,52.9,53.1,38,48,27.2,32.2,33,33,36,0,0,0,6,6,4,0,34,34,35,42,49,48,48,48,45,44.78,44.8,44.8,71,620,7.5,0,0,0
10.61,127,0.25,0.2,0.21,10.9,12.1,14.4,10.8,5.7,0.08,0.14,207.3,5.8,42,1,1,333,673,389,-2,416,10.93,507.9,345,31.6,32.0,0,2.7,1345.4,0,15.72,24.2,38.9,33.7,38.4,35.7,36.1,35.3,35.5,35.7,52.9,53.1,38,48,27.2,32.2,34,34,36,0,0,0,6,6,4,0,34,34,35,42,49,49,48,48,45,44.78,44.8,44.81,73,620,7.5,0,0,0
10.88,294,0.25,0.2,0.21,11.7,11.2,14.5,11.11,0.0,0.12,0.16,207.9,6.9,56,1,1,367,671,428,-5,450,11.4,540.7,372,31.3,31.6,0,2.7,1285.6,0,15.63,24.2,38.6,33.7,38.2,35.5,35.9,35.2,35.4,35.6,52.7,52.9,39,48,27.2,32.2,34,33,36,0,0,0,6,6,4,0,34,34,35,42,49,48,48,48,45,44.78,44.8,44.8,73,620,7.5,0,0,0
9.38,108,0.25,0.2,0.21,10.7,12.0,13.5,9.53,-8.5,0.24,0.16,208.0,4.5,55,1,1,225,670,262,-4,282,9.62,376.4,266,31.2,31.4,0,2.7,763.3,0,13.3,24.3,38.7,33.6,38.2,35.5,35.9,35.0,35.4,35.6,53.0,53.2,38,48,27.3,32.2,33,33,36,0,0,0,6,6,4,0,34,34,35,42,49,48,48,48,45,44.78,44.8,44.8,73,610,7.4,0,0,0
11.29,332,0.25,0.2,0.21,12.2,11.4,14.6,11.6,6.7,0.08,0.12,207.7,6.7,49,1,1,406,671,473,1,496,11.63,574.8,389,31.4,31.6,0,2.7,1669.8,0,16.23,24.2,38.6,33.7,38.1,35.5,35.9,35.1,35.4,35.6,52.8,52.9,39,48,27.2,32.2,34,34,36,0,0,0,6,6,4,0,34,34,35,42,48,48,48,48,45,44.78,44.8,44.8,73,620,7.6,0,0,0
11.25,332,0.31,0.26,0.26,11.5,11.4,13.2,11.51,-1.1,0.09,0.14,207.6,5.6,53,1,1,397,671,463,-4,474,11.57,566.6,388,31.3,31.7,0,2.7,1497.8,0,15.97,24.4,38.7,33.6,38.3,35.6,35.9,35.3,35.3,35.5,53.0,53.2,37,48,27.4,32.2,34,33,36,0,0,0,6,6,4,0,34,34,35,42,49,48,48,48,45,44.78,44.8,44.8,72,610,7.4,0,0,0
9.97,204,0.25,0.2,0.21,10.9,11.1,13.8,10.13,15.4,0.09,0.16,207.4,5.0,39,1,1,276,672,322,-3,339,10.27,451.3,311,31.6,31.9,0,2.7,1345.4,0,15.72,24.2,38.9,33.8,38.4,35.7,36.1,35.3,35.5,35.7,52.9,53.1,38,48,27.2,32.2,34,34,36,0,0,0,6,6,4,0,34,34,35,42,49,48,48,48,45,44.78,44.8,44.8,73,620,7.5,0,0,0
10.34,267,0.25,0.2,0.21,11.6,11.1,14.5,10.87,-11.9,0.11,0.11,207.8,5.2,61,1,1,339,672,396,-1,410,11.0,513.7,347,31.0,31.2,0,2.7,1693.5,0,16.27,24.1,38.6,33.6,38.1,35.5,35.9,35.1,35.4,35.6,52.7,52.9,38,48,27.2,32.2,34,33,36,0,0,0,6,6,4,0,34,34,35,42,49,48,48,48,45,44.78,44.8,44.8,72,620,7.5,0,0,0
11.69,40,0.25,0.2,0.21,12.4,11.8,15.6,12.02,9.6,0.11,0.16,207.5,6.4,51,1,1,448,672,523,-3,542,12.05,614.0,423,31.4,31.5,0,2.7,1436.0,0,15.87,24.2,38.6,33.7,38.1,35.5,35.9,35.1,35.4,35.6,52.7,52.9,38,48,27.2,32.2,34,33,36,0,0,0,6,6,4,0,34,34,35,42,49,48,48,48,45,44.78,44.8,44.8,73,620,7.5,0,0,0
10.85,95,0.25,0.2,0.21,11.8,11.8,15.0,11.22,-2.7,0.03,0.15,208.0,6.5,57,1,1,372,672,434,4,456,11.33,539.8,369,31.2,31.6,0,2.7,1285.6,0,15.63,24.2,38.6,33.6,38.2,35.5,35.9,35.2,35.4,35.6,52.7,52.9,39,48,27.2,32.2,34,33,36,0,0,0,6,6,4,0,34,34,35,42,49,48,48,48,45,44.78,44.8,44.81,73,620,7.5,0,0,0
10.74,86,0.31,0.26,0.26,10.9,11.7,12.8,11.07,-4.7,0.1,0.14,207.8,6.8,56,1,1,364,671,424,-4,446,11.23,526.2,365,31.2,31.3,0,2.7,1246.5,0,15.56,24.4,38.7,33.6,38.3,35.6,35.9,35.1,35.4,35.5,53.0,53.2,38,48,27.4,32.2,33,33,36,0,0,0,6,6,4,0,34,34,35,42,49,48,48,48,45,44.78,44.8,44.8,73,620,7.4,0,0,0
10.2,158,0.25,0.2,0.21,10.9,11.4,13.6,10.4,-33.3,0.01,0.1,207.3,4.2,61,1,1,300,671,350,-3,367,10.56,472.3,322,31.1,31.5,0,2.7,1561.7,0,16.07,24.3,38.7,33.8,38.4,35.6,35.9,35.2,35.4,35.6,53.0,53.1,38,48,27.2,32.2,34,33,36,0,0,0,6,6,4,0,34,34,35,42,49,48,48,48,45,44.78,44.79,44.81,73,610,7.4,0,0,0
