轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.05,0,85.98,85.98,85.98,11,11,13,0.13,-29.0,0.14,0.05,209.4,1.9,298,1,3,0,707,0,0,0,0.01,0.0,0,32.8,32.4,1.4,2.9,2067.6,0,16.83,10.2,24.3,22.3,24.3,22.5,22.8,22.5,22.2,22.4,43.6,43.5,27,34,18.4,24.4,33,34,35,0,0,0,3,4,4,0,22,23,22,36,43,38,34,34,34,44.79,44.79,44.83,62,500,5.7,0,0,0
0.07,0,85.98,85.98,85.98,11,11,13,0.13,-38.3,0.07,0.14,209.2,2.4,306,1,3,1,707,0,-2,0,0.01,0.0,0,32.8,32.4,1.4,2.8,2067.6,0,16.83,10.2,24.3,22.3,24.3,22.5,22.8,22.5,22.2,22.4,43.6,43.5,27,34,18.4,24.4,33,34,35,0,0,0,3,4,4,0,22,22,22,36,43,38,34,34,34,44.79,44.8,44.82,62,510,5.7,0,0,0
6.67,146,0.25,0.19,0.19,11,10,12,6.8,-6.6,-0.04,0.04,208.1,0.2,307,1,3,1,708,-2,2,-2,6.78,31.8,0,30.0,29.7,1.3,2.8,323.4,0,9.99,10.4,24.5,22.4,24.4,22.7,23.0,22.6,22.3,22.6,43.8,43.6,27,34,18.4,24.4,30,32,35,0,0,0,6,6,4,0,22,22,22,36,43,38,34,34,34,44.79,44.8,44.83,60,500,5.5,0,0,0
0.01,0,85.98,85.98,85.98,11,11,13,0.17,-9.5,0.06,0.16,26.7,2.3,320,1,3,1,706,0,2,0,0.01,0.0,0,32.1,32.6,1.4,2.8,2067.6,0,16.83,10.2,24.3,22.2,24.1,22.5,22.8,22.5,22.2,22.3,43.6,43.5,27,34,18.4,24.4,32,34,35,0,0,0,3,4,4,2,22,23,22,36,43,38,34,34,35,44.78,44.8,44.83,61,510,5.7,0,0,0
2.14,0,65.2,64.86,64.87,14,10,13,2.43,49.2,0.13,0.11,207.7,0.6,283,1,3,2,708,0,-4,0,2.18,6.4,0,31.2,30.8,1.4,2.9,229.0,0,8.9,10.3,24.4,22.4,24.4,22.6,22.9,22.7,22.2,22.5,43.7,43.6,27,34,18.4,24.4,31,33,35,0,0,0,8,3,4,0,22,22,22,36,43,38,34,34,34,44.78,44.8,44.83,61,510,5.6,0,0,0
0.56,0,85.98,85.98,85.98,12,10,12,1.17,27.8,0.15,0.11,207.8,1.6,283,1,3,0,707,0,1,0,0.01,0.0,0,31.9,31.4,1.4,2.8,1329.0,0,16.83,10.3,24.4,22.3,24.4,22.6,22.9,22.6,22.2,22.5,43.7,43.6,27,34,18.4,24.4,31,33,35,0,0,0,3,4,4,0,22,22,22,36,43,38,34,34,34,44.78,44.8,44.83,62,500,5.6,0,0,0
7.08,118,0.25,0.19,0.2,10,12,11,7.24,-1.5,-0.04,0.21,207.9,2.2,302,1,3,2,707,3,2,4,7.11,34.6,12,28.6,28.3,1.3,2.8,323.4,0,9.99,10.4,24.6,22.5,24.5,22.8,23.0,22.8,22.3,22.6,43.8,43.6,27,34,18.4,24.4,29,30,35,0,0,0,6,6,4,0,22,22,22,36,43,38,34,34,34,44.78,44.79,44.83,61,510,5.4,0,0,0
7.1,20,0.25,0.21,0.21,11,10,12,7.23,15.2,0.1,0.19,207.8,2.2,290,1,3,12,707,15,3,12,7.12,61.8,17,32.8,32.3,1.4,2.8,1692.5,0,16.27,10.4,24.7,22.5,24.6,22.8,23.1,23.0,22.4,22.7,43.8,43.7,27,34,18.4,24.3,33,34,35,0,0,0,6,6,4,0,22,23,22,36,43,38,34,34,34,44.79,44.8,44.83,61,510,5.5,0,0,0
0.03,0,85.98,85.98,85.98,11,11,13,0.12,-51.9,0.03,0.24,26.6,2.7,322,1,3,2,706,0,-3,0,0.01,0.0,0,33.2,32.8,1.4,2.8,2067.6,0,16.83,10.2,24.3,22.2,24.2,22.5,22.8,22.5,22.2,22.4,43.6,43.5,27,34,18.4,24.4,33,34,35,0,0,0,3,4,4,2,22,23,22,36,43,38,34,34,34,44.79,44.79,44.82,62,510,5.7,0,0,0
6.84,156,0.25,0.21,0.21,11,10,12,7.03,4.2,0.12,0.24,207.9,1.8,293,1,3,8,707,10,6,18,7.13,43.0,13,29.4,29.9,1.3,2.8,593.0,0,12.23,10.4,24.6,22.6,24.5,22.8,23.0,23.0,22.3,22.7,43.8,43.7,27,34,18.4,24.4,30,31,35,0,0,0,6,6,4,0,22,22,22,36,43,38,34,34,34,44.78,44.79,44.83,59,510,5.5,0,0,0
