轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.39,128,0.24,0.2,0.21,10,12,10,7.51,-22.9,0.16,0.16,26.9,2.8,336,1,3,64,703,79,2,88,7.45,146.9,102,33.2,33.0,1.4,2.8,1281.5,0,15.62,14.2,43.1,37.9,43.2,39.6,39.4,39.1,38.3,39.2,56.2,55.9,36,43,27.0,33.8,34,35,35,0,0,0,6,6,4,2,31,31,31,42,48,44,43,43,42,44.77,44.76,44.8,70,590,6.4,0,0,0
7.49,0,0.24,0.2,0.21,10,11,10,7.64,-8.9,0.08,0.16,207.4,4.2,331,1,3,86,703,106,-6,110,7.55,207.3,148,32.2,31.9,1.3,2.8,1325.8,0,15.69,14.2,43.3,38.1,43.4,39.7,39.5,39.1,38.4,39.3,56.2,55.9,36,43,27.0,33.8,33,34,35,0,0,0,6,6,4,0,30,31,31,42,48,44,43,43,42,44.77,44.76,44.8,69,590,6.4,0,0,0
7.41,128,0.24,0.2,0.21,11,10,11,7.58,-5.4,0.15,0.26,27.2,3.8,331,1,3,90,703,111,9,116,7.53,201.0,134,31.9,32.4,1.4,2.8,1281.5,0,15.62,14.1,43.1,37.9,43.2,39.5,39.3,39.1,38.2,39.1,56.1,55.8,36,42,27.0,33.8,33,34,35,0,0,0,6,6,4,2,31,31,31,42,48,44,42,42,42,44.77,44.76,44.8,70,580,6.3,0,0,0
7.61,272,0.24,0.2,0.21,11,11,10,7.8,-11.7,0.1,0.14,207.5,4.5,325,1,3,106,704,130,-10,147,7.66,246.7,175,32.1,32.6,1.3,2.8,2180.0,0,17.0,14.2,43.9,38.6,44.0,40.2,40.0,39.8,39.0,39.8,56.5,56.2,35,43,27.1,34.0,33,33,35,0,0,0,6,6,4,0,31,31,31,42,48,44,43,43,42,44.77,44.76,44.8,70,580,6.3,0,0,0
7.12,176,0.24,0.2,0.21,11,10,11,7.56,-1.5,-0.17,-0.04,208.9,2.9,322,1,3,59,703,73,5,73,7.36,148.8,109,29.9,30.2,1.3,2.7,1549.3,0,16.05,14.1,42.9,37.7,43.0,39.3,39.1,39.0,38.0,39.0,56.1,55.8,35,42,27.0,33.8,31,31,35,0,0,0,6,6,4,0,31,31,31,42,48,44,42,42,42,44.77,44.76,44.8,70,590,6.3,0,0,0
7.5,336,0.24,0.2,0.21,11,10,10,7.81,-3.9,0.08,0.11,207.7,4.1,325,1,3,101,704,124,-2,125,7.58,233.1,168,31.0,31.3,1.3,2.8,2180.0,0,17.0,14.2,43.9,38.8,44.1,40.2,40.0,39.8,38.9,39.8,56.5,56.1,35,43,27.1,34.0,32,33,35,0,0,0,6,6,4,0,31,31,31,42,49,44,43,43,42,44.77,44.76,44.8,69,570,6.3,0,0,0
7.57,120,0.24,0.2,0.21,10,10,11,7.88,-5.5,0.08,0.16,207.5,3.9,325,1,3,118,704,145,4,159,7.84,255.5,184,29.7,30.1,1.3,2.8,2180.0,0,17.0,14.2,43.8,38.7,43.9,40.1,39.9,39.8,38.8,39.7,56.4,56.1,36,43,27.1,34.0,31,32,35,0,0,0,6,6,4,0,31,31,31,42,48,44,43,43,42,44.77,44.76,44.8,70,580,6.3,0,0,0
7.4,208,0.24,0.2,0.21,12,10,11,7.64,-10.0,0.08,0.17,207.3,3.6,330,1,3,75,703,92,1,90,7.46,171.7,119,32.9,32.6,1.4,2.8,2180.0,0,17.0,14.2,43.2,38.2,43.4,39.7,39.4,39.2,38.3,39.2,56.2,55.9,36,43,27.0,33.8,33,34,35,0,0,0,6,6,4,0,31,31,31,42,48,44,43,43,42,44.77,44.76,44.8,69,580,6.3,0,0,0
7.38,72,0.24,0.2,0.21,10,10,11,7.6,-17.1,0.05,0.08,207.4,3.9,332,1,3,90,704,110,2,117,7.55,211.7,151,31.7,31.3,1.4,2.8,2180.0,0,17.0,14.2,43.3,38.3,43.5,39.8,39.5,39.4,38.4,39.3,56.3,56.0,36,43,27.0,33.8,33,33,35,0,0,0,6,6,4,0,31,31,31,42,48,44,43,43,42,44.77,44.76,44.8,70,590,6.3,0,0,0
7.72,112,0.24,0.2,0.21,11,11,10,7.87,-9.3,0.09,0.17,207.1,4.4,328,1,3,120,705,147,6,143,7.76,255.4,181,29.6,29.9,1.3,2.7,2180.0,0,17.0,14.2,43.8,38.6,43.9,40.1,39.8,39.7,38.8,39.7,56.4,56.1,36,43,27.1,34.0,30,31,35,0,0,0,6,6,4,0,31,31,31,42,48,44,43,43,42,44.77,44.75,44.8,69,590,6.3,0,0,0
7.62,56,0.24,0.2,0.21,10,11,10,7.79,-5.3,0.1,0.14,207.6,4.2,323,1,3,117,704,144,2,149,7.69,246.3,177,32.1,32.6,1.3,2.8,2180.0,0,17.0,14.2,44.0,38.7,44.0,40.2,40.0,39.9,39.0,39.9,56.5,56.2,36,43,27.1,34.0,34,34,35,0,0,0,6,6,4,0,31,31,31,42,48,44,43,43,42,44.77,44.76,44.8,69,590,6.4,0,0,0
7.59,136,0.24,0.2,0.21,12,10,10,7.83,-0.7,0.08,0.14,207.4,3.8,321,1,3,113,704,139,-3,139,7.64,248.6,176,32.4,32.6,1.4,2.8,2180.0,0,17.0,14.2,44.0,38.7,44.1,40.3,40.0,40.0,39.0,39.9,56.5,56.2,36,43,27.1,34.0,34,34,35,0,0,0,6,6,4,0,31,31,31,42,48,44,43,43,42,44.77,44.76,44.8,69,580,6.3,0,0,0
7.58,48,0.24,0.2,0.21,10,11,11,7.76,-5.2,0.11,0.15,207.5,4.2,325,1,3,106,704,131,-6,133,7.64,243.3,176,31.4,31.7,1.4,2.8,2180.0,0,17.0,14.2,43.9,38.8,44.1,40.2,40.0,39.7,38.9,39.8,56.5,56.1,36,43,27.1,34.0,33,33,35,0,0,0,6,6,4,0,31,31,31,42,48,44,43,43,42,44.77,44.76,44.8,70,580,6.3,0,0,0
