轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
11.04,56.0,0.25,0.19,0.19,10.9,12.0,14.9,11.22,-6.2,0.19,0.18,209.4,6.2,289.0,1.0,1.0,378.0,681.0,447.0,1.0,464.0,11.38,545.7,378.0,30.2,30.6,0.0,2.6,2020.1,0.0,16.76,21.1,37.2,31.7,36.3,33.0,33.3,32.9,32.6,33.6,53.9,53.9,33.0,41.0,25.0,29.8,33.0,33.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,28.0,28.0,28.0,39.0,46.0,47.0,41.0,41.0,39.0,44.79,44.82,44.83,65.0,550.0,6.9,0.0,0.0,0.0
12.73,108.0,0.25,0.19,0.19,11.9,12.2,16.3,12.9,11.1,0.12,0.14,209.4,6.0,273.0,1.0,1.0,558.0,682.0,661.0,1.0,692.0,13.07,726.2,488.0,30.7,31.1,0.0,2.6,2067.6,0.0,16.83,20.9,36.8,31.4,35.9,32.8,33.1,32.7,32.2,33.2,53.8,53.8,33.0,41.0,24.9,29.7,34.0,34.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,28.0,28.0,28.0,39.0,46.0,46.0,41.0,41.0,39.0,44.79,44.82,44.82,66.0,550.0,7.0,0.0,0.0,0.0
13.4,256.0,0.34,0.27,0.27,11.8,12.0,13.9,13.64,4.4,0.11,0.19,209.1,8.1,284.0,1.0,1.0,658.0,683.0,780.0,-6.0,817.0,13.76,796.1,549.0,30.0,30.4,0.0,2.6,2067.6,0.0,16.83,21.1,37.0,31.5,36.1,33.0,33.3,32.6,32.6,33.6,53.9,54.0,33.0,41.0,25.0,29.8,33.0,33.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,28.0,28.0,28.0,39.0,46.0,47.0,41.0,41.0,39.0,44.79,44.82,44.82,65.0,550.0,6.9,0.0,0.0,0.0
10.88,128.0,0.25,0.19,0.19,11.0,11.4,14.6,11.25,-8.4,0.09,0.13,209.4,5.8,289.0,1.0,1.0,379.0,680.0,447.0,9.0,460.0,11.4,544.2,375.0,30.1,30.4,0.0,2.7,2020.1,0.0,16.76,21.1,37.2,31.6,36.2,33.0,33.3,32.8,32.6,33.6,53.9,53.9,33.0,41.0,25.0,29.8,33.0,33.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,28.0,28.0,28.0,39.0,46.0,47.0,41.0,41.0,39.0,44.79,44.82,44.83,65.0,550.0,6.9,0.0,0.0,0.0
14.3,168.0,0.25,0.2,0.21,11.9,13.0,16.2,14.88,2.0,0.11,0.15,209.4,7.2,280.0,1.0,1.0,839.0,683.0,995.0,1.0,1054.0,14.96,961.8,649.0,30.7,31.2,0.0,2.6,2067.6,0.0,16.83,21.1,37.5,31.8,36.5,33.3,33.7,33.0,32.8,33.7,53.9,54.0,33.0,41.0,25.0,29.8,35.0,35.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,28.0,28.0,28.0,39.0,46.0,47.0,41.0,41.0,39.0,44.79,44.82,44.82,66.0,560.0,7.1,0.0,0.0,0.0
14.07,236.0,0.25,0.19,0.2,12.0,12.7,17.1,14.33,-13.4,0.08,0.16,209.2,8.3,282.0,1.0,1.0,751.0,683.0,889.0,-4.0,932.0,14.46,922.5,601.0,30.7,31.1,0.0,2.7,2067.6,0.0,16.83,21.1,37.7,32.0,36.7,33.5,33.8,33.3,33.0,33.8,54.0,54.0,33.0,41.0,25.0,29.8,35.0,35.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,28.0,28.0,28.0,39.0,46.0,47.0,41.0,41.0,39.0,44.79,44.82,44.83,65.0,550.0,7.0,0.0,0.0,0.0
13.72,252.0,0.34,0.27,0.27,11.7,12.4,13.7,14.04,0.7,0.05,0.14,209.2,6.8,282.0,1.0,1.0,710.0,683.0,841.0,-5.0,891.0,14.16,930.7,576.0,30.1,30.3,0.0,2.6,2067.6,0.0,16.83,21.1,37.2,31.5,36.2,33.0,33.4,32.6,32.7,33.6,53.9,54.0,32.0,41.0,25.0,29.8,34.0,34.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,28.0,28.0,28.0,39.0,46.0,47.0,41.0,41.0,39.0,44.79,44.81,44.83,65.0,550.0,6.7,0.0,0.0,0.0
13.68,48.0,0.25,0.19,0.19,12.2,12.4,15.6,13.9,16.8,0.07,0.12,208.9,6.9,270.0,1.0,1.0,714.0,683.0,846.0,4.0,896.0,14.12,933.8,581.0,30.1,30.5,0.0,2.6,2067.6,0.0,16.83,20.9,36.5,31.0,35.5,32.5,32.8,32.1,31.9,33.0,53.7,53.8,33.0,41.0,24.9,29.7,34.0,34.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,28.0,28.0,28.0,39.0,46.0,46.0,41.0,41.0,39.0,44.79,44.82,44.83,66.0,550.0,7.0,0.0,0.0,0.0
12.97,12.0,0.25,0.19,0.19,11.9,12.3,16.3,13.27,7.6,0.07,0.14,209.1,6.5,272.0,1.0,1.0,597.0,682.0,707.0,-4.0,750.0,13.38,758.1,517.0,30.4,30.6,0.0,2.6,2067.6,0.0,16.83,20.9,36.9,31.5,36.1,32.9,33.2,32.6,32.5,33.5,53.8,53.9,33.0,41.0,24.9,29.7,34.0,33.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,28.0,28.0,29.0,39.0,46.0,46.0,41.0,41.0,39.0,44.79,44.82,44.83,65.0,560.0,7.0,0.0,0.0,0.0
11.58,212.0,0.25,0.19,0.19,11.2,12.5,15.7,11.85,-27.4,0.03,0.13,209.2,6.5,288.0,1.0,1.0,423.0,681.0,500.0,-5.0,522.0,11.9,601.0,412.0,30.2,30.4,0.0,2.6,2067.6,0.0,16.83,20.9,37.1,31.5,36.1,33.0,33.3,32.7,32.6,33.5,53.8,53.9,32.0,41.0,24.9,29.7,34.0,33.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,28.0,28.0,28.0,39.0,46.0,47.0,41.0,41.0,39.0,44.79,44.82,44.82,65.0,550.0,6.9,0.0,0.0,0.0
