轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
11.52,35,18.92,18.91,18.91,11.2,11.3,10.9,0,8.8,0.06,0.14,0,14.6,174,1,1,469,688,561,-1,555,12.02,643.9,446,40.6,40.6,0.3,3.8,550.4,-448,11.93,3.9,17.1,14.7,16.8,15.8,16.2,15.6,14.6,14.5,36.2,36.3,16,22,6.4,9.8,43,43,43,0,0,0,6,6,4,0,11,11,12,24,30,26,22,22,25,0,0,0,0,0,0,0,0,0
11.5,202,19.27,19.26,19.26,13.4,13.6,13.2,0,14.2,0.09,0.31,0,14.4,169,1,1,470,688,561,1,558,12.08,640.9,444,41.2,41.2,0.3,3.8,550.4,-448,11.93,3.8,17.2,14.4,16.8,15.9,16.3,15.6,14.6,14.5,36.3,36.3,16,22,6.4,9.8,44,43,43,0,0,0,6,6,4,0,12,11,12,24,31,26,22,22,23,0,0,0,0,0,0,0,0,0
12.17,143,18.18,18.17,18.17,11.1,11.9,11.4,0,3.7,0.08,0.05,0,15.4,177,1,1,490,688,585,-3,572,12.75,631.2,438,40.3,40.2,0.3,3.9,550.4,-448,11.93,4.0,17.1,14.5,16.7,15.8,16.2,15.6,14.6,14.5,36.2,36.3,16,23,6.4,9.8,43,42,43,0,0,0,6,6,4,0,11,11,12,23,30,26,23,23,24,0,0,0,0,0,0,0,0,0
11.52,95,17.35,17.34,17.34,11.4,11.2,11.4,0,19.6,0.04,0.13,0,11.5,169,1,1,469,688,560,2,551,11.93,650.7,449,41.6,41.4,0.3,3.9,550.4,-448,11.93,3.8,17.3,14.7,16.7,15.9,16.3,15.5,14.6,14.6,36.3,36.4,17,23,6.4,9.8,44,44,43,0,0,0,6,6,4,0,12,11,12,24,31,26,23,23,24,0,0,0,0,0,0,0,0,0
11.2,72,18.88,18.87,18.86,10.5,10.6,10.8,0,13.5,0.09,0.11,0,11.2,173,1,1,439,688,525,1,521,11.6,623.6,432,38.2,38.0,0.3,3.8,515.9,-448,11.67,4.2,16.9,14.5,16.6,15.7,16.1,15.4,14.4,14.4,36.0,36.0,16,23,6.4,9.9,40,40,43,0,0,0,6,6,4,0,11,11,12,24,31,26,23,23,23,0,0,0,0,0,0,0,0,0
12.44,34,18.84,18.83,18.83,11.2,11.4,11.4,0,10.1,0.07,0.19,0,12.7,170,1,1,481,689,575,1,567,13.01,613.9,426,38.1,38.5,0.3,3.8,550.4,-448,11.93,3.6,17.3,14.8,17.0,16.0,16.4,15.7,14.8,14.8,36.5,36.6,16,23,6.4,9.8,41,40,43,0,0,0,6,6,4,0,12,12,12,24,30,26,23,23,24,0,0,0,0,0,0,0,0,0
12.23,149,19.54,19.53,19.53,12.3,10.9,12.1,0,-0.5,0.02,0.21,0,9.8,176,1,1,483,688,577,-2,569,12.69,625.9,436,39.7,39.7,0.3,3.9,550.4,-448,11.93,4.1,17.0,14.5,16.6,15.8,16.1,15.4,14.5,14.4,36.1,36.2,16,22,6.4,9.8,42,42,43,0,0,0,6,6,4,0,11,11,12,24,31,26,22,22,24,0,0,0,0,0,0,0,0,0
11.4,132,17.94,17.93,17.93,11.4,10.8,12.1,0,3.9,0.16,0.19,0,13.1,172,1,1,453,687,540,1,527,11.74,635.5,440,39.0,39.1,0.3,3.8,531.1,-448,11.78,4.1,16.9,14.6,16.7,15.7,16.1,15.4,14.5,14.4,36.0,36.1,16,22,6.4,9.9,41,41,43,0,0,0,6,6,4,0,11,11,12,24,30,26,22,22,24,0,0,0,0,0,0,0,0,0
10.91,298,18.61,18.6,18.6,11.7,11.9,12.3,0,14.7,0.12,0.08,0,14.7,173,1,1,437,689,523,1,513,11.42,621.7,434,38.2,38.0,0.3,3.8,515.9,-448,11.67,4.2,16.9,14.4,16.6,15.7,16.1,15.4,14.5,14.4,35.9,36.0,15,22,6.4,9.9,40,40,43,0,0,0,6,6,4,0,11,11,12,24,30,26,22,22,24,0,0,0,0,0,0,0,0,0
11.29,116,17.97,17.95,17.96,11.7,11.3,12.9,0,1.7,0.08,0.14,0,13.4,178,1,1,461,688,551,1,546,11.83,642.1,448,40.0,40.0,0.3,3.9,550.4,-448,11.93,4.1,17.1,14.5,16.6,15.8,16.2,15.4,14.5,14.5,36.1,36.2,16,23,6.4,9.8,42,42,43,0,0,0,6,6,4,0,11,11,12,24,30,26,23,23,24,0,0,0,0,0,0,0,0,0
