轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
12.52,288.0,8.12,8.07,8.07,10.7,10.6,10.5,12.6,-3.2,0.02,0.11,208.8,10.0,187.0,1.0,3.0,591.0,702.0,720.0,-5.0,757.0,12.86,799.3,544.0,28.4,29.4,0.0,2.5,724.4,0.0,13.07,2.4,35.5,31.7,36.6,31.9,31.6,31.5,31.8,32.3,50.3,50.2,18.0,26.0,10.5,16.0,32.0,32.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,12.0,12.0,12.0,33.0,40.0,35.0,26.0,26.0,25.0,44.81,44.87,44.85,53.0,400.0,4.6,0.0,0.0,0.0
15.13,104.0,0.24,0.2,0.21,12.9,13.8,14.2,15.65,-0.9,0.09,0.16,208.7,8.0,184.0,1.0,3.0,1069.0,703.0,1304.0,5.0,1364.0,15.74,1159.9,797.0,32.5,32.3,0.0,2.5,1444.2,0.0,15.89,2.6,34.7,30.8,35.8,31.1,30.8,30.9,30.3,30.8,50.1,50.0,17.0,27.0,10.4,15.8,38.0,38.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,12.0,12.0,12.0,33.0,40.0,35.0,27.0,27.0,25.0,44.81,44.87,44.85,55.0,410.0,4.7,0.0,0.0,0.0
14.91,160.0,0.25,0.2,0.21,13.5,14.3,12.2,15.12,-11.9,0.09,0.13,208.8,7.3,185.0,1.0,3.0,1016.0,702.0,1238.0,3.0,1302.0,15.39,1143.5,784.0,32.3,33.5,0.0,2.5,1657.5,0.0,16.21,2.6,35.0,31.1,36.2,31.3,31.1,31.0,30.5,31.0,50.1,50.0,19.0,27.0,10.4,15.8,39.0,39.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,12.0,12.0,12.0,33.0,40.0,35.0,27.0,27.0,25.0,44.81,44.87,44.85,54.0,400.0,4.7,0.0,0.0,0.0
14.23,104.0,0.24,0.22,0.22,12.8,13.8,12.5,14.37,-1.6,0.11,0.1,209.1,8.4,186.0,1.0,3.0,729.0,701.0,887.0,-5.0,922.0,14.62,896.2,585.0,29.8,29.7,0.0,2.5,853.2,0.0,13.8,2.4,35.2,31.5,36.5,31.6,31.2,31.6,31.6,32.1,50.4,50.2,19.0,27.0,10.5,16.0,33.0,33.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,12.0,12.0,12.0,33.0,40.0,35.0,27.0,27.0,25.0,44.81,44.87,44.85,53.0,400.0,4.6,0.0,0.0,0.0
13.19,216.0,4.27,4.37,4.39,12.9,17.5,16.4,13.68,-1.1,0.06,0.14,209.3,8.1,183.0,1.0,3.0,699.0,701.0,851.0,-7.0,895.0,13.76,883.4,602.0,31.8,31.5,0.0,2.6,853.2,0.0,13.8,2.4,35.1,31.1,36.2,31.4,31.1,31.2,31.4,31.9,50.3,50.1,18.0,26.0,10.5,16.0,36.0,35.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,12.0,12.0,12.0,33.0,40.0,35.0,26.0,26.0,25.0,44.81,44.87,44.85,53.0,400.0,4.6,0.0,0.0,0.0
12.31,208.0,3.64,3.69,3.71,14.1,13.5,11.2,12.52,-12.9,0.08,0.18,208.6,7.5,190.0,1.0,3.0,542.0,699.0,658.0,5.0,685.0,12.66,740.9,506.0,33.2,32.9,0.0,2.5,661.0,0.0,12.68,2.5,36.0,32.2,37.3,32.4,32.1,32.2,31.8,32.3,50.2,50.0,19.0,26.0,10.5,16.0,37.0,36.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,12.0,12.0,12.0,33.0,40.0,35.0,26.0,26.0,25.0,44.81,44.87,44.85,53.0,400.0,4.6,0.0,0.0,0.0
12.94,24.0,2.96,3.06,3.06,13.2,13.8,17.1,13.25,-1.6,0.08,0.19,208.9,7.1,188.0,1.0,3.0,606.0,700.0,737.0,-2.0,774.0,13.35,790.1,539.0,32.9,32.6,0.0,2.5,737.7,0.0,13.15,2.6,36.1,32.5,37.4,32.5,32.2,32.4,31.8,32.2,50.2,50.0,18.0,26.0,10.5,16.0,37.0,36.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,12.0,12.0,12.0,33.0,40.0,35.0,26.0,26.0,25.0,44.81,44.87,44.85,54.0,400.0,4.7,0.0,0.0,0.0
12.3,288.0,9.02,9.04,9.04,14.6,15.0,12.2,12.83,-4.4,0.21,0.09,209.0,7.0,188.0,1.0,3.0,558.0,700.0,678.0,0.0,712.0,12.9,744.6,508.0,29.2,28.8,0.0,2.5,672.3,0.0,12.75,2.4,35.4,31.4,36.5,31.7,31.5,31.4,31.8,32.2,50.3,50.1,18.0,26.0,10.5,16.0,33.0,32.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,12.0,12.0,12.0,33.0,40.0,35.0,26.0,26.0,25.0,44.81,44.87,44.85,52.0,400.0,4.6,0.0,0.0,0.0
13.68,240.0,0.25,0.19,0.19,12.7,13.4,12.9,14.04,-8.3,0.08,0.14,209.5,9.1,196.0,1.0,3.0,709.0,701.0,862.0,-3.0,906.0,14.1,954.1,594.0,31.9,31.8,0.0,2.5,1655.4,0.0,16.21,2.6,36.2,32.3,37.5,32.5,32.2,32.3,31.5,32.0,50.3,50.2,18.0,27.0,10.5,15.8,36.0,36.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,12.0,12.0,12.0,33.0,40.0,35.0,27.0,27.0,25.0,44.81,44.87,44.85,54.0,400.0,4.6,0.0,0.0,0.0
15.02,200.0,0.25,0.2,0.19,13.9,12.6,14.0,15.22,-8.8,0.12,0.16,209.1,7.3,186.0,1.0,3.0,1054.0,702.0,1283.0,1.0,1345.0,15.46,1171.5,803.0,30.1,30.4,0.0,2.6,1655.4,0.0,16.21,2.6,35.9,32.1,37.2,32.3,32.0,32.2,31.2,31.7,50.2,50.0,19.0,27.0,10.5,15.8,36.0,36.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,12.0,12.0,12.0,33.0,40.0,35.0,27.0,27.0,25.0,44.81,44.87,44.85,54.0,410.0,4.7,0.0,0.0,0.0
15.01,176.0,0.24,0.2,0.21,13.1,14.6,12.6,15.4,-17.0,0.14,0.1,209.0,9.0,185.0,1.0,3.0,977.0,703.0,1191.0,-3.0,1252.0,15.46,1089.5,753.0,31.5,31.3,0.0,2.5,1444.2,0.0,15.89,2.6,34.5,30.7,35.7,30.9,30.6,30.7,30.2,30.7,50.1,50.0,18.0,27.0,10.4,15.8,36.0,36.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,12.0,12.0,12.0,33.0,40.0,35.0,27.0,27.0,25.0,44.81,44.87,44.85,54.0,400.0,4.6,0.0,0.0,0.0
12.99,240.0,3.31,3.36,3.36,12.4,13.6,10.9,13.54,3.3,0.04,0.16,208.9,7.8,188.0,1.0,3.0,615.0,701.0,748.0,-1.0,790.0,13.6,786.9,536.0,32.8,32.7,0.0,2.5,737.7,0.0,13.15,2.6,36.1,32.3,37.4,32.5,32.3,32.1,31.8,32.2,50.2,50.1,18.0,26.0,10.5,16.0,37.0,36.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,12.0,12.0,12.0,33.0,40.0,35.0,26.0,26.0,25.0,44.81,44.87,44.85,53.0,400.0,4.7,0.0,0.0,0.0
