轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.01,128.0,85.98,85.98,85.98,11.4,12.2,10.8,0.1,27.9,0.09,0.11,27.3,1.7,231.0,1.0,3.0,1.0,693.0,0.0,2.0,0.0,0.01,0.0,0.0,32.6,31.9,0.0,2.5,223.0,0.0,8.82,-5.1,12.0,9.0,13.3,10.4,10.8,10.2,9.5,11.4,42.0,41.8,17.0,28.0,8.0,14.1,32.0,34.0,32.0,0.0,0.0,0.0,3.0,4.0,4.0,1.0,14.0,15.0,16.0,31.0,38.0,33.0,28.0,28.0,23.0,44.8,44.88,44.84,52.0,410.0,4.5,0.0,0.0,0.0
0.0,128.0,85.98,85.98,85.98,11.1,12.3,11.0,0.08,26.0,0.09,0.14,207.1,2.1,230.0,1.0,3.0,2.0,694.0,0.0,4.0,0.0,0.01,0.0,0.0,32.2,31.4,0.0,2.5,223.0,0.0,8.82,-5.1,12.1,9.1,13.5,10.6,10.9,10.3,9.6,11.7,42.2,42.0,16.0,28.0,8.2,14.1,32.0,33.0,32.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,15.0,15.0,16.0,31.0,38.0,33.0,28.0,28.0,23.0,44.8,44.88,44.84,51.0,400.0,4.5,0.0,0.0,0.0
0.18,128.0,60.34,60.35,60.35,10.5,11.8,15.9,0.45,-5.9,0.09,0.14,208.2,2.8,251.0,1.0,3.0,1.0,694.0,0.0,-2.0,0.0,0.01,0.0,0.0,29.2,28.7,0.0,2.5,66.1,0.0,7.24,-5.0,11.7,8.7,13.1,10.1,10.5,9.9,9.3,11.0,41.5,41.3,16.0,28.0,8.0,14.1,29.0,30.0,32.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0,14.0,15.0,16.0,31.0,38.0,33.0,28.0,28.0,23.0,44.81,44.88,44.84,51.0,400.0,4.8,0.0,0.0,0.0
0.0,128.0,85.98,85.98,85.98,12.1,12.0,10.4,0.13,-8.5,0.09,0.14,208.3,3.4,254.0,1.0,3.0,4.0,695.0,0.0,5.0,0.0,0.01,0.0,0.0,28.3,27.5,0.0,2.5,223.0,0.0,8.82,-5.0,11.8,8.8,13.2,10.3,10.6,10.1,9.3,11.3,41.7,41.4,16.0,28.0,8.0,14.1,28.0,29.0,32.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,14.0,15.0,16.0,31.0,38.0,33.0,28.0,28.0,23.0,44.81,44.88,44.84,53.0,410.0,4.2,0.0,0.0,0.0
0.0,128.0,85.98,85.98,85.98,11.1,12.3,11.0,0.12,23.6,0.09,0.14,207.0,2.4,232.0,1.0,3.0,0.0,693.0,0.0,-1.0,0.0,0.01,0.0,0.0,32.2,31.5,0.0,2.5,223.0,0.0,8.82,-5.1,12.1,9.1,13.5,10.6,10.9,10.3,9.6,11.7,42.2,42.0,16.0,28.0,8.2,14.1,32.0,33.0,32.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,15.0,15.0,16.0,31.0,38.0,33.0,28.0,28.0,23.0,44.81,44.88,44.84,52.0,410.0,4.5,0.0,0.0,0.0
0.0,128.0,85.98,85.98,85.98,12.0,12.0,10.4,0.14,7.2,0.09,0.14,208.1,3.2,250.0,1.0,3.0,1.0,695.0,0.0,-2.0,0.0,0.01,0.0,0.0,28.5,28.0,0.0,2.6,223.0,0.0,8.82,-5.0,11.8,8.7,13.2,10.3,10.6,10.0,9.3,11.1,41.7,41.4,16.0,28.0,8.0,14.1,28.0,30.0,32.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,14.0,15.0,16.0,31.0,38.0,33.0,28.0,28.0,23.0,44.8,44.88,44.84,54.0,400.0,4.4,0.0,0.0,0.0
0.0,128.0,85.98,85.98,85.98,12.0,12.0,10.4,0.14,1.9,0.09,0.14,208.3,2.4,253.0,1.0,3.0,0.0,694.0,0.0,0.0,0.0,0.01,0.0,0.0,27.9,27.5,0.0,2.5,223.0,0.0,8.82,-5.0,11.8,8.8,13.2,10.3,10.6,10.1,9.3,11.3,41.8,41.4,16.0,28.0,8.0,14.1,27.0,29.0,32.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,14.0,15.0,16.0,31.0,38.0,33.0,28.0,28.0,23.0,44.8,44.88,44.84,54.0,400.0,4.3,0.0,0.0,0.0
0.3,128.0,54.81,54.81,54.81,11.1,11.2,16.4,0.5,6.5,0.08,0.14,208.3,2.3,250.0,1.0,3.0,2.0,694.0,0.0,-3.0,0.0,0.01,0.0,0.0,29.3,28.6,0.0,2.5,66.1,0.0,7.24,-5.0,11.7,8.7,13.1,10.1,10.5,9.9,9.3,11.0,41.5,41.3,16.0,28.0,8.0,14.1,29.0,30.0,32.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0,14.0,15.0,16.0,31.0,38.0,33.0,28.0,28.0,23.0,44.81,44.88,44.84,51.0,400.0,4.8,0.0,0.0,0.0
0.0,128.0,85.98,85.98,85.98,12.0,12.0,10.4,0.13,4.9,0.09,0.14,208.3,3.0,250.0,1.0,3.0,1.0,695.0,0.0,-2.0,0.0,0.01,0.0,0.0,28.5,28.0,0.0,2.5,223.0,0.0,8.82,-5.0,11.8,8.7,13.2,10.3,10.6,10.0,9.3,11.1,41.7,41.4,16.0,28.0,8.0,14.1,28.0,30.0,32.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,14.0,15.0,16.0,31.0,38.0,32.0,28.0,28.0,23.0,44.8,44.87,44.84,53.0,410.0,4.4,0.0,0.0,0.0
0.0,128.0,85.98,85.98,85.98,12.0,12.0,10.4,0.17,-0.7,0.09,0.14,208.2,3.3,254.0,1.0,3.0,0.0,695.0,0.0,0.0,0.0,0.01,0.0,0.0,28.4,27.6,0.0,2.5,223.0,0.0,8.82,-5.0,11.8,8.7,13.2,10.3,10.6,10.0,9.3,11.2,41.7,41.4,16.0,28.0,8.0,14.1,28.0,30.0,32.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,14.0,15.0,16.0,31.0,38.0,33.0,28.0,28.0,23.0,44.81,44.87,44.84,54.0,400.0,4.2,0.0,0.0,0.0
