轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
10.58,83,0.24,0.21,0.21,10.8,12.0,13.6,10.72,3.8,0.09,0.14,207.5,6.2,120,1,1,326,685,388,-2,398,10.89,497.8,342,32.9,32.9,0,2.7,2067.6,0,16.83,22.6,40.2,37.0,40.6,38.4,38.8,38.1,37.6,38.5,54.3,54.5,41,49,30.0,35.7,35,34,36,0,0,0,6,6,4,0,37,37,37,44,50,47,49,49,47,44.77,44.78,44.79,74,650,7.4,0,0,0
10.63,249,0.24,0.21,0.21,11.6,11.0,13.5,10.8,-3.1,0.08,0.13,207.6,6.5,127,1,1,327,685,389,-2,407,10.96,506.1,349,32.0,32.4,0,2.7,2067.6,0,16.83,22.6,40.1,36.9,40.5,38.3,38.6,38.2,37.6,38.4,54.4,54.6,41,49,29.9,35.7,34,34,36,0,0,0,6,6,4,0,37,37,37,44,50,48,49,49,47,44.77,44.78,44.8,76,650,7.4,0,0,0
10.56,28,0.24,0.21,0.21,11.9,11.3,13.8,11.02,11.7,0.1,0.14,207.3,6.0,121,1,1,336,685,401,0,420,11.07,521.0,354,32.4,32.6,0,2.7,2067.6,0,16.83,22.6,40.2,37.1,40.7,38.4,38.8,38.2,37.6,38.5,54.3,54.4,40,49,30.0,35.7,35,35,36,0,0,0,6,6,4,0,37,37,37,44,50,47,49,49,47,44.77,44.77,44.8,75,640,7.4,0,0,0
10.82,74,0.41,0.37,0.37,11.4,11.4,11.1,11.78,4.7,0.11,0.14,207.5,7.2,121,1,1,419,685,497,4,521,11.9,597.6,410,32.6,32.6,0,2.6,2067.6,0,16.83,22.5,40.1,36.9,40.5,38.4,38.7,38.1,37.6,38.4,54.2,54.3,40,49,30.0,35.7,35,35,36,0,0,0,6,6,4,0,37,37,37,44,50,47,49,49,47,44.77,44.77,44.8,75,650,7.1,0,0,0
10.63,279,0.24,0.21,0.21,11.4,11.0,13.5,10.96,-0.3,0.09,0.14,207.5,6.3,122,1,1,334,685,397,-5,422,11.15,522.5,352,32.4,32.5,0,2.6,2067.6,0,16.83,22.5,40.2,36.9,40.6,38.4,38.8,38.1,37.7,38.5,54.3,54.4,41,49,30.0,35.7,35,35,36,0,0,0,6,6,4,0,37,37,37,44,50,47,49,49,47,44.77,44.78,44.8,76,650,7.4,0,0,0
10.99,195,0.24,0.21,0.21,10.9,11.3,13.5,11.15,-1.3,0.08,0.14,207.5,6.2,122,1,1,364,685,433,-2,456,11.33,538.3,369,32.5,32.5,0,2.7,2067.6,0,16.83,22.5,40.2,37.0,40.7,38.5,38.8,38.2,37.6,38.5,54.2,54.4,41,49,30.0,35.7,35,35,36,0,0,0,6,6,4,0,37,37,37,44,50,47,49,49,47,44.77,44.77,44.79,76,650,7.4,0,0,0
10.7,203,0.24,0.21,0.21,11.3,10.9,13.6,10.84,-1.4,0.08,0.14,207.2,5.3,125,1,1,333,685,396,4,408,10.99,507.5,347,32.1,32.1,0,2.7,2067.6,0,16.83,22.6,40.1,36.8,40.5,38.3,38.6,38.0,37.6,38.4,54.5,54.6,41,49,29.9,35.7,35,34,36,0,0,0,6,6,4,0,37,37,37,44,50,48,49,49,47,44.77,44.77,44.8,76,650,7.4,0,0,0
10.64,248,0.24,0.21,0.21,11.1,11.0,13.6,11.0,1.9,0.08,0.14,207.0,6.5,121,1,1,348,685,414,-3,433,11.2,524.2,359,32.4,32.5,0,2.7,2067.6,0,16.83,22.5,40.3,36.9,40.6,38.5,38.8,38.2,37.7,38.5,54.3,54.4,41,49,30.0,35.7,35,35,36,0,0,0,6,6,4,0,37,37,37,44,50,47,49,49,47,44.77,44.77,44.8,76,650,7.4,0,0,0
10.6,91,0.24,0.21,0.21,11.2,12.0,13.8,10.95,10.8,0.07,0.16,207.5,5.5,121,1,1,338,685,402,-3,418,11.07,515.7,352,32.8,33.1,0,2.6,2067.6,0,16.83,22.6,40.2,37.1,40.7,38.5,38.8,38.2,37.6,38.6,54.3,54.4,41,49,30.0,35.7,35,35,36,0,0,0,6,6,4,0,37,37,37,44,50,47,49,49,47,44.77,44.77,44.79,74,640,7.4,0,0,0
10.91,111,0.24,0.21,0.21,11.0,12.1,13.9,11.11,8.0,0.08,0.14,207.5,5.4,120,1,1,360,685,429,5,447,11.21,529.3,367,32.9,33.0,0,2.6,2067.6,0,16.83,22.5,40.2,37.0,40.6,38.5,38.8,38.3,37.7,38.5,54.2,54.4,40,49,30.0,35.7,35,35,36,0,0,0,6,6,4,0,37,37,37,44,50,47,49,49,47,44.77,44.78,44.8,75,640,7.4,0,0,0
