轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
9.44,260,11.12,11.12,11.12,10.8,11.1,11.0,0.0,-10.2,0.11,0.06,0,5.7,211,1,1,251,678,295,-1,291,9.87,394.0,287,41.9,41.5,0.3,3.8,289.0,-448,9.62,-1.6,5.8,6.6,6.1,5.3,5.2,6.8,6.7,7.3,40.8,40.7,8,13,3.7,6.1,43,43,42,0,0,0,6,6,4,2,4,4,4,21,28,23,13,13,14,0,0,0,0,0,0,0,0,0
9.04,354,3.98,3.98,3.99,10.6,11.4,10.8,0.0,-0.9,0.09,0.1,0,4.0,189,1,1,245,677,289,1,289,9.38,403.5,296,40.0,39.7,0.3,3.8,292.0,-448,9.65,-1.7,5.7,6.6,5.9,5.3,5.2,6.4,6.5,7.1,40.7,40.6,8,12,3.5,6.1,41,42,42,0,0,0,6,6,4,0,4,4,4,21,28,23,12,12,14,0,0,0,0,0,0,0,0,0
9.81,218,11.69,11.69,11.69,11.3,10.8,11.3,0.0,-24.3,0.1,0.08,0,6.7,205,1,1,254,677,299,0,299,10.15,386.0,282,41.8,41.5,0.3,3.8,289.0,-448,9.62,-1.6,5.8,6.8,6.0,5.3,5.3,6.6,6.7,7.2,40.8,40.7,8,12,3.7,6.1,43,43,42,0,0,0,6,6,4,2,4,4,4,21,28,23,12,12,14,0,0,0,0,0,0,0,0,0
9.24,288,11.12,11.11,11.12,10.9,11.5,10.5,0.01,7.2,0.21,0.02,0,7.6,215,1,1,281,679,333,0,333,9.62,459.4,331,38.4,38.2,0.3,3.8,343.8,-448,10.19,-1.3,6.0,6.9,6.3,5.5,5.5,6.8,6.9,7.4,40.8,40.7,8,12,3.7,6.3,40,40,42,0,0,0,6,6,4,0,4,4,4,21,28,23,12,12,14,0,0,0,0,0,0,0,0,0
10.21,197,4.87,4.87,4.87,11.9,11.1,11.1,0.0,-4.8,0.11,0.1,0,5.0,185,1,1,260,678,307,1,297,10.53,380.1,279,39.9,39.4,0.3,3.8,292.0,-448,9.65,-1.8,5.6,6.3,5.9,5.3,5.2,6.3,6.6,7.1,40.7,40.6,9,12,3.5,6.1,41,41,42,0,0,0,6,6,4,0,4,4,4,21,28,23,12,12,14,0,0,0,0,0,0,0,0,0
9.76,21,7.13,7.13,7.13,12.2,11.5,14.2,0.0,-14.3,0.04,0.13,0,5.2,196,1,1,256,679,302,0,301,10.22,385.3,284,41.3,40.9,0.3,3.8,289.0,-448,9.62,-1.6,5.8,6.6,5.9,5.3,5.2,6.5,6.7,7.2,40.7,40.7,8,12,3.7,6.1,43,43,42,0,0,0,6,6,4,0,4,4,4,21,28,23,12,12,14,0,0,0,0,0,0,0,0,0
9.6,319,3.07,3.07,3.08,11.4,10.8,11.5,0.0,-13.2,0.1,0.14,0,6.1,194,1,1,253,677,298,-2,292,9.89,397.4,290,41.1,40.7,0.3,3.8,289.0,-448,9.62,-1.6,5.8,6.7,6.0,5.3,5.2,6.6,6.6,7.2,40.8,40.6,8,13,3.7,6.1,42,42,42,0,0,0,6,6,4,0,4,4,4,21,28,23,13,13,14,0,0,0,0,0,0,0,0,0
10.07,304,7.18,7.18,7.18,10.8,11.0,11.8,0.0,-13.9,0.11,0.14,0,5.2,196,1,1,256,679,303,2,296,10.5,376.8,276,41.2,40.9,0.3,3.8,289.0,-448,9.62,-1.6,5.8,6.6,6.0,5.3,5.2,6.6,6.7,7.2,40.7,40.7,8,13,3.7,6.1,43,43,42,0,0,0,6,6,4,0,4,4,4,21,28,23,13,13,14,0,0,0,0,0,0,0,0,0
10.87,31,15.15,15.15,15.15,11.0,10.8,11.3,0.0,-17.5,0.04,0.19,0,8.9,212,1,1,316,678,373,-1,363,11.34,436.0,314,38.2,38.0,0.3,3.7,358.1,-448,10.33,-1.3,5.9,6.9,6.1,5.5,5.5,6.6,6.8,7.4,40.8,40.7,8,13,3.7,6.2,40,40,42,0,0,0,6,6,4,0,4,4,4,21,28,23,13,13,14,0,0,0,0,0,0,0,0,0
9.07,105,4.1,4.1,4.1,10.9,11.4,10.8,0.0,-12.5,0.01,0.16,0,4.5,193,1,1,246,678,291,0,290,9.44,403.5,294,40.8,40.4,0.3,3.8,289.0,-448,9.62,-1.7,5.7,6.4,6.0,5.3,5.2,6.5,6.6,7.2,40.7,40.6,8,12,3.7,6.1,42,42,42,0,0,0,6,6,4,0,4,4,4,21,28,23,12,12,14,0,0,0,0,0,0,0,0,0
