轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.24,137,0.24,0.25,0.25,11.4,10.9,10.9,0.0,5.6,0.08,0.21,0,2.4,193,1,1,72,687,86,-2,77,7.47,96.1,113,41.4,40.9,0.3,3.8,2067.6,-448,16.83,0.5,14.0,11.0,13.9,12.7,13.1,12.5,11.8,13.2,43.9,43.7,16,21,10.2,13.8,42,42,42,0,0,0,6,6,4,0,13,13,14,25,31,26,21,21,22,0,0,0,0,0,0,0,0,0
7.13,174,0.24,0.24,0.25,11.3,10.4,11.1,0.0,-18.1,0.1,0.14,0,2.8,212,1,1,23,685,28,1,29,7.47,40.4,38,39.3,38.8,0.3,3.8,2067.6,-448,16.83,0.2,14.1,11.1,13.9,12.7,13.2,12.4,11.8,13.2,44.0,43.9,17,21,10.1,13.8,39,40,41,0,0,0,6,6,4,0,13,13,14,25,31,26,21,21,23,0,0,0,0,0,0,0,0,0
7.16,299,0.24,0.24,0.25,10.5,10.9,10.8,0.0,-7.0,0.09,0.14,0,2.5,209,1,1,24,685,30,4,29,7.43,56.9,41,39.7,39.2,0.3,3.8,1953.9,-448,16.66,0.3,14.1,11.1,13.9,12.7,13.2,12.4,11.8,13.2,43.9,43.7,16,22,10.2,13.8,40,41,41,0,0,0,6,6,4,0,13,13,14,24,31,26,22,22,22,0,0,0,0,0,0,0,0,0
7.21,227,0.24,0.24,0.25,10.4,11.8,10.8,0.0,2.6,0.19,0.16,0,2.3,194,1,1,38,687,46,-2,38,7.45,89.3,63,41.5,40.9,0.3,3.8,2067.6,-448,16.83,0.5,13.9,11.0,13.9,12.7,13.1,12.5,11.8,13.2,43.9,43.6,15,21,10.2,13.8,42,42,42,0,0,0,6,6,4,0,13,13,14,24,31,26,21,21,22,0,0,0,0,0,0,0,0,0
7.23,262,0.24,0.24,0.25,11.6,10.4,11.2,0.0,-15.7,0.09,0.13,0,2.5,212,1,1,30,686,37,1,29,7.5,41.5,52,39.4,38.8,0.3,3.8,2067.6,-448,16.83,0.2,14.1,11.2,14.0,12.7,13.2,12.6,11.8,13.2,44.0,43.8,17,23,10.1,13.8,39,40,41,0,0,0,6,6,4,0,13,13,14,25,31,27,23,23,23,0,0,0,0,0,0,0,0,0
7.18,137,0.24,0.24,0.25,10.9,11.7,10.9,0.0,-15.4,0.0,0.13,0,2.6,212,1,1,62,686,75,2,67,7.45,98.2,91,38.6,38.2,0.3,3.8,2067.6,-448,16.83,0.2,14.1,11.0,14.0,12.8,13.2,12.6,11.8,13.2,44.0,43.8,16,21,10.1,13.8,39,39,42,0,0,0,6,6,4,0,13,13,14,24,31,26,21,21,23,0,0,0,0,0,0,0,0,0
7.11,314,0.24,0.24,0.25,10.5,11.9,10.8,0.01,-15.7,0.09,0.16,0,2.7,211,1,1,44,686,53,-4,48,7.43,82.5,63,39.1,38.5,0.3,3.7,1475.1,-448,15.94,0.2,14.1,11.3,14.0,12.7,13.2,12.6,11.8,13.2,44.0,43.9,16,21,10.1,13.8,39,40,42,0,0,0,6,6,4,0,13,13,14,24,31,26,21,21,22,0,0,0,0,0,0,0,0,0
7.22,325,0.24,0.25,0.25,12.0,10.8,11.1,0.0,-9.3,0.17,0.18,0,2.2,209,1,1,60,687,72,2,67,7.46,72.8,96,38.2,37.7,0.3,3.7,2067.6,-448,16.83,0.2,14.1,11.2,14.0,12.8,13.2,12.5,11.8,13.3,44.0,43.8,16,22,10.1,13.8,38,39,42,0,0,0,6,6,4,0,13,13,14,25,31,26,22,22,24,0,0,0,0,0,0,0,0,0
7.2,269,0.24,0.24,0.25,10.4,11.1,10.8,0.0,7.6,-0.01,0.13,0,2.5,194,1,1,45,686,54,1,48,7.47,73.4,73,41.5,40.9,0.3,3.8,2067.6,-448,16.83,0.5,14.0,11.2,14.0,12.7,13.0,12.7,11.8,13.2,43.9,43.6,17,22,10.2,13.8,42,42,42,0,0,0,6,6,4,0,13,13,14,24,31,26,22,22,23,0,0,0,0,0,0,0,0,0
7.22,205,0.24,0.24,0.25,11.8,10.4,11.2,0.0,-10.0,0.08,0.14,0,2.5,211,1,1,25,685,31,-1,29,7.49,33.0,47,40.2,39.8,0.3,3.8,2067.6,-448,16.83,0.3,14.1,11.1,14.0,12.7,13.1,12.6,11.8,13.2,44.0,43.8,16,21,10.2,13.8,40,41,41,0,0,0,6,6,4,0,13,13,14,25,31,27,21,21,23,0,0,0,0,0,0,0,0,0
