轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
16.19,139,0.32,0.26,0.25,15.6,14.4,16.6,16.5,-7.9,0.12,0.06,206.6,12.4,143,1,1,1583,682,1873,-5,1957,16.84,1761.0,1082,40.0,42.1,0,2.7,2067.6,0,16.83,23.6,117.6,109.5,118.8,109.9,106.9,108.1,107.9,92.4,68.4,68.5,43,52,34.1,40.8,49,50,48,0,0,0,6,6,4,0,39,39,39,51,58,59,52,52,49,44.77,44.78,44.79,81,690,7.6,0,0,0
16.66,107,0.7,0.66,0.66,11.4,11.1,10.9,17.02,-0.4,0.17,0.15,206.3,10.7,138,1,1,1688,683,1999,-4,2100,17.2,1891.7,1137,39.9,42.2,0,2.7,2067.6,0,16.83,23.6,117.7,109.6,119.0,110.0,106.9,108.2,108.0,92.5,68.4,68.5,43,52,34.2,40.8,49,49,48,0,0,0,6,6,4,0,39,39,39,51,58,60,52,52,49,44.77,44.78,44.79,80,680,7.5,0,0,0
17.06,250,3.06,2.98,2.99,10.8,19.4,16.4,17.33,-6.2,0.01,0.21,205.9,11.0,140,1,1,1799,683,2130,-5,2236,17.77,2000.8,1160,39.4,41.7,0,2.7,2067.6,0,16.83,23.8,115.7,107.5,117.0,108.0,105.0,106.3,106.0,90.7,68.4,68.6,44,52,34.2,40.8,49,50,47,0,0,0,6,6,4,0,39,39,40,51,58,60,52,52,49,44.77,44.77,44.79,81,690,7.7,0,0,0
16.63,163,0.37,0.34,0.34,16.1,16.1,15.2,16.7,2.3,0.23,0.06,206.0,10.8,137,1,1,1692,682,2001,-5,2099,17.07,1927.8,1128,40.1,42.4,0,2.7,2067.6,0,16.83,23.8,117.9,109.7,119.1,110.1,107.1,108.4,107.6,92.2,68.4,68.6,43,52,34.2,40.8,50,50,47,0,0,0,6,6,4,0,39,39,39,51,58,59,52,52,49,44.77,44.77,44.79,81,690,7.6,0,0,0
17.25,167,4.44,4.35,4.35,11.8,14.3,11.1,17.79,-5.7,-0.04,0.11,206.2,11.0,140,1,1,1803,682,2131,-1,2235,18.08,1988.0,1143,39.4,41.7,0,2.7,2067.6,0,16.83,23.8,115.9,107.8,117.1,108.3,105.2,106.3,106.1,90.7,68.4,68.6,43,52,34.2,40.8,49,50,47,0,0,0,6,6,4,0,39,39,40,51,58,60,52,52,49,44.77,44.78,44.79,81,690,7.7,0,0,0
15.89,15,0.25,0.21,0.2,13.5,14.4,16.2,15.95,-8.1,0.04,0.16,206.5,12.5,146,1,1,1420,681,1678,4,1757,16.38,1578.8,1001,39.2,41.1,0,2.7,2067.6,0,16.83,23.6,115.8,107.7,117.0,108.0,105.1,106.3,107.3,91.6,68.4,68.5,43,52,34.1,40.8,47,47,48,0,0,0,6,6,4,0,39,39,39,51,58,59,52,52,49,44.76,44.77,44.78,80,680,8.0,0,0,0
16.81,157,0.71,0.67,0.67,11.9,10.8,10.7,17.0,-8.3,0.01,0.26,206.3,10.8,141,1,1,1714,683,2031,6,2128,17.27,1916.5,1149,39.7,42.0,0,2.7,2067.6,0,16.83,23.6,117.6,109.5,118.9,109.9,106.8,108.1,107.9,92.4,68.4,68.5,43,52,34.1,40.8,49,49,47,0,0,0,6,6,4,0,39,39,39,51,58,59,52,52,49,44.77,44.77,44.79,80,690,7.5,0,0,0
16.51,311,0.25,0.2,0.21,12.5,13.9,17.3,16.77,0.1,0.1,0.01,206.7,10.1,142,1,1,1628,682,1925,7,2019,16.93,1813.1,1108,40.4,42.3,0,2.7,2067.6,0,16.83,23.8,118.1,109.9,119.4,110.2,107.3,108.5,107.9,92.4,68.4,68.6,43,52,34.2,40.8,49,50,48,0,0,0,6,6,4,0,39,39,39,51,58,60,52,52,49,44.77,44.77,44.79,81,690,7.7,0,0,0
17.25,151,4.79,4.65,4.64,14.5,10.6,10.9,17.49,-6.0,0.09,0.24,206.3,11.1,137,1,1,1805,683,2136,7,2247,17.81,2012.3,1161,39.5,41.9,0,2.7,2067.6,0,16.83,23.8,116.3,108.2,117.6,108.6,105.6,106.8,106.3,90.9,68.4,68.6,44,52,34.2,40.8,50,50,47,0,0,0,6,6,4,0,39,39,40,51,58,59,52,52,49,44.77,44.78,44.79,81,690,7.7,0,0,0
16.8,208,1.82,1.8,1.75,16.2,10.7,11.1,17.11,2.1,0.17,0.22,205.9,10.5,137,1,1,1787,683,2115,1,2210,17.43,2000.7,1170,39.9,42.3,0,2.7,2067.6,0,16.83,23.8,117.6,109.5,118.9,109.9,106.9,108.2,107.4,92.0,68.4,68.6,43,52,34.2,40.8,50,50,47,0,0,0,6,6,4,0,39,39,40,51,58,59,52,52,49,44.77,44.77,44.79,80,680,7.6,0,0,0
