轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
10.0,64.0,0.25,0.19,0.19,10.9,14.5,11.1,10.45,1.5,0.09,0.14,210.4,4.9,224.0,1.0,3.0,292.0,685.0,347.0,0.0,357.0,10.45,459.1,320.0,30.3,31.1,0.0,2.5,2180.0,0.0,17.0,3.3,13.6,16.3,15.6,12.8,12.7,14.6,15.9,16.7,39.3,39.2,14.0,22.0,11.2,15.0,33.0,33.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,9.0,10.0,10.0,29.0,38.0,30.0,22.0,22.0,21.0,44.82,44.89,44.86,44.0,370.0,3.9,0.0,0.0,0.0
7.59,64.0,0.25,0.19,0.19,10.6,11.4,11.8,7.72,-5.1,0.09,0.14,210.7,3.5,221.0,1.0,3.0,110.0,683.0,131.0,-2.0,138.0,7.84,225.9,174.0,29.7,29.3,0.0,2.5,2180.0,0.0,17.0,3.3,13.3,16.0,15.3,12.5,12.4,14.3,15.7,16.4,39.3,39.2,15.0,22.0,11.2,14.9,31.0,31.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,9.0,10.0,10.0,29.0,38.0,30.0,22.0,22.0,21.0,44.82,44.89,44.86,45.0,360.0,3.9,0.0,0.0,0.0
10.02,64.0,0.25,0.19,0.19,11.0,13.2,11.4,10.37,-18.1,0.08,0.2,210.4,5.7,234.0,1.0,3.0,287.0,686.0,342.0,5.0,355.0,10.49,453.9,318.0,31.1,30.7,0.0,2.5,2180.0,0.0,17.0,3.3,13.3,16.1,15.2,12.5,12.5,14.1,15.7,16.5,39.3,39.2,13.0,22.0,11.2,15.0,33.0,33.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,9.0,10.0,10.0,29.0,38.0,30.0,22.0,22.0,21.0,44.82,44.89,44.86,45.0,370.0,3.9,0.0,0.0,0.0
10.17,64.0,0.25,0.19,0.19,11.0,12.5,11.9,10.36,1.4,0.09,0.12,210.8,5.0,224.0,1.0,3.0,286.0,685.0,341.0,3.0,363.0,10.52,458.2,320.0,30.0,30.8,0.0,2.5,2180.0,0.0,17.0,3.3,13.6,16.1,15.7,12.8,12.7,14.5,15.9,16.7,39.3,39.2,15.0,22.0,11.2,15.0,32.0,32.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,10.0,10.0,10.0,29.0,38.0,30.0,22.0,22.0,21.0,44.82,44.88,44.86,44.0,370.0,3.9,0.0,0.0,0.0
9.35,64.0,0.25,0.19,0.19,12.0,12.5,11.1,9.69,-0.2,0.08,0.13,210.7,4.6,224.0,1.0,3.0,220.0,685.0,262.0,4.0,276.0,9.61,386.3,270.0,32.7,32.2,0.0,2.5,2180.0,0.0,17.0,3.3,13.5,16.1,15.5,12.7,12.6,14.4,15.8,16.6,39.3,39.2,15.0,22.0,11.2,15.0,34.0,34.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,9.0,10.0,10.0,29.0,38.0,30.0,22.0,22.0,21.0,44.82,44.89,44.86,45.0,360.0,3.9,0.0,0.0,0.0
9.8,64.0,0.25,0.19,0.19,11.4,13.8,11.0,10.09,-4.6,0.09,0.11,210.3,5.5,231.0,1.0,3.0,261.0,685.0,311.0,0.0,329.0,10.12,426.6,297.0,30.8,30.4,0.0,2.6,2180.0,0.0,17.0,3.3,13.3,15.9,15.3,12.5,12.4,14.4,15.7,16.4,39.2,39.1,15.0,22.0,11.2,15.0,32.0,32.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,9.0,10.0,10.0,29.0,38.0,30.0,22.0,22.0,21.0,44.82,44.88,44.86,44.0,370.0,3.8,0.0,0.0,0.0
10.31,64.0,0.25,0.19,0.19,11.9,12.8,11.4,10.57,-11.3,0.06,0.16,210.3,5.2,234.0,1.0,3.0,300.0,686.0,358.0,-2.0,372.0,10.62,473.2,328.0,31.3,30.9,0.0,2.5,2180.0,0.0,17.0,3.3,13.3,15.9,15.3,12.5,12.5,14.2,15.7,16.5,39.3,39.2,14.0,22.0,11.2,15.0,33.0,33.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,9.0,10.0,10.0,29.0,38.0,30.0,22.0,22.0,21.0,44.82,44.89,44.86,44.0,370.0,3.9,0.0,0.0,0.0
9.65,64.0,0.25,0.19,0.19,11.7,12.4,11.4,10.14,-21.0,0.11,0.1,210.1,4.9,233.0,1.0,3.0,265.0,685.0,315.0,-2.0,331.0,10.18,428.0,298.0,31.0,30.5,0.0,2.5,2180.0,0.0,17.0,3.3,13.3,15.8,15.3,12.5,12.4,14.1,15.7,16.5,39.3,39.2,14.0,22.0,11.2,15.0,33.0,33.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,9.0,10.0,10.0,29.0,38.0,30.0,22.0,22.0,21.0,44.82,44.89,44.86,44.0,370.0,3.9,0.0,0.0,0.0
10.22,64.0,0.25,0.19,0.19,12.0,13.1,11.4,10.5,-9.6,0.09,0.19,210.4,5.0,233.0,1.0,3.0,295.0,685.0,351.0,2.0,374.0,10.55,467.5,322.0,31.3,30.9,0.0,2.5,2180.0,0.0,17.0,3.3,13.3,16.1,15.3,12.5,12.5,14.2,15.7,16.5,39.3,39.2,14.0,22.0,11.2,15.0,33.0,33.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,9.0,10.0,10.0,29.0,38.0,30.0,22.0,22.0,21.0,44.82,44.89,44.86,45.0,370.0,3.9,0.0,0.0,0.0
9.75,64.0,0.25,0.19,0.19,10.8,13.9,10.9,9.96,8.1,0.09,0.14,210.0,4.1,228.0,1.0,3.0,251.0,685.0,298.0,-3.0,312.0,10.02,416.9,292.0,30.8,30.3,0.0,2.5,2180.0,0.0,17.0,3.3,13.3,15.8,15.3,12.5,12.4,14.3,15.7,16.5,39.2,39.1,14.0,22.0,11.2,15.0,32.0,32.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,9.0,10.0,10.0,29.0,38.0,30.0,22.0,22.0,21.0,44.82,44.89,44.86,44.0,370.0,3.9,0.0,0.0,0.0
