轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.76,352,0.24,0.19,0.19,12.5,10.6,10.9,8.03,-8.9,0.09,0.19,207.3,4.8,227,1,3,125,699,152,-2,157,7.92,261.5,181,32.1,31.3,0,2.5,959.6,0,14.36,-5.3,12.3,9.5,13.5,11.1,11.4,10.8,9.9,11.4,42.4,42.0,16,26,6.1,12.1,33,33,31,0,0,0,6,6,4,0,13,13,13,31,37,32,26,26,24,44.81,44.87,44.85,50,390,4.3,0,0,0
8.23,352,0.24,0.19,0.19,10.6,12.2,10.8,8.43,7.1,0.06,0.11,207.1,4.6,219,1,3,152,699,185,1,193,8.45,297.4,208,28.8,28.2,0,2.5,1316.5,0,15.68,-5.3,12.5,9.5,13.6,11.2,11.5,10.9,10.1,11.6,42.5,42.2,16,26,6.1,12.1,30,30,32,0,0,0,6,6,4,0,13,13,13,30,37,32,26,26,24,44.81,44.87,44.85,50,370,4.3,0,0,0
7.69,352,0.24,0.19,0.19,10.6,10.6,11.8,7.86,-5.1,0.16,0.18,207.3,4.1,226,1,3,125,699,153,-3,159,7.92,260.4,182,30.6,30.0,0,2.5,1043.4,0,14.76,-5.3,12.4,9.4,13.7,11.2,11.3,11.2,10.0,11.5,42.5,42.1,16,26,6.1,12.1,31,32,31,0,0,0,6,6,4,0,13,13,13,30,37,32,26,26,24,44.81,44.87,44.85,48,370,4.3,0,0,0
8.26,352,0.24,0.19,0.19,10.7,12.3,10.8,8.38,3.0,0.14,0.19,207.4,4.1,219,1,3,152,699,185,1,190,8.42,297.6,209,28.9,28.3,0,2.6,1316.5,0,15.68,-5.3,12.4,9.6,13.6,11.3,11.5,11.0,10.1,11.6,42.5,42.2,16,26,6.1,12.1,30,30,32,0,0,0,6,6,4,0,13,13,13,30,37,32,26,26,24,44.81,44.87,44.85,50,370,4.4,0,0,0
8.14,352,0.24,0.19,0.19,11.0,10.6,11.6,8.26,-1.6,0.05,0.17,207.3,5.1,219,1,3,137,698,167,-4,178,8.39,288.4,204,29.2,28.7,0,2.5,1313.4,0,15.67,-5.3,12.4,9.4,13.7,11.3,11.5,11.0,10.1,11.6,42.5,42.2,16,26,6.1,12.1,30,30,32,0,0,0,6,6,4,0,13,13,13,30,37,32,26,26,24,44.81,44.87,44.85,50,380,4.3,0,0,0
7.88,352,0.24,0.19,0.19,10.6,10.7,11.3,8.2,5.0,0.1,0.14,207.3,4.2,217,1,3,140,699,170,-3,173,8.26,280.0,199,28.3,27.7,0,2.5,1191.9,0,15.43,-5.3,12.5,9.5,13.7,11.3,11.5,11.0,10.1,11.6,42.5,42.2,17,26,6.1,12.1,29,29,32,0,0,0,6,6,4,0,13,13,13,30,37,32,26,26,24,44.81,44.87,44.85,50,380,4.3,0,0,0
7.86,352,0.24,0.19,0.19,10.7,12.3,10.8,8.09,-5.2,0.09,0.18,207.5,3.9,220,1,3,129,698,157,-2,166,8.17,276.2,194,29.3,28.8,0,2.5,1164.1,0,15.31,-5.3,12.4,9.5,13.6,11.3,11.6,10.9,10.1,11.6,42.5,42.2,17,26,6.1,12.1,30,31,31,0,0,0,6,6,4,0,13,13,13,30,37,32,26,26,24,44.81,44.87,44.85,50,380,4.4,0,0,0
8.13,352,0.24,0.19,0.19,12.5,10.7,10.9,8.43,1.2,0.09,0.13,207.3,4.1,219,1,3,147,699,179,0,192,8.46,296.4,209,29.1,28.4,0,2.5,1313.4,0,15.67,-5.3,12.4,9.7,13.7,11.3,11.5,11.1,10.1,11.6,42.5,42.2,17,26,6.1,12.1,30,30,32,0,0,0,6,6,4,0,13,13,13,30,37,32,26,26,24,44.81,44.87,44.85,49,380,4.3,0,0,0
7.54,352,0.24,0.19,0.19,12.2,10.6,10.9,7.79,-10.7,0.16,0.08,207.4,4.0,225,1,3,115,700,140,-2,144,7.78,254.0,176,32.4,31.7,0,2.5,959.6,0,14.36,-5.3,12.3,9.4,13.4,11.1,11.3,10.8,9.9,11.4,42.4,42.1,17,26,6.1,12.0,33,34,31,0,0,0,6,6,4,0,13,13,13,31,37,32,26,26,24,44.81,44.87,44.85,50,370,4.3,0,0,0
7.63,352,0.24,0.19,0.19,11.1,10.6,11.5,7.7,4.5,0.04,0.24,207.3,3.3,218,1,3,123,698,150,3,155,7.87,255.5,178,28.4,29.5,0,2.5,965.7,0,14.39,-5.2,12.5,9.5,13.9,11.3,11.6,11.1,10.1,11.6,42.6,42.2,17,26,6.1,12.1,30,31,32,0,0,0,6,6,4,0,13,13,13,30,37,32,26,26,24,44.81,44.87,44.85,50,390,4.3,0,0,0
