轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.54,55,0.24,0.24,0.24,12.1,10.5,11.1,0,2.8,0.07,0.15,0,3.4,242,1,1,101,679,120,-1,109,7.72,144.7,154,41.6,41.0,0.3,3.8,2067.6,-448,16.83,-11.3,8.1,4.6,7.8,5.8,6.0,5.5,5.0,7.2,39.2,39.1,8,15,2.8,6.6,42,43,41,0,0,0,6,6,4,0,7,7,7,22,27,23,15,15,16,0,0,0,0,0,0,0,0,0
7.46,226,0.24,0.24,0.24,10.9,11.4,11.0,0,10.4,0.13,0.14,0,4.0,239,1,1,118,681,141,0,139,7.72,206.1,176,41.8,41.3,0.3,3.8,2067.6,-448,16.83,-11.3,8.0,4.5,7.8,5.7,5.9,5.4,4.9,7.1,39.2,39.1,9,15,2.8,6.6,42,43,41,0,0,0,6,6,4,0,7,7,7,21,28,23,15,15,16,0,0,0,0,0,0,0,0,0
7.5,139,0.24,0.24,0.24,11.8,10.8,11.1,0,13.4,0.09,0.1,0,3.4,238,1,1,118,679,140,0,129,7.74,185.3,174,41.8,41.2,0.3,3.8,2067.6,-448,16.83,-11.3,8.0,4.2,7.9,5.7,6.0,5.4,5.0,7.1,39.2,39.0,9,15,2.8,6.6,42,43,41,0,0,0,6,6,4,0,7,7,7,21,29,23,15,15,16,0,0,0,0,0,0,0,0,0
7.45,144,0.24,0.24,0.24,10.8,11.5,11.0,0,-3.3,0.11,0.14,0,3.8,243,1,1,121,680,143,0,138,7.7,205.8,175,41.6,40.9,0.3,3.8,2067.6,-448,16.83,-11.3,8.1,4.6,7.9,5.8,6.0,5.5,5.0,7.1,39.2,39.1,8,15,2.8,6.6,42,43,41,0,0,0,6,6,4,0,7,7,7,21,28,23,15,15,16,0,0,0,0,0,0,0,0,0
7.48,209,0.24,0.24,0.24,12.0,10.4,11.1,0,16.8,0.09,0.18,0,3.8,235,1,1,80,679,95,1,89,7.68,134.6,129,41.0,40.3,0.3,3.8,2067.6,-448,16.83,-11.3,8.2,4.5,7.9,5.9,6.1,5.5,5.1,7.3,39.2,39.0,10,15,2.8,6.6,42,42,41,0,0,0,6,6,4,0,7,7,7,22,28,23,15,15,16,0,0,0,0,0,0,0,0,0
7.4,6,0.24,0.24,0.24,11.1,10.4,11.1,0,11.6,0.12,0.14,0,3.6,241,1,1,83,680,98,0,99,7.72,163.9,123,41.5,41.2,0.3,3.8,2067.6,-448,16.83,-11.3,8.1,4.4,7.9,5.8,5.9,5.6,5.0,7.1,39.2,39.0,8,15,2.8,6.6,42,43,41,0,0,0,6,6,4,0,7,7,7,21,28,23,15,15,16,0,0,0,0,0,0,0,0,0
7.5,133,0.24,0.24,0.24,11.9,10.5,11.1,0,11.5,0.12,0.16,0,4.0,238,1,1,87,680,105,0,100,7.77,160.0,135,41.9,41.2,0.3,3.8,2067.6,-448,16.83,-11.3,8.0,4.6,7.8,5.7,5.9,5.4,4.9,7.1,39.2,39.0,9,15,2.8,6.6,42,43,41,0,0,0,6,6,4,0,7,7,7,22,28,23,15,15,16,0,0,0,0,0,0,0,0,0
7.46,332,0.24,0.24,0.24,12.1,10.5,11.1,0,10.9,0.09,0.14,0,3.5,237,1,1,85,679,101,1,89,7.7,131.8,132,41.2,40.7,0.3,3.8,2067.6,-448,16.83,-11.3,8.1,4.5,8.0,5.8,6.0,5.6,5.0,7.2,39.2,39.1,8,15,2.8,6.6,42,42,41,0,0,0,6,6,4,0,7,7,7,21,29,23,15,15,16,0,0,0,0,0,0,0,0,0
7.53,216,0.24,0.24,0.24,12.2,10.6,11.1,0,8.4,0.03,0.16,0,3.4,240,1,1,113,680,134,-2,129,7.75,177.0,172,36.6,37.7,0.3,3.7,2067.6,-448,16.83,-11.3,8.0,4.5,7.8,5.7,5.8,5.5,4.8,7.1,39.2,39.0,8,14,2.8,6.6,38,38,41,0,0,0,6,6,4,0,7,7,7,21,28,23,14,14,16,0,0,0,0,0,0,0,0,0
7.47,69,0.24,0.24,0.24,10.5,11.8,10.9,0,13.3,0.06,0.13,0,3.7,237,1,1,118,680,140,1,139,7.76,215.6,172,38.4,37.9,0.3,3.8,2067.6,-448,16.83,-11.4,7.8,4.1,7.7,5.6,5.8,5.5,4.8,7.0,39.2,39.1,9,15,2.7,6.5,39,39,41,0,0,0,6,6,4,0,7,7,7,22,28,23,15,15,16,0,0,0,0,0,0,0,0,0
