轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
10.28,64.0,14.13,14.07,14.06,10.8,11.3,11.4,10.69,-1.2,0.13,0.19,201.1,7.8,259.0,1.0,3.0,315.0,694.0,380.0,-2.0,401.0,10.81,490.8,344.0,30.9,30.3,0.0,2.5,376.4,0.0,10.51,-8.0,9.4,6.3,10.5,7.4,7.4,6.9,7.3,9.4,41.1,40.8,11.0,20.0,1.7,7.6,33.0,33.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,20.0,20.0,18.0,44.82,44.89,44.87,43.0,310.0,3.7,0.0,0.0,0.0
11.08,64.0,12.01,11.99,11.97,14.6,13.6,16.1,11.53,-2.1,0.07,0.14,201.3,9.8,254.0,1.0,3.0,398.0,695.0,481.0,0.0,500.0,11.62,572.4,400.0,32.8,32.2,0.0,2.5,473.2,0.0,11.34,-8.0,9.4,6.2,10.6,7.4,7.3,7.3,7.2,9.4,41.1,40.8,11.0,19.0,1.5,7.6,35.0,35.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,19.0,19.0,18.0,44.82,44.89,44.86,42.0,310.0,3.6,0.0,0.0,0.0
10.42,64.0,14.37,14.29,14.28,11.2,10.9,11.6,10.6,-10.7,0.09,0.17,201.6,9.6,261.0,1.0,3.0,310.0,694.0,374.0,0.0,394.0,10.7,490.1,344.0,30.7,30.3,0.0,2.5,376.4,0.0,10.51,-8.0,9.4,6.0,10.6,7.4,7.3,7.0,7.3,9.4,41.1,40.8,12.0,20.0,1.7,7.6,33.0,33.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,20.0,20.0,18.0,44.82,44.89,44.86,42.0,310.0,3.6,0.0,0.0,0.0
11.35,64.0,12.21,12.16,12.15,11.1,12.0,10.8,11.46,2.9,0.07,0.13,201.4,8.9,257.0,1.0,3.0,400.0,695.0,482.0,3.0,505.0,11.64,570.9,399.0,32.7,32.0,0.0,2.5,473.2,0.0,11.34,-8.0,9.3,6.2,10.6,7.4,7.3,7.1,7.2,9.3,41.1,40.8,11.0,20.0,1.5,7.6,35.0,35.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,20.0,20.0,18.0,44.83,44.89,44.87,42.0,310.0,3.6,0.0,0.0,0.0
10.48,64.0,14.21,14.21,14.21,10.6,10.7,10.8,10.64,-10.6,0.08,0.13,201.3,7.8,261.0,1.0,3.0,317.0,695.0,383.0,-2.0,396.0,10.79,489.8,343.0,32.1,31.6,0.0,2.5,376.4,0.0,10.51,-8.0,9.3,6.1,10.4,7.3,7.3,7.0,7.3,9.4,41.1,40.8,11.0,20.0,1.5,7.6,34.0,34.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,20.0,20.0,18.0,44.82,44.89,44.86,42.0,310.0,3.6,0.0,0.0,0.0
10.27,64.0,14.27,14.27,14.26,11.1,11.6,10.8,10.68,-4.8,0.08,0.11,201.3,10.2,255.0,1.0,3.0,312.0,694.0,376.0,-3.0,396.0,10.73,491.2,344.0,30.2,29.7,0.0,2.5,376.4,0.0,10.51,-8.0,9.4,6.1,10.5,7.4,7.3,7.0,7.3,9.4,41.1,40.8,11.0,20.0,1.6,7.6,32.0,32.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,20.0,20.0,18.0,44.82,44.89,44.86,42.0,310.0,3.6,0.0,0.0,0.0
10.49,64.0,14.14,14.06,14.07,10.8,11.4,11.5,10.59,-2.5,0.07,0.15,201.6,9.3,260.0,1.0,3.0,314.0,695.0,379.0,3.0,405.0,10.83,490.3,343.0,30.8,30.2,0.0,2.5,376.4,0.0,10.51,-8.0,9.4,6.2,10.6,7.4,7.3,7.1,7.3,9.4,41.1,40.8,11.0,20.0,1.7,7.6,33.0,33.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,20.0,20.0,18.0,44.82,44.9,44.87,42.0,310.0,3.6,0.0,0.0,0.0
10.48,64.0,14.44,14.39,14.4,13.2,11.6,12.1,10.76,-0.7,0.11,0.14,201.3,10.5,256.0,1.0,3.0,320.0,695.0,386.0,-3.0,403.0,10.81,488.6,342.0,29.6,29.0,0.0,2.5,376.4,0.0,10.51,-8.0,9.4,6.3,10.7,7.4,7.3,7.1,7.3,9.4,41.2,40.9,12.0,20.0,1.7,7.6,32.0,31.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,20.0,20.0,18.0,44.82,44.89,44.86,42.0,310.0,3.6,0.0,0.0,0.0
10.71,64.0,11.54,11.57,11.57,10.9,10.8,10.6,10.73,-5.4,0.07,0.11,200.8,10.0,259.0,1.0,3.0,383.0,695.0,462.0,0.0,483.0,11.0,584.6,410.0,32.5,31.8,0.0,2.5,473.2,0.0,11.34,-8.0,9.4,6.1,10.4,7.3,7.3,7.0,7.3,9.4,41.1,40.7,11.0,20.0,1.5,7.6,34.0,34.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,20.0,20.0,18.0,44.82,44.89,44.86,42.0,310.0,3.7,0.0,0.0,0.0
11.43,64.0,12.23,12.19,12.18,11.3,12.2,12.6,11.51,-1.4,0.09,0.14,201.5,9.9,254.0,1.0,3.0,400.0,695.0,483.0,0.0,509.0,11.78,567.8,397.0,33.0,32.4,0.0,2.5,473.2,0.0,11.34,-8.0,9.5,6.1,10.5,7.4,7.4,7.0,7.3,9.4,41.1,40.7,9.0,20.0,1.5,7.6,35.0,35.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,20.0,20.0,18.0,44.82,44.89,44.86,42.0,310.0,3.6,0.0,0.0,0.0
11.24,64.0,11.76,11.74,11.74,10.5,11.4,10.6,11.4,-5.2,0.11,0.14,201.1,8.4,259.0,1.0,3.0,396.0,695.0,478.0,2.0,498.0,11.56,575.3,402.0,32.6,32.0,0.0,2.5,473.2,0.0,11.34,-8.0,9.4,6.3,10.5,7.4,7.4,7.0,7.2,9.3,41.1,40.8,10.0,20.0,1.5,7.6,35.0,35.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,20.0,20.0,18.0,44.82,44.89,44.86,43.0,310.0,3.7,0.0,0.0,0.0
10.49,64.0,14.42,14.39,14.38,11.5,11.6,12.2,10.66,-2.3,0.09,0.16,201.5,9.5,255.0,1.0,3.0,319.0,694.0,385.0,1.0,402.0,10.78,490.6,344.0,30.0,29.4,0.0,2.5,376.4,0.0,10.51,-8.0,9.4,6.1,10.6,7.4,7.3,7.1,7.3,9.4,41.1,40.8,11.0,20.0,1.6,7.6,32.0,32.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,8.0,8.0,29.0,35.0,30.0,20.0,20.0,18.0,44.82,44.89,44.86,42.0,300.0,3.6,0.0,0.0,0.0
