轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.0,72.0,85.98,85.98,85.98,10.6,12.5,11.8,0.09,9.1,0.09,0.14,201.6,1.8,28.0,1.0,2.0,0.0,696.0,0.0,1.0,0.0,0.01,0.0,0.0,24.7,23.8,0.0,2.5,223.0,0.0,8.82,-12.8,-2.0,-4.7,-0.9,-3.6,-3.2,-3.4,-3.5,-3.6,15.7,15.6,7.0,15.0,-2.8,2.0,25.0,25.0,15.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,3.0,8.0,6.0,25.0,36.0,30.0,15.0,15.0,15.0,44.82,44.9,44.87,35.0,330.0,3.3,0.0,0.0,0.0
0.0,72.0,85.98,85.98,85.98,10.6,12.5,11.8,0.11,8.5,0.09,0.14,201.9,2.6,24.0,1.0,2.0,0.0,696.0,0.0,1.0,0.0,0.01,0.0,0.0,24.7,23.9,0.0,2.5,223.0,0.0,8.82,-12.9,-2.0,-4.9,-1.0,-3.6,-3.2,-3.5,-3.5,-3.6,15.6,15.5,7.0,15.0,-2.8,2.0,25.0,25.0,13.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,3.0,8.0,6.0,25.0,36.0,30.0,15.0,15.0,15.0,44.82,44.9,44.87,36.0,340.0,3.2,0.0,0.0,0.0
0.0,72.0,85.98,85.98,85.98,10.6,12.5,11.8,0.13,2.6,0.09,0.14,202.1,1.6,31.0,1.0,2.0,0.0,696.0,0.0,1.0,0.0,0.01,0.0,0.0,24.6,23.8,0.0,2.4,223.0,0.0,8.82,-12.7,-2.0,-4.6,-0.8,-3.5,-3.0,-3.3,-3.3,-3.5,15.9,15.7,7.0,15.0,-2.7,2.2,24.0,25.0,17.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,3.0,8.0,6.0,25.0,36.0,30.0,15.0,15.0,15.0,44.82,44.9,44.87,35.0,340.0,3.2,0.0,0.0,0.0
0.0,72.0,85.98,85.98,85.98,10.6,12.6,11.8,0.12,11.9,0.09,0.14,202.0,2.1,26.0,1.0,2.0,0.0,695.0,0.0,1.0,0.0,0.01,0.0,0.0,24.7,23.9,0.0,2.5,223.0,0.0,8.82,-12.8,-2.0,-4.7,-0.8,-3.6,-3.1,-3.3,-3.4,-3.5,15.8,15.7,7.0,15.0,-2.7,2.2,24.0,25.0,16.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,3.0,8.0,6.0,25.0,36.0,30.0,15.0,15.0,15.0,44.82,44.9,44.87,35.0,340.0,3.3,0.0,0.0,0.0
0.0,72.0,85.98,85.98,85.98,10.6,12.5,11.8,0.1,7.4,0.08,0.14,201.7,2.0,27.0,1.0,2.0,0.0,696.0,0.0,1.0,0.0,0.01,0.0,0.0,24.9,23.9,0.0,2.5,223.0,0.0,8.82,-12.9,-2.0,-4.9,-1.0,-3.7,-3.3,-3.5,-3.5,-3.6,15.6,15.5,8.0,15.0,-2.8,2.0,25.0,25.0,13.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,3.0,8.0,6.0,25.0,36.0,30.0,15.0,15.0,15.0,44.82,44.9,44.87,35.0,340.0,3.2,0.0,0.0,0.0
0.0,72.0,85.98,85.98,85.98,10.6,12.5,11.8,0.12,15.3,0.09,0.14,201.9,1.8,24.0,1.0,2.0,0.0,696.0,0.0,1.0,0.0,0.01,0.0,0.0,24.7,24.0,0.0,2.5,223.0,0.0,8.82,-12.8,-2.0,-4.7,-0.8,-3.6,-3.1,-3.4,-3.5,-3.5,15.8,15.6,7.0,15.0,-2.7,2.2,24.0,25.0,16.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,3.0,8.0,6.0,25.0,36.0,29.0,15.0,15.0,15.0,44.83,44.9,44.87,36.0,340.0,3.2,0.0,0.0,0.0
0.0,72.0,85.98,85.98,85.98,10.6,12.5,11.8,0.1,6.4,0.08,0.14,201.9,1.9,25.0,1.0,2.0,0.0,696.0,0.0,3.0,0.0,0.01,0.0,0.0,24.7,23.8,0.0,2.5,223.0,0.0,8.82,-12.8,-2.0,-4.7,-0.9,-3.6,-3.2,-3.4,-3.5,-3.6,15.7,15.5,7.0,15.0,-2.8,2.0,25.0,25.0,14.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,3.0,8.0,6.0,25.0,36.0,29.0,15.0,15.0,15.0,44.82,44.9,44.87,36.0,340.0,3.3,0.0,0.0,0.0
0.0,72.0,85.98,85.98,85.98,10.6,12.5,11.8,0.11,5.5,0.09,0.14,201.8,2.2,27.0,1.0,2.0,0.0,696.0,0.0,1.0,0.0,0.01,0.0,0.0,24.8,24.0,0.0,2.5,223.0,0.0,8.82,-12.8,-2.0,-4.7,-0.8,-3.6,-3.1,-3.4,-3.5,-3.5,15.8,15.6,8.0,15.0,-2.7,2.2,24.0,25.0,16.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,3.0,8.0,6.0,25.0,36.0,30.0,15.0,15.0,15.0,44.83,44.9,44.87,36.0,340.0,3.3,0.0,0.0,0.0
0.0,72.0,85.98,85.98,85.98,10.6,12.5,11.8,0.11,17.1,0.09,0.14,201.9,2.0,26.0,1.0,2.0,0.0,696.0,0.0,0.0,0.0,0.01,0.0,0.0,24.7,24.0,0.0,2.5,223.0,0.0,8.82,-12.8,-2.0,-4.7,-0.9,-3.6,-3.2,-3.4,-3.5,-3.6,15.7,15.6,7.0,15.0,-2.8,2.0,25.0,25.0,15.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,3.0,8.0,6.0,25.0,36.0,30.0,15.0,15.0,15.0,44.82,44.9,44.87,35.0,340.0,3.2,0.0,0.0,0.0
0.0,72.0,85.98,85.98,85.98,10.6,12.5,11.8,0.1,1.2,0.09,0.14,202.0,1.9,31.0,1.0,2.0,0.0,695.0,0.0,1.0,0.0,0.01,0.0,0.0,24.5,23.7,0.0,2.5,223.0,0.0,8.82,-12.7,-2.0,-4.6,-0.8,-3.5,-3.0,-3.3,-3.3,-3.5,15.9,15.7,6.0,15.0,-2.7,2.2,24.0,25.0,17.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,3.0,8.0,6.0,25.0,36.0,30.0,15.0,15.0,15.0,44.82,44.9,44.87,37.0,330.0,3.3,0.0,0.0,0.0
