轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
17.96,64,8.46,8.35,8.35,11,10,10,18.17,-5.4,0.14,0.24,206.0,12.0,196,1,3,1758,706,2151,-6,2233,18.13,1942.7,1175,44.4,46.0,1.7,3.1,2180.0,0,17.0,1.6,86.6,80.3,86.8,81.6,78.8,79.7,79.6,65.7,57.6,57.7,24,31,13.7,20.8,53,53,31,0,0,0,6,6,4,0,18,18,18,41,47,44,31,31,31,44.79,44.81,44.84,62,480,5.4,0,0,0
17.8,64,8.07,8.04,8.03,17,16,17,18.06,-4.8,0.16,0.31,205.6,10.2,197,1,3,1751,706,2143,1,2223,17.91,1940.2,1185,44.3,46.0,1.7,3.0,2180.0,0,17.0,1.6,86.6,80.2,86.9,81.6,78.7,79.8,79.7,65.7,57.6,57.7,25,31,13.7,20.8,52,53,31,0,0,0,6,6,4,0,18,18,18,41,47,44,31,31,31,44.8,44.82,44.84,62,480,5.4,0,0,0
17.22,64,7.19,7.25,7.26,15,14,16,17.42,-0.4,0.16,0.3,205.5,12.6,195,1,3,1748,706,2139,2,2225,17.3,1959.8,1227,44.1,45.8,1.7,3.1,2180.0,0,17.0,1.6,86.7,80.3,87.1,81.7,78.8,79.9,79.8,65.8,57.6,57.7,24,31,13.7,20.8,52,53,31,0,0,0,6,6,4,0,18,18,18,41,47,44,31,31,31,44.79,44.82,44.84,62,480,5.4,0,0,0
17.88,64,8.75,8.65,8.64,14,15,13,18.04,-0.2,0.05,0.02,205.4,11.8,194,1,3,1758,706,2154,1,2238,18.04,1948.1,1182,44.2,45.7,1.7,3.1,2180.0,0,17.0,1.6,86.3,79.9,86.6,81.5,78.6,79.8,79.5,65.6,57.6,57.6,24,31,13.7,20.8,53,53,31,0,0,0,6,6,4,0,18,18,18,41,47,44,31,31,31,44.79,44.82,44.84,62,480,5.4,0,0,0
17.69,64,7.71,7.63,7.62,18,17,16,18.17,-3.0,0.19,0.26,205.7,11.9,196,1,3,1763,706,2160,-5,2242,18.03,1950.8,1187,44.4,45.9,1.7,3.0,2180.0,0,17.0,1.6,86.6,80.2,86.8,81.6,78.8,79.7,79.6,65.7,57.6,57.7,24,31,13.7,20.8,53,53,31,0,0,0,6,6,4,0,18,18,18,41,47,44,31,31,31,44.79,44.81,44.84,62,480,5.4,0,0,0
17.25,64,8.57,8.48,8.47,16,15,17,17.66,-2.7,0.08,0.08,205.7,10.7,196,1,3,1661,706,2032,1,2108,17.41,1839.6,1158,44.3,45.8,1.7,3.0,2067.6,0,16.83,1.6,86.5,80.0,86.7,81.5,78.7,79.8,79.5,65.7,57.6,57.7,24,31,13.7,20.8,52,53,31,0,0,0,6,6,4,0,18,18,18,41,47,43,31,31,31,44.79,44.81,44.83,62,480,5.5,0,0,0
17.42,64,9.58,9.52,9.51,13,13,10,17.75,-2.2,-0.03,0.07,205.4,12.9,196,1,3,1658,705,2026,-2,2106,17.78,1824.7,1131,44.2,45.9,1.6,3.0,2067.6,0,16.83,1.6,86.3,80.0,86.5,81.5,78.6,79.8,79.5,65.6,57.6,57.7,23,31,13.7,20.8,52,53,31,0,0,0,6,6,4,0,18,18,18,41,47,44,31,31,31,44.79,44.82,44.84,62,480,5.4,0,0,0
17.75,64,8.33,8.32,8.32,13,15,14,18.16,-1.9,-0.02,0.04,206.0,11.7,194,1,3,1664,706,2036,1,2112,17.92,1816.4,1129,44.1,45.8,1.7,3.0,2067.6,0,16.83,1.6,86.7,80.4,87.2,81.7,78.8,79.9,79.9,65.9,57.7,57.7,25,31,13.7,20.8,52,53,31,0,0,0,6,6,4,0,18,18,18,41,47,44,31,31,31,44.79,44.81,44.84,62,480,5.4,0,0,0
17.48,64,9.27,9.21,9.21,15,18,17,17.86,-2.6,-0.02,0.0,205.4,11.0,196,1,3,1665,704,2033,-4,2110,17.66,1825.5,1140,44.2,45.9,1.7,3.0,2067.6,0,16.83,1.6,86.3,80.1,86.7,81.5,78.5,80.1,79.5,65.6,57.6,57.7,24,31,13.7,20.8,52,53,31,0,0,0,6,6,4,0,18,18,18,41,47,43,31,31,31,44.79,44.81,44.84,62,480,5.4,0,0,0
17.87,64,7.89,7.85,7.83,18,18,18,18.16,-5.0,0.29,0.31,205.5,10.1,196,1,3,1757,706,2149,2,2227,18.05,1938.3,1181,44.2,45.8,1.7,3.0,2180.0,0,17.0,1.6,86.5,80.2,86.8,81.6,78.7,79.7,79.6,65.7,57.6,57.7,24,31,13.7,20.8,53,53,31,0,0,0,6,6,4,0,18,18,18,41,47,44,31,31,31,44.79,44.81,44.83,62,480,5.4,0,0,0
16.77,64,8.78,8.72,8.75,16,15,15,17.69,-5.1,0.04,0.03,205.6,11.1,196,1,3,1666,706,2040,2,2112,17.59,1831.1,1146,44.2,45.9,1.7,3.1,2067.6,0,16.83,1.6,86.6,80.2,86.8,81.6,78.7,79.8,79.6,65.7,57.6,57.7,24,31,13.7,20.8,53,53,31,0,0,0,6,6,4,0,18,18,18,41,47,44,31,31,31,44.79,44.81,44.84,62,480,5.4,0,0,0
17.0,64,8.09,8.0,8.0,13,15,13,17.25,-10.2,0.07,0.08,205.7,10.8,198,1,3,1740,707,2132,-8,2211,17.18,1949.7,1227,44.1,45.7,1.6,3.0,2180.0,0,17.0,1.6,86.6,80.2,87.0,81.7,78.7,80.1,79.7,65.7,57.6,57.7,23,31,13.7,20.8,53,53,31,0,0,0,6,6,4,0,18,18,18,41,47,44,31,31,31,44.79,44.81,44.84,62,470,5.4,0,0,0
17.73,64,8.92,8.86,8.86,13,17,18,18.16,-8.3,-0.05,0.03,205.5,9.7,197,1,3,1754,706,2145,-5,2227,17.94,1941.3,1183,44.1,45.8,1.6,3.0,2180.0,0,17.0,1.6,86.4,80.0,86.7,81.5,78.6,79.8,79.6,65.7,57.6,57.7,24,31,13.7,20.8,53,53,31,0,0,0,6,6,4,0,18,18,18,41,47,43,31,31,31,44.79,44.82,44.84,62,480,5.4,0,0,0
17.33,64,7.13,7.15,7.14,10,14,11,17.68,-5.1,0.08,0.19,204.9,11.4,197,1,3,1752,706,2146,2,2234,17.5,1966.7,1215,44.2,45.8,1.6,3.0,2180.0,0,17.0,1.6,86.6,80.1,87.0,81.7,78.7,80.0,79.7,65.7,57.6,57.7,24,31,13.7,20.8,53,53,31,0,0,0,6,6,4,0,18,18,18,41,47,44,31,31,31,44.79,44.81,44.84,62,480,5.4,0,0,0
17.78,64,7.9,7.83,7.83,18,17,16,18.23,-3.1,0.08,0.24,205.8,11.5,195,1,3,1763,705,2155,2,2241,18.16,1943.3,1177,44.2,45.9,1.7,3.0,2180.0,0,17.0,1.6,86.5,80.1,86.8,81.6,78.7,79.7,79.7,65.7,57.7,57.7,24,31,13.7,20.8,53,53,31,0,0,0,6,6,4,0,18,18,18,41,47,44,31,31,31,44.79,44.82,44.83,63,480,5.4,0,0,0
17.01,64,8.65,8.6,8.61,17,13,15,17.47,-1.5,0.09,0.05,205.5,9.8,196,1,3,1650,705,2018,1,2101,17.24,1837.1,1162,44.1,45.8,1.7,3.1,2067.6,0,16.83,1.6,86.7,80.3,87.1,81.7,78.8,79.9,79.9,65.8,57.6,57.7,24,31,13.7,20.8,52,53,31,0,0,0,6,6,4,0,18,18,18,41,47,44,31,31,31,44.79,44.81,44.84,62,480,5.4,0,0,0
17.76,64,8.51,8.47,8.47,18,16,18,17.99,-4.2,0.16,0.33,205.4,12.4,196,1,3,1750,707,2143,-8,2216,17.93,1923.5,1185,44.2,45.8,1.7,3.0,2180.0,0,17.0,1.6,86.6,80.1,86.9,81.6,78.6,79.9,79.7,65.7,57.6,57.7,24,31,13.7,20.8,52,53,31,0,0,0,6,6,4,0,18,18,18,41,47,44,31,31,31,44.79,44.82,44.84,62,480,5.4,0,0,0
