轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
12.44,16.0,9.3,9.27,9.26,13.2,12.3,15.2,12.81,-3.1,0.18,0.11,206.0,6.7,225.0,1.0,3.0,530.0,699.0,643.0,0.0,670.0,12.83,692.0,487.0,32.8,32.2,0.0,2.5,635.7,0.0,12.52,-13.5,4.1,1.1,5.5,2.3,2.3,2.3,2.2,3.7,32.5,32.2,5.0,13.0,-4.8,0.8,36.0,36.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,2.0,2.0,2.0,26.0,32.0,27.0,13.0,13.0,12.0,44.82,44.9,44.88,37.0,250.0,3.1,0.0,0.0,0.0
12.32,112.0,9.72,9.67,9.67,12.7,15.8,13.6,12.82,-15.2,0.09,0.14,206.7,8.7,226.0,1.0,3.0,532.0,699.0,646.0,1.0,675.0,12.93,690.0,486.0,33.0,32.4,0.0,2.5,635.7,0.0,12.52,-13.6,3.7,0.7,5.0,2.0,2.0,1.7,1.8,3.3,32.3,32.0,4.0,13.0,-4.9,0.8,36.0,36.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,2.0,2.0,2.0,26.0,32.0,27.0,13.0,13.0,12.0,44.83,44.89,44.88,37.0,250.0,3.0,0.0,0.0,0.0
12.52,288.0,9.46,9.44,9.4,15.6,13.2,17.7,12.74,-10.7,0.13,0.1,206.4,8.6,227.0,1.0,3.0,530.0,699.0,643.0,-3.0,673.0,12.93,689.5,485.0,33.0,32.5,0.0,2.5,635.7,0.0,12.52,-13.4,4.1,1.3,5.1,2.2,2.5,1.8,2.3,3.7,32.6,32.2,5.0,13.0,-4.8,0.8,36.0,36.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,2.0,2.0,2.0,26.0,32.0,27.0,13.0,13.0,12.0,44.83,44.9,44.88,37.0,240.0,3.1,0.0,0.0,0.0
12.2,32.0,9.35,9.39,9.38,11.0,15.3,17.6,12.68,-9.5,0.08,0.14,206.2,8.9,228.0,1.0,3.0,533.0,699.0,646.0,-3.0,681.0,12.78,701.6,493.0,29.8,29.4,0.0,2.5,642.8,0.0,12.56,-13.5,3.8,1.3,5.2,2.0,2.1,1.9,2.0,3.5,32.4,32.1,5.0,13.0,-4.9,0.8,33.0,33.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,2.0,2.0,2.0,26.0,32.0,27.0,13.0,13.0,12.0,44.83,44.9,44.88,37.0,240.0,2.9,0.0,0.0,0.0
12.31,312.0,9.88,9.82,9.82,11.6,11.7,11.4,12.78,-10.9,0.09,0.14,206.4,8.7,228.0,1.0,3.0,536.0,699.0,651.0,-3.0,677.0,12.89,695.0,488.0,28.6,29.8,0.0,2.5,639.7,0.0,12.54,-13.6,3.8,1.2,5.1,2.0,2.0,2.3,1.8,3.2,32.4,32.1,5.0,13.0,-4.8,0.8,33.0,32.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,2.0,2.0,2.0,26.0,32.0,27.0,13.0,13.0,12.0,44.82,44.9,44.88,37.0,250.0,2.9,0.0,0.0,0.0
12.35,56.0,9.56,9.56,9.56,12.0,12.5,12.0,12.5,-4.4,0.03,0.15,206.3,8.6,226.0,1.0,3.0,526.0,699.0,638.0,3.0,673.0,12.68,696.8,490.0,31.1,30.7,0.0,2.5,635.7,0.0,12.52,-13.5,4.0,1.0,5.2,2.1,2.3,1.9,2.0,3.6,32.4,32.1,5.0,13.0,-4.8,0.8,34.0,34.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,2.0,2.0,2.0,26.0,32.0,27.0,13.0,13.0,12.0,44.83,44.89,44.88,37.0,250.0,3.1,0.0,0.0,0.0
12.43,40.0,8.61,8.59,8.59,11.7,11.1,11.1,12.73,-8.6,0.14,0.15,206.5,6.6,228.0,1.0,3.0,531.0,699.0,644.0,0.0,673.0,12.82,694.4,487.0,29.0,28.9,0.0,2.5,635.7,0.0,12.52,-13.4,4.2,1.2,5.4,2.3,2.5,2.1,2.3,3.7,32.6,32.3,5.0,13.0,-4.8,0.8,32.0,32.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,2.0,2.0,2.0,26.0,32.0,27.0,13.0,13.0,12.0,44.83,44.9,44.88,37.0,240.0,3.1,0.0,0.0,0.0
12.56,232.0,8.25,8.18,8.18,11.9,10.9,11.3,12.71,-10.7,0.08,0.12,206.2,7.6,229.0,1.0,3.0,531.0,699.0,644.0,1.0,677.0,12.9,691.7,486.0,31.0,30.3,0.0,2.5,635.7,0.0,12.52,-13.4,4.3,1.7,5.6,2.5,2.5,2.4,2.3,3.8,32.6,32.3,5.0,13.0,-4.8,0.8,34.0,34.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,2.0,2.0,2.0,26.0,32.0,27.0,13.0,13.0,12.0,44.83,44.9,44.88,37.0,250.0,3.1,0.0,0.0,0.0
12.54,48.0,10.08,10.03,10.02,11.9,10.6,10.4,12.82,-11.3,0.1,0.13,206.2,8.1,229.0,1.0,3.0,534.0,699.0,648.0,1.0,682.0,12.94,695.1,489.0,29.6,29.0,0.0,2.5,641.8,0.0,12.56,-13.6,3.8,0.9,5.1,2.0,2.1,1.9,2.0,3.5,32.4,32.0,4.0,13.0,-4.9,0.8,32.0,32.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,2.0,2.0,2.0,26.0,32.0,27.0,13.0,13.0,12.0,44.82,44.89,44.88,37.0,240.0,3.0,0.0,0.0,0.0
12.36,320.0,8.5,8.42,8.43,11.2,10.7,10.6,12.5,-7.3,0.03,0.12,206.7,8.0,229.0,1.0,3.0,529.0,699.0,642.0,0.0,672.0,12.74,696.1,489.0,30.1,29.6,0.0,2.5,635.7,0.0,12.52,-13.4,4.3,1.2,5.6,2.4,2.5,2.2,2.3,3.8,32.6,32.2,4.0,13.0,-4.8,0.8,33.0,33.0,31.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,2.0,2.0,2.0,26.0,32.0,27.0,13.0,13.0,12.0,44.83,44.9,44.88,37.0,250.0,3.1,0.0,0.0,0.0
