轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
12.73,240,0.37,0.3,0.31,11,12,12,12.94,-2.4,0.09,0.14,207.1,6.5,230,1,3,523,705,640,7,666,12.86,694.7,493,30.7,31.3,1.4,2.8,2180,0,17,13.0,33.7,31.6,34.1,32.4,32.6,32.2,31.8,32.1,50.1,50.0,31,39,21.5,28.1,34,34,36,0,0,0,6,6,4,0,27,27,27,39,49,41,39,39,40,44.77,44.78,44.81,68,590,6.2,0,0,0
12.93,32,0.24,0.21,0.21,12,14,13,13.12,-7.9,0.08,0.14,207.1,6.2,234,1,3,535,706,656,-8,689,13.02,712.9,505,31.7,32.6,1.4,2.8,2180,0,17,13.0,33.6,31.5,34.0,32.3,32.6,32.1,31.7,32.0,50.1,50.1,31,39,21.5,28.1,35,35,35,0,0,0,6,6,4,0,27,27,27,39,49,41,39,39,40,44.77,44.77,44.81,69,610,6.3,0,0,0
12.79,172,0.37,0.3,0.31,11,13,12,13.09,-3.5,0.09,0.14,207.2,6.8,232,1,3,537,706,658,4,688,12.97,713.6,504,31.7,32.4,1.4,2.8,2180,0,17,13.0,33.6,31.4,34.0,32.3,32.6,32.1,31.7,32.0,50.1,50.0,32,39,21.5,28.1,35,35,35,0,0,0,6,6,4,0,27,27,27,39,49,41,39,39,40,44.77,44.77,44.81,69,600,6.2,0,0,0
12.31,288,0.24,0.24,0.25,12,13,12,12.72,-8.6,0.09,0.14,206.7,5.6,233,1,3,487,704,596,-8,630,12.58,666.8,473,28.5,29.3,1.3,2.8,2180,0,17,13.1,33.3,31.4,33.7,32.1,32.3,32.0,31.5,31.9,50.1,49.9,31,39,21.5,28.3,32,31,35,0,0,0,6,6,4,0,27,27,27,39,49,41,39,39,40,44.77,44.78,44.81,67,590,6.2,0,0,0
12.9,44,0.24,0.21,0.21,12,14,12,13.19,-7.5,0.1,0.13,207.3,6.8,235,1,3,551,706,675,0,710,13.05,720.1,517,32.5,32.4,1.4,2.9,2180,0,17,13.1,33.5,31.4,33.9,32.3,32.5,32.0,31.6,32.0,50.1,49.9,31,39,21.5,28.1,36,35,35,0,0,0,6,6,4,0,27,27,27,39,49,41,39,39,40,44.78,44.78,44.81,69,600,6.3,0,0,0
11.52,320,0.24,0.19,0.2,12,15,13,11.89,-2.7,0.09,0.14,206.8,5.4,230,1,3,403,704,493,-12,514,11.78,576.3,416,33.2,33.0,1.4,2.9,2180,0,17,13.2,33.4,31.3,33.8,32.1,32.4,31.9,31.5,31.9,50.0,49.9,31,39,21.5,28.3,35,35,35,0,0,0,6,6,4,0,27,27,27,39,49,41,39,39,40,44.77,44.78,44.81,68,610,6.3,0,0,0
12.16,352,0.24,0.24,0.25,12,14,12,12.52,-6.9,0.08,0.14,206.9,6.8,232,1,3,480,704,587,-3,612,12.5,655.9,464,29.6,29.4,1.3,2.8,2180,0,17,13.1,33.4,31.3,33.7,32.1,32.4,31.9,31.5,31.9,50.1,49.9,31,39,21.5,28.2,32,32,35,0,0,0,6,6,4,0,27,27,27,39,49,41,39,39,40,44.77,44.77,44.81,68,590,6.2,0,0,0
12.63,104,0.37,0.3,0.31,11,13,12,12.99,-1.5,0.09,0.14,207.1,6.4,231,1,3,530,705,649,4,673,12.91,700.9,501,31.5,32.1,1.4,2.8,2180,0,17,13.0,33.6,31.6,34.0,32.4,32.6,32.1,31.7,32.1,50.1,50.0,31,39,21.5,28.1,35,34,35,0,0,0,6,6,4,0,27,27,27,39,49,41,39,39,40,44.78,44.78,44.81,68,590,6.2,0,0,0
12.72,164,0.37,0.3,0.31,11,12,11,12.88,-9.8,0.08,0.14,207.0,6.0,232,1,3,517,705,633,4,658,12.8,688.8,492,30.0,30.6,1.3,2.8,2180,0,17,13.0,33.7,31.7,34.1,32.4,32.6,32.3,31.8,32.1,50.2,50.0,31,39,21.5,28.1,33,33,36,0,0,0,6,6,4,0,27,27,27,39,49,41,39,39,40,44.77,44.77,44.81,67,590,6.2,0,0,0
12.46,72,0.37,0.38,0.39,11,11,11,12.65,-5.7,0.08,0.14,207.0,6.5,232,1,3,487,704,595,2,617,12.53,654.6,466,29.3,30.0,1.3,2.9,2180,0,17,13.1,33.3,31.2,33.7,32.0,32.3,31.9,31.5,31.9,50.1,49.9,31,39,21.5,28.3,32,32,35,0,0,0,6,6,4,0,27,27,27,39,49,41,39,39,40,44.78,44.78,44.81,68,590,6.1,0,0,0
