轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
12.37,200,10.84,10.92,10.92,13,12,13,12.65,-5.6,0.11,0.16,208.0,8.2,239,1,3,539,702,657,-3,673,12.45,739.5,519,29.0,29.4,1.3,2.8,682.5,0,12.81,17.9,51.3,48.6,51.8,48.0,47.3,47.7,48.3,49.1,56.7,56.6,34,41,27.7,33.8,32,32,36,0,0,0,6,6,4,0,28,28,28,44,50,46,41,41,41,44.77,44.77,44.81,69,570,6.3,0,0,0
12.87,336,9.15,9.1,9.11,11,11,12,13.18,-10.2,0.11,0.1,208.0,10.0,237,1,3,543,703,663,0,698,13.01,727.4,509,29.3,30.0,1.3,2.8,682.5,0,12.81,17.9,52.3,49.8,52.9,48.9,48.3,48.8,49.6,50.3,56.8,56.6,35,41,27.7,33.8,33,33,36,0,0,0,6,6,4,0,28,28,28,44,50,46,41,41,40,44.78,44.77,44.81,69,570,6.2,0,0,0
12.81,96,11.4,11.38,11.37,14,15,14,12.98,-9.6,0.12,0.09,207.9,10.6,244,1,3,542,703,662,-2,684,12.94,724.9,508,29.1,29.7,1.4,2.8,682.5,0,12.81,17.9,51.9,49.0,52.3,48.4,47.9,48.1,48.9,49.7,56.8,56.6,34,41,27.7,33.8,33,32,36,0,0,0,6,6,4,0,28,28,28,44,50,46,41,41,41,44.77,44.77,44.81,69,580,6.2,0,0,0
12.62,208,9.81,9.72,9.72,10,10,10,12.81,2.1,0.08,0.13,207.9,6.0,236,1,3,542,703,662,0,689,12.72,739.0,515,29.0,29.5,1.3,2.8,682.5,0,12.81,17.8,51.3,48.7,51.9,48.0,47.3,47.7,48.3,49.1,56.7,56.5,35,41,27.7,33.8,32,32,36,0,0,0,6,6,4,0,28,28,28,44,50,46,41,41,40,44.77,44.77,44.81,69,570,6.3,0,0,0
12.58,184,10.35,10.38,10.37,11,11,11,12.75,-11.5,0.07,0.13,208.2,8.5,242,1,3,536,704,656,0,680,12.65,739.0,517,29.3,30.0,1.3,2.8,682.5,0,12.81,17.9,52.1,49.5,52.7,48.7,48.2,48.5,49.3,50.1,56.8,56.6,34,41,27.7,33.8,33,32,36,0,0,0,6,6,4,0,28,28,28,44,50,46,41,41,40,44.77,44.77,44.81,69,580,6.2,0,0,0
12.47,120,8.4,8.4,8.41,11,11,13,12.82,-1.7,0.07,0.18,208.0,7.1,235,1,3,541,704,661,1,677,12.76,733.4,512,29.4,30.2,1.3,2.8,682.5,0,12.81,17.9,52.3,49.6,52.9,48.9,48.3,48.7,49.6,50.3,56.8,56.6,34,41,27.7,33.8,33,33,36,0,0,0,6,6,4,0,28,28,28,44,50,46,41,41,41,44.78,44.77,44.81,69,570,6.3,0,0,0
12.9,192,10.71,10.67,10.67,10,11,11,13.08,-4.5,0.02,0.13,207.8,8.5,238,1,3,552,704,674,2,702,13.05,725.5,508,29.0,29.5,1.3,2.8,682.5,0,12.81,17.8,51.2,48.4,51.8,47.9,47.2,47.7,48.2,49.1,56.7,56.6,34,41,27.7,33.8,33,32,36,0,0,0,6,6,4,0,28,28,28,44,50,46,41,41,40,44.78,44.77,44.81,69,580,6.2,0,0,0
13.1,0,12.34,12.27,12.27,13,12,12,13.38,-6.5,0.07,0.1,208.1,8.3,243,1,3,548,703,669,-4,696,13.22,715.3,502,29.0,29.5,1.3,2.8,682.5,0,12.81,17.8,51.5,48.7,52.0,48.1,47.5,47.8,48.5,49.3,56.7,56.6,35,41,27.7,33.8,33,32,36,0,0,0,6,6,4,0,28,28,28,44,50,46,41,41,40,44.78,44.77,44.81,69,570,6.2,0,0,0
12.7,248,9.15,9.1,9.1,10,10,10,12.84,-15.7,0.03,0.13,208.0,9.1,244,1,3,542,703,661,4,679,12.75,737.8,515,29.2,29.7,1.3,2.8,682.5,0,12.81,17.9,51.9,49.1,52.4,48.5,47.9,48.3,49.0,49.8,56.8,56.6,34,41,27.7,33.8,33,32,36,0,0,0,6,6,4,0,28,28,28,44,50,46,41,41,40,44.78,44.77,44.81,69,570,6.3,0,0,0
12.4,280,11.73,11.69,11.69,12,14,12,12.9,-14.4,0.04,0.11,208.1,11.3,245,1,3,534,703,652,-5,680,12.74,732.1,513,29.1,29.5,1.4,2.8,682.5,0,12.81,17.8,51.4,48.6,52.0,48.0,47.5,47.8,48.5,49.3,56.7,56.6,34,41,27.7,33.8,33,32,36,0,0,0,6,6,4,0,28,28,28,44,50,46,41,41,41,44.78,44.77,44.81,69,580,6.2,0,0,0
