轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
17.43,64,5.99,5.93,5.91,13,11,13,17.89,-3.5,0.08,0.23,208.5,10.8,212,1,3,1657,716,2058,5,2115,17.88,1895.0,1124,42.2,43.9,0,2.8,2090.0,0,16.83,2.9,79.5,72.6,78.9,74.8,72.5,73.1,70.3,57.1,56.1,56.3,23,30,13.8,20.9,51,52,49,0,0,0,6,6,4,0,16,16,17,41,46,42,30,30,30,44.8,44.82,44.84,61,470,5.3,0,0,0
17.81,64,4.7,4.6,4.67,16,17,12,18.49,-4.2,0.16,0.18,208.9,12.4,206,1,3,1624,718,2022,-1,2106,18.25,1814.2,1111,41.5,43.2,0,2.8,2067.6,0,16.83,2.9,78.1,71.3,77.5,73.6,71.1,71.8,69.3,56.2,56.1,56.1,23,30,13.7,20.9,51,51,49,0,0,0,6,6,4,0,16,16,16,40,46,42,30,30,30,44.79,44.82,44.84,61,470,5.3,0,0,0
16.85,64,2.02,2.09,2.09,15,15,14,16.83,-0.2,0.1,0.17,209.1,11.3,209,1,3,1718,719,2141,8,2214,16.91,1958.6,1236,41.7,43.5,0,2.8,2180.0,0,17.0,2.9,78.5,71.6,77.9,73.9,71.5,72.3,69.6,56.5,56.1,56.2,22,30,13.7,20.9,50,51,49,0,0,0,6,6,4,0,16,16,17,40,46,42,30,30,30,44.8,44.82,44.84,62,480,5.4,0,0,0
16.45,64,0.25,0.22,0.22,13,13,15,16.74,5.0,0.08,0.22,209.6,12.0,213,1,3,1512,718,1883,-4,1973,16.61,1739.5,1121,40.9,42.6,0,2.8,2180.0,0,17.0,2.9,77.0,70.1,76.3,72.4,70.0,70.8,68.7,55.6,56.1,56.2,23,29,13.7,20.9,50,50,50,0,0,0,6,6,4,0,16,16,16,40,46,42,29,29,30,44.79,44.82,44.84,61,470,5.3,0,0,0
17.64,64,4.98,4.87,4.89,10,11,11,18.13,-0.3,0.03,0.03,209.0,9.4,208,1,3,1655,718,2060,0,2120,18.07,1813.2,1111,41.6,43.3,0,2.8,2067.6,0,16.83,2.9,78.3,71.5,77.8,73.7,71.2,72.3,69.4,56.2,56.1,56.2,23,30,13.7,20.9,50,51,49,0,0,0,6,6,4,0,16,16,17,40,46,42,30,30,30,44.8,44.82,44.84,61,480,5.3,0,0,0
15.43,64,0.24,0.2,0.2,13,15,11,15.81,18.1,0.03,0.21,209.4,9.1,207,1,3,1262,716,1567,-6,1619,15.8,1431.5,989,40.7,42.3,0,2.8,2180.0,0,17.0,2.9,76.7,70.1,76.1,72.1,69.6,70.7,68.9,55.7,56.0,56.2,23,29,13.8,20.9,48,48,50,0,0,0,6,6,4,0,16,16,16,40,46,42,29,29,30,44.8,44.82,44.84,61,470,5.1,0,0,0
16.59,64,0.53,0.53,0.52,11,12,10,16.87,11.5,0.0,0.09,27.3,10.7,202,1,3,1587,718,1976,-3,2044,16.86,1804.7,1168,41.4,42.8,0,2.8,2180.0,0,17.0,2.9,77.8,71.0,77.2,73.2,70.6,71.9,69.0,56.0,56.1,56.2,23,30,13.7,20.9,50,50,49,0,0,0,6,6,4,1,16,16,16,40,46,42,30,30,30,44.8,44.82,44.84,60,470,5.3,0,0,0
16.25,64,0.24,0.26,0.26,15,12,14,16.77,-0.7,0.09,0.19,208.4,13.0,210,1,3,1572,717,1954,-7,1992,16.71,1761.7,1150,42.6,44.4,0,2.7,2180.0,0,17.0,2.9,80.3,73.4,79.8,75.7,73.2,74.2,71.1,57.9,56.1,56.3,23,29,13.8,20.9,51,52,49,0,0,0,6,6,4,0,16,16,17,41,46,42,29,29,30,44.8,44.82,44.84,62,480,5.4,0,0,0
15.64,64,0.24,0.2,0.2,14,15,11,15.77,11.7,0.06,0.07,209.2,8.9,210,1,3,1273,715,1579,-6,1628,15.77,1457.5,989,40.7,42.3,0,2.8,2180.0,0,17.0,2.9,76.7,70.1,75.9,72.1,69.7,70.3,68.9,55.8,56.0,56.2,24,29,13.8,20.9,48,48,50,0,0,0,6,6,4,0,16,16,16,40,46,42,29,29,30,44.8,44.82,44.84,61,470,5.1,0,0,0
17.26,64,4.58,4.51,4.52,17,19,18,17.56,-3.5,0.01,0.09,209.0,11.6,214,1,3,1700,717,2113,-4,2207,17.49,1961.6,1217,42.1,43.8,0,2.7,2180.0,0,17.0,2.9,79.3,72.4,78.7,74.6,72.1,73.2,70.1,56.9,56.1,56.3,23,30,13.8,20.9,51,51,49,0,0,0,6,6,4,0,16,16,17,40,46,42,30,30,30,44.8,44.83,44.84,62,470,5.4,0,0,0
