轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
9.64,208,0.25,0.25,0.24,11.1,10.6,12.5,9.8,-4.1,0.11,0.21,208.2,4.0,285,1,1,248,677,292,-3,311,9.95,409.6,284,29.6,29.8,0,2.7,2067.6,0,16.83,24.8,35.6,32.6,36.0,32.2,32.5,32.2,32.9,33.6,53.4,53.4,35,42,28.4,32.5,32,32,35,0,0,0,6,6,4,0,29,29,29,38,45,42,42,42,40,44.79,44.82,44.82,66,560,6.4,0,0,0
8.36,108,0.25,0.25,0.24,10.7,11.9,11.4,8.89,6.6,0.09,0.13,208.0,4.6,285,1,1,185,675,217,-5,231,9.0,335.1,233,29.8,29.9,0,2.7,2067.6,0,16.83,24.8,35.7,32.5,36.1,32.3,32.6,32.1,32.9,33.6,53.4,53.3,34,42,28.4,32.5,32,32,35,0,0,0,6,6,4,0,29,29,29,38,45,42,42,42,40,44.79,44.81,44.82,65,570,6.3,0,0,0
7.26,132,0.25,0.25,0.24,10.6,10.4,12.6,7.33,1.2,0.16,0.19,208.2,3.0,282,1,1,46,674,55,-3,56,7.44,129.8,79,29.9,29.8,0,2.7,1187.8,0,15.41,24.8,35.7,32.6,36.2,32.3,32.6,32.3,33.0,33.7,53.3,53.3,34,42,28.4,32.6,31,31,35,0,0,0,6,6,4,0,29,29,29,38,45,42,42,42,40,44.79,44.82,44.83,65,570,6.3,0,0,0
7.35,192,0.25,0.25,0.24,11.4,10.4,12.0,7.47,17.1,0.03,0.14,209.0,3.2,273,1,1,45,675,53,5,60,7.62,139.6,81,29.9,30.0,0,2.7,1248.5,0,15.57,24.6,35.7,32.6,36.0,32.3,32.6,32.3,33.0,33.7,53.4,53.4,34,42,28.2,32.5,31,31,35,0,0,0,6,6,4,0,29,29,29,39,45,42,42,42,40,44.79,44.82,44.83,66,550,6.3,0,0,0
7.09,196,0.25,0.25,0.24,10.8,10.4,12.3,7.18,1.3,-0.14,0.08,208.6,0.3,271,1,1,1,673,0,-2,2,7.32,24.9,2,29.9,29.8,0,2.7,425.4,0,10.95,24.9,35.7,32.4,36.1,32.2,32.5,32.2,32.9,33.6,53.3,53.3,34,42,28.4,32.6,30,31,35,0,0,0,6,6,4,0,29,29,29,39,45,42,42,42,40,44.79,44.81,44.83,66,560,6.3,0,0,0
6.89,268,0.25,0.25,0.24,10.4,11.7,10.9,7.31,6.6,0.16,0.11,208.2,0.9,282,1,1,0,672,0,1,0,7.27,25.2,4,30.2,30.1,0,2.6,152.7,0,7.77,24.9,35.7,32.5,36.1,32.3,32.5,32.3,32.9,33.6,53.4,53.3,34,42,28.4,32.6,30,31,35,0,0,0,6,6,4,0,29,29,29,38,45,42,42,42,40,44.79,44.82,44.82,65,560,6.3,0,0,0
9.52,64,0.25,0.25,0.24,12.0,10.9,11.7,9.85,-0.3,0.13,0.14,208.1,5.0,281,1,1,239,677,281,-2,293,9.84,388.8,277,29.9,29.8,0,2.6,2067.6,0,16.83,24.7,35.6,32.4,36.1,32.2,32.5,32.2,32.9,33.6,53.4,53.4,35,42,28.4,32.5,31,31,35,0,0,0,6,6,4,0,29,29,29,38,45,42,42,42,40,44.79,44.81,44.82,65,560,6.3,0,0,0
7.14,300,0.33,0.32,0.31,10.4,10.9,10.8,7.29,41.3,0.08,0.13,208.0,1.6,260,1,1,20,673,24,1,23,7.32,38.4,33,29.8,29.8,0,2.6,362.1,0,10.37,24.9,35.7,32.6,36.1,32.2,32.5,32.2,32.9,33.5,53.3,53.3,35,42,28.4,32.6,30,31,35,0,0,0,6,6,4,0,29,29,29,38,45,42,42,42,40,44.79,44.81,44.82,65,550,6.3,0,0,0
6.86,80,0.25,0.25,0.24,10.9,10.4,12.3,7.34,-8.1,-0.01,0.13,208.7,2.7,276,1,1,45,674,53,0,55,7.49,104.4,59,29.8,29.8,0,2.7,866.5,0,13.88,24.6,35.6,32.6,36.1,32.2,32.5,32.2,33.0,33.7,53.4,53.4,35,42,28.2,32.5,30,31,35,0,0,0,6,6,4,0,29,29,29,39,45,42,42,42,40,44.79,44.82,44.82,65,570,6.3,0,0,0
7.01,268,0.25,0.25,0.24,10.9,10.4,12.1,7.14,-14.6,0.03,0.09,208.3,0.3,265,1,1,1,673,2,2,-4,7.2,24.7,0,29.8,29.7,0,2.7,425.4,0,10.95,24.9,35.7,32.5,36.2,32.3,32.5,32.2,32.9,33.6,53.4,53.4,34,43,28.4,32.6,30,31,35,0,0,0,6,6,4,0,29,29,29,38,45,42,43,43,40,44.79,44.82,44.83,66,560,6.3,0,0,0
8.52,184,0.25,0.25,0.24,10.5,11.3,11.6,8.83,10.3,0.0,0.16,208.4,6.0,278,1,1,173,676,204,-4,219,8.99,317.3,230,29.9,30.0,0,2.6,1562.7,0,16.07,24.6,35.5,32.4,36.0,32.2,32.5,32.2,33.0,33.6,53.4,53.4,34,42,28.4,32.5,31,31,35,0,0,0,6,6,4,0,29,29,29,38,45,42,42,42,40,44.79,44.82,44.82,65,560,6.3,0,0,0
