轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
12.12,288,0.37,0.35,0.35,12.0,11.6,12.4,12.34,7.3,0.11,0.12,210.4,7.0,237,1,1,477,685,567,-2,597,12.45,641.5,449,28.8,29.4,0,2.6,2067.6,0,16.83,19.0,32.3,29.3,32.5,30.2,30.5,30.2,29.3,29.9,49.7,49.8,30,38,22.0,26.5,32,32,34,0,0,0,6,6,4,0,26,26,27,38,44,39,38,38,37,44.8,44.82,44.83,62,520,5.8,0,0,0
12.31,96,0.37,0.35,0.35,12.0,11.8,12.4,12.58,-5.8,0.03,0.14,210.1,7.3,246,1,1,505,684,600,-8,634,12.7,674.4,460,30.5,31.0,0,2.6,2067.6,0,16.83,18.9,32.0,28.9,32.3,30.1,30.3,29.8,29.1,29.6,49.7,49.7,30,38,22.0,26.5,33,33,34,0,0,0,6,6,4,0,26,27,27,38,44,39,38,38,37,44.8,44.82,44.83,63,520,5.8,0,0,0
11.23,256,0.25,0.25,0.25,12.0,14.1,13.7,11.37,5.6,0.05,0.14,210.0,4.8,235,1,1,378,682,448,1,475,11.55,546.3,381,32.2,32.6,0,2.6,2067.6,0,16.83,18.8,31.8,28.7,32.0,29.9,30.1,29.6,28.9,29.4,49.6,49.6,31,38,21.8,26.5,34,34,34,0,0,0,6,6,4,0,26,27,27,38,44,39,38,38,37,44.8,44.82,44.83,62,520,5.8,0,0,0
9.94,212,0.2,0.23,0.23,11.3,12.0,11.3,10.33,1.6,0.09,0.13,209.9,4.8,249,1,1,281,683,334,-3,349,10.44,458.6,315,30.3,30.2,0,2.6,2067.6,0,16.83,18.7,31.6,28.5,31.8,29.7,29.9,29.4,28.7,29.3,49.6,49.6,30,38,21.8,26.3,33,32,34,0,0,0,6,6,4,0,26,27,27,38,44,39,38,38,37,44.79,44.82,44.83,62,520,5.8,0,0,0
10.22,16,0.37,0.35,0.35,11.4,11.3,11.7,11.13,2.5,0.07,0.14,210.3,6.3,243,1,1,359,684,427,4,454,11.35,529.8,365,29.5,29.9,0,2.6,2067.6,0,16.83,18.9,32.2,29.1,32.4,30.2,30.5,30.0,29.2,29.8,49.7,49.8,30,38,22.0,26.5,32,32,34,0,0,0,6,6,4,0,26,27,27,38,44,39,38,38,37,44.8,44.82,44.83,63,520,5.8,0,0,0
12.16,324,0.25,0.25,0.25,11.8,11.9,11.8,12.61,-1.0,0.11,0.14,210.1,7.7,240,1,1,516,684,613,-6,637,12.73,673.9,467,31.6,32.1,0,2.6,2067.6,0,16.83,18.9,31.8,28.8,32.0,29.9,30.1,29.7,28.9,29.5,49.6,49.7,31,38,21.9,26.5,34,34,34,0,0,0,6,6,4,0,26,27,27,38,44,39,38,38,37,44.79,44.82,44.83,63,520,5.8,0,0,0
10.43,132,0.2,0.23,0.23,11.1,11.1,11.3,10.59,4.4,0.06,0.1,210.0,4.8,243,1,1,313,683,373,0,388,10.75,490.4,335,31.2,31.1,0,2.6,2067.6,0,16.83,18.8,31.6,28.5,31.8,29.7,29.9,29.4,28.7,29.3,49.6,49.6,30,38,21.8,26.3,33,33,34,0,0,0,6,6,4,0,26,27,27,38,44,39,38,38,37,44.79,44.82,44.83,62,520,5.8,0,0,0
12.19,144,0.37,0.35,0.35,11.6,11.8,11.6,12.41,1.4,0.14,0.1,210.2,6.4,238,1,1,489,685,581,-2,609,12.59,655.5,452,28.9,29.4,0,2.6,2067.6,0,16.83,19.0,32.3,29.3,32.6,30.2,30.4,30.2,29.3,29.9,49.8,49.8,30,38,22.0,26.5,32,32,34,0,0,0,6,6,4,0,26,26,27,38,44,39,38,38,37,44.8,44.82,44.83,62,520,5.8,0,0,0
9.94,140,0.2,0.23,0.23,10.8,12.1,11.1,10.06,7.4,0.16,0.19,210.4,5.3,243,1,1,263,684,313,-2,328,10.21,425.0,297,31.0,30.7,0,2.6,2067.6,0,16.83,18.8,31.6,28.6,31.7,29.7,30.0,29.3,28.7,29.3,49.6,49.6,30,38,21.8,26.3,33,33,34,0,0,0,6,6,4,0,26,26,27,38,44,39,38,38,37,44.8,44.83,44.83,62,520,5.8,0,0,0
10.5,348,0.2,0.23,0.23,11.3,12.1,11.3,10.64,1.4,0.09,0.14,209.9,4.8,243,1,1,315,683,374,-8,400,10.81,487.6,338,31.4,31.1,0,2.7,2067.6,0,16.83,18.8,31.6,28.5,31.7,29.7,29.9,29.5,28.7,29.3,49.6,49.6,30,38,21.8,26.3,33,33,34,0,0,0,6,6,4,0,26,27,27,38,44,39,38,38,37,44.79,44.82,44.83,62,520,5.8,0,0,0
