轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
14.76,88,0.24,0.19,0.19,12,13,12,15.02,1.3,0.08,0.14,208.3,7.4,162,1,3,820,705,1002,-2,1053,14.92,958.7,671,33.3,34.0,1.4,2.8,2180.0,0.0,17.0,19.3,53.1,49.3,52.7,50.5,50.2,50.1,49.3,48.3,55.9,55.7,34,42,26,31.8,38,38,39,0,0,0,6,6,4,0,29,29,29,42,48,44,42,42,41,44.77,44.77,44.81,73,600,6.6,0,0,0
14.43,176,0.24,0.21,0.21,13,13,11,14.58,-0.8,0.09,0.15,208.4,7.1,165,1,3,763,704,931,-3,955,14.56,928.1,634,33.2,33.9,1.4,2.8,1793.7,0.0,16.42,19.4,53.1,49.3,52.7,50.4,50.2,50.0,49.5,48.6,55.8,55.6,34,42,26,31.8,37,37,39,0,0,0,6,6,4,0,29,29,29,42,48,44,42,42,41,44.77,44.77,44.81,71,590,6.5,0,0,0
13.55,208,0.28,0.22,0.2,13,14,14,14.08,0.2,0.12,0.16,208.8,7.5,164,1,3,695,704,849,-5,883,14.06,930.1,596,33.7,34.4,1.3,2.8,2012.8,0.0,16.75,19.4,53.5,49.7,53.1,50.9,50.5,50.6,49.6,48.7,55.7,55.6,34,42,26,31.8,38,37,39,0,0,0,6,6,4,0,29,29,29,42,48,44,42,42,41,44.77,44.77,44.81,71,590,6.5,0,0,0
15.01,168,0.37,0.3,0.3,14,15,15,15.21,-2.2,0.01,0.17,208.7,8.4,164,1,3,853,705,1044,-2,1094,15.12,970.2,688,33.4,33.8,1.4,2.9,2180.0,0.0,17.0,19.3,53.1,49.3,52.6,50.4,50.2,50.1,49.3,48.4,55.8,55.7,34,42,26,31.8,38,38,39,0,0,0,6,6,4,0,29,29,29,42,48,44,42,42,41,44.77,44.77,44.81,72,590,6.6,0,0,0
13.25,256,0.24,0.18,0.18,11,12,12,13.54,-4.8,-0.03,0.13,208.4,7.0,167,1,3,588,703,717,4,746,13.34,771.2,534,33.4,34.0,1.4,2.8,1825.8,0.0,16.47,19.4,53.3,49.4,52.7,50.6,50.4,50.1,49.6,48.7,55.8,55.6,34,42,26,31.8,37,36,39,0,0,0,6,6,4,0,29,29,29,42,48,44,42,42,41,44.77,44.77,44.81,71,590,6.5,0,0,0
13.48,336,0.24,0.18,0.18,12,12,12,13.76,-6.2,0.14,0.18,208.0,8.2,167,1,3,640,704,782,-7,801,13.64,949.8,562,33.5,34.2,1.4,2.8,1988.0,0.0,16.71,19.4,53.5,49.5,53.0,50.8,50.5,50.3,49.6,48.7,55.8,55.6,34,42,26,31.8,38,37,39,0,0,0,6,6,4,0,29,29,29,42,48,44,42,42,41,44.77,44.77,44.81,71,590,6.5,0,0,0
14.19,160,0.24,0.19,0.19,12,13,11,14.4,4.2,0.07,0.08,208.5,6.8,161,1,3,729,704,890,-6,923,14.32,926.8,621,33.4,34.0,1.4,2.8,2180.0,0.0,17.0,19.2,53.1,49.4,52.7,50.5,50.3,50.0,49.3,48.4,55.9,55.7,34,42,26,31.8,38,37,39,0,0,0,6,6,4,0,29,29,29,42,48,44,42,42,41,44.77,44.77,44.81,73,590,6.6,0,0,0
15.19,240,0.24,0.19,0.19,13,12,13,15.4,-0.7,0.12,0.19,208.2,6.8,163,1,3,902,705,1105,0,1148,15.33,1007.9,711,33.4,33.9,1.4,2.8,2180.0,0.0,17.0,19.3,53.1,49.4,52.6,50.5,50.2,50.1,49.3,48.3,55.9,55.7,34,42,26,31.8,38,38,39,0,0,0,6,6,4,0,29,29,29,42,48,44,42,42,41,44.77,44.77,44.81,73,590,6.6,0,0,0
14.7,248,0.24,0.21,0.21,13,12,12,15.08,1.1,0.08,0.13,208.7,8.4,163,1,3,833,704,1018,-6,1065,15.02,962.5,675,33.3,33.8,1.4,2.8,2180.0,0.0,17.0,19.4,53.0,49.2,52.5,50.4,50.1,49.9,49.4,48.5,55.8,55.6,34,42,26,31.8,38,37,39,0,0,0,6,6,4,0,29,29,29,42,48,44,42,42,41,44.77,44.77,44.8,72,590,6.5,0,0,0
14.67,240,0.24,0.21,0.21,12,13,12,15.05,0.8,0.06,0.09,208.3,7.6,163,1,3,830,705,1015,-6,1064,15.02,967.8,675,33.2,34.0,1.4,2.8,2180.0,0.0,17.0,19.4,53.0,49.3,52.6,50.4,50.1,49.9,49.4,48.5,55.8,55.6,34,42,26,31.8,38,37,39,0,0,0,6,6,4,0,29,29,29,42,48,44,42,42,41,44.77,44.77,44.8,71,590,6.5,0,0,0
13.68,128,0.24,0.2,0.19,12,12,13,13.97,-1.3,0.09,0.19,208.7,7.3,164,1,3,644,704,787,-3,807,13.78,936.3,568,33.6,34.1,1.4,2.9,1966.3,0.0,16.68,19.4,53.5,49.6,53.0,50.9,50.5,50.5,49.6,48.7,55.7,55.6,34,42,26,31.8,38,37,39,0,0,0,6,6,4,0,29,29,29,42,48,44,42,42,41,44.77,44.77,44.81,72,590,6.5,0,0,0
12.86,192,0.24,0.18,0.18,11,12,12,13.26,-4.5,0.11,0.12,208.3,7.7,167,1,3,558,703,681,-5,719,13.16,738.5,521,33.4,34.0,1.4,2.8,1842.3,0.0,16.49,19.4,53.3,49.5,52.8,50.7,50.5,50.2,49.6,48.7,55.8,55.6,34,42,26,31.8,37,36,39,0,0,0,6,6,4,0,29,29,29,42,48,44,42,42,41,44.77,44.77,44.8,71,590,6.4,0,0,0
14.9,32,0.25,0.22,0.22,14,14,14,15.11,-0.2,0.13,0.21,208.8,7.1,163,1,3,839,705,1026,4,1053,15.0,958.0,673,33.3,33.9,1.3,2.8,2180.0,0.0,17.0,19.4,53.0,49.3,52.5,50.4,50.1,49.9,49.3,48.5,55.8,55.6,34,42,26,31.8,38,37,39,0,0,0,6,6,4,0,29,29,29,42,48,44,42,42,41,44.77,44.77,44.81,72,590,6.5,0,0,0
13.9,152,0.24,0.21,0.2,13,13,13,14.28,-14.5,0.1,0.08,208.9,8.5,166,1,3,720,703,878,-3,915,14.24,931.1,609,33.8,34.4,1.4,2.9,2180.0,0.0,17.0,19.5,53.6,49.8,53.2,51.0,50.6,50.7,49.6,48.7,55.7,55.5,34,42,26,31.8,38,38,39,0,0,0,6,6,4,0,29,29,29,42,48,44,42,42,41,44.77,44.77,44.8,71,590,6.5,0,0,0
13.87,136,0.4,0.33,0.33,11,12,13,14.28,-1.9,0.06,0.1,208.2,8.3,165,1,3,688,703,839,-2,864,14.06,928.3,587,33.6,34.5,1.4,2.8,2177.6,0.0,17.0,19.4,53.5,49.7,53.1,50.9,50.6,50.4,49.6,48.7,55.7,55.6,34,42,26,31.8,38,37,39,0,0,0,6,6,4,0,29,29,29,42,48,44,42,42,41,44.77,44.77,44.8,71,590,6.5,0,0,0
14.57,240,0.24,0.2,0.2,13,12,12,15.0,12.1,0.05,0.14,208.9,7.4,168,1,3,819,706,1003,2,1041,14.9,951.9,664,33.9,34.6,1.4,2.8,2180.0,0.0,17.0,19.5,53.8,49.8,53.4,51.0,50.8,50.6,49.6,48.7,55.6,55.5,34,42,26,31.7,38,38,39,0,0,0,6,6,4,0,29,29,29,42,48,44,42,42,41,44.77,44.76,44.81,73,590,6.5,0,0,0
14.56,160,0.24,0.19,0.19,12,13,13,15.16,11.5,0.06,0.12,26.5,7.6,157,1,3,814,704,994,-2,1036,14.89,958.8,667,33.8,34.7,1.4,2.8,2180.0,0.0,17.0,19.5,53.7,49.9,53.2,51.0,50.7,50.6,49.6,48.7,55.6,55.5,34,42,26,31.8,38,38,39,0,0,0,6,6,4,1,29,29,29,42,48,44,42,42,41,44.77,44.77,44.8,73,590,6.5,0,0,0
14.37,240,0.25,0.22,0.22,12,12,14,14.88,10.2,0.03,0.14,208.7,7.6,167,1,3,777,706,952,5,988,14.69,945.9,645,33.9,34.7,1.4,2.8,2180.0,0.0,17.0,19.5,53.8,49.9,53.3,51.1,50.8,50.6,49.6,48.7,55.6,55.5,34,42,26,31.8,38,38,39,0,0,0,6,6,4,0,29,29,29,42,48,44,42,42,41,44.77,44.77,44.81,73,600,6.6,0,0,0
