轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
16.22,40.0,11.96,11.96,11.94,13.2,12.3,16.1,16.41,-2.7,0.46,0.33,207.5,9.2,244.0,1.0,3.0,930.0,695.0,1122.0,0.0,1171.0,16.75,983.1,640.0,30.9,32.3,0.0,2.6,223.0,0.0,8.82,8.6,41.5,38.8,43.0,38.6,38.3,38.5,39.6,39.9,52.7,52.5,24.0,33.0,15.5,20.9,41.0,42.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,20.0,20.0,38.0,44.0,39.0,33.0,33.0,31.0,44.8,44.85,44.83,61.0,480.0,5.4,0.0,0.0,0.0
15.79,288.0,0.24,0.19,0.19,12.9,13.0,15.5,16.25,-1.7,0.09,0.14,206.8,10.3,243.0,1.0,3.0,1407.0,699.0,1705.0,-2.0,1783.0,16.37,1513.7,1019.0,31.2,32.8,0.0,2.6,2180.0,0.0,17.0,8.4,43.5,40.9,45.0,40.6,40.2,40.4,41.1,41.3,52.8,52.6,24.0,33.0,15.5,21.0,39.0,40.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,20.0,20.0,38.0,44.0,39.0,33.0,33.0,31.0,44.8,44.85,44.83,61.0,480.0,5.5,0.0,0.0,0.0
16.12,176.0,7.72,7.6,7.6,10.8,10.5,10.7,16.33,-2.0,0.03,0.19,207.5,9.1,244.0,1.0,3.0,1223.0,696.0,1477.0,0.0,1543.0,16.61,1287.9,859.0,30.2,30.5,0.0,2.6,1440.1,0.0,15.88,8.6,40.5,37.8,41.9,37.6,37.1,37.5,39.4,39.9,52.6,52.4,25.0,33.0,15.5,21.1,35.0,35.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,19.0,19.0,37.0,44.0,39.0,33.0,33.0,31.0,44.8,44.85,44.83,60.0,470.0,5.4,0.0,0.0,0.0
15.22,304.0,0.24,0.2,0.21,12.5,12.6,15.5,15.53,0.2,0.14,0.07,206.9,8.4,238.0,1.0,3.0,1228.0,698.0,1486.0,-2.0,1562.0,15.67,1367.3,915.0,32.7,32.9,0.0,2.6,2180.0,0.0,17.0,8.4,42.4,39.9,44.0,39.6,39.1,39.5,40.4,40.6,52.8,52.6,24.0,33.0,15.5,20.9,40.0,40.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,20.0,20.0,38.0,44.0,39.0,33.0,33.0,31.0,44.8,44.85,44.83,61.0,480.0,5.5,0.0,0.0,0.0
15.63,304.0,0.33,0.26,0.26,15.4,17.6,15.2,16.02,-5.9,0.08,0.19,206.8,8.6,240.0,1.0,3.0,1373.0,698.0,1662.0,3.0,1734.0,16.28,1494.0,988.0,33.4,33.8,0.0,2.5,2180.0,0.0,17.0,8.4,42.7,40.1,44.2,39.9,39.3,39.9,40.6,40.7,52.8,52.5,24.0,33.0,15.5,21.0,41.0,41.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,20.0,20.0,38.0,44.0,39.0,33.0,33.0,31.0,44.8,44.85,44.83,61.0,470.0,5.5,0.0,0.0,0.0
14.16,0.0,0.25,0.19,0.21,12.2,14.1,12.4,14.33,-13.6,0.14,0.14,206.6,8.3,246.0,1.0,3.0,923.0,694.0,1110.0,4.0,1163.0,14.64,1093.9,733.0,33.0,33.4,0.0,2.5,2180.0,0.0,17.0,8.6,40.8,38.2,42.2,38.0,37.6,37.8,39.3,39.8,52.6,52.4,25.0,33.0,15.5,20.9,39.0,39.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,20.0,19.0,37.0,44.0,39.0,33.0,33.0,31.0,44.8,44.85,44.83,61.0,480.0,5.5,0.0,0.0,0.0
9.76,56.0,17.08,17.09,17.1,11.6,11.9,12.1,10.03,9.3,0.09,0.13,207.2,8.1,243.0,1.0,3.0,322.0,690.0,386.0,-3.0,409.0,10.08,522.2,376.0,29.8,30.8,0.0,2.6,549.4,0.0,11.92,8.7,41.1,38.6,42.6,38.2,37.8,38.1,39.7,39.9,52.6,52.4,24.0,33.0,15.5,21.1,33.0,33.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,19.0,19.0,37.0,44.0,39.0,33.0,33.0,31.0,44.8,44.85,44.83,59.0,470.0,5.3,0.0,0.0,0.0
15.78,56.0,0.25,0.18,0.19,13.9,16.6,14.1,16.18,-4.3,0.04,0.19,207.0,7.6,245.0,1.0,3.0,1457.0,700.0,1768.0,1.0,1847.0,16.44,1578.4,1048.0,29.7,31.3,0.0,2.5,2180.0,0.0,17.0,8.4,44.4,41.7,46.0,41.4,40.9,41.3,41.9,42.0,52.8,52.7,25.0,33.0,15.5,21.0,38.0,38.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,20.0,20.0,38.0,44.0,39.0,33.0,33.0,31.0,44.8,44.85,44.83,61.0,480.0,5.5,0.0,0.0,0.0
10.15,56.0,15.28,15.34,15.35,12.5,13.1,13.4,10.31,10.3,0.13,0.09,207.5,8.8,243.0,1.0,3.0,272.0,689.0,326.0,5.0,344.0,10.41,454.8,303.0,29.9,30.9,0.0,2.6,549.4,0.0,11.92,8.7,41.1,38.6,42.6,38.2,37.8,38.0,39.7,40.0,52.6,52.4,24.0,33.0,15.5,21.1,33.0,33.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,19.0,19.0,37.0,44.0,39.0,33.0,33.0,31.0,44.8,44.85,44.83,59.0,470.0,5.3,0.0,0.0,0.0
14.62,352.0,8.23,8.24,8.22,10.7,11.3,10.9,15.02,2.1,0.08,0.14,206.9,10.9,243.0,1.0,3.0,941.0,698.0,1138.0,1.0,1191.0,15.16,1065.2,730.0,29.1,30.2,0.0,2.6,1142.6,0.0,15.22,8.6,41.5,38.9,42.9,38.6,38.2,38.4,40.0,40.4,52.7,52.6,25.0,33.0,15.5,20.9,34.0,34.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,20.0,20.0,38.0,44.0,39.0,33.0,33.0,31.0,44.8,44.85,44.83,60.0,480.0,5.4,0.0,0.0,0.0
14.72,144.0,0.24,0.23,0.23,12.7,11.8,14.7,15.0,-6.9,0.19,0.16,207.6,8.1,245.0,1.0,3.0,1190.0,695.0,1434.0,5.0,1508.0,15.17,1393.9,919.0,32.1,32.4,0.0,2.5,2180.0,0.0,17.0,8.6,40.7,38.1,42.2,37.9,37.4,37.8,39.2,39.7,52.6,52.4,24.0,33.0,15.5,21.0,38.0,39.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,20.0,19.0,37.0,44.0,39.0,33.0,33.0,31.0,44.8,44.85,44.83,61.0,480.0,5.5,0.0,0.0,0.0
16.12,160.0,0.25,0.19,0.19,13.1,15.3,12.4,16.24,-0.4,0.09,0.08,207.5,11.3,241.0,1.0,3.0,1495.0,699.0,1811.0,-3.0,1900.0,16.56,1615.9,1067.0,33.1,34.1,0.0,2.5,2180.0,0.0,17.0,8.4,42.8,40.1,44.3,39.9,39.4,39.9,40.6,40.8,52.8,52.6,24.0,33.0,15.5,20.9,41.0,41.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,20.0,20.0,38.0,44.0,39.0,33.0,33.0,31.0,44.8,44.85,44.83,61.0,480.0,5.5,0.0,0.0,0.0
15.42,304.0,0.24,0.21,0.21,14.3,12.4,14.2,15.95,-3.6,0.05,0.11,206.8,9.5,240.0,1.0,3.0,1356.0,698.0,1642.0,1.0,1718.0,16.11,1489.2,991.0,33.7,34.0,0.0,2.5,2180.0,0.0,17.0,8.4,42.7,40.2,44.2,39.8,39.3,39.7,40.6,40.7,52.7,52.6,24.0,33.0,15.5,21.0,40.0,41.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,20.0,20.0,38.0,44.0,39.0,33.0,33.0,31.0,44.8,44.85,44.83,61.0,480.0,5.5,0.0,0.0,0.0
17.25,256.0,2.42,2.26,2.26,10.6,11.1,10.6,17.13,4.0,0.03,0.16,206.8,12.5,243.0,1.0,3.0,1760.0,699.0,2134.0,-2.0,2248.0,17.65,1977.4,1148.0,31.1,32.7,0.0,2.6,1280.0,0.0,8.82,8.6,41.4,38.7,42.9,38.5,38.1,38.4,39.5,39.9,52.7,52.5,24.0,33.0,15.5,20.9,41.0,41.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,20.0,20.0,37.0,44.0,39.0,33.0,33.0,31.0,44.8,44.85,44.83,61.0,480.0,5.5,0.0,0.0,0.0
14.97,0.0,0.25,0.19,0.21,12.2,14.6,12.1,15.28,9.0,0.09,0.08,206.7,10.6,244.0,1.0,3.0,1151.0,696.0,1388.0,-5.0,1462.0,15.63,1263.7,865.0,32.5,33.7,0.0,2.5,1908.4,0.0,16.59,8.6,40.9,38.2,42.3,38.0,37.6,37.8,39.3,39.8,52.6,52.4,25.0,33.0,15.5,20.9,39.0,39.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,19.0,20.0,37.0,44.0,39.0,33.0,33.0,31.0,44.79,44.85,44.83,60.0,480.0,5.4,0.0,0.0,0.0
11.22,56.0,13.75,13.82,13.81,11.3,11.5,11.3,11.35,2.8,0.18,0.08,207.7,11.3,243.0,1.0,3.0,452.0,690.0,543.0,1.0,563.0,11.51,665.8,453.0,29.2,30.4,0.0,2.6,549.4,0.0,11.92,8.7,41.0,38.2,42.4,38.1,37.7,38.0,39.8,40.0,52.6,52.3,25.0,33.0,15.5,21.1,32.0,32.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,19.0,19.0,37.0,44.0,39.0,33.0,33.0,31.0,44.8,44.85,44.84,59.0,470.0,5.4,0.0,0.0,0.0
14.44,288.0,0.24,0.23,0.23,13.2,12.2,12.2,14.83,-11.3,0.09,0.15,207.2,10.2,246.0,1.0,3.0,1143.0,696.0,1379.0,6.0,1447.0,15.06,1339.4,868.0,32.6,32.7,0.0,2.5,2180.0,0.0,17.0,8.6,40.7,38.1,42.2,37.9,37.4,37.8,39.2,39.7,52.6,52.4,24.0,33.0,15.5,21.0,38.0,39.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,19.0,19.0,37.0,44.0,39.0,33.0,33.0,31.0,44.8,44.85,44.83,62.0,480.0,5.5,0.0,0.0,0.0
14.33,0.0,0.25,0.19,0.21,12.3,13.8,12.1,14.55,14.7,0.05,0.2,206.9,8.4,242.0,1.0,3.0,964.0,693.0,1159.0,-5.0,1208.0,14.8,1104.2,762.0,32.9,33.2,0.0,2.6,2180.0,0.0,17.0,8.6,40.8,38.2,42.2,37.9,37.6,37.8,39.3,39.8,52.6,52.4,25.0,33.0,15.5,21.0,39.0,39.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,19.0,19.0,37.0,44.0,39.0,33.0,33.0,31.0,44.8,44.85,44.83,61.0,480.0,5.5,0.0,0.0,0.0
15.91,256.0,0.24,0.18,0.19,14.0,12.8,15.1,16.14,-3.5,0.05,0.22,207.3,8.6,245.0,1.0,3.0,1429.0,699.0,1733.0,-2.0,1808.0,16.36,1551.4,1028.0,29.3,30.9,0.0,2.6,2180.0,0.0,17.0,8.4,44.5,41.9,46.1,41.5,41.1,41.5,42.1,42.1,52.9,52.7,24.0,33.0,15.5,21.1,38.0,38.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,20.0,20.0,38.0,44.0,39.0,33.0,33.0,31.0,44.79,44.85,44.83,61.0,480.0,5.5,0.0,0.0,0.0
15.47,104.0,0.38,0.37,0.39,11.8,13.2,11.1,16.0,6.4,0.12,0.24,207.4,10.1,242.0,1.0,3.0,1439.0,699.0,1743.0,2.0,1822.0,16.28,1581.0,1038.0,30.7,31.3,0.0,2.6,2180.0,0.0,17.0,8.5,41.6,39.0,43.1,38.8,38.3,38.7,39.9,40.3,52.7,52.6,24.0,33.0,15.5,20.9,39.0,40.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,20.0,20.0,38.0,44.0,39.0,33.0,33.0,31.0,44.8,44.85,44.83,62.0,480.0,5.5,0.0,0.0,0.0
14.94,192.0,3.64,3.66,3.67,17.1,16.1,16.5,15.12,7.3,0.09,0.14,206.9,9.8,242.0,1.0,3.0,1345.0,698.0,1628.0,2.0,1699.0,15.36,1448.0,1048.0,28.8,30.1,0.0,2.6,1854.7,0.0,16.51,8.6,41.4,38.9,42.8,38.5,38.1,38.3,39.9,40.3,52.7,52.5,25.0,33.0,15.5,20.9,34.0,34.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,20.0,20.0,38.0,44.0,39.0,33.0,33.0,31.0,44.79,44.85,44.83,61.0,480.0,5.4,0.0,0.0,0.0
15.77,104.0,0.24,0.2,0.21,12.3,15.2,13.8,16.17,4.1,0.09,0.13,207.0,9.5,242.0,1.0,3.0,1405.0,699.0,1702.0,5.0,1782.0,16.3,1545.5,1016.0,30.7,31.3,0.0,2.6,2180.0,0.0,17.0,8.5,41.7,39.1,43.2,38.9,38.4,38.8,39.9,40.3,52.7,52.6,24.0,33.0,15.5,20.9,39.0,40.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,19.0,20.0,20.0,38.0,44.0,39.0,33.0,33.0,31.0,44.8,44.85,44.83,62.0,480.0,5.5,0.0,0.0,0.0
