轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.13,167.0,0.25,0.25,0.24,10.6,10.5,12.1,7.49,-24.2,0.05,0.12,26.5,3.1,86.0,1.0,1.0,69.0,672.0,82.0,-3.0,88.0,7.5,155.2,99.0,34.1,34.1,0.0,2.7,1500.0,0.0,15.98,33.1,40.7,32.0,38.7,34.4,34.9,34.0,33.0,32.0,42.5,42.6,41.0,49.0,31.7,35.9,35.0,35.0,39.0,0.0,0.0,0.0,6.0,6.0,4.0,2.0,35.0,36.0,36.0,42.0,49.0,45.0,49.0,49.0,47.0,44.78,44.79,44.8,74.0,630.0,7.1,0.0,0.0,0.0
7.14,307.0,0.25,0.25,0.24,11.4,11.3,11.0,7.32,63.3,0.12,0.27,27.2,3.0,45.0,1.0,1.0,19.0,672.0,23.0,-2.0,24.0,7.29,40.1,28.0,34.4,34.4,0.0,2.7,1500.0,0.0,15.98,33.1,40.7,32.0,38.8,34.4,34.9,34.1,33.0,32.0,42.6,42.7,40.0,49.0,31.9,35.9,35.0,36.0,39.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,35.0,36.0,36.0,42.0,49.0,45.0,49.0,49.0,47.0,44.77,44.79,44.8,74.0,640.0,7.0,0.0,0.0,0.0
7.2,87.0,0.25,0.25,0.24,10.4,12.0,11.3,7.37,-28.1,0.01,0.19,27.4,2.6,69.0,1.0,1.0,30.0,673.0,36.0,2.0,39.0,7.44,66.2,57.0,33.8,34.0,0.0,2.7,952.4,0.0,14.32,33.0,40.6,31.9,38.6,34.4,34.9,33.9,33.0,31.9,42.4,42.5,41.0,49.0,31.7,35.8,34.0,35.0,39.0,0.0,0.0,0.0,6.0,6.0,4.0,2.0,35.0,36.0,36.0,42.0,49.0,45.0,49.0,49.0,47.0,44.77,44.79,44.8,73.0,640.0,7.0,0.0,0.0,0.0
7.3,297.0,0.25,0.25,0.24,12.5,10.5,11.4,7.58,-14.5,0.08,0.14,26.8,2.6,86.0,1.0,1.0,58.0,672.0,69.0,1.0,69.0,7.48,131.4,89.0,34.0,34.2,0.0,2.7,1500.0,0.0,15.98,33.1,40.7,32.0,38.7,34.4,34.9,34.0,33.0,32.0,42.5,42.6,40.0,49.0,31.7,35.9,35.0,35.0,39.0,0.0,0.0,0.0,6.0,6.0,4.0,2.0,35.0,36.0,36.0,42.0,49.0,45.0,49.0,49.0,46.0,44.77,44.79,44.8,74.0,620.0,7.1,0.0,0.0,0.0
7.3,44.0,0.25,0.25,0.24,10.4,11.4,11.6,7.5,39.8,0.04,0.16,27.3,2.1,13.0,1.0,1.0,57.0,673.0,67.0,-3.0,71.0,7.53,132.4,97.0,34.3,34.4,0.0,2.7,1500.0,0.0,15.98,33.1,40.7,32.0,38.8,34.4,35.0,34.0,33.1,32.0,42.6,42.7,40.0,49.0,31.9,35.9,35.0,36.0,39.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,35.0,36.0,36.0,42.0,49.0,45.0,49.0,49.0,47.0,44.78,44.79,44.8,74.0,630.0,7.0,0.0,0.0,0.0
7.34,247.0,0.25,0.25,0.24,11.4,10.4,12.6,7.5,-13.2,0.11,0.1,208.9,3.1,34.0,1.0,1.0,57.0,675.0,68.0,4.0,73.0,7.6,133.0,95.0,33.9,34.0,0.0,2.7,868.6,0.0,13.89,33.1,40.7,31.9,38.7,34.4,34.9,33.9,33.0,31.9,42.5,42.5,40.0,49.0,31.7,35.8,34.0,35.0,39.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,35.0,36.0,36.0,42.0,49.0,45.0,49.0,49.0,47.0,44.77,44.78,44.8,74.0,630.0,7.0,0.0,0.0,0.0
7.16,145.0,0.25,0.25,0.24,10.4,11.7,11.4,7.32,28.0,0.09,0.18,208.1,2.3,37.0,1.0,1.0,32.0,672.0,38.0,-5.0,36.0,7.34,72.7,44.0,34.0,34.0,0.0,2.7,1781.3,0.0,16.4,33.0,40.6,31.8,38.7,34.4,34.9,33.9,33.0,31.9,42.3,42.4,41.0,49.0,31.7,35.8,34.0,35.0,39.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,35.0,36.0,36.0,42.0,49.0,45.0,49.0,49.0,47.0,44.78,44.79,44.8,74.0,640.0,7.0,0.0,0.0,0.0
7.27,144.0,0.25,0.25,0.24,11.0,10.4,12.7,7.4,43.7,0.11,0.14,27.4,2.2,15.0,1.0,1.0,46.0,673.0,54.0,-1.0,60.0,7.51,132.9,76.0,34.1,34.4,0.0,2.7,1500.0,0.0,15.98,33.1,40.7,32.0,38.7,34.4,34.9,34.1,33.1,32.0,42.6,42.7,41.0,49.0,31.9,35.9,35.0,36.0,39.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,35.0,36.0,36.0,42.0,49.0,45.0,49.0,49.0,47.0,44.77,44.79,44.8,74.0,630.0,7.0,0.0,0.0,0.0
7.24,138.0,0.25,0.25,0.24,11.4,10.4,12.7,7.37,10.1,0.09,0.09,27.0,2.7,356.0,1.0,1.0,42.0,672.0,50.0,3.0,51.0,7.43,130.7,66.0,34.2,34.3,0.0,2.7,1500.0,0.0,15.98,33.1,40.7,32.0,38.7,34.5,35.0,34.0,33.1,32.1,42.7,42.8,40.0,49.0,31.9,35.9,35.0,36.0,39.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,35.0,36.0,36.0,42.0,49.0,45.0,49.0,49.0,47.0,44.77,44.78,44.8,74.0,630.0,7.1,0.0,0.0,0.0
7.26,64.0,0.25,0.24,0.24,10.4,10.7,12.0,7.41,17.6,0.05,0.15,27.4,2.5,356.0,1.0,1.0,49.0,671.0,58.0,4.0,63.0,7.51,138.2,73.0,34.1,34.4,0.0,2.7,1500.0,0.0,15.98,33.1,40.7,32.0,38.8,34.5,35.0,34.0,33.1,32.1,42.7,42.8,41.0,49.0,31.9,35.9,35.0,36.0,39.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,35.0,36.0,36.0,42.0,49.0,45.0,49.0,49.0,47.0,44.77,44.79,44.8,74.0,630.0,7.1,0.0,0.0,0.0
