轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
1.12,284.0,37.24,37.25,37.26,12.6,11.1,12.9,1.2,1.2,0.09,0.14,208.0,3.4,216.0,1.0,3.0,4.0,685.0,0.0,-5.0,0.0,0.01,0.0,0.0,31.6,31.2,0.0,3.5,66.1,0.0,7.24,13.4,14.1,16.9,16.6,12.9,13.2,13.8,17.1,16.9,26.3,26.3,21.0,29.0,15.5,20.3,31.0,33.0,34.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0,14.0,18.0,16.0,31.0,41.0,35.0,29.0,29.0,27.0,44.81,44.85,44.85,52.0,460.0,4.9,0.0,0.0,0.0
0.01,144.0,85.98,85.98,85.98,11.2,12.2,11.3,0.21,-3.2,0.11,0.14,208.4,3.4,221.0,1.0,3.0,4.0,684.0,0.0,-5.0,0.0,0.01,0.0,0.0,29.8,29.4,0.0,3.5,66.1,0.0,7.24,13.4,14.1,16.9,16.6,12.9,13.1,13.9,17.2,16.9,26.4,26.4,21.0,29.0,15.7,20.3,30.0,31.0,34.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,14.0,18.0,16.0,31.0,41.0,35.0,29.0,29.0,27.0,44.81,44.86,44.85,51.0,460.0,4.8,0.0,0.0,0.0
5.75,2.0,0.24,0.18,0.18,10.7,10.6,12.8,5.91,59.0,0.09,0.12,209.4,0.3,213.0,1.0,3.0,4.0,684.0,2.0,-5.0,0.0,5.96,44.5,0.0,29.0,28.4,0.0,3.5,125.6,0.0,7.46,13.4,14.1,17.0,16.8,13.0,13.2,14.0,16.8,16.5,26.1,26.1,21.0,28.0,15.5,20.3,29.0,30.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,14.0,18.0,17.0,31.0,41.0,35.0,28.0,28.0,28.0,44.81,44.86,44.85,52.0,460.0,4.8,0.0,0.0,0.0
-0.06,144.0,85.98,85.98,85.98,11.2,12.2,11.1,0.18,-18.6,0.11,0.14,208.2,4.0,228.0,1.0,3.0,4.0,684.0,0.0,-5.0,0.0,0.01,0.0,0.0,30.3,30.1,0.0,3.5,223.0,0.0,8.82,13.4,14.1,16.9,16.6,12.9,13.1,13.8,17.2,16.9,26.3,26.3,20.0,29.0,15.7,20.3,30.0,32.0,34.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,14.0,18.0,16.0,31.0,41.0,35.0,29.0,29.0,27.0,44.81,44.86,44.84,52.0,460.0,4.7,0.0,0.0,0.0
4.3,155.0,0.24,0.2,0.19,10.6,11.3,10.5,4.46,-29.9,0.09,0.14,209.2,0.0,191.0,1.0,3.0,0.0,684.0,0.0,0.0,0.0,4.41,24.4,0.0,30.5,30.2,0.0,3.5,66.1,0.0,7.24,13.3,14.3,16.9,16.8,13.1,13.2,14.0,16.9,16.5,26.2,26.2,22.0,29.0,15.5,20.3,30.0,32.0,34.0,0.0,0.0,0.0,5.0,6.0,4.0,0.0,14.0,18.0,17.0,31.0,41.0,35.0,29.0,29.0,28.0,44.81,44.86,44.84,51.0,460.0,4.8,0.0,0.0,0.0
-0.01,144.0,85.98,85.98,85.98,11.2,12.2,11.1,0.18,-15.1,0.11,0.14,208.4,5.1,227.0,1.0,3.0,1.0,684.0,0.0,2.0,0.0,0.01,0.0,0.0,30.2,29.9,0.0,3.5,223.0,0.0,8.82,13.4,14.1,16.9,16.6,12.9,13.1,13.8,17.2,16.9,26.3,26.3,21.0,29.0,15.7,20.3,30.0,32.0,34.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,14.0,18.0,16.0,31.0,41.0,35.0,29.0,29.0,27.0,44.81,44.86,44.84,51.0,470.0,4.8,0.0,0.0,0.0
3.63,57.0,13.09,13.12,13.12,12.4,11.2,12.7,3.66,6.1,0.09,0.2,27.1,4.3,204.0,1.0,3.0,1.0,685.0,0.0,-2.0,0.0,3.79,24.3,0.0,31.8,31.3,0.0,3.5,66.1,0.0,7.24,13.4,14.1,17.0,16.6,12.9,13.2,13.9,17.1,16.8,26.2,26.2,21.0,29.0,15.5,20.3,32.0,33.0,34.0,0.0,0.0,0.0,5.0,6.0,4.0,1.0,14.0,18.0,16.0,31.0,41.0,35.0,29.0,29.0,27.0,44.81,44.85,44.84,51.0,460.0,4.7,0.0,0.0,0.0
6.81,317.0,0.25,0.2,0.2,10.4,10.5,13.1,6.95,-25.3,0.29,0.21,210.2,0.8,189.0,1.0,3.0,4.0,685.0,1.0,-5.0,1.0,7.02,44.5,0.0,31.9,32.4,0.0,3.5,2180.0,0.0,17.0,13.4,14.1,16.7,16.6,12.9,13.3,13.6,16.9,16.6,26.1,26.1,21.0,29.0,15.5,20.3,33.0,34.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,14.0,18.0,17.0,31.0,41.0,35.0,29.0,29.0,28.0,44.81,44.86,44.84,52.0,460.0,4.7,0.0,0.0,0.0
7.13,40.0,0.25,0.23,0.23,10.6,10.5,12.8,7.28,13.4,0.27,0.19,26.6,2.2,199.0,1.0,3.0,24.0,685.0,30.0,-3.0,34.0,7.28,67.7,43.0,32.9,32.4,0.0,3.6,66.1,0.0,7.24,13.4,14.1,16.9,16.7,12.9,13.2,13.7,17.0,16.8,26.1,26.2,21.0,29.0,15.5,20.3,32.0,34.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,14.0,18.0,16.0,31.0,41.0,35.0,29.0,29.0,27.0,44.81,44.86,44.84,50.0,460.0,4.7,0.0,0.0,0.0
7.09,59.0,0.25,0.23,0.23,11.0,10.4,12.8,7.2,13.7,0.14,0.25,26.9,1.9,193.0,1.0,3.0,10.0,685.0,13.0,-1.0,21.0,7.33,57.5,20.0,32.9,32.5,0.0,3.5,66.1,0.0,7.24,13.4,14.1,17.1,16.7,12.9,13.2,13.9,16.9,16.7,26.1,26.1,22.0,29.0,15.5,20.3,33.0,34.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,14.0,18.0,16.0,31.0,41.0,35.0,29.0,29.0,27.0,44.81,44.86,44.84,52.0,460.0,4.7,0.0,0.0,0.0
