轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.17,114.0,0.25,0.22,0.21,11.2,10.4,12.7,7.49,9.0,0.05,0.11,207.3,3.6,239.0,1.0,3.0,63.0,690.0,76.0,-6.0,86.0,7.62,178.0,88.0,29.3,29.9,0.0,3.5,2180.0,0.0,17.0,12.1,15.4,17.1,17.6,14.1,14.3,14.7,17.0,16.5,27.3,27.3,22.0,31.0,15.5,20.6,31.0,31.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,16.0,19.0,18.0,32.0,42.0,36.0,31.0,31.0,30.0,44.81,44.85,44.84,56.0,470.0,5.0,0.0,0.0,0.0
7.1,283.0,0.25,0.22,0.21,10.4,11.3,11.7,7.26,-1.0,0.12,0.03,207.5,0.5,236.0,1.0,3.0,20.0,690.0,25.0,2.0,27.0,7.27,59.4,38.0,32.3,31.8,0.0,3.5,1241.3,0.0,15.56,12.2,15.5,17.4,17.7,14.1,14.3,15.1,17.1,16.6,27.8,27.8,23.0,31.0,15.3,20.6,33.0,34.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,16.0,19.0,18.0,32.0,42.0,36.0,31.0,31.0,30.0,44.8,44.84,44.84,56.0,470.0,5.0,0.0,0.0,0.0
7.16,25.0,0.25,0.22,0.21,10.4,11.8,10.8,7.33,-16.7,0.13,0.14,207.1,2.9,251.0,1.0,3.0,13.0,690.0,15.0,-6.0,16.0,7.36,56.5,29.0,29.8,29.5,0.0,3.5,2140.8,0.0,16.94,12.1,15.4,17.3,17.7,14.1,14.3,15.1,17.0,16.5,27.4,27.5,22.0,31.0,15.5,20.6,30.0,31.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,16.0,19.0,18.0,32.0,42.0,36.0,31.0,31.0,30.0,44.81,44.85,44.84,56.0,460.0,5.0,0.0,0.0,0.0
7.5,174.0,0.25,0.22,0.21,11.8,10.9,10.7,7.65,14.9,0.14,0.34,25.8,3.8,233.0,1.0,3.0,118.0,691.0,142.0,-16.0,148.0,7.69,255.6,174.0,32.8,32.5,0.0,3.5,1500.0,0.0,15.98,12.1,15.4,17.1,17.6,14.1,14.2,14.8,16.9,16.5,27.2,27.2,23.0,31.0,15.3,20.6,34.0,34.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,16.0,19.0,18.0,32.0,42.0,36.0,31.0,31.0,30.0,44.8,44.84,44.84,55.0,470.0,5.0,0.0,0.0,0.0
7.41,291.0,0.25,0.22,0.21,10.6,11.6,10.6,7.56,5.1,0.15,0.16,207.5,3.8,241.0,1.0,3.0,71.0,690.0,85.0,11.0,89.0,7.63,168.3,104.0,28.9,29.4,0.0,3.5,2180.0,0.0,17.0,12.1,15.4,17.3,17.6,14.1,14.3,14.9,16.9,16.5,27.3,27.3,23.0,31.0,15.5,20.6,30.0,31.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,16.0,19.0,18.0,32.0,42.0,36.0,31.0,31.0,30.0,44.81,44.85,44.83,54.0,460.0,5.0,0.0,0.0,0.0
7.05,133.0,0.25,0.22,0.21,11.8,10.8,10.6,7.22,8.4,0.13,0.26,207.1,0.3,226.0,1.0,3.0,4.0,689.0,5.0,4.0,2.0,7.18,47.6,0.0,32.7,32.3,0.0,3.5,1040.3,0.0,14.75,12.2,15.6,17.4,17.7,14.1,14.4,14.9,17.1,16.6,27.8,27.8,22.0,31.0,15.3,20.6,33.0,34.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,16.0,19.0,18.0,32.0,42.0,36.0,31.0,31.0,30.0,44.81,44.85,44.84,55.0,470.0,5.0,0.0,0.0,0.0
7.14,348.0,0.25,0.21,0.21,10.6,10.4,12.9,7.26,23.4,0.07,0.21,207.3,0.8,232.0,1.0,3.0,17.0,690.0,22.0,6.0,24.0,7.36,56.3,38.0,32.6,32.0,0.0,3.5,1040.3,0.0,14.75,12.2,15.6,17.3,17.7,14.1,14.3,15.0,17.1,16.6,27.8,27.9,23.0,31.0,15.3,20.6,33.0,34.0,35.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,16.0,19.0,18.0,32.0,41.0,36.0,31.0,31.0,30.0,44.8,44.85,44.84,55.0,470.0,5.0,0.0,0.0,0.0
7.28,283.0,0.25,0.22,0.21,10.9,11.6,10.6,7.45,16.6,0.02,0.14,207.4,2.9,236.0,1.0,3.0,49.0,690.0,59.0,3.0,62.0,7.5,129.3,85.0,29.3,28.8,0.0,3.5,2180.0,0.0,17.0,12.1,15.4,17.2,17.6,14.1,14.4,14.7,17.0,16.5,27.3,27.4,23.0,31.0,15.5,20.6,30.0,30.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,16.0,19.0,18.0,32.0,42.0,36.0,31.0,31.0,30.0,44.81,44.84,44.84,55.0,470.0,4.9,0.0,0.0,0.0
7.27,271.0,0.25,0.22,0.21,10.8,11.8,10.5,7.39,63.3,0.13,0.24,208.2,4.0,247.0,1.0,3.0,49.0,691.0,59.0,-9.0,54.0,7.42,118.5,75.0,32.6,32.2,0.0,3.5,2180.0,0.0,17.0,12.1,15.3,17.1,17.5,14.0,14.2,14.8,16.9,16.5,27.1,27.1,22.0,31.0,15.3,20.6,33.0,34.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,16.0,19.0,18.0,32.0,41.0,36.0,31.0,31.0,29.0,44.81,44.85,44.84,55.0,470.0,5.0,0.0,0.0,0.0
7.12,76.0,0.25,0.22,0.21,12.1,10.5,11.0,7.38,-9.5,0.24,0.05,207.4,2.6,238.0,1.0,3.0,20.0,690.0,25.0,-3.0,21.0,7.3,51.1,31.0,31.9,31.6,0.0,3.6,1392.7,0.0,15.8,12.2,15.6,17.2,17.7,14.1,14.5,14.8,17.1,16.6,27.7,27.8,24.0,31.0,15.3,20.6,32.0,33.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,16.0,19.0,18.0,32.0,41.0,36.0,31.0,31.0,30.0,44.8,44.85,44.84,55.0,470.0,5.0,0.0,0.0,0.0
