轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.54,264,0.25,0.25,0.24,10.5,11.6,10.9,7.69,-2.1,0.08,0.14,205.7,3.4,196,1,3,102,696,125,0,129,7.77,216.7,166,31.3,30.5,0,2.5,2180,0,17,-15.3,-3.2,-6.3,-2.1,-4.4,-3.8,-4.5,-4.9,-4.4,25.8,26.0,5,13,-5.6,-0.7,32,33,29,0,0,0,6,6,4,0,1,3,2,24,32,27,13,13,13,44.83,44.9,44.87,34,260,2.9,0,0,0
7.49,264,0.25,0.25,0.24,10.5,11.7,10.9,7.67,-22.4,0.12,0.13,205.6,4.6,203,1,3,110,696,133,-3,139,7.68,221.0,165,31.3,30.7,0,2.5,2180,0,17,-15.3,-3.2,-6.6,-2.3,-4.4,-3.8,-4.9,-4.8,-4.3,25.9,26.1,4,13,-5.6,-0.7,32,33,29,0,0,0,6,6,4,0,1,3,2,24,32,27,13,13,13,44.83,44.9,44.88,35,250,2.9,0,0,0
7.49,264,0.25,0.25,0.24,11.8,10.5,11.3,7.76,-8.1,0.08,0.11,205.5,3.2,198,1,3,111,697,135,-3,140,7.74,245.7,175,31.3,30.7,0,2.5,2180,0,17,-15.3,-3.2,-6.3,-2.0,-4.4,-3.9,-4.4,-4.9,-4.4,25.9,26.1,5,13,-5.6,-0.8,32,33,29,0,0,0,6,6,4,0,1,3,2,24,32,27,13,13,13,44.83,44.91,44.88,35,260,2.9,0,0,0
7.56,264,0.25,0.25,0.24,11.6,10.6,11.3,7.8,-9.7,0.09,0.14,205.8,3.9,200,1,3,114,697,139,-3,145,7.81,253.3,178,31.0,30.5,0,2.5,2180,0,17,-15.3,-3.2,-6.2,-2.2,-4.4,-3.8,-4.8,-4.9,-4.4,25.7,26.0,5,13,-5.6,-0.7,32,33,29,0,0,0,6,6,4,0,1,3,2,24,32,27,13,13,13,44.83,44.9,44.87,35,250,2.9,0,0,0
7.72,264,0.25,0.25,0.24,11.0,11.3,11.1,7.96,-10.8,0.09,0.15,205.8,4.5,201,1,3,124,697,151,-1,157,7.95,262.2,185,30.7,30.0,0,2.5,2180,0,17,-15.3,-3.2,-6.2,-2.2,-4.5,-3.8,-4.8,-5.0,-4.4,25.5,25.8,5,13,-5.6,-0.7,32,32,29,0,0,0,6,6,4,0,1,3,2,24,32,27,13,13,13,44.83,44.91,44.87,35,250,2.9,0,0,0
7.66,264,0.25,0.25,0.24,10.9,11.1,11.1,7.86,-2.5,0.08,0.13,205.7,4.2,197,1,3,116,696,141,0,149,7.91,255.4,180,31.1,30.3,0,2.5,2180,0,17,-15.3,-3.2,-6.6,-2.5,-4.5,-3.7,-5.3,-4.8,-4.2,25.7,25.9,5,13,-5.6,-0.7,32,32,29,0,0,0,6,6,4,0,1,3,2,24,32,27,13,13,13,44.83,44.91,44.87,35,260,2.9,0,0,0
7.48,264,0.25,0.25,0.24,10.5,10.8,11.0,7.82,-14.5,0.08,0.13,205.7,4.2,199,1,3,118,697,144,-3,154,7.94,255.1,182,31.1,30.4,0,2.5,2180,0,17,-15.3,-3.2,-6.4,-2.2,-4.4,-3.8,-4.8,-4.9,-4.3,25.8,26.0,5,13,-5.6,-0.7,32,33,29,0,0,0,6,6,4,0,1,3,2,24,32,27,13,13,13,44.83,44.9,44.88,36,260,2.8,0,0,0
7.48,264,0.25,0.25,0.24,10.9,11.3,10.9,7.67,-14.7,0.09,0.17,205.6,4.0,200,1,3,101,696,122,4,128,7.74,236.3,160,31.0,30.2,0,2.5,2180,0,17,-15.3,-3.2,-6.6,-2.2,-4.5,-3.8,-4.9,-4.8,-4.3,25.8,26.0,6,13,-5.6,-0.7,32,33,29,0,0,0,6,6,4,0,1,3,2,24,32,27,13,13,13,44.83,44.9,44.87,35,250,2.9,0,0,0
7.8,264,0.25,0.25,0.24,10.5,11.3,10.8,7.94,-9.4,0.09,0.14,205.7,3.8,201,1,3,128,696,155,-3,163,7.98,262.4,187,30.9,30.0,0,2.5,2180,0,17,-15.3,-3.2,-6.4,-2.1,-4.4,-3.9,-4.6,-5.0,-4.4,25.6,25.8,5,13,-5.6,-0.7,32,32,29,0,0,0,6,6,4,0,1,3,2,24,32,27,13,13,13,44.83,44.9,44.87,35,250,2.9,0,0,0
7.52,264,0.25,0.25,0.24,10.4,10.9,10.9,7.66,-9.4,0.08,0.15,205.7,3.6,200,1,3,112,696,136,3,140,7.74,231.1,174,31.1,30.4,0,2.5,2180,0,17,-15.3,-3.2,-6.6,-2.2,-4.4,-3.8,-4.9,-4.8,-4.4,25.8,26.0,6,13,-5.6,-0.7,32,33,29,0,0,0,6,6,4,0,1,3,2,24,32,27,13,13,13,44.83,44.9,44.88,35,250,2.9,0,0,0
