轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
13.21,64.0,11.77,11.72,11.72,12.0,12.1,11.1,13.79,-2.8,0.11,0.06,211.4,10.5,258.0,1.0,3.0,684.0,691.0,820.0,-5.0,849.0,14.01,815.3,566.0,29.8,29.7,0.0,2.5,803.2,0.0,13.53,-6.5,20.2,20.5,22.4,18.3,17.7,18.6,20.6,23.1,51.9,51.7,15.0,22.0,8.2,13.2,34.0,33.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,9.0,9.0,32.0,38.0,34.0,22.0,22.0,20.0,44.82,44.88,44.86,46.0,330.0,3.9,0.0,0.0,0.0
13.53,64.0,10.4,10.34,10.34,11.3,11.4,10.8,13.73,-1.7,0.11,0.12,212.1,10.2,255.0,1.0,3.0,680.0,692.0,809.0,-2.0,845.0,13.93,817.6,567.0,31.4,33.0,0.0,2.5,803.2,0.0,13.53,-6.7,20.2,20.6,22.2,18.3,17.7,18.5,20.6,23.1,51.8,51.7,15.0,22.0,8.2,13.3,36.0,36.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,9.0,9.0,32.0,38.0,34.0,22.0,22.0,20.0,44.82,44.88,44.86,46.0,330.0,3.9,0.0,0.0,0.0
13.48,64.0,12.03,12.03,12.04,12.1,12.0,12.2,13.71,1.5,0.08,0.14,211.9,8.5,260.0,1.0,3.0,676.0,692.0,812.0,0.0,841.0,13.84,839.1,569.0,31.6,31.3,0.0,2.5,803.2,0.0,13.53,-6.7,20.2,20.7,22.1,18.3,17.7,18.5,20.6,23.1,51.9,51.7,14.0,22.0,8.2,13.2,36.0,35.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,9.0,9.0,32.0,38.0,34.0,22.0,22.0,20.0,44.82,44.89,44.86,46.0,330.0,3.9,0.0,0.0,0.0
13.26,64.0,12.34,12.31,12.31,12.5,14.5,15.7,13.54,7.2,0.05,0.16,211.9,7.9,249.0,1.0,3.0,654.0,692.0,785.0,-5.0,835.0,13.72,824.0,563.0,28.7,28.5,0.0,2.5,803.2,0.0,13.53,-6.7,20.2,20.4,22.3,18.3,17.7,18.5,20.6,23.1,51.9,51.7,15.0,22.0,8.2,13.2,32.0,32.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,9.0,9.0,32.0,38.0,34.0,22.0,22.0,20.0,44.82,44.89,44.86,46.0,330.0,3.9,0.0,0.0,0.0
13.38,64.0,12.71,12.66,12.66,14.1,15.4,16.5,13.77,6.3,0.09,0.14,211.5,9.7,249.0,1.0,3.0,663.0,692.0,796.0,-2.0,841.0,13.83,905.2,566.0,28.4,28.2,0.0,2.5,803.2,0.0,13.53,-6.7,20.2,20.5,22.4,18.3,17.7,18.5,20.7,23.0,51.9,51.7,15.0,22.0,8.2,13.2,32.0,32.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,9.0,9.0,32.0,38.0,34.0,22.0,22.0,20.0,44.82,44.89,44.86,46.0,330.0,3.9,0.0,0.0,0.0
13.61,64.0,11.33,11.31,11.32,12.5,12.2,11.7,13.86,-14.3,0.05,0.18,211.8,10.8,258.0,1.0,3.0,679.0,692.0,815.0,3.0,857.0,14.0,818.9,568.0,30.9,30.6,0.0,2.6,803.2,0.0,13.53,-6.7,20.2,20.4,22.2,18.3,17.7,18.5,20.6,23.1,51.9,51.6,15.0,22.0,8.2,13.2,35.0,34.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,9.0,9.0,32.0,38.0,34.0,22.0,22.0,20.0,44.82,44.89,44.86,46.0,340.0,4.0,0.0,0.0,0.0
13.22,64.0,10.25,10.3,10.3,10.9,11.0,10.7,13.44,-7.1,0.04,0.23,211.5,8.2,261.0,1.0,3.0,668.0,691.0,800.0,-3.0,837.0,13.56,832.4,576.0,31.3,31.1,0.0,2.5,803.2,0.0,13.53,-6.5,20.2,20.4,22.2,18.3,17.8,18.3,20.6,23.1,51.9,51.7,15.0,22.0,8.2,13.2,35.0,35.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,9.0,9.0,32.0,38.0,34.0,22.0,22.0,20.0,44.82,44.89,44.87,46.0,330.0,4.0,0.0,0.0,0.0
13.47,64.0,11.51,11.47,11.47,11.6,12.5,11.7,13.87,6.9,0.16,0.12,211.8,10.6,254.0,1.0,3.0,677.0,692.0,813.0,-3.0,850.0,14.07,884.1,564.0,30.2,30.0,0.0,2.5,803.2,0.0,13.53,-6.7,20.2,20.5,22.2,18.3,17.7,18.5,20.6,23.0,51.9,51.7,15.0,22.0,8.2,13.2,34.0,34.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,9.0,9.0,32.0,38.0,34.0,22.0,22.0,20.0,44.82,44.89,44.86,46.0,330.0,4.0,0.0,0.0,0.0
12.51,64.0,6.82,6.93,6.93,11.4,13.4,14.7,13.04,-3.9,0.14,0.11,211.5,6.4,258.0,1.0,3.0,657.0,691.0,788.0,-3.0,821.0,13.08,839.6,584.0,29.8,31.6,0.0,2.5,803.2,0.0,13.53,-6.6,20.2,20.6,22.2,18.3,17.8,18.4,20.6,23.1,51.9,51.7,15.0,22.0,8.2,13.2,35.0,34.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,9.0,9.0,32.0,38.0,34.0,22.0,22.0,20.0,44.82,44.89,44.86,47.0,330.0,4.0,0.0,0.0,0.0
13.22,64.0,8.1,8.03,8.03,15.9,10.9,16.9,13.5,8.5,0.13,0.1,211.7,8.7,255.0,1.0,3.0,666.0,690.0,798.0,3.0,830.0,13.59,824.0,570.0,32.4,32.4,0.0,2.5,803.2,0.0,13.53,-6.6,20.2,20.4,22.2,18.2,17.8,18.4,20.6,23.1,51.9,51.7,16.0,22.0,8.2,13.2,36.0,36.0,33.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,8.0,9.0,9.0,32.0,38.0,34.0,22.0,22.0,20.0,44.82,44.89,44.86,46.0,330.0,3.9,0.0,0.0,0.0
