轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
13.55,64,0.24,0.19,0.19,13.1,12.8,12.9,13.75,6.9,0.09,0.17,205.0,6.9,231,1,3,677,696,817,0,849,13.94,899.7,564,30.8,30.5,0,2.5,1357.7,0,15.75,-11.0,19.0,15.7,20.5,16.5,16.1,16.5,17.3,19.9,49.0,48.6,11,18,2.4,7.6,35,34,31,0,0,0,6,6,4,0,5,5,5,28,35,29,18,18,17,44.83,44.9,44.87,42,300,3.6,0,0,0
13.69,64,0.39,0.3,0.3,11.8,13.4,11.6,13.73,7.1,0.07,0.14,205.2,9.1,234,1,3,684,697,827,-1,870,14.08,821.2,577,32.1,31.6,0,2.5,1202.2,0,15.48,-10.6,19.0,15.7,20.6,16.5,16.2,16.5,17.3,19.9,49.1,48.6,11,18,2.4,7.6,36,35,31,0,0,0,6,6,4,0,5,5,5,28,35,29,18,18,17,44.82,44.9,44.87,42,290,3.5,0,0,0
13.36,64,0.24,0.19,0.19,12.3,12.9,11.8,13.43,-2.7,0.11,0.12,205.0,5.7,233,1,3,643,696,776,-3,806,13.74,789.7,546,33.2,32.8,0,2.5,1217.6,0,15.52,-10.9,18.9,15.7,20.3,16.5,16.1,16.3,17.3,19.9,49.1,48.7,9,18,2.4,7.6,37,36,31,0,0,0,6,6,4,0,5,5,5,28,35,29,18,18,17,44.82,44.89,44.87,42,300,3.6,0,0,0
14.05,64,0.24,0.19,0.19,13.4,12.8,12.5,14.19,-7.6,0.07,0.18,205.5,6.6,237,1,3,739,697,893,4,940,14.43,896.9,599,29.4,29.3,0,2.5,1298.0,0,15.65,-11.1,18.9,15.8,20.5,16.5,16.0,16.6,17.2,19.8,49.0,48.6,11,18,2.3,7.6,34,33,31,0,0,0,6,6,4,0,5,5,5,28,35,29,18,18,17,44.82,44.9,44.86,42,300,3.6,0,0,0
14.02,64,0.39,0.3,0.3,12.0,13.6,11.6,14.19,4.7,0.08,0.11,205.4,6.0,234,1,3,740,696,894,4,942,14.44,898.7,602,30.2,30.0,0,2.5,1438.1,0,15.88,-10.8,18.9,15.7,20.5,16.5,16.1,16.4,17.3,19.9,49.0,48.6,10,18,2.4,7.6,35,34,31,0,0,0,6,6,4,0,5,5,5,28,35,29,18,18,17,44.83,44.9,44.87,43,290,3.6,0,0,0
13.77,64,0.25,0.21,0.21,12.7,12.3,13.6,14.13,12.2,0.11,0.16,205.5,5.9,231,1,3,732,697,885,-5,931,14.33,899.6,593,29.7,31.8,0,2.4,1361.8,0,15.75,-11.1,18.9,15.5,20.4,16.4,16.0,16.3,17.2,19.8,49.0,48.6,11,18,2.2,7.6,35,35,31,0,0,0,6,6,4,0,5,5,5,28,35,29,18,18,17,44.82,44.9,44.87,42,300,3.6,0,0,0
13.74,64,0.39,0.3,0.3,11.7,11.5,11.6,14.09,5.6,0.07,0.12,205.2,6.7,232,1,3,699,696,844,0,896,14.21,893.9,582,29.6,29.4,0,2.5,1426.7,0,15.86,-10.8,18.9,15.7,20.4,16.5,16.0,16.5,17.2,19.8,49.0,48.6,10,18,2.4,7.6,34,33,31,0,0,0,6,6,4,0,5,5,5,28,35,29,18,18,17,44.83,44.9,44.87,42,290,3.6,0,0,0
13.56,64,0.25,0.21,0.21,11.7,13.2,12.1,13.76,7.5,0.11,0.12,204.7,7.5,231,1,3,677,697,818,4,867,14.01,896.5,573,29.1,30.4,0,2.5,1307.2,0,15.66,-11.1,18.9,15.6,20.4,16.4,16.0,16.4,17.2,19.8,49.0,48.6,10,18,2.2,7.6,34,34,31,0,0,0,6,6,4,0,5,5,5,28,35,29,18,18,17,44.83,44.9,44.87,42,300,3.6,0,0,0
12.97,64,0.24,0.19,0.19,12.6,12.6,13.1,13.52,-3.5,0.09,0.14,205.3,7.1,233,1,3,638,696,770,3,807,13.72,783.9,549,32.6,33.0,0,2.5,1217.6,0,15.52,-10.9,18.9,15.8,20.3,16.5,16.1,16.3,17.3,19.9,49.1,48.7,10,18,2.4,7.6,37,37,31,0,0,0,6,6,4,0,5,5,5,28,35,29,18,18,17,44.83,44.89,44.87,42,300,3.5,0,0,0
13.66,64,0.39,0.3,0.3,12.9,11.9,12.0,13.86,1.1,0.08,0.11,205.4,7.5,232,1,3,674,696,814,-2,865,13.99,897.0,566,32.6,32.2,0,2.5,1273.2,0,15.61,-10.6,19.0,15.8,20.5,16.6,16.2,16.6,17.3,19.9,49.0,48.6,10,18,2.4,7.6,37,36,31,0,0,0,6,6,4,0,5,5,5,28,35,29,18,18,17,44.82,44.9,44.87,42,290,3.5,0,0,0
