轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
16.82,16.0,7.96,7.94,7.93,17.0,17.0,18.0,0.0,3.5,0.02,0.05,209.3,9.4,162.0,1.0,3.0,1639.0,701.0,1992.0,-3.0,2064.0,16.93,1796.3,1162.0,29.8,32.7,0.0,2.7,2067.6,0.0,16.83,-15.8,63.2,72.2,74.2,76.1,79.1,74.9,76.3,76.5,49.2,50.1,4.0,12.0,-2.6,1.8,41.0,44.0,45.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,4.0,5.0,34.0,30.0,31.0,12.0,12.0,14.0,45.03,44.91,45.02,26.0,250.0,2.5,0.0,0.0,0.0
16.58,168.0,5.3,5.28,5.28,13.0,18.0,14.0,0.0,1.3,0.04,-0.01,208.6,12.1,156.0,1.0,3.0,1595.0,700.0,1936.0,3.0,2017.0,16.51,1756.1,1166.0,28.5,32.1,0.0,2.7,2067.6,0.0,16.83,-15.8,63.1,72.1,74.4,76.1,79.1,74.9,76.2,76.4,49.2,50.1,4.0,12.0,-2.6,1.8,40.0,42.0,45.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,4.0,5.0,34.0,30.0,31.0,12.0,12.0,14.0,45.03,44.91,45.02,27.0,260.0,2.5,0.0,0.0,0.0
17.15,224.0,4.88,4.86,4.87,10.0,12.0,10.0,0.0,-5.2,0.2,0.06,208.4,11.6,162.0,1.0,3.0,1650.0,700.0,2003.0,-3.0,2079.0,17.02,1801.2,1169.0,30.8,33.7,0.0,2.8,2067.6,0.0,16.83,-15.8,63.1,72.1,74.2,76.1,79.1,74.9,76.3,76.4,49.2,50.1,4.0,12.0,-2.7,1.8,42.0,44.0,45.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,4.0,5.0,34.0,30.0,31.0,12.0,12.0,14.0,45.03,44.91,45.02,27.0,260.0,2.5,0.0,0.0,0.0
16.67,184.0,4.57,4.55,4.56,19.0,19.0,15.0,0.0,22.2,0.12,0.06,209.0,12.2,150.0,1.0,3.0,1623.0,700.0,1971.0,0.0,2041.0,16.65,1784.5,1170.0,31.2,34.6,0.0,2.7,2067.6,0.0,16.83,-15.8,63.1,72.1,74.4,76.1,79.0,75.0,76.2,76.5,49.2,50.1,4.0,12.0,-2.6,1.8,43.0,45.0,45.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,4.0,5.0,34.0,30.0,31.0,12.0,12.0,14.0,45.03,44.91,45.02,27.0,260.0,2.5,0.0,0.0,0.0
17.04,248.0,4.49,4.45,4.46,11.0,10.0,10.0,0.0,20.0,0.22,0.1,208.5,11.9,149.0,1.0,3.0,1634.0,701.0,1984.0,-3.0,2060.0,16.93,1800.4,1168.0,30.7,34.4,0.0,2.7,2067.6,0.0,16.83,-15.8,63.1,72.1,74.4,76.1,79.1,74.9,76.2,76.4,49.2,50.1,5.0,12.0,-2.6,1.8,42.0,44.0,45.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,4.0,5.0,34.0,30.0,31.0,12.0,12.0,14.0,45.03,44.91,45.02,27.0,260.0,2.5,0.0,0.0,0.0
16.76,352.0,7.04,7.03,7.03,10.0,13.0,12.0,0.0,6.3,0.07,-0.02,208.6,10.4,161.0,1.0,3.0,1629.0,700.0,1980.0,0.0,2055.0,16.75,1795.8,1172.0,32.3,35.2,0.0,2.8,2067.6,0.0,16.83,-15.8,63.1,72.1,74.2,76.0,79.1,74.9,76.2,76.4,49.2,50.1,4.0,12.0,-2.7,1.8,43.0,45.0,45.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,4.0,5.0,34.0,30.0,31.0,12.0,12.0,14.0,45.03,44.91,45.02,27.0,260.0,2.5,0.0,0.0,0.0
16.93,24.0,6.62,6.61,6.59,15.0,15.0,13.0,0.0,1.5,0.03,0.08,208.6,9.0,162.0,1.0,3.0,1637.0,700.0,1987.0,1.0,2065.0,16.79,1792.7,1175.0,29.7,32.1,0.0,2.8,2067.6,0.0,16.83,-15.8,63.2,72.2,74.2,76.1,79.1,74.9,76.2,76.5,49.2,50.1,4.0,12.0,-2.6,1.8,41.0,43.0,45.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,4.0,5.0,34.0,30.0,31.0,12.0,12.0,14.0,45.03,44.91,45.02,27.0,260.0,2.5,0.0,0.0,0.0
16.82,224.0,5.58,5.56,5.55,17.0,16.0,19.0,0.0,5.5,0.01,-0.06,208.2,11.1,159.0,1.0,3.0,1635.0,700.0,1985.0,4.0,2063.0,16.87,1793.7,1169.0,32.7,35.4,0.0,2.8,2067.6,0.0,16.83,-15.8,63.1,72.2,74.3,76.1,79.1,74.9,76.3,76.5,49.2,50.1,5.0,12.0,-2.6,1.8,43.0,46.0,45.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,4.0,5.0,34.0,30.0,31.0,12.0,12.0,14.0,45.04,44.91,45.02,27.0,250.0,2.5,0.0,0.0,0.0
16.93,72.0,11.06,11.04,11.04,10.0,10.0,10.0,0.0,-4.2,-0.02,0.06,208.6,15.3,164.0,1.0,3.0,1638.0,700.0,1988.0,2.0,2063.0,16.87,1798.2,1168.0,31.3,34.3,0.0,2.8,2067.6,0.0,16.83,-15.8,63.1,72.1,74.3,76.1,79.1,74.9,76.2,76.5,49.2,50.1,5.0,12.0,-2.6,1.8,42.0,45.0,45.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,4.0,5.0,34.0,30.0,31.0,12.0,12.0,14.0,45.04,44.91,45.02,27.0,250.0,2.5,0.0,0.0,0.0
16.89,344.0,9.06,9.05,9.03,11.0,12.0,12.0,0.0,-0.7,-0.09,0.07,209.0,13.4,161.0,1.0,3.0,1638.0,700.0,1988.0,-2.0,2069.0,16.89,1797.3,1167.0,31.6,35.7,0.0,2.7,2067.6,0.0,16.83,-15.8,63.2,72.2,74.5,76.1,79.1,74.9,76.2,76.5,49.2,50.1,4.0,12.0,-2.6,1.8,44.0,45.0,45.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,4.0,5.0,34.0,30.0,31.0,12.0,12.0,14.0,45.03,44.91,45.02,27.0,250.0,2.5,0.0,0.0,0.0
