轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
16.71,224.0,5.61,5.64,5.64,10.0,11.0,12.0,0.0,-2.2,-0.12,0.03,201.4,11.7,134.0,1.0,3.0,1612.0,704.0,1969.0,-2.0,2043.0,16.69,1796.5,1173.0,31.5,35.2,0.0,2.7,2067.6,0.0,16.83,-8.7,65.2,75.5,76.9,78.8,81.1,77.3,78.6,78.4,52.4,53.4,12.0,20.0,4.7,8.5,43.0,45.0,43.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,13.0,12.0,13.0,37.0,33.0,34.0,20.0,20.0,22.0,45.0,44.88,44.99,36.0,360.0,3.5,0.0,0.0,0.0
16.88,24.0,3.31,3.33,3.32,21.0,19.0,16.0,0.0,-7.1,0.07,0.14,201.6,10.8,134.0,1.0,3.0,1650.0,706.0,2018.0,-3.0,2106.0,17.04,1811.0,1165.0,30.8,33.7,0.0,2.7,2067.6,0.0,16.83,-8.7,66.5,76.5,78.4,79.7,82.1,78.3,79.6,79.5,52.4,53.4,13.0,20.0,4.7,8.5,41.0,44.0,43.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,13.0,12.0,13.0,37.0,33.0,34.0,20.0,20.0,22.0,45.0,44.88,44.99,36.0,350.0,3.5,0.0,0.0,0.0
16.51,280.0,2.8,2.84,2.81,18.0,14.0,13.0,0.0,-0.2,0.09,0.16,201.3,11.2,133.0,1.0,3.0,1649.0,706.0,2017.0,-2.0,2086.0,16.75,1799.5,1173.0,28.5,31.8,0.0,2.7,2067.6,0.0,16.83,-8.7,66.9,77.0,78.9,80.3,82.6,78.8,79.9,79.9,52.4,53.4,13.0,20.0,4.7,8.5,40.0,42.0,43.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,13.0,12.0,13.0,37.0,33.0,34.0,20.0,20.0,22.0,45.0,44.88,44.99,36.0,360.0,3.5,0.0,0.0,0.0
17.02,344.0,3.42,3.46,3.43,10.0,11.0,11.0,0.0,-4.6,0.13,0.09,201.2,11.7,133.0,1.0,3.0,1644.0,706.0,2011.0,-1.0,2082.0,17.0,1810.9,1167.0,32.7,35.5,0.0,2.7,2067.6,0.0,16.83,-8.7,65.9,76.1,77.9,79.3,81.5,77.9,79.0,79.0,52.4,53.4,12.0,20.0,4.7,8.5,43.0,46.0,43.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,13.0,12.0,13.0,37.0,33.0,34.0,20.0,20.0,22.0,45.0,44.88,44.99,36.0,360.0,3.5,0.0,0.0,0.0
16.6,288.0,3.51,3.54,3.51,11.0,17.0,16.0,0.0,-2.5,0.08,0.14,201.0,8.4,132.0,1.0,3.0,1644.0,705.0,2009.0,-4.0,2069.0,16.77,1803.4,1166.0,29.2,32.8,0.0,2.7,2067.6,0.0,16.83,-8.7,66.8,76.9,78.8,80.2,82.6,78.7,79.9,79.8,52.4,53.4,13.0,20.0,4.7,8.5,41.0,43.0,43.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,13.0,12.0,13.0,37.0,33.0,34.0,20.0,20.0,22.0,45.0,44.88,44.99,36.0,350.0,3.4,0.0,0.0,0.0
16.94,280.0,4.27,4.3,4.3,18.0,16.0,18.0,0.0,-0.3,-0.02,0.03,201.4,12.2,131.0,1.0,3.0,1630.0,704.0,1989.0,-3.0,2065.0,16.99,1804.1,1164.0,29.6,31.8,0.0,2.7,2067.6,0.0,16.83,-8.7,65.6,75.9,77.4,79.1,81.4,77.7,78.9,78.8,52.4,53.3,13.0,20.0,4.7,8.5,40.0,43.0,43.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,13.0,12.0,13.0,37.0,33.0,34.0,20.0,20.0,22.0,45.0,44.88,44.99,36.0,360.0,3.5,0.0,0.0,0.0
17.18,168.0,2.04,2.07,2.06,15.0,12.0,16.0,0.0,3.1,0.03,0.08,201.4,9.7,130.0,1.0,3.0,1623.0,705.0,1982.0,1.0,2059.0,17.11,1803.1,1163.0,30.5,33.3,0.0,2.7,2067.6,0.0,16.83,-8.7,66.5,76.5,78.4,79.7,82.1,78.3,79.5,79.5,52.4,53.4,12.0,20.0,4.7,8.5,42.0,44.0,43.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,13.0,12.0,13.0,37.0,33.0,34.0,20.0,20.0,22.0,45.0,44.88,44.99,36.0,350.0,3.5,0.0,0.0,0.0
16.71,224.0,4.25,4.27,4.25,19.0,16.0,14.0,0.0,-4.2,-0.11,0.11,201.1,11.0,137.0,1.0,3.0,1639.0,706.0,2006.0,1.0,2084.0,16.87,1802.8,1165.0,31.4,35.1,0.0,2.7,2067.6,0.0,16.83,-8.7,66.7,76.9,78.6,80.1,82.4,78.6,79.8,79.7,52.4,53.4,12.0,20.0,4.7,8.5,43.0,45.0,43.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,13.0,12.0,13.0,37.0,33.0,34.0,20.0,20.0,22.0,45.0,44.88,44.99,36.0,360.0,3.5,0.0,0.0,0.0
16.92,304.0,5.95,5.99,5.99,11.0,12.0,11.0,0.0,-2.1,0.2,0.1,201.3,11.6,134.0,1.0,3.0,1632.0,705.0,1995.0,1.0,2064.0,16.84,1807.9,1169.0,31.6,35.3,0.0,2.7,2067.6,0.0,16.83,-8.7,65.2,75.5,76.9,78.8,81.1,77.3,78.5,78.3,52.4,53.4,12.0,20.0,4.7,8.5,43.0,45.0,43.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,13.0,12.0,13.0,37.0,33.0,34.0,20.0,20.0,22.0,45.0,44.88,44.99,36.0,350.0,3.5,0.0,0.0,0.0
16.82,32.0,1.77,1.79,1.78,16.0,17.0,15.0,0.0,3.4,0.03,0.1,201.1,9.1,130.0,1.0,3.0,1604.0,705.0,1961.0,-2.0,2035.0,16.75,1797.2,1175.0,30.2,32.7,0.0,2.7,2067.6,0.0,16.83,-8.7,66.4,76.5,78.5,79.7,82.0,78.2,79.5,79.4,52.4,53.4,12.0,20.0,4.7,8.5,41.0,44.0,43.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,13.0,12.0,13.0,37.0,33.0,34.0,20.0,20.0,22.0,45.0,44.89,44.99,36.0,360.0,3.5,0.0,0.0,0.0
