轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
11.55,96,0.24,0.25,0.23,11,12,11,0,-8.8,0.03,0.02,208.0,5.1,133,1,3,398,694,480,1,496,11.54,560.9,415,27.4,28.7,0,2.7,1262.9,0,15.59,-11.6,13.1,15.0,14.9,16.6,16.3,15.0,16.8,15.8,43.3,44.0,4,12,-0.3,3.0,31,32,35,0,0,0,6,6,4,0,5,5,5,29,26,26,12,12,14,45.03,44.91,45.02,23,230,2.2,0,0,0
10.11,96,0.24,0.25,0.23,11,11,11,0,-5.7,0.04,0.11,208.3,5.6,129,1,3,266,693,320,-3,333,10.13,422.8,313,30.2,31.1,0,2.7,1262.9,0,15.59,-11.6,12.9,14.7,14.7,16.3,15.9,14.6,16.6,15.5,43.2,43.9,4,12,-0.3,3.0,33,34,35,0,0,0,6,6,4,0,5,5,5,29,26,26,12,12,14,45.03,44.91,45.02,23,230,2.1,0,0,0
10.2,96,0.24,0.25,0.23,11,11,11,0,-8.3,0.03,0.09,208.5,4.9,132,1,3,277,694,334,2,350,10.23,432.2,324,29.8,30.7,0,2.7,1262.9,0,15.59,-11.6,12.9,14.7,14.7,16.3,16.0,14.7,16.6,15.5,43.2,43.9,4,12,-0.3,3.0,33,33,35,0,0,0,6,6,4,0,5,5,5,29,26,26,12,12,14,45.03,44.9,45.02,24,230,2.1,0,0,0
10.14,96,0.24,0.25,0.23,12,11,11,0,-8.6,0.01,0.11,209.1,4.2,133,1,3,269,694,324,4,338,10.16,435.4,318,31.3,32.2,0,2.7,1262.9,0,15.59,-11.6,13.5,15.3,15.4,16.9,16.6,15.3,17.1,16.2,43.6,44.3,5,12,-0.3,3.0,34,35,35,0,0,0,6,6,4,0,5,5,5,29,26,26,12,12,14,45.03,44.91,45.02,23,230,2.2,0,0,0
11.5,96,0.24,0.25,0.23,12,12,11,0,-11.5,0.03,0.03,208.4,5.9,132,1,3,388,694,468,-4,487,11.46,554.6,409,32.5,33.6,0,2.8,1262.9,0,15.59,-11.6,13.3,15.1,15.1,16.7,16.5,15.2,17.0,15.9,43.5,44.2,5,12,-0.3,3.0,36,37,35,0,0,0,6,6,4,0,5,5,5,29,26,26,12,12,14,45.03,44.91,45.02,23,230,2.1,0,0,0
10.08,96,0.24,0.25,0.23,11,11,11,0,-8.7,0.01,0.08,208.2,2.8,131,1,3,262,694,316,2,327,10.06,421.8,313,31.1,32.1,0,2.7,1262.9,0,15.59,-11.6,13.6,15.4,15.5,17.0,16.7,15.4,17.2,16.2,43.6,44.3,4,12,-0.3,3.0,34,35,35,0,0,0,6,6,4,0,5,5,5,30,26,26,12,12,14,45.03,44.91,45.02,23,230,2.2,0,0,0
11.05,96,0.24,0.25,0.23,11,11,11,0,-2.2,0.06,0.14,207.9,4.9,128,1,3,346,694,417,0,429,10.95,512.5,377,27.9,28.8,0,2.7,1262.9,0,15.59,-11.6,13.1,14.9,15.0,16.5,16.2,14.9,16.8,15.8,43.3,44.0,4,12,-0.3,3.0,31,32,35,0,0,0,6,6,4,0,5,5,5,29,26,26,12,12,14,45.03,44.91,45.02,23,230,2.2,0,0,0
11.49,96,0.24,0.25,0.23,11,11,12,0,-8.9,0.05,0.06,208.6,5.3,132,1,3,404,694,487,-3,507,11.57,569.1,416,32.4,33.4,0,2.7,1262.9,0,15.59,-11.6,13.3,15.1,15.2,16.7,16.5,15.2,17.0,16.0,43.5,44.2,5,12,-0.3,3.0,36,37,35,0,0,0,6,6,4,0,5,5,5,29,26,26,12,12,14,45.03,44.91,45.02,23,240,2.1,0,0,0
10.19,96,0.24,0.25,0.23,11,11,11,0,-9.9,0.07,0.1,208.4,6.1,133,1,3,270,693,326,-1,340,10.16,429.5,320,29.7,30.6,0,2.7,1262.9,0,15.59,-11.6,12.9,14.8,14.7,16.3,16.0,14.7,16.6,15.6,43.2,43.9,4,12,-0.3,3.0,33,33,35,0,0,0,6,6,4,0,5,5,5,29,26,26,12,12,14,45.03,44.91,45.01,24,230,2.1,0,0,0
10.92,96,0.24,0.25,0.23,12,11,12,0,-5.8,0.13,0.08,208.6,4.3,132,1,3,346,694,418,0,432,11.01,517.5,375,32.7,33.5,0,2.7,1262.9,0,15.59,-11.6,13.3,15.1,15.1,16.7,16.5,15.1,17.0,15.9,43.5,44.2,4,12,-0.3,3.0,36,37,35,0,0,0,6,6,4,0,5,5,5,30,26,26,12,12,14,45.03,44.91,45.02,23,230,2.2,0,0,0
9.69,96,0.24,0.25,0.23,11,12,11,0,-5.8,0.13,0.06,208.1,4.6,131,1,3,233,693,281,1,290,9.72,387.4,289,30.6,31.5,0,2.7,1262.9,0,15.59,-11.6,13.7,15.4,15.7,17.1,16.8,15.5,17.4,16.4,43.7,44.4,4,12,-0.3,3.0,33,34,35,0,0,0,6,6,4,0,5,5,5,29,26,26,12,12,14,45.03,44.91,45.02,23,230,2.1,0,0,0
