轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
16.62,80,0.77,0.83,0.81,10,11,10,0,-20.5,-0.01,0.1,209.2,11.6,162,1,3,1612,701,1959,2,2028,16.73,1715.7,1152,30.8,33.5,0,2.7,2067.6,0,16.83,-8.3,60.0,65.1,69.7,68.1,70.1,67.0,67.7,68.0,50.7,51.6,11,17,7.8,10.5,41,43,44,0,0,0,6,6,4,0,10,9,9,35,31,32,17,17,19,45.01,44.9,45.01,32,320,3.1,0,0,0
16.76,208,0.57,0.62,0.61,20,16,14,0,9.4,0.17,0.19,209.6,7.7,147,1,3,1560,701,1897,3,1958,16.64,1723.1,1135,32.0,35.8,0,2.7,2067.6,0,16.83,-8.3,59.4,64.8,68.9,67.7,69.7,66.8,67.4,67.7,50.7,51.6,11,17,8.5,10.5,43,45,44,0,0,0,6,6,4,0,10,9,9,35,31,32,17,17,19,45.01,44.89,45.01,33,320,3.1,0,0,0
17.45,0,3.93,3.99,3.95,10,10,10,0,5.1,-0.04,0.11,209.7,12.1,151,1,3,1655,703,2018,-4,2086,17.39,1798.4,1145,32.6,35.5,0,2.7,2067.6,0,16.83,-8.3,59.3,64.6,68.7,67.6,69.6,66.6,67.3,67.5,50.7,51.6,11,17,8.5,10.5,43,45,44,0,0,0,6,6,4,0,10,9,9,35,31,32,17,17,19,45.01,44.89,45.0,32,310,3.1,0,0,0
16.48,296,0.36,0.42,0.41,10,11,11,0,-10.6,-0.01,0.19,209.0,9.3,158,1,3,1552,701,1886,0,1936,16.46,1666.5,1132,28.4,31.1,0,2.7,2067.6,0,16.83,-8.3,60.0,65.1,69.8,68.1,70.1,67.1,67.8,68.1,50.7,51.7,11,17,7.9,10.5,38,40,44,0,0,0,6,6,4,0,10,9,9,35,31,32,17,17,19,45.01,44.89,45.0,32,320,3.1,0,0,0
16.84,216,1.76,1.82,1.81,10,12,12,0,-11.0,-0.02,0.08,26.1,10.4,162,1,3,1627,701,1976,-2,2034,16.75,1788.2,1170,31.8,34.8,0,2.7,2067.6,0,16.83,-8.2,59.9,65.1,69.5,68.1,70.2,67.1,67.7,68.0,50.7,51.6,11,17,7.7,10.5,43,45,44,0,0,0,6,6,4,2,10,9,9,35,31,32,17,17,19,45.01,44.9,45.0,32,320,3.1,0,0,0
16.77,352,1.54,1.59,1.59,17,13,15,0,-7.9,0.08,0.15,211.6,10.1,158,1,3,1609,701,1955,0,2050,16.74,1785.0,1162,33.5,36.3,0,2.7,2067.6,0,16.83,-8.2,60.0,65.2,69.6,68.2,70.2,67.2,68.0,68.2,50.7,51.6,11,17,7.6,10.4,44,46,44,0,0,0,6,6,4,0,10,9,9,35,31,32,17,17,19,45.02,44.89,45.0,33,310,3.1,0,0,0
17.04,288,1.27,1.33,1.32,12,12,11,0,-8.4,0.01,0.19,26.3,8.7,161,1,3,1623,700,1969,-2,2071,16.84,1798.8,1174,32.4,35.0,0,2.7,2067.6,0,16.83,-8.2,60.0,65.1,69.6,68.1,70.2,67.1,67.8,68.0,50.7,51.7,11,17,7.6,10.5,43,45,44,0,0,0,6,6,4,2,10,9,9,35,31,32,17,17,19,45.01,44.89,45.0,33,320,3.1,0,0,0
16.64,160,1.19,1.24,1.23,10,11,13,0,-8.8,-0.07,-0.04,209.3,8.9,158,1,3,1642,701,1996,1,2056,16.82,1769.8,1169,28.9,30.9,0,2.7,2067.6,0,16.83,-8.3,60.0,65.1,69.7,68.0,70.1,67.0,67.7,68.0,50.7,51.7,11,17,7.9,10.5,39,41,44,0,0,0,6,6,4,0,10,9,9,35,31,32,17,17,19,45.02,44.89,44.99,32,320,3.1,0,0,0
16.81,272,3.17,3.22,3.21,22,18,18,0,10.6,0.13,0.14,26.1,10.5,141,1,3,1612,700,1957,5,2043,16.75,1786.1,1166,29.8,33.2,0,2.7,2067.6,0,16.83,-8.3,59.5,64.8,69.0,67.7,69.7,66.7,67.4,67.7,50.7,51.6,11,17,8.5,10.6,41,43,44,0,0,0,6,6,4,1,10,9,9,35,31,32,17,17,19,45.01,44.9,45.0,32,320,3.1,0,0,0
16.93,224,0.91,0.97,0.96,19,15,19,0,-20.9,-0.02,0.16,209.3,10.1,163,1,3,1593,701,1936,1,2010,16.84,1771.7,1156,31.0,33.4,0,2.7,2067.6,0,16.83,-8.3,60.0,65.1,69.6,68.1,70.1,67.0,67.7,68.0,50.7,51.6,10,17,7.8,10.5,41,43,44,0,0,0,6,6,4,0,10,9,9,35,31,32,17,17,19,45.01,44.9,45.0,32,320,3.1,0,0,0
