轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
-0.01,128,85.98,85.98,85.98,12,11,10,0,-6.0,0.03,0.08,210.1,0.0,264,1,2,0,698,0,2,0,0.01,0,0,21.9,21.9,0,2.7,2067.6,0,16.83,-1.7,-7.6,-5.1,-7.4,-1.8,1.2,-5.5,2.0,3.2,-3.3,-3.9,1,13,-0.6,2.7,22,22,19,0,0,0,3,4,4,0,7,2,3,29,24,25,13,13,7,45.03,44.92,45.02,28,240,2.3,0,0,0
0.0,128,85.98,85.98,85.98,12,11,10,0,-26.3,0.03,0.1,210.3,2.0,290,1,2,0,699,0,1,0,0.01,0,0,21.9,21.9,0,2.6,2067.6,0,16.83,-1.8,-7.6,-5.1,-7.4,-1.8,1.2,-5.6,2.0,3.2,-3.3,-3.9,1,13,-0.6,2.7,22,22,18,0,0,0,3,4,4,0,7,2,3,29,24,25,13,13,7,45.03,44.92,45.02,27,230,2.3,0,0,0
-0.02,128,85.98,85.98,85.98,12,11,10,0,-21.9,0.03,0.08,210.5,1.8,283,1,2,0,700,0,2,0,0.01,0,0,21.7,21.8,0,2.7,2067.6,0,16.83,-1.5,-7.6,-5.1,-7.4,-1.7,1.2,-5.5,2.0,3.2,-3.3,-3.9,0,14,-0.5,2.8,22,22,19,0,0,0,3,4,4,0,6,2,3,29,24,25,14,14,7,45.03,44.93,45.02,29,240,2.2,0,0,0
0.0,128,85.98,85.98,85.98,12,11,11,0,-18.7,0.03,0.14,26.2,3.0,282,1,2,0,700,0,1,0,0.01,0,0,21.9,21.8,0,2.7,2067.6,0,16.83,-1.3,-7.5,-5.0,-7.4,-1.6,1.3,-5.5,2.2,3.2,-3.4,-3.9,0,14,-0.5,2.8,22,22,19,0,0,0,3,4,4,2,5,2,3,29,24,25,14,14,8,45.03,44.93,45.03,29,240,2.4,0,0,0
-0.01,128,85.98,85.98,85.98,12,11,10,0,-24.5,0.03,0.08,210.5,1.7,291,1,2,0,699,0,1,0,0.01,0,0,21.9,21.9,0,2.7,2067.6,0,16.83,-1.8,-7.6,-5.1,-7.4,-1.8,1.2,-5.6,2.0,3.2,-3.3,-3.9,1,13,-0.6,2.7,22,22,18,0,0,0,3,4,4,0,7,2,3,29,24,25,13,13,7,45.03,44.92,45.03,28,230,2.2,0,0,0
0.0,128,85.98,85.98,85.98,12,11,10,0,-17.0,0.03,0.08,210.4,1.4,274,1,2,0,699,0,1,0,0.01,0,0,21.9,21.9,0,2.6,2067.6,0,16.83,-1.6,-7.6,-5.1,-7.4,-1.8,1.2,-5.5,2.0,3.2,-3.3,-3.9,0,13,-0.5,2.7,22,22,19,0,0,0,3,4,4,0,6,2,3,29,24,25,13,13,7,45.03,44.92,45.03,28,240,2.3,0,0,0
0.0,128,85.98,85.98,85.98,12,11,10,0,16.6,0.03,0.08,210.5,0.3,272,1,2,0,698,0,1,0,0.01,0,0,21.8,21.9,0,2.7,2067.6,0,16.83,-1.8,-7.6,-5.1,-7.4,-1.8,1.2,-5.6,2.0,3.2,-3.3,-3.9,0,13,-0.6,2.7,22,22,19,0,0,0,3,4,4,0,7,2,3,29,24,25,13,13,7,45.03,44.92,45.03,28,240,2.2,0,0,0
0.0,128,85.98,85.98,85.98,12,11,10,0,-25.1,0.04,0.08,210.5,1.8,291,1,2,0,698,0,2,0,0.01,0,0,21.9,21.9,0,2.7,2067.6,0,16.83,-1.8,-7.6,-5.1,-7.4,-1.8,1.2,-5.6,2.0,3.2,-3.3,-3.9,1,13,-0.6,2.7,22,22,18,0,0,0,3,4,4,0,7,2,3,29,24,25,13,13,7,45.03,44.92,45.02,28,230,2.3,0,0,0
0.02,128,85.98,85.98,85.98,12,11,10,0,-35.9,0.04,0.07,210.5,1.6,284,1,2,0,699,0,1,0,0.01,0,0,21.9,21.9,0,2.7,2067.6,0,16.83,-1.8,-7.6,-5.1,-7.4,-1.8,1.2,-5.6,2.0,3.2,-3.3,-3.9,0,13,-0.6,2.7,22,22,18,0,0,0,3,4,4,0,7,2,3,29,24,25,13,13,7,45.03,44.92,45.02,28,230,2.3,0,0,0
-0.01,128,85.98,85.98,85.98,12,11,10,0,27.8,0.03,0.11,210.8,2.2,244,1,2,0,698,0,1,0,0.01,0,0,21.8,21.7,0,2.7,2067.6,0,16.83,-2.0,-7.6,-5.1,-7.4,-1.8,1.2,-5.6,2.0,3.0,-3.3,-3.9,1,13,-0.6,2.7,22,22,18,0,0,0,3,4,4,0,8,2,3,29,24,25,13,13,7,45.03,44.92,45.03,28,230,2.3,0,0,0
0.01,128,85.98,85.98,85.98,12,11,10,0,-46.6,0.03,0.08,210.3,0.6,290,1,2,0,699,0,1,0,0.01,0,0,21.9,21.9,0,2.7,2067.6,0,16.83,-1.8,-7.6,-5.1,-7.4,-1.8,1.2,-5.6,2.0,3.2,-3.3,-3.9,0,13,-0.6,2.7,22,22,19,0,0,0,3,4,4,0,7,2,3,29,24,25,13,13,7,45.03,44.92,45.03,28,230,2.4,0,0,0
-0.01,128,85.98,85.98,85.98,12,11,10,0,-28.4,0.03,0.06,210.7,1.7,267,1,2,0,699,0,1,0,0.01,0,0,21.7,21.8,0,2.7,2067.6,0,16.83,-1.8,-7.6,-5.1,-7.5,-1.8,1.2,-5.6,2.0,3.2,-3.3,-3.9,1,13,-0.6,2.7,22,22,18,0,0,0,3,4,4,0,8,2,3,29,24,25,13,13,7,45.03,44.92,45.02,28,230,2.3,0,0,0
0.02,128,85.98,85.98,85.98,12,11,10,0,-1.4,0.04,0.08,210.5,1.2,284,1,2,0,699,0,1,0,0.01,0,0,21.8,21.8,0,2.6,2067.6,0,16.83,-1.8,-7.6,-5.1,-7.4,-1.8,1.2,-5.6,2.0,3.2,-3.3,-3.9,1,13,-0.6,2.7,22,22,19,0,0,0,3,4,4,0,7,2,3,29,24,25,13,13,7,45.03,44.92,45.03,28,230,2.3,0,0,0
-0.03,128,85.98,85.98,85.98,12,11,10,0,-5.9,0.03,0.08,210.3,2.1,265,1,2,0,698,0,1,0,0.01,0,0,21.9,21.9,0,2.7,2067.6,0,16.83,-1.6,-7.6,-5.1,-7.4,-1.8,1.2,-5.5,2.0,3.2,-3.3,-3.9,1,13,-0.5,2.7,22,22,19,0,0,0,3,4,4,0,7,2,3,29,24,25,13,13,7,45.03,44.92,45.02,28,240,2.4,0,0,0
-0.05,128,85.98,85.98,85.98,12,11,10,0,-17.4,0.03,0.08,210.3,1.7,272,1,2,0,698,0,1,0,0.01,0,0,21.9,21.9,0,2.7,2067.6,0,16.83,-1.6,-7.6,-5.1,-7.4,-1.8,1.2,-5.5,2.0,3.2,-3.3,-3.9,0,13,-0.5,2.7,22,22,19,0,0,0,3,4,4,0,7,2,3,29,24,25,13,13,7,45.04,44.93,45.03,28,240,2.3,0,0,0
