轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
8.66,208,0.25,0.25,0.25,10,12,10,0,-3.8,-0.05,0.15,209.0,4.0,213,1,3,162,704,198,2,206,8.67,307.4,229,29.1,29.6,0,2.8,2067.6,0,16.83,-9.5,0.2,-1.0,-0.3,0.5,-0.1,-1.5,1.1,0.2,33.2,32.7,1,9,-0.1,2.4,31,32,34,0,0,0,6,6,4,0,2,0,0,28,24,24,9,9,11,45.04,44.92,45.03,23,240,2.1,0,0,0
7.9,256,0.25,0.25,0.25,10,11,11,0,22.0,0.08,0.14,208.9,3.0,207,1,3,121,705,149,2,155,7.85,255.5,191,30.4,31.0,0,2.8,2067.6,0,16.83,-9.6,0.2,-1.0,-0.3,0.5,-0.1,-1.5,1.1,0.2,33.3,32.8,2,9,0.0,2.4,32,33,34,0,0,0,6,6,4,0,2,0,0,27,24,24,9,9,11,45.04,44.92,45.03,23,240,2.1,0,0,0
8.51,144,0.25,0.25,0.25,10,10,11,0,6.6,0.05,0.16,209.2,3.5,209,1,3,155,705,190,-3,200,8.5,298.9,225,28.6,29.1,0,2.7,2067.6,0,16.83,-9.4,0.2,-1.1,-0.3,0.5,-0.1,-1.5,1.1,0.2,33.2,32.7,1,9,-0.1,2.4,30,31,34,0,0,0,6,6,4,0,2,0,0,27,24,24,9,9,11,45.04,44.92,45.04,22,240,2.3,0,0,0
7.49,24,0.25,0.25,0.25,11,10,10,0,-17.1,0.07,0.18,207.9,3.7,217,1,3,105,703,129,2,136,7.49,234.3,176,33.0,33.5,0,2.8,2067.6,0,16.83,-9.4,0.1,-1.1,-0.3,0.5,-0.1,-1.6,1.1,0.2,33.1,32.6,2,9,0.0,2.4,34,36,34,0,0,0,6,6,4,0,2,0,0,27,24,24,9,9,11,45.04,44.92,45.03,22,240,2.2,0,0,0
7.77,256,0.25,0.25,0.25,11,11,10,0,21.6,0.08,0.13,209.0,4.3,205,1,3,122,702,150,-2,155,7.79,252.4,187,30.6,31.1,0,2.8,2067.6,0,16.83,-9.5,0.3,-1.0,-0.2,0.5,-0.1,-1.5,1.1,0.3,33.3,32.8,2,9,0.0,2.4,32,33,34,0,0,0,6,6,4,0,2,0,0,28,24,24,9,9,11,45.04,44.92,45.03,24,230,2.1,0,0,0
8.23,216,0.25,0.25,0.25,11,11,10,0,3.6,-0.17,0.01,209.4,4.6,211,1,3,142,704,174,2,178,8.3,283.8,211,28.4,28.9,0,2.8,2067.6,0,16.83,-9.4,0.2,-1.1,-0.3,0.5,-0.1,-1.6,1.0,0.2,33.1,32.6,2,9,-0.1,2.4,30,31,34,0,0,0,6,6,4,0,2,0,0,28,24,24,9,9,11,45.05,44.92,45.03,24,240,2.2,0,0,0
8.66,88,0.25,0.25,0.25,10,10,12,0,-0.4,0.03,0.06,208.7,4.5,212,1,3,161,703,197,2,206,8.6,306.5,231,31.3,32.0,0,2.8,2067.6,0,16.83,-9.6,0.3,-1.0,-0.2,0.5,-0.1,-1.5,1.1,0.2,33.4,32.8,2,9,0.0,2.4,33,34,34,0,0,0,6,6,4,0,2,0,0,27,24,24,9,9,11,45.04,44.92,45.03,23,230,2.3,0,0,0
8.77,208,0.25,0.25,0.25,10,10,12,0,-0.9,0.08,0.05,209.0,4.5,213,1,3,173,703,211,1,215,8.74,315.2,240,29.1,29.7,0,2.8,2067.6,0,16.83,-9.5,0.2,-1.0,-0.3,0.5,-0.1,-1.5,1.1,0.2,33.2,32.7,2,9,-0.1,2.4,31,32,34,0,0,0,6,6,4,0,2,0,0,28,24,24,9,9,11,45.04,44.92,45.03,23,230,2.3,0,0,0
7.71,240,0.25,0.25,0.25,10,10,11,0,-26.5,0.01,0.12,26.4,3.9,226,1,3,118,703,145,1,145,7.71,242.7,184,31.5,33.5,0,2.8,2067.6,0,16.83,-9.4,0.1,-1.1,-0.3,0.5,-0.1,-1.6,1.0,0.2,33.1,32.5,2,9,0.0,2.4,34,35,34,0,0,0,6,6,4,2,2,0,0,27,24,24,9,9,11,45.04,44.92,45.03,23,240,2.1,0,0,0
7.7,112,0.25,0.25,0.25,11,11,10,0,-6.3,-0.01,0.08,208.0,3.3,216,1,3,117,704,144,-2,150,7.71,247.8,184,32.4,33.2,0,2.8,2067.6,0,16.83,-9.4,0.1,-1.0,-0.3,0.5,-0.1,-1.5,1.1,0.3,33.0,32.5,2,9,0.0,2.4,34,35,34,0,0,0,6,6,4,0,3,0,0,27,24,24,9,9,11,45.04,44.92,45.03,23,240,2.2,0,0,0
