轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
-0.06,288,85.98,85.98,85.98,12,12,10,0,-46.8,0.03,0.08,214.1,0.7,117,1,2,1,690,0,2,0,0.01,0,0,32.4,32.9,0,2.6,2067.6,0,16.83,12.7,8.5,7.8,10.1,8.7,6.5,6.2,8.5,7.2,20.5,20.0,12,23,7.8,10.3,32,35,35,0,0,0,3,4,4,0,11,12,12,33,32,30,23,23,21,45.01,44.9,44.99,40,400,3.6,0,0,0
-0.05,288,85.98,85.98,85.98,12,12,10,0,-35.4,0.03,0.08,214.1,2.3,115,1,2,0,689,0,0,0,0.01,0,0,32.3,32.7,0,2.7,2067.6,0,16.83,12.7,8.5,7.8,10.1,8.7,6.5,6.2,8.5,7.2,20.6,20.1,13,23,7.8,10.3,32,35,35,0,0,0,3,4,4,0,11,11,12,33,31,30,23,23,21,45.01,44.9,44.99,40,390,3.5,0,0,0
-0.01,288,85.98,85.98,85.98,12,12,10,0,-38.8,0.03,0.08,214.6,0.8,115,1,2,1,688,0,-2,0,0.01,0,0,29.0,29.2,0,2.7,2067.6,0,16.83,12.8,8.6,7.8,10.1,8.7,6.5,6.2,8.5,7.2,20.4,20.0,13,24,7.9,10.3,29,31,35,0,0,0,3,4,4,0,11,12,12,33,32,30,24,24,21,45.01,44.9,44.99,40,400,3.4,0,0,0
0.02,288,85.98,85.98,85.98,12,12,10,0,-28.0,0.03,0.08,214.5,0.6,111,1,2,1,689,0,2,0,0.01,0,0,32.2,33.3,0,2.6,2067.6,0,16.83,12.8,8.5,7.8,10.1,8.7,6.5,6.2,8.5,7.2,20.5,20.0,12,24,7.9,10.3,33,35,35,0,0,0,3,4,4,0,11,12,12,33,32,30,24,24,21,45.01,44.9,44.99,40,400,3.5,0,0,0
0.0,288,85.98,85.98,85.98,12,12,10,0,-31.6,0.03,0.09,214.5,1.9,112,1,2,0,689,0,1,0,0.01,0,0,31.2,31.9,0,2.7,2067.6,0,16.83,12.8,8.5,7.8,10.1,8.7,6.5,6.2,8.5,7.2,20.5,20.0,13,24,7.9,10.3,32,34,35,0,0,0,3,4,4,0,11,12,12,33,32,30,24,24,21,45.01,44.89,44.99,40,400,3.6,0,0,0
-0.02,288,85.98,85.98,85.98,12,12,10,0,-32.2,0.03,0.08,214.5,1.7,112,1,2,0,690,0,0,0,0.01,0,0,31.5,32.1,0,2.6,2067.6,0,16.83,12.8,8.5,7.8,10.1,8.7,6.5,6.2,8.5,7.2,20.5,20.0,13,24,7.9,10.3,32,34,35,0,0,0,3,4,4,0,11,12,12,33,31,30,24,24,21,45.01,44.89,44.99,40,390,3.6,0,0,0
0.0,288,85.98,85.98,85.98,12,12,10,0,-37.4,0.03,0.08,215.1,0.2,115,1,2,0,688,0,1,0,0.01,0,0,30.7,31.1,0,2.7,2067.6,0,16.83,12.8,8.7,7.9,10.3,8.7,6.6,6.2,8.5,7.3,20.3,19.9,13,24,7.9,10.4,31,33,35,0,0,0,3,4,4,0,11,12,13,33,32,30,24,24,21,45.01,44.9,44.99,40,400,3.5,0,0,0
0.0,288,85.98,85.98,85.98,12,12,10,0,-35.2,0.03,0.08,214.1,2.3,115,1,2,0,690,0,-1,0,0.01,0,0,32.3,32.8,0,2.7,2067.6,0,16.83,12.7,8.5,7.8,10.1,8.7,6.5,6.2,8.5,7.2,20.6,20.1,13,23,7.8,10.3,32,35,35,0,0,0,3,4,4,0,10,11,12,33,31,30,23,23,21,45.01,44.9,44.99,40,390,3.5,0,0,0
0.01,288,85.98,85.98,85.98,12,12,10,0,-31.8,0.03,0.08,214.4,0.9,112,1,2,0,689,0,0,0,0.01,0,0,30.5,31.2,0,2.6,2067.6,0,16.83,12.8,8.6,7.8,10.1,8.7,6.5,6.2,8.5,7.2,20.5,20.0,13,24,7.9,10.3,31,33,35,0,0,0,3,4,4,0,11,12,12,33,31,30,24,24,21,45.01,44.89,45.0,40,390,3.5,0,0,0
-0.05,288,85.98,85.98,85.98,12,12,10,0,-31.0,0.03,0.08,214.4,1.0,111,1,2,1,690,0,2,0,0.01,0,0,32.0,33.1,0,2.7,2067.6,0,16.83,12.8,8.6,7.8,10.1,8.7,6.5,6.2,8.5,7.2,20.5,20.0,13,24,7.9,10.3,33,35,35,0,0,0,3,4,4,0,11,12,12,33,31,30,24,24,21,45.01,44.9,44.99,40,400,3.6,0,0,0
0.03,288,85.98,85.98,85.98,12,12,10,0,-32.1,0.03,0.08,214.7,1.7,112,1,2,0,689,0,0,0,0.01,0,0,28.4,28.8,0,2.7,2067.6,0,16.83,12.8,8.6,7.8,10.1,8.7,6.5,6.2,8.5,7.2,20.4,20.0,12,24,7.9,10.3,28,31,35,0,0,0,3,4,4,0,11,12,12,33,31,30,24,24,21,45.01,44.89,44.99,40,390,3.5,0,0,0
-0.01,288,85.98,85.98,85.98,12,12,10,0,-29.7,0.03,0.08,214.4,1.5,111,1,2,1,688,0,-2,0,0.01,0,0,32.7,33.0,0,2.8,2067.6,0,16.83,12.8,8.5,7.8,10.1,8.7,6.5,6.2,8.5,7.2,20.5,20.0,13,23,7.9,10.3,33,35,35,0,0,0,3,4,4,0,11,12,12,33,32,30,23,23,21,45.01,44.89,44.99,40,400,3.5,0,0,0
-0.01,288,85.98,85.98,85.98,12,12,10,0,-24.8,0.03,0.09,214.8,0.6,112,1,2,0,688,0,0,0,0.01,0,0,29.8,30.2,0,2.7,2067.6,0,16.83,12.8,8.6,7.8,10.1,8.7,6.5,6.2,8.5,7.3,20.4,19.9,12,24,7.9,10.3,30,32,35,0,0,0,3,4,4,0,11,12,13,33,31,30,24,24,21,45.01,44.89,44.99,41,390,3.5,0,0,0
-0.03,288,85.98,85.98,85.98,12,12,10,0,-36.4,0.03,0.08,214.8,0.4,113,1,2,1,689,0,-2,0,0.01,0,0,29.6,30.1,0,2.7,2067.6,0,16.83,12.8,8.6,7.8,10.1,8.7,6.5,6.2,8.5,7.3,20.4,19.9,13,24,7.9,10.3,30,32,35,0,0,0,3,4,4,0,11,12,13,33,32,30,24,24,21,45.01,44.89,44.99,40,400,3.5,0,0,0
-0.05,288,85.98,85.98,85.98,12,12,10,0,-33.4,0.03,0.08,215.1,0.7,114,1,2,0,689,0,0,0,0.01,0,0,30.7,31.1,0,2.7,2067.6,0,16.83,12.8,8.7,7.9,10.2,8.7,6.6,6.2,8.5,7.3,20.3,19.9,13,24,7.9,10.3,31,33,35,0,0,0,3,4,4,0,11,12,13,33,31,30,24,24,21,45.01,44.9,44.99,41,400,3.5,0,0,0
0.0,288,85.98,85.98,85.98,12,12,10,0,-29.8,0.03,0.09,214.7,1.7,111,1,2,2,689,0,3,0,0.01,0,0,28.7,28.9,0,2.7,2067.6,0,16.83,12.8,8.6,7.8,10.1,8.7,6.5,6.2,8.5,7.2,20.4,20.0,13,24,7.9,10.3,28,31,35,0,0,0,3,4,4,0,11,12,12,33,32,30,24,24,21,45.01,44.9,44.99,40,400,3.5,0,0,0
-0.01,288,85.98,85.98,85.98,12,12,10,0,-27.7,0.03,0.09,215.1,0.3,115,1,2,0,689,0,0,0,0.01,0,0,31.2,31.7,0,2.7,2067.6,0,16.83,12.7,8.8,7.9,10.3,8.7,6.7,6.2,8.5,7.3,20.3,19.8,13,24,7.9,10.5,31,34,35,0,0,0,3,4,4,0,11,12,13,33,31,30,24,24,21,45.01,44.9,44.99,41,390,3.6,0,0,0
-0.01,288,85.98,85.98,85.98,12,12,10,0,-37.4,0.03,0.09,214.4,0.8,114,1,2,1,690,0,2,0,0.01,0,0,31.7,32.4,0,2.7,2067.6,0,16.83,12.8,8.5,7.8,10.1,8.7,6.5,6.2,8.5,7.2,20.5,20.0,12,24,7.9,10.3,32,34,35,0,0,0,3,4,4,0,11,12,12,33,32,30,24,24,21,45.01,44.9,44.99,40,400,3.5,0,0,0
-0.01,288,85.98,85.98,85.98,12,12,10,0,-45.6,0.03,0.08,214.8,1.1,118,1,2,0,690,0,1,0,0.01,0,0,29.9,30.2,0,2.7,2067.6,0,16.83,12.8,8.6,7.8,10.1,8.7,6.5,6.2,8.5,7.3,20.4,19.9,13,24,7.9,10.3,30,32,35,0,0,0,3,4,4,0,11,12,13,33,31,30,24,24,21,45.01,44.89,44.99,40,400,3.5,0,0,0
-0.01,288,85.98,85.98,85.98,12,12,10,0,-29.6,0.03,0.08,215.2,0.5,113,1,2,0,688,0,1,0,0.01,0,0,31.9,32.3,0,2.7,2067.6,0,16.83,12.7,8.8,7.9,10.3,8.7,6.6,6.2,8.5,7.3,20.3,19.8,12,24,7.9,10.5,32,34,35,0,0,0,3,4,4,0,11,12,13,33,31,30,24,24,21,45.01,44.89,44.99,42,390,3.5,0,0,0
