轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
16.24,0,0.25,0.25,0.25,12,16,13,0,-7.2,0.03,0.02,210.2,9.8,88,1,3,1276,709,1568,-2,1621,16.17,1345.7,974,33.4,35.1,0,2.7,2067.6,0,16.83,-5.8,24.0,28.5,27.3,29.9,29.8,28.2,29.8,29.4,45.2,46.1,10,17,3.9,7.5,40,43,37,0,0,0,6,6,4,0,10,9,10,31,28,28,17,17,20,45.01,44.9,45.0,31,310,3.0,0,0,0
15.92,240,0.25,0.25,0.25,13,12,16,0,-6.1,0.03,0.1,210.1,8.0,91,1,3,1208,709,1486,2,1550,16.02,1321.4,909,29.9,31.9,0,2.7,2067.6,0,16.83,-5.9,23.5,27.8,26.7,29.2,29.2,27.5,29.2,28.8,45.1,46.0,10,17,3.9,7.5,37,39,37,0,0,0,6,6,4,0,10,9,9,31,28,28,17,17,19,45.01,44.89,45.0,31,310,2.9,0,0,0
16.24,32,0.25,0.25,0.25,14,12,14,0,-9.7,0.09,0.14,210.6,10.0,94,1,3,1270,710,1563,1,1626,16.22,1390.4,956,29.6,32.1,0,2.7,2067.6,0,16.83,-6.0,23.0,27.3,26.3,28.8,28.7,27.0,28.7,28.2,45.1,45.9,9,17,3.9,7.5,38,40,37,0,0,0,6,6,4,0,10,9,10,31,28,27,17,17,19,45.0,44.89,45.01,31,310,2.9,0,0,0
14.89,280,0.25,0.25,0.25,11,12,15,0,-7.2,0.04,-0.02,26.4,6.9,92,1,3,867,708,1064,0,1106,14.99,965.6,699,29.9,31.1,0,2.7,2067.6,0,16.83,-6.0,22.6,26.3,25.7,27.8,27.7,26.0,27.8,27.1,45.0,45.8,9,17,3.9,7.5,35,37,37,0,0,0,6,6,4,2,10,9,9,31,28,27,17,17,20,45.01,44.9,45.0,31,310,2.9,0,0,0
14.64,64,0.25,0.25,0.25,11,14,12,0,-2.9,0.05,0.12,26.5,7.8,90,1,3,810,708,994,-1,1031,14.63,933.4,674,30.2,31.4,0,2.8,2067.6,0,16.83,-6.0,22.6,26.3,25.7,27.8,27.6,26.0,27.7,27.2,45.0,45.8,10,17,3.9,7.5,36,37,37,0,0,0,6,6,4,2,10,9,9,31,28,27,17,17,20,45.01,44.9,45.0,31,310,2.8,0,0,0
15.45,136,0.25,0.25,0.25,12,15,13,0,-17.0,-0.19,0.08,209.1,7.4,95,1,3,920,708,1131,4,1171,15.35,990.6,733,29.3,30.9,0,2.7,2067.6,0,16.83,-6.0,22.6,26.2,25.7,27.8,27.6,26.0,27.7,27.2,45.0,45.8,9,17,3.9,7.5,35,37,37,0,0,0,6,6,4,0,10,9,9,31,28,27,17,17,20,45.01,44.89,45.0,30,310,2.9,0,0,0
16.6,208,0.25,0.25,0.25,14,15,12,0,-11.6,0.19,0.07,210.0,7.9,93,1,3,1404,710,1727,1,1786,16.47,1509.6,1049,29.2,31.9,0,2.7,2067.6,0,16.83,-5.7,24.6,29.3,27.8,30.8,30.8,29.1,30.7,30.2,45.3,46.1,10,17,3.9,7.5,39,41,38,0,0,0,6,6,4,0,10,9,9,31,28,28,17,17,20,45.01,44.9,45.0,31,320,3.0,0,0,0
16.07,224,0.25,0.25,0.25,14,12,15,0,-2.4,0.17,0.11,210.3,10.4,85,1,3,1211,709,1489,1,1548,16.1,1316.1,921,33.0,34.7,0,2.8,2067.6,0,16.83,-5.8,23.9,28.4,27.1,29.8,29.7,28.2,29.7,29.2,45.2,46.1,9,17,3.9,7.5,39,42,37,0,0,0,6,6,4,0,10,9,10,31,28,28,17,17,20,45.01,44.9,45.0,31,320,2.9,0,0,0
16.3,224,0.25,0.25,0.25,16,13,12,0,3.3,-0.07,0.12,210.8,10.0,85,1,3,1302,710,1603,-3,1667,16.3,1418.3,973,31.9,33.5,0,2.7,2067.6,0,16.83,-5.8,23.8,28.1,27.0,29.6,29.5,27.9,29.5,29.1,45.2,46.0,10,17,3.9,7.5,39,41,37,0,0,0,6,6,4,0,10,9,10,31,28,28,17,17,20,45.01,44.9,45.0,31,320,2.9,0,0,0
16.07,328,0.25,0.25,0.25,12,12,16,0,-10.9,0.01,0.14,210.4,10.2,92,1,3,1228,709,1510,-3,1568,16.08,1331.7,929,32.0,35.1,0,2.7,2067.6,0,16.83,-6.0,22.8,26.8,26.0,28.3,28.1,26.5,28.2,27.7,45.1,45.9,9,17,3.9,7.5,41,43,37,0,0,0,6,6,4,0,10,9,9,31,28,27,17,17,20,45.01,44.9,45.0,31,320,2.9,0,0,0
14.11,136,0.25,0.25,0.25,14,12,12,0,-0.9,0.01,0.08,211.0,6.9,91,1,3,710,707,872,0,908,14.11,897.0,612,30.5,31.9,0,2.7,2067.6,0,16.83,-6.0,22.7,26.2,25.8,27.8,27.6,26.0,27.7,27.2,45.0,45.8,9,17,3.9,7.5,36,37,37,0,0,0,6,6,4,0,10,9,9,31,28,27,17,17,19,45.01,44.9,45.0,31,310,2.9,0,0,0
16.27,88,0.25,0.25,0.25,15,12,14,0,-3.1,0.13,0.12,210.0,7.2,90,1,3,1322,710,1628,1,1685,16.25,1427.2,983,31.0,32.6,0,2.7,2067.6,0,16.83,-5.8,23.7,27.9,26.8,29.4,29.4,27.7,29.3,28.8,45.2,46.0,10,17,3.9,7.5,38,40,37,0,0,0,6,6,4,0,10,9,9,31,28,28,17,17,20,45.01,44.89,45.0,31,320,2.9,0,0,0
