轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
0.01,208,85.98,85.98,85.98,12,10,11,0,-24.6,0.03,0.08,205.8,0.9,153,1,3,1,692,0,2,0,0.01,0,0,29.5,30.4,0,2.7,2067.6,0,16.83,-19.8,-9.1,-8.4,-9.5,-6.9,-8.2,-8.9,-6.8,-7.8,19.2,19.0,-2,16,-7.4,-4.6,31,33,32,0,0,0,3,4,4,0,1,2,1,27,23,25,16,16,4,45.04,44.92,45.03,22,180,2.4,0,0,0
0.01,208,85.98,85.98,85.98,12,11,11,0,-34.7,0.03,0.08,206.0,1.0,159,1,3,2,692,0,4,0,0.01,0,0,29.9,30.8,0,2.7,2067.6,0,16.83,-19.8,-9.2,-8.4,-9.5,-6.9,-8.2,-8.9,-6.8,-7.8,19.1,18.9,-2,17,-7.4,-4.6,31,33,32,0,0,0,3,4,4,0,1,2,1,27,22,25,17,17,5,45.04,44.92,45.03,21,180,2.4,0,0,0
-0.01,208,85.98,85.98,85.98,12,11,11,0,-25.3,0.03,0.08,206.0,1.2,153,1,3,0,692,0,1,0,0.01,0,0,29.6,30.4,0,2.7,2067.6,0,16.83,-19.8,-9.1,-8.4,-9.5,-6.9,-8.2,-8.9,-6.8,-7.8,19.2,19.0,-2,16,-7.4,-4.6,31,33,32,0,0,0,3,4,4,0,1,2,1,27,22,25,16,16,4,45.04,44.92,45.03,21,170,2.3,0,0,0
0.01,208,85.98,85.98,85.98,12,10,11,0,-32.8,0.03,0.08,206.0,2.2,158,1,3,4,692,0,-6,0,0.01,0,0,28.5,29.5,0,2.7,2067.6,0,16.83,-19.9,-9.1,-8.3,-9.4,-6.8,-8.1,-8.8,-6.7,-7.8,19.5,19.2,-2,15,-7.4,-4.6,30,32,33,0,0,0,3,4,4,0,1,2,1,27,23,25,15,15,5,45.04,44.92,45.03,21,180,2.4,0,0,0
0.0,208,85.98,85.98,85.98,12,11,11,0,-31.4,0.03,0.08,206.0,2.1,157,1,3,1,692,0,-2,0,0.01,0,0,28.4,29.3,0,2.7,2067.6,0,16.83,-19.8,-9.1,-8.3,-9.3,-6.8,-8.1,-8.8,-6.6,-7.8,19.5,19.2,-2,15,-7.4,-4.6,29,32,33,0,0,0,3,4,4,0,1,2,1,27,22,25,15,15,5,45.04,44.92,45.03,21,180,2.3,0,0,0
0.0,208,85.98,85.98,85.98,12,11,11,0,-31.5,0.03,0.08,206.0,1.1,155,1,3,0,692,0,0,0,0.01,0,0,29.8,30.7,0,2.7,2067.6,0,16.83,-19.8,-9.2,-8.4,-9.5,-6.9,-8.2,-8.9,-6.8,-7.8,19.2,18.9,-3,17,-7.4,-4.6,31,33,32,0,0,0,3,4,4,0,1,2,1,28,22,25,17,17,5,45.04,44.92,45.03,21,180,2.3,0,0,0
-0.01,208,85.98,85.98,85.98,12,11,11,0,-28.6,0.03,0.08,206.0,1.5,155,1,3,0,692,0,1,0,0.01,0,0,29.3,30.0,0,2.8,2067.6,0,16.83,-19.8,-9.1,-8.4,-9.5,-6.9,-8.2,-8.9,-6.8,-7.8,19.3,19.1,-2,16,-7.4,-4.6,30,32,32,0,0,0,3,4,4,0,1,2,1,27,22,25,16,16,5,45.04,44.92,45.04,21,170,2.4,0,0,0
0.01,208,85.98,85.98,85.98,12,11,11,0,-32.4,0.03,0.08,205.8,2.3,160,1,3,2,692,0,-3,0,0.01,0,0,28.8,29.7,0,2.7,2067.6,0,16.83,-19.8,-9.1,-8.4,-9.4,-6.8,-8.2,-8.9,-6.8,-7.8,19.4,19.1,-2,15,-7.4,-4.6,30,32,32,0,0,0,3,4,4,0,1,2,1,27,22,25,15,15,5,45.04,44.92,45.03,21,170,2.4,0,0,0
0.02,208,85.98,85.98,85.98,12,11,11,0,-29.4,0.03,0.08,206.0,1.8,158,1,3,1,693,0,2,0,0.01,0,0,29.1,29.9,0,2.7,2067.6,0,16.83,-19.8,-9.1,-8.3,-9.4,-6.8,-8.2,-8.9,-6.8,-7.8,19.4,19.1,-3,16,-7.4,-4.6,30,32,32,0,0,0,3,4,4,0,1,2,1,27,22,25,16,16,5,45.04,44.92,45.03,21,170,2.3,0,0,0
0.04,208,85.98,85.98,85.98,12,11,11,0,-23.3,0.03,0.08,205.9,0.9,152,1,3,0,693,0,1,0,0.01,0,0,29.6,30.5,0,2.7,2067.6,0,16.83,-19.8,-9.1,-8.4,-9.5,-6.9,-8.2,-8.9,-6.8,-7.8,19.2,19.0,-2,16,-7.4,-4.6,31,33,32,0,0,0,3,4,4,0,1,2,1,27,23,25,16,16,5,45.04,44.92,45.04,21,180,2.4,0,0,0
0.0,208,85.98,85.98,85.98,12,11,11,0,-22.2,0.03,0.08,205.9,1.0,152,1,3,0,692,0,0,0,0.01,0,0,29.3,30.1,0,2.7,2067.6,0,16.83,-19.8,-9.1,-8.4,-9.5,-6.9,-8.2,-8.9,-6.8,-7.8,19.3,19.1,-2,16,-7.4,-4.6,30,33,32,0,0,0,3,4,4,0,1,2,1,27,22,25,16,16,5,45.04,44.92,45.03,22,180,2.4,0,0,0
0.02,208,85.98,85.98,85.98,12,11,11,0,-31.3,0.03,0.08,206.0,1.2,156,1,3,0,692,0,0,0,0.01,0,0,30.2,31.0,0,2.7,2067.6,0,16.83,-19.8,-9.2,-8.4,-9.5,-6.9,-8.3,-8.9,-6.8,-7.9,19.0,18.8,-2,17,-7.4,-4.6,31,33,32,0,0,0,3,4,4,0,1,2,1,27,23,25,17,17,4,45.04,44.92,45.04,22,180,2.4,0,0,0
-0.02,208,85.98,85.98,85.98,12,11,11,0,-28.7,0.03,0.08,206.0,2.6,157,1,3,0,693,0,0,0,0.01,0,0,27.7,28.5,0,2.7,2067.6,0,16.83,-19.9,-9.1,-8.3,-9.4,-6.8,-8.1,-8.8,-6.6,-7.6,19.6,19.3,-2,14,-7.2,-4.6,29,31,33,0,0,0,3,4,4,0,1,3,1,27,22,25,14,14,5,45.04,44.92,45.04,21,180,2.4,0,0,0
