轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
10.44,96.0,0.24,0.25,0.23,11.0,11.0,11.0,0.0,8.7,0.05,0.11,208.4,4.7,120.0,1.0,3.0,291.0,693.0,350.0,3.0,361.0,10.44,444.5,332.0,27.7,27.8,0.0,2.7,1262.9,0.0,15.59,-11.8,11.4,13.1,13.0,14.5,14.2,13.0,15.0,13.8,42.3,42.9,4.0,12.0,-0.5,2.8,30.0,30.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,5.0,5.0,29.0,25.0,26.0,12.0,12.0,14.0,45.03,44.91,45.02,23.0,230.0,2.1,0.0,0.0,0.0
10.95,96.0,0.24,0.25,0.23,11.0,12.0,11.0,0.0,3.9,0.01,0.07,208.1,4.8,124.0,1.0,3.0,332.0,693.0,399.0,-1.0,414.0,10.86,495.1,366.0,29.7,30.9,0.0,2.7,1262.9,0.0,15.59,-11.9,11.3,12.9,12.8,14.4,14.1,12.9,14.8,13.6,42.1,42.8,4.0,12.0,-0.6,2.8,33.0,34.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,5.0,5.0,29.0,25.0,25.0,12.0,12.0,14.0,45.03,44.91,45.02,23.0,230.0,2.1,0.0,0.0,0.0
10.58,96.0,0.24,0.25,0.23,12.0,12.0,11.0,0.0,14.1,-0.03,0.1,207.9,4.5,120.0,1.0,3.0,301.0,694.0,363.0,-5.0,377.0,10.62,467.0,342.0,28.0,28.9,0.0,2.7,1262.9,0.0,15.59,-11.9,11.4,13.0,12.9,14.5,14.1,12.9,14.9,13.7,42.2,42.9,4.0,12.0,-0.5,2.8,31.0,32.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,5.0,5.0,29.0,26.0,26.0,12.0,12.0,14.0,45.03,44.91,45.02,22.0,230.0,2.1,0.0,0.0,0.0
11.0,96.0,0.24,0.25,0.23,11.0,12.0,11.0,0.0,6.0,0.06,0.11,208.3,6.2,121.0,1.0,3.0,340.0,693.0,409.0,-2.0,421.0,10.92,497.4,372.0,27.5,28.6,0.0,2.7,1262.9,0.0,15.59,-11.9,11.4,13.0,13.0,14.5,14.2,13.0,15.0,13.8,42.2,43.0,4.0,12.0,-0.5,2.8,30.0,31.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,5.0,5.0,29.0,26.0,25.0,12.0,12.0,14.0,45.03,44.91,45.02,23.0,230.0,2.1,0.0,0.0,0.0
10.24,96.0,0.24,0.25,0.23,11.0,12.0,11.0,0.0,-0.1,0.07,0.09,208.1,4.6,128.0,1.0,3.0,275.0,693.0,331.0,1.0,342.0,10.24,437.6,321.0,32.3,33.4,0.0,2.7,1262.9,0.0,15.59,-11.7,11.6,13.2,13.2,14.7,14.3,13.2,15.1,14.0,42.4,43.1,4.0,12.0,-0.5,3.0,35.0,36.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,5.0,5.0,29.0,26.0,26.0,12.0,12.0,14.0,45.03,44.91,45.02,23.0,230.0,2.1,0.0,0.0,0.0
9.3,96.0,0.24,0.25,0.23,11.0,10.0,11.0,0.0,7.1,0.03,0.08,208.4,5.0,124.0,1.0,3.0,207.0,694.0,250.0,1.0,265.0,9.32,365.7,269.0,31.5,32.5,0.0,2.7,1262.9,0.0,15.59,-11.7,11.8,13.3,13.3,14.9,14.5,13.3,15.2,14.2,42.5,43.2,5.0,12.0,-0.5,3.0,34.0,35.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,5.0,5.0,29.0,26.0,26.0,12.0,12.0,14.0,45.03,44.91,45.02,23.0,230.0,2.1,0.0,0.0,0.0
10.99,96.0,0.24,0.25,0.23,11.0,11.0,12.0,0.0,9.7,0.1,0.07,208.5,6.0,122.0,1.0,3.0,349.0,695.0,421.0,-1.0,439.0,10.99,512.8,377.0,29.7,30.8,0.0,2.7,1262.9,0.0,15.59,-11.9,11.3,13.0,12.8,14.4,14.1,12.9,14.9,13.7,42.1,42.8,4.0,12.0,-0.6,2.8,33.0,34.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,5.0,5.0,29.0,26.0,25.0,12.0,12.0,14.0,45.03,44.91,45.02,23.0,230.0,2.1,0.0,0.0,0.0
11.01,96.0,0.24,0.25,0.23,12.0,11.0,11.0,0.0,4.8,0.02,0.06,208.1,5.5,124.0,1.0,3.0,338.0,694.0,408.0,-3.0,425.0,10.98,496.3,371.0,30.4,31.3,0.0,2.7,1262.9,0.0,15.59,-11.9,11.3,12.9,12.8,14.4,14.0,12.9,14.8,13.6,42.1,42.8,4.0,12.0,-0.6,2.8,34.0,34.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,5.0,5.0,29.0,25.0,25.0,12.0,12.0,14.0,45.03,44.91,45.02,23.0,230.0,2.1,0.0,0.0,0.0
10.54,96.0,0.24,0.25,0.23,10.0,12.0,11.0,0.0,0.7,0.03,0.08,208.4,7.0,125.0,1.0,3.0,295.0,694.0,355.0,1.0,368.0,10.47,450.9,340.0,32.0,32.8,0.0,2.7,1262.9,0.0,15.59,-11.7,11.7,13.3,13.2,14.8,14.4,13.2,15.2,14.1,42.5,43.1,4.0,12.0,-0.5,3.0,35.0,35.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,5.0,5.0,29.0,26.0,25.0,12.0,12.0,14.0,45.03,44.91,45.02,23.0,220.0,2.1,0.0,0.0,0.0
10.9,96.0,0.24,0.25,0.23,11.0,11.0,12.0,0.0,-0.2,0.03,0.08,208.0,4.4,125.0,1.0,3.0,340.0,694.0,409.0,2.0,427.0,10.98,509.5,371.0,29.5,30.4,0.0,2.7,1262.9,0.0,15.59,-11.9,11.3,13.0,12.7,14.4,14.1,12.9,14.9,13.7,42.1,42.8,4.0,12.0,-0.6,2.8,33.0,33.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,5.0,5.0,29.0,25.0,25.0,12.0,12.0,14.0,45.03,44.91,45.01,23.0,230.0,2.1,0.0,0.0,0.0
9.56,96.0,0.24,0.25,0.23,11.0,12.0,11.0,0.0,2.2,0.05,0.07,208.2,4.4,124.0,1.0,3.0,223.0,693.0,269.0,1.0,282.0,9.59,381.2,281.0,31.2,32.1,0.0,2.8,1262.9,0.0,15.59,-11.7,11.8,13.4,13.4,15.0,14.5,13.4,15.3,14.2,42.6,43.2,4.0,12.0,-0.5,3.0,34.0,35.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,5.0,5.0,29.0,26.0,25.0,12.0,12.0,14.0,45.03,44.91,45.02,23.0,230.0,2.1,0.0,0.0,0.0
10.53,96.0,0.24,0.25,0.23,12.0,12.0,12.0,0.0,9.5,-0.02,0.01,208.0,5.8,122.0,1.0,3.0,301.0,693.0,362.0,1.0,376.0,10.59,459.6,341.0,33.0,34.0,0.0,2.7,1262.9,0.0,15.59,-11.8,11.5,13.2,13.1,14.6,14.3,13.1,15.1,13.9,42.3,43.0,4.0,12.0,-0.5,2.9,36.0,37.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,5.0,5.0,29.0,26.0,26.0,12.0,12.0,14.0,45.03,44.91,45.02,23.0,230.0,2.1,0.0,0.0,0.0
9.91,96.0,0.24,0.25,0.23,12.0,12.0,11.0,0.0,5.4,-0.03,0.03,208.2,5.2,123.0,1.0,3.0,256.0,693.0,309.0,-1.0,320.0,9.97,413.9,306.0,27.5,29.4,0.0,2.7,1262.9,0.0,15.59,-11.8,11.5,13.0,13.0,14.6,14.3,13.0,15.0,13.8,42.3,43.0,4.0,12.0,-0.5,2.8,31.0,32.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,5.0,5.0,29.0,26.0,25.0,12.0,12.0,14.0,45.03,44.91,45.02,23.0,230.0,2.1,0.0,0.0,0.0
9.93,96.0,0.24,0.25,0.23,11.0,11.0,11.0,0.0,9.0,0.03,0.1,208.0,4.9,121.0,1.0,3.0,259.0,693.0,312.0,2.0,324.0,10.01,422.3,309.0,28.3,29.9,0.0,2.7,1262.9,0.0,15.59,-11.9,11.5,13.1,12.9,14.6,14.3,13.0,15.0,13.8,42.3,43.0,4.0,12.0,-0.5,2.8,32.0,33.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,5.0,5.0,29.0,26.0,26.0,12.0,12.0,14.0,45.03,44.91,45.02,23.0,230.0,2.1,0.0,0.0,0.0
11.22,96.0,0.24,0.25,0.23,11.0,12.0,11.0,0.0,10.0,0.03,0.1,208.2,6.0,121.0,1.0,3.0,361.0,694.0,435.0,1.0,452.0,11.17,517.3,387.0,30.7,31.6,0.0,2.7,1262.9,0.0,15.59,-11.9,11.3,12.9,12.8,14.4,14.0,12.8,14.8,13.7,42.1,42.7,4.0,12.0,-0.6,2.8,34.0,35.0,34.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,5.0,5.0,5.0,29.0,25.0,26.0,12.0,12.0,14.0,45.03,44.91,45.02,23.0,230.0,2.1,0.0,0.0,0.0
