轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
11.67,216,0.25,0.25,0.25,12,11,13,0,12.6,0.04,0.08,214.1,6.1,134,1,3,416,694,501,-2,517,11.73,592.0,423,30.7,32.2,0,2.7,2067.6,0,16.83,5.5,26.5,25.3,28.6,26.7,25.6,25.0,26.9,25.6,47.2,47.8,17,24,14.6,17.3,34,35,37,0,0,0,6,6,4,0,17,16,16,34,31,30,24,24,25,44.98,44.87,44.98,37,370,3.6,0,0,0
12.76,72,0.25,0.25,0.25,12,12,10,0,9.8,0.05,0.08,213.9,6.3,138,1,3,527,695,635,0,659,12.67,682.6,498,33.3,34.3,0,2.8,2067.6,0,16.83,5.5,26.6,25.3,28.6,26.7,25.6,25.0,26.8,25.6,47.2,47.7,17,24,14.6,17.3,36,37,37,0,0,0,6,6,4,0,17,16,16,34,30,30,24,24,25,44.98,44.87,44.97,37,370,3.6,0,0,0
11.75,160,0.25,0.25,0.25,11,12,13,0,9.8,0.04,0.12,214.0,6.4,135,1,3,434,695,523,2,547,11.9,610.4,437,32.0,33.0,0,2.7,2067.6,0,16.83,5.5,26.7,25.4,28.8,26.7,25.6,25.1,26.9,25.6,47.2,47.8,17,24,14.6,17.3,34,35,37,0,0,0,6,6,4,0,17,16,16,34,31,30,24,24,26,44.97,44.87,44.97,37,370,3.6,0,0,0
13.85,0,0.25,0.25,0.25,11,13,14,0,5.2,0.04,0.08,213.5,5.8,137,1,3,702,696,847,2,881,13.91,914.5,602,32.3,33.1,0,2.8,2067.6,0,16.83,5.5,26.2,25.3,28.3,26.7,25.6,25.1,26.9,25.6,47.0,47.7,18,24,14.6,17.3,37,38,37,0,0,0,6,6,4,0,17,16,16,33,31,30,24,24,25,44.98,44.87,44.98,37,380,3.6,0,0,0
12.31,152,0.25,0.25,0.25,11,12,11,0,2.7,0.03,0.08,213.9,7.0,141,1,3,480,694,578,1,604,12.28,641.9,469,32.7,33.5,0,2.7,2067.6,0,16.83,5.5,26.7,25.2,28.7,26.7,25.6,25.0,26.8,25.6,47.2,47.8,18,24,14.6,17.3,36,36,37,0,0,0,6,6,4,0,17,16,16,34,31,30,24,24,25,44.98,44.87,44.98,37,370,3.6,0,0,0
12.7,56,0.25,0.25,0.25,13,12,10,0,-1.5,0.03,0.08,213.7,6.2,144,1,3,523,695,631,2,654,12.66,679.4,496,28.4,29.7,0,2.7,2067.6,0,16.83,5.5,26.5,25.7,28.7,27.2,26.1,25.6,27.3,26.1,47.1,47.7,16,24,14.6,17.3,33,33,37,0,0,0,6,6,4,0,17,16,16,34,31,30,24,24,25,44.98,44.87,44.97,37,380,3.5,0,0,0
12.59,0,0.25,0.25,0.25,13,12,11,0,9.8,0.03,0.1,214.0,7.1,139,1,3,504,694,607,-2,633,12.57,660.8,481,33.1,33.7,0,2.8,2067.6,0,16.83,5.5,26.6,25.3,28.7,26.7,25.6,25.0,26.8,25.5,47.2,47.7,17,24,14.6,17.3,36,37,37,0,0,0,6,6,4,0,17,16,16,34,31,30,24,24,25,44.98,44.87,44.98,37,370,3.6,0,0,0
13.64,152,0.25,0.25,0.25,11,13,12,0,8.4,0.03,0.08,213.6,7.3,137,1,3,661,696,798,4,825,13.63,800.4,579,32.6,33.6,0,2.8,2067.6,0,16.83,5.5,26.2,25.4,28.4,26.8,25.7,25.1,27.0,25.7,47.1,47.8,18,24,14.6,17.3,37,38,37,0,0,0,6,6,4,0,17,16,16,34,31,30,24,24,25,44.98,44.87,44.98,37,370,3.5,0,0,0
10.47,248,0.25,0.25,0.25,12,11,10,0,-9.0,0.03,0.13,213.9,4.8,143,1,3,287,693,346,3,358,10.42,453.0,331,31.0,31.7,0,2.7,2067.6,0,16.83,5.5,26.7,25.6,28.8,27.1,25.9,25.4,27.2,25.9,47.2,47.8,16,24,14.6,17.3,33,34,37,0,0,0,6,6,4,0,17,16,16,34,31,30,24,24,26,44.98,44.87,44.97,36,370,3.5,0,0,0
11.37,272,0.25,0.25,0.25,11,12,11,0,4.5,0.04,0.08,214.2,5.6,135,1,3,379,693,456,0,472,11.31,546.7,400,28.5,29.7,0,2.7,2067.6,0,16.83,5.5,26.5,25.2,28.7,26.6,25.5,24.9,26.7,25.6,47.2,47.8,17,24,14.6,17.3,31,32,37,0,0,0,6,6,4,0,17,16,16,33,31,30,24,24,26,44.98,44.87,44.97,37,370,3.5,0,0,0
11.47,296,0.25,0.25,0.25,12,12,11,0,-8.1,-0.02,0.06,214.0,5.4,142,1,3,386,694,465,0,481,11.47,559.0,402,32.9,33.5,0,2.7,2067.6,0,16.83,5.5,26.7,25.3,28.7,26.7,25.6,25.0,26.8,25.6,47.2,47.8,16,24,14.6,17.3,35,36,37,0,0,0,6,6,4,0,17,16,16,33,31,30,24,24,25,44.98,44.87,44.98,37,370,3.6,0,0,0
13.91,352,0.25,0.25,0.25,11,13,12,0,6.4,0.03,0.08,213.6,6.6,138,1,3,715,696,864,-2,896,13.97,909.9,611,31.4,33.0,0,2.7,2067.6,0,16.83,5.5,26.4,25.5,28.6,27.0,25.8,25.3,27.1,25.9,47.1,47.8,17,24,14.6,17.3,36,37,37,0,0,0,6,6,4,0,17,16,16,34,31,30,24,24,25,44.98,44.87,44.98,37,380,3.6,0,0,0
