轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
15.45,96,6.47,6.46,6.47,15,15,18,0,5.7,0.1,0.07,212.9,8.1,93,1,3,1008,694,1212,2,1257,15.57,1057.4,772,31.4,32.7,0,2.7,1262.9,0,15.59,-3.9,16.9,18.0,19.5,19.1,18.0,16.9,18.9,18.0,40.3,41.1,7,12,2.2,4.7,37,39,37,0,0,0,6,6,4,0,5,4,5,30,26,26,12,12,15,45.03,44.91,45.02,26,260,2.5,0,0,0
15.23,176,5.85,5.84,5.85,16,16,18,0,0.6,0.01,0.14,212.6,8.9,92,1,3,996,694,1199,0,1241,15.24,1062.3,777,32.1,33.6,0,2.7,1262.9,0,15.59,-4.1,16.3,17.3,18.7,18.4,17.3,16.1,18.1,17.3,40.0,40.8,6,12,2.2,4.7,38,40,37,0,0,0,6,6,4,0,5,4,4,29,26,26,12,12,14,45.03,44.91,45.02,26,250,2.5,0,0,0
15.02,32,5.82,5.81,5.83,16,17,17,0,2.0,0.15,0.06,213.5,9.1,89,1,3,994,693,1194,-5,1234,15.04,1069.1,784,29.5,31.1,0,2.7,1262.9,0,15.59,-3.8,17.5,18.5,20.1,19.6,18.6,17.4,19.4,18.5,40.5,41.3,6,12,2.2,4.8,35,37,37,0,0,0,6,6,4,0,5,4,5,30,26,26,12,12,15,45.03,44.91,45.02,27,270,2.5,0,0,0
15.39,256,6.28,6.28,6.28,16,15,17,0,-6.4,0.07,0.08,212.9,10.6,96,1,3,1004,694,1208,-6,1250,15.42,1059.9,777,29.3,30.4,0,2.7,1262.9,0,15.59,-3.9,16.8,17.7,19.3,18.9,17.8,16.6,18.6,17.8,40.2,41.0,6,12,2.2,4.7,35,37,37,0,0,0,6,6,4,0,5,4,5,29,26,26,12,12,15,45.03,44.91,45.02,26,260,2.5,0,0,0
15.76,208,6.62,6.61,6.62,18,16,13,0,0.4,0.19,0.12,213.2,10.4,92,1,3,1018,693,1224,-2,1271,15.73,1058.6,771,33.3,34.8,0,2.7,1262.9,0,15.59,-3.9,17.2,18.2,19.8,19.3,18.3,17.0,19.1,18.3,40.4,41.2,6,12,2.2,4.7,39,41,37,0,0,0,6,6,4,0,5,4,5,30,26,26,12,12,15,45.03,44.91,45.02,27,260,2.5,0,0,0
15.7,240,6.63,6.62,6.63,17,15,17,0,-11.1,0.01,0.09,213.0,7.6,100,1,3,1016,694,1223,-1,1272,15.75,1057.0,770,30.3,31.6,0,2.7,1262.9,0,15.59,-3.9,16.9,17.8,19.4,19.0,17.9,16.8,18.7,17.9,40.2,41.0,6,12,2.2,4.7,36,38,37,0,0,0,6,6,4,0,5,4,5,30,26,26,12,12,15,45.03,44.91,45.02,26,250,2.5,0,0,0
15.49,88,7.24,7.24,7.25,14,14,12,0,4.1,0.01,0.14,212.7,7.9,90,1,3,1003,693,1205,-3,1251,15.44,1057.3,775,33.1,34.5,0,2.7,1262.9,0,15.59,-4.1,16.4,17.3,18.8,18.5,17.5,16.3,18.3,17.4,40.0,40.8,5,12,2.2,4.7,39,41,37,0,0,0,6,6,4,0,5,4,5,29,26,26,12,12,15,45.03,44.91,45.02,26,260,2.5,0,0,0
15.02,224,6.09,6.09,6.09,16,16,17,0,-2.7,0.08,0.12,212.9,8.1,93,1,3,991,693,1192,-1,1241,15.13,1067.3,783,32.1,33.7,0,2.7,1262.9,0,15.59,-3.9,17.1,18.1,19.6,19.2,18.1,16.9,18.9,18.2,40.3,41.1,6,12,2.2,4.7,38,40,37,0,0,0,6,6,4,0,5,4,5,30,26,26,12,12,15,45.03,44.91,45.02,25,260,2.5,0,0,0
15.79,216,3.63,3.63,3.63,11,11,12,0,2.0,0.05,0.09,213.3,11.0,88,1,3,1017,693,1223,1,1267,15.75,1060.3,772,31.0,32.5,0,2.7,1262.9,0,15.59,-3.8,17.6,18.6,20.2,19.8,18.7,17.6,19.5,18.7,40.6,41.4,6,12,2.4,4.8,37,39,37,0,0,0,6,6,4,0,5,4,5,30,26,26,12,12,15,45.03,44.91,45.02,27,260,2.5,0,0,0
15.51,128,7.99,7.98,7.99,13,12,14,0,-2.2,-0.09,0.06,213.0,9.0,94,1,3,1006,693,1209,-3,1255,15.52,1060.5,772,29.0,31.1,0,2.7,1262.9,0,15.59,-3.9,16.6,17.6,19.2,18.8,17.6,16.5,18.5,17.7,40.1,40.9,5,12,2.2,4.7,35,37,37,0,0,0,6,6,4,0,5,4,5,30,26,26,12,12,14,45.03,44.9,45.02,27,250,2.5,0,0,0
