轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
16.42,328,16.8,16.86,16.86,16,15,16,0,-8.9,0.09,0.08,207.4,17.3,160,1,3,1601,704,1953,-1,2034,16.55,1782.6,1160,29.3,32.2,0,2.7,2067.6,0,16.83,-15.7,59.1,67.0,68.2,70.7,74.0,69.7,70.8,71.3,48.3,49.3,2,10,-4.1,0.6,40,43,45,0,0,0,6,6,4,0,3,3,3,32,28,29,10,10,12,45.03,44.91,45.02,23,220,2.1,0,0,0
16.95,216,9.85,9.93,9.94,16,16,16,0,-3.9,0.25,0.14,207.8,8.5,159,1,3,1633,703,1990,-4,2062,16.83,1791.6,1169,29.7,32.2,0,2.7,2067.6,0,16.83,-15.6,59.1,66.9,68.4,70.6,73.9,69.7,70.8,71.3,48.3,49.3,3,10,-4.0,0.6,40,43,45,0,0,0,6,6,4,0,3,2,3,32,28,29,10,10,12,45.04,44.91,45.03,24,230,2.2,0,0,0
16.42,88,11.65,11.71,11.71,19,16,17,0,-2.2,0.24,0.21,209.7,10.3,172,1,3,1553,704,1895,0,1961,16.38,1732.1,1140,31.3,35.3,0,2.8,2067.6,0,16.83,-15.6,59.1,67.0,68.4,70.7,73.9,69.8,70.9,71.3,48.3,49.3,3,10,-4.1,0.6,43,45,45,0,0,0,6,6,4,0,3,3,3,32,28,28,10,10,12,45.04,44.91,45.03,24,230,2.1,0,0,0
16.41,136,11.7,11.77,11.77,16,15,19,0,-7.5,-0.01,0.15,208.2,14.9,158,1,3,1605,703,1955,1,2028,16.46,1778.6,1177,32.4,35.4,0,2.8,2067.6,0,16.83,-15.6,59.1,66.9,68.6,70.6,73.9,69.7,70.8,71.3,48.3,49.3,3,10,-4.1,0.6,43,46,45,0,0,0,6,6,4,0,3,3,3,32,28,29,10,10,12,45.03,44.91,45.03,24,230,2.2,0,0,0
16.81,24,11.78,11.84,11.86,18,16,17,0,-9.1,0.15,0.08,208.3,16.4,162,1,3,1632,703,1989,-3,2066,16.83,1789.8,1170,33.3,36.2,0,2.8,2067.6,0,16.83,-15.6,59.0,66.9,68.4,70.6,73.8,69.6,70.7,71.2,48.3,49.3,2,10,-4.1,0.6,44,46,45,0,0,0,6,6,4,0,3,3,3,32,28,29,10,10,12,45.04,44.92,45.02,23,230,2.1,0,0,0
17.23,24,13.33,13.39,13.4,10,10,10,0,-8.8,-0.11,0.12,208.2,12.7,160,1,3,1650,702,2010,-5,2088,17.23,1797.2,1157,31.1,34.2,0,2.8,2067.6,0,16.83,-15.6,59.0,66.9,68.4,70.5,73.9,69.6,70.7,71.2,48.3,49.3,3,10,-4.1,0.6,42,45,45,0,0,0,6,6,4,0,3,3,3,32,28,28,10,10,12,45.04,44.91,45.03,23,230,2.1,0,0,0
16.82,304,10.05,10.12,10.14,15,16,14,0,-10.0,-0.12,0.11,208.2,9.9,161,1,3,1635,702,1991,5,2068,16.81,1787.9,1174,32.8,35.6,0,2.8,2067.6,0,16.83,-15.6,59.0,66.8,68.4,70.5,73.9,69.6,70.7,71.2,48.3,49.3,3,10,-4.1,0.6,43,46,45,0,0,0,6,6,4,0,3,3,3,32,28,29,10,10,12,45.04,44.91,45.02,24,230,2.2,0,0,0
17.23,96,15.98,16.04,16.04,13,13,12,0,-11.3,0.08,0.08,208.2,15.6,163,1,3,1648,703,2008,5,2086,17.15,1795.7,1161,31.6,34.8,0,2.8,2067.6,0,16.83,-15.6,59.1,66.9,68.3,70.7,73.9,69.7,70.8,71.3,48.3,49.3,2,10,-4.1,0.6,43,45,45,0,0,0,6,6,4,0,3,3,3,32,28,28,10,10,12,45.04,44.91,45.02,22,210,2.1,0,0,0
16.42,280,13.25,13.32,13.33,16,12,18,0,-8.7,-0.12,0.08,208.8,10.9,159,1,3,1592,703,1941,0,2015,16.4,1745.7,1176,30.9,33.5,0,2.8,2067.6,0,16.83,-15.6,59.1,66.9,68.4,70.6,73.9,69.7,70.8,71.3,48.3,49.3,3,10,-4.0,0.6,42,44,45,0,0,0,6,6,4,0,3,2,3,32,28,29,10,10,12,45.04,44.91,45.02,24,220,2.2,0,0,0
16.17,104,12.99,13.05,13.05,15,18,18,0,-14.3,0.2,0.04,208.0,15.4,162,1,3,1595,703,1947,0,2018,16.24,1782.8,1186,30.9,33.5,0,2.7,2067.6,0,16.83,-15.6,59.1,67.0,68.3,70.7,74.0,69.7,70.8,71.3,48.3,49.3,3,10,-4.1,0.6,42,44,45,0,0,0,6,6,4,0,3,3,3,32,28,29,10,10,12,45.04,44.91,45.03,23,230,2.2,0,0,0
