轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
13.61,152.0,0.25,0.26,0.26,12.0,12.2,11.0,0.0,-14.7,-0.05,0.09,207.3,6.2,10.0,1.0,1.0,672.0,696.0,811.0,4.0,856.0,13.75,847.2,571.0,34.0,34.7,1.8,3.0,2067.6,0.0,16.83,19.7,35.9,35.1,36.0,35.0,34.1,35.2,34.7,33.8,54.6,57.7,28.0,44.0,24.7,26.8,39.0,39.0,36.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,26.0,25.0,43.0,40.0,33.0,44.0,44.0,43.0,45.07,44.99,45.01,51.0,500.0,4.8,0.0,0.0,0.0
13.69,152.0,0.25,0.26,0.26,11.6,11.8,10.9,0.0,-3.2,0.01,0.02,207.3,6.6,7.0,1.0,1.0,690.0,696.0,833.0,-2.0,880.0,13.94,857.6,581.0,34.2,34.8,1.8,3.0,2067.6,0.0,16.83,19.8,36.0,35.3,36.1,35.2,35.5,35.3,35.0,33.9,54.6,57.7,28.0,44.0,24.8,26.8,38.0,38.0,36.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,26.0,25.0,43.0,40.0,33.0,44.0,44.0,43.0,45.07,44.99,45.01,51.0,500.0,4.7,0.0,0.0,0.0
15.39,112.0,0.25,0.26,0.26,12.4,13.2,10.9,0.0,-1.6,-0.06,0.01,207.3,6.5,357.0,1.0,1.0,1008.0,698.0,1221.0,8.0,1276.0,15.72,1115.3,743.0,34.2,35.1,1.8,3.0,2067.6,0.0,16.83,19.8,36.4,35.5,36.4,35.5,34.1,35.5,35.5,34.4,54.7,57.8,29.0,44.0,24.9,27.0,40.0,41.0,36.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,26.0,25.0,43.0,40.0,33.0,44.0,44.0,43.0,45.07,44.99,45.01,52.0,500.0,4.8,0.0,0.0,0.0
15.09,240.0,0.25,0.26,0.26,11.1,11.6,12.4,0.0,-6.1,-0.01,0.02,207.3,6.2,5.0,1.0,1.0,922.0,699.0,1117.0,-2.0,1162.0,15.23,1016.0,703.0,33.5,34.3,1.8,3.0,2067.6,0.0,16.83,19.8,35.4,34.6,35.5,34.5,34.2,34.7,34.2,33.3,54.6,57.6,28.0,44.0,24.7,26.8,39.0,40.0,36.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,26.0,25.0,43.0,40.0,32.0,44.0,44.0,42.0,45.07,44.99,45.01,51.0,500.0,4.8,0.0,0.0,0.0
12.58,208.0,0.25,0.26,0.26,11.4,10.9,11.4,0.0,7.4,-0.01,0.08,207.3,6.0,0.0,1.0,1.0,536.0,697.0,648.0,-11.0,686.0,12.74,734.3,498.0,34.2,34.9,1.8,3.1,2067.6,0.0,16.83,19.8,36.1,35.3,36.1,35.2,33.7,35.3,35.3,34.2,54.7,57.7,29.0,44.0,24.9,26.8,38.0,38.0,36.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,26.0,25.0,43.0,40.0,33.0,44.0,44.0,43.0,45.07,44.99,45.01,51.0,500.0,4.7,0.0,0.0,0.0
14.18,120.0,0.25,0.26,0.26,11.7,11.5,11.2,0.0,-4.3,-0.01,-0.05,207.3,7.0,358.0,1.0,1.0,747.0,696.0,902.0,-10.0,941.0,14.32,944.4,615.0,34.0,34.6,1.8,3.0,2067.6,0.0,16.83,19.8,36.0,35.3,36.1,35.2,34.0,35.3,35.4,34.3,54.7,57.8,28.0,44.0,24.9,26.8,38.0,39.0,36.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,26.0,25.0,43.0,40.0,32.0,44.0,44.0,43.0,45.07,44.99,45.01,51.0,500.0,4.8,0.0,0.0,0.0
13.92,264.0,0.25,0.26,0.26,11.8,12.5,11.1,0.0,3.1,0.04,-0.05,207.3,5.6,356.0,1.0,1.0,730.0,698.0,884.0,4.0,915.0,14.16,944.6,599.0,34.0,34.8,1.8,3.0,2067.6,0.0,16.83,19.8,36.0,35.3,36.1,35.2,33.7,35.3,35.4,34.3,54.7,57.7,29.0,44.0,24.9,26.8,38.0,39.0,36.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,26.0,25.0,43.0,40.0,33.0,44.0,44.0,43.0,45.07,44.99,45.01,51.0,500.0,4.7,0.0,0.0,0.0
15.87,40.0,0.25,0.26,0.26,11.1,11.3,13.7,0.0,-12.4,-0.2,-0.03,207.2,9.4,1.0,1.0,1.0,991.0,699.0,1201.0,1.0,1262.0,15.98,1050.9,754.0,32.5,33.1,1.8,3.1,2067.6,0.0,16.83,19.7,34.3,33.6,34.4,33.5,34.8,33.7,33.7,32.8,54.5,57.5,30.0,44.0,24.7,26.8,37.0,38.0,36.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,26.0,25.0,43.0,40.0,32.0,44.0,44.0,42.0,45.07,44.99,45.01,50.0,500.0,4.7,0.0,0.0,0.0
15.43,184.0,0.25,0.26,0.26,13.2,12.7,10.9,0.0,-3.5,-0.12,0.13,207.3,7.5,357.0,1.0,1.0,994.0,699.0,1205.0,-5.0,1251.0,15.69,1107.0,740.0,34.1,34.9,1.8,3.0,2067.6,0.0,16.83,19.7,36.2,35.4,36.3,35.3,36.9,35.4,35.5,34.3,54.7,57.7,28.0,44.0,24.9,26.9,40.0,41.0,36.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,26.0,25.0,43.0,40.0,33.0,44.0,44.0,43.0,45.07,44.99,45.01,52.0,500.0,4.8,0.0,0.0,0.0
15.53,32.0,0.25,0.26,0.26,11.8,13.2,11.6,0.0,1.0,-0.01,0.04,207.3,6.8,5.0,1.0,1.0,980.0,698.0,1187.0,-5.0,1228.0,15.64,1078.3,743.0,33.2,34.0,1.8,3.0,2067.6,0.0,16.83,19.8,35.3,34.4,35.4,34.4,34.1,34.6,34.1,33.2,54.5,57.5,28.0,44.0,24.7,26.8,39.0,40.0,36.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,26.0,25.0,43.0,40.0,33.0,44.0,44.0,42.0,45.07,44.99,45.01,51.0,500.0,4.7,0.0,0.0,0.0
