轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
14.9,32.0,4.34,4.36,4.35,11.8,12.0,11.1,0.0,15.9,-0.05,0.06,206.7,6.5,252.0,1.0,1.0,879.0,702.0,1071.0,-6.0,1134.0,15.07,1029.9,692.0,33.6,34.6,1.8,3.0,1078.2,0.0,14.93,14.8,58.1,55.7,59.3,58.1,56.3,56.9,54.4,52.8,61.3,64.5,34.0,49.0,27.0,31.1,38.0,39.0,38.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,31.0,31.0,31.0,51.0,47.0,37.0,49.0,49.0,49.0,45.03,44.96,44.98,59.0,580.0,5.5,0.0,0.0,0.0
14.58,100.0,5.13,5.16,5.14,11.8,11.7,11.8,0.0,-3.1,-0.08,0.01,207.3,6.4,256.0,1.0,1.0,883.0,702.0,1075.0,-5.0,1128.0,14.86,1049.3,697.0,33.6,34.7,1.8,3.0,1078.2,0.0,14.93,14.9,57.9,55.6,59.1,57.9,57.5,56.7,54.2,52.6,61.4,64.5,34.0,49.0,27.0,31.1,39.0,39.0,38.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,31.0,31.0,31.0,51.0,47.0,38.0,49.0,49.0,49.0,45.03,44.96,44.98,59.0,580.0,5.4,0.0,0.0,0.0
15.48,140.0,1.48,1.51,1.48,10.4,10.4,10.4,0.0,3.3,0.11,0.11,207.6,5.7,253.0,1.0,1.0,897.0,702.0,1093.0,-5.0,1141.0,15.67,1001.2,677.0,34.0,34.9,1.8,3.0,1078.2,0.0,14.93,15.0,57.7,55.3,58.9,57.7,56.8,56.5,53.8,52.5,61.4,64.6,34.0,49.0,27.0,31.0,39.0,39.0,38.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,31.0,31.0,31.0,51.0,47.0,38.0,49.0,49.0,49.0,45.03,44.96,44.99,58.0,580.0,5.4,0.0,0.0,0.0
14.92,88.0,7.05,7.08,7.06,12.0,14.2,12.5,0.0,16.4,0.08,-0.02,207.0,7.5,252.0,1.0,1.0,882.0,702.0,1074.0,-6.0,1117.0,15.07,1025.7,690.0,33.8,34.8,1.8,3.0,1078.2,0.0,14.93,14.9,57.8,55.4,58.9,57.8,56.0,56.6,54.0,52.6,61.4,64.5,34.0,49.0,27.0,31.1,39.0,39.0,38.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,31.0,31.0,31.0,51.0,47.0,38.0,49.0,49.0,49.0,45.03,44.96,44.98,58.0,580.0,5.4,0.0,0.0,0.0
15.7,12.0,3.33,3.36,3.34,10.6,10.6,10.4,0.0,9.1,0.01,0.01,207.0,7.0,257.0,1.0,1.0,901.0,702.0,1097.0,-4.0,1147.0,15.93,986.5,668.0,33.7,34.7,1.8,3.0,1078.2,0.0,14.93,14.9,58.1,55.8,59.4,58.1,56.4,56.9,54.4,52.8,61.3,64.5,33.0,49.0,27.0,31.1,39.0,39.0,38.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,31.0,31.0,31.0,51.0,47.0,38.0,49.0,49.0,49.0,45.02,44.96,44.99,58.0,580.0,5.4,0.0,0.0,0.0
15.61,144.0,4.82,4.84,4.82,12.1,11.1,12.9,0.0,17.6,-0.05,0.01,206.9,6.7,248.0,1.0,1.0,889.0,703.0,1083.0,-6.0,1131.0,15.78,984.8,668.0,34.2,35.1,1.8,3.0,1078.2,0.0,14.93,15.0,57.7,55.2,58.7,57.7,55.8,56.4,53.8,52.3,61.4,64.6,33.0,49.0,27.0,31.0,39.0,40.0,38.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,31.0,31.0,31.0,51.0,47.0,38.0,49.0,49.0,49.0,45.02,44.96,44.99,58.0,580.0,5.4,0.0,0.0,0.0
13.87,236.0,1.08,1.1,1.09,16.1,15.4,15.7,0.0,-2.7,-0.02,0.04,207.0,7.5,251.0,1.0,1.0,846.0,702.0,1031.0,1.0,1076.0,14.08,1118.6,710.0,34.0,35.0,1.8,3.1,1078.2,0.0,14.93,15.0,57.7,55.2,58.8,57.7,56.8,56.4,53.8,52.3,61.4,64.6,34.0,49.0,27.0,31.0,39.0,40.0,38.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,31.0,31.0,31.0,51.0,47.0,38.0,49.0,49.0,49.0,45.03,44.96,44.98,59.0,580.0,5.4,0.0,0.0,0.0
15.19,128.0,8.0,8.03,8.02,10.9,11.4,11.1,0.0,6.2,-0.18,0.0,206.9,6.8,255.0,1.0,1.0,890.0,703.0,1085.0,1.0,1128.0,15.44,1009.4,682.0,33.8,34.9,1.8,3.0,1078.2,0.0,14.93,15.0,57.8,55.4,59.0,57.8,56.3,56.6,54.0,52.6,61.4,64.5,34.0,49.0,27.0,31.1,39.0,39.0,38.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,31.0,31.0,31.0,51.0,47.0,38.0,49.0,49.0,49.0,45.03,44.96,44.98,58.0,570.0,5.4,0.0,0.0,0.0
14.06,320.0,3.92,3.95,3.93,15.0,16.1,14.4,0.0,15.6,0.02,0.09,207.1,6.2,249.0,1.0,1.0,831.0,702.0,1013.0,0.0,1064.0,14.26,1082.2,696.0,33.8,34.8,1.8,3.0,1078.2,0.0,14.93,15.0,57.8,55.4,58.9,57.8,57.5,56.6,53.8,52.5,61.4,64.5,34.0,49.0,27.0,31.1,39.0,39.0,38.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,31.0,31.0,31.0,51.0,47.0,38.0,49.0,49.0,49.0,45.03,44.96,44.99,59.0,580.0,5.5,0.0,0.0,0.0
15.03,200.0,7.6,7.62,7.6,11.5,11.6,12.0,0.0,13.8,-0.12,-0.03,207.3,7.0,247.0,1.0,1.0,879.0,702.0,1071.0,-6.0,1136.0,15.15,1024.2,690.0,34.0,35.0,1.8,3.0,1078.2,0.0,14.93,15.0,57.7,55.2,58.8,57.7,56.6,56.4,53.7,52.3,61.4,64.6,33.0,49.0,27.0,31.0,39.0,40.0,38.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,31.0,31.0,31.0,51.0,47.0,38.0,49.0,49.0,49.0,45.03,44.96,44.98,58.0,570.0,5.5,0.0,0.0,0.0
