轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
10.04,74,0.25,0.26,0.25,10.6,11.0,11.0,0,9.5,0.01,0.03,25.5,4.9,306,1,1,276,692,332,4,341,10.17,477.8,315,33.1,33.7,1.8,3.0,1500.0,0,15.98,21.0,31.8,32.8,32.5,32.3,31.1,32.2,31.7,28.8,43.5,46.2,30,44,24.7,28.4,36,36,39,0,0,0,6,6,4,1,25,26,26,43,39,32,44,44,44,45.07,44.98,45.01,54,510,5.0,0,0,0
11.11,172,0.25,0.26,0.25,11.1,10.7,10.8,0,18.7,-0.02,-0.01,207.7,5.7,308,1,1,369,692,444,-7,476,11.35,569.4,387,33.8,34.3,1.8,3.0,2067.6,0,16.83,21.0,31.8,32.8,32.5,32.3,30.9,32.2,31.7,28.8,43.5,46.2,30,44,24.7,28.4,36,36,39,0,0,0,6,6,4,0,25,26,26,43,39,32,44,44,44,45.08,44.98,45.01,53,520,5.0,0,0,0
10.86,170,0.25,0.26,0.25,10.7,11.0,10.7,0,17.9,-0.01,0.03,207.7,5.0,310,1,1,346,691,415,2,423,11.01,544.1,364,33.0,33.8,1.8,3.1,2067.6,0,16.83,21.0,31.8,32.8,32.5,32.3,32.7,32.2,31.7,28.8,43.5,46.2,30,44,24.7,28.4,36,36,39,0,0,0,6,6,4,0,25,26,26,43,39,31,44,44,44,45.08,44.98,45.01,53,510,5.0,0,0,0
10.29,208,0.25,0.26,0.25,10.6,10.9,10.6,0,-0.6,0.01,0.02,207.7,4.8,311,1,1,286,695,346,1,370,10.48,488.5,329,33.2,33.8,1.8,3.0,1782.4,0,16.4,20.6,32.0,33.1,32.8,32.6,31.4,32.4,31.9,29.0,43.2,45.9,30,44,24.7,28.4,36,35,39,0,0,0,6,6,4,0,25,26,26,43,39,32,44,44,44,45.08,44.98,45.01,53,520,5.0,0,0,0
10.8,248,0.25,0.26,0.25,10.6,10.9,10.7,0,11.2,-0.09,-0.04,207.6,5.1,312,1,1,347,690,416,1,425,10.97,539.4,362,33.2,33.7,1.8,3.0,2067.6,0,16.83,20.9,31.8,32.8,32.5,32.3,32.4,32.2,31.7,28.9,43.4,46.1,30,44,24.7,28.4,36,36,39,0,0,0,6,6,4,0,25,26,26,43,39,31,44,44,44,45.08,44.98,45.01,52,520,5.0,0,0,0
11.24,242,0.25,0.26,0.25,10.9,11.4,11.0,0,19.5,-0.09,0.16,26.2,7.1,303,1,1,356,692,428,-2,464,11.37,543.2,376,32.4,33.0,1.8,3.0,1500.0,0,15.98,20.6,31.9,33.0,32.6,32.4,30.1,32.3,32.1,29.3,43.1,45.8,30,44,24.7,28.4,35,35,39,0,0,0,6,6,4,1,25,26,26,43,39,32,44,44,44,45.08,44.98,45.01,52,520,4.9,0,0,0
9.78,40,0.25,0.26,0.25,10.9,11.1,11.1,0,19.9,0.06,-0.01,207.6,4.3,308,1,1,240,693,290,-2,300,9.87,427.3,290,32.7,33.3,1.8,3.0,1143.6,0,15.22,20.6,31.9,33.0,32.6,32.5,30.1,32.3,32.1,29.4,43.1,45.8,30,44,24.7,28.4,35,35,39,0,0,0,6,6,4,0,25,26,26,43,39,31,44,44,44,45.08,44.98,45.01,52,520,5.0,0,0,0
11.12,244,0.25,0.26,0.25,10.8,10.9,10.6,0,17.2,-0.02,0.04,207.6,6.2,308,1,1,372,692,448,0,465,11.28,571.8,384,33.2,33.7,1.8,3.0,2067.6,0,16.83,21.0,31.8,32.9,32.5,32.3,31.7,32.2,31.6,28.8,43.5,46.2,30,44,24.7,28.4,36,36,39,0,0,0,6,6,4,0,25,26,26,43,39,32,44,44,44,45.08,44.99,45.01,53,510,5.0,0,0,0
12.31,238,0.25,0.26,0.25,11.3,11.8,10.8,0,23.9,0.08,0.05,25.6,5.2,300,1,1,491,693,591,-1,621,12.49,689.1,466,32.5,33.1,1.8,3.0,1500.0,0,15.98,20.6,31.9,33.0,32.6,32.4,30.1,32.3,32.1,29.2,43.1,45.8,30,44,24.7,28.4,36,35,39,0,0,0,6,6,4,1,25,26,26,43,39,32,44,44,44,45.07,44.98,45.01,52,520,4.9,0,0,0
11.0,26,0.25,0.26,0.25,11.5,10.8,11.1,0,13.0,0.04,0.01,207.6,5.8,310,1,1,359,692,431,1,445,11.09,548.1,373,33.7,34.3,1.8,3.0,2067.6,0,16.83,21.0,31.8,32.9,32.5,32.3,34.5,32.3,31.6,28.8,43.5,46.2,30,44,24.7,28.4,36,36,39,0,0,0,6,6,4,0,25,26,26,42,39,32,44,44,44,45.07,44.98,45.01,53,520,4.9,0,0,0
