轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.42,322,0.25,0.27,0.27,11.3,10.4,10.5,0,-11.5,0.04,0.1,206.5,3.2,273,1,1,105,698,128,4,131,7.46,228.0,156,29.8,30.4,1.8,3.0,412.1,0,10.83,13.9,34.8,32.5,35.2,33.7,36.0,34.7,33.9,33.7,57.3,60.1,30,46,23.8,27.3,31,32,34,0,0,0,6,6,4,0,27,29,28,45,42,33,46,46,45,45.05,44.97,45.0,52,520,5.0,0,0,0
7.41,14,0.25,0.27,0.27,11.5,10.4,10.6,0,14.4,-0.07,0.01,206.9,2.8,258,1,1,78,698,95,-1,104,7.44,183.0,126,31.4,31.1,1.7,2.9,443.7,0,11.1,13.9,34.3,32.0,34.7,33.3,33.6,34.3,33.6,33.4,57.1,59.9,30,46,23.8,27.4,33,34,34,0,0,0,6,6,4,0,27,29,28,45,42,33,46,46,45,45.05,44.97,45.0,52,520,5.0,0,0,0
7.86,348,0.25,0.27,0.27,10.4,10.8,10.7,0,-0.8,-0.01,0.07,208.9,3.7,270,1,1,131,698,159,0,158,7.94,296.4,191,32.0,31.8,1.8,3.0,853.2,0,13.8,14.0,35.2,32.9,35.5,34.1,34.6,35.1,34.2,34.0,57.5,60.3,31,46,23.8,27.4,34,34,34,0,0,0,6,6,4,0,27,29,28,45,42,33,46,46,45,45.05,44.97,45.0,52,530,4.9,0,0,0
7.31,322,0.25,0.27,0.27,10.4,10.8,10.5,0,-3.6,-0.01,0.04,206.5,3.3,268,1,1,65,697,79,1,83,7.47,203.4,108,31.0,31.8,1.7,3.0,588.0,0,12.19,14.0,34.9,32.6,35.3,33.8,34.1,34.8,34.0,33.8,57.3,60.2,31,46,23.8,27.3,33,33,34,0,0,0,6,6,4,0,27,29,28,45,41,32,46,46,45,45.05,44.97,45.0,53,520,5.0,0,0,0
7.4,56,0.25,0.27,0.27,11.4,10.5,10.6,0,-14.2,-0.12,0.08,207.3,3.1,269,1,1,89,699,109,2,111,7.51,217.3,151,29.2,29.3,1.7,3.0,659.0,0,12.66,13.9,34.6,32.3,35.0,33.5,34.2,34.5,33.8,33.6,57.2,60.1,31,46,23.8,27.4,31,31,34,0,0,0,6,6,4,0,27,29,28,45,42,33,46,46,45,45.05,44.97,45.0,54,520,5.0,0,0,0
7.61,178,0.25,0.27,0.27,10.5,10.7,11.0,0,-8.8,-0.02,-0.05,25.5,3.8,271,1,1,119,698,145,-5,156,7.75,275.7,179,31.7,31.5,1.8,3.0,838.9,0,13.73,13.9,35.3,32.9,35.5,34.2,34.0,35.1,34.2,34.0,57.4,60.3,31,46,23.8,27.4,34,34,34,0,0,0,6,6,4,2,27,29,28,45,41,33,46,46,45,45.05,44.97,45.0,54,520,5.0,0,0,0
7.25,318,0.25,0.27,0.27,10.5,10.6,10.4,0,-14.7,0.01,0.05,206.5,3.3,269,1,1,75,697,92,-1,94,7.34,214.5,117,30.3,31.0,1.7,2.9,637.7,0,12.53,14.0,34.8,32.5,35.2,33.8,31.2,34.7,34.0,33.7,57.3,60.2,31,46,23.8,27.3,32,33,34,0,0,0,6,6,4,0,27,29,28,45,41,33,46,46,45,45.05,44.97,45.0,53,520,4.8,0,0,0
7.31,144,0.25,0.27,0.27,10.6,10.6,10.4,0,7.2,0.11,0.08,207.1,3.1,261,1,1,96,698,117,-1,113,7.4,220.0,146,30.8,30.6,1.8,3.0,384.6,0,10.58,14.0,34.4,32.1,34.7,33.4,31.9,34.3,33.7,33.5,57.1,60.0,30,46,23.8,27.4,32,33,34,0,0,0,6,6,4,0,27,29,28,44,42,34,46,46,45,45.05,44.97,45.0,53,510,4.8,0,0,0
7.4,210,0.25,0.27,0.27,11.3,10.5,10.6,0,-14.1,0.01,0.03,206.4,3.2,269,1,1,76,697,93,-5,98,7.43,177.2,120,30.3,30.9,1.7,2.9,637.7,0,12.53,14.0,34.8,32.5,35.2,33.8,32.3,34.8,34.0,33.7,57.3,60.2,31,46,23.8,27.3,32,33,34,0,0,0,6,6,4,0,27,29,28,44,42,33,46,46,45,45.05,44.97,45.0,54,520,4.8,0,0,0
7.42,162,0.25,0.27,0.27,11.3,10.5,10.6,0,-3.4,0.09,-0.05,207.0,2.9,265,1,1,92,698,113,1,119,7.51,202.1,143,29.7,29.7,1.7,3.0,433.5,0,11.02,14.0,34.5,32.3,34.9,33.5,35.8,34.5,33.7,33.6,57.2,60.0,31,46,23.8,27.4,32,32,34,0,0,0,6,6,4,0,27,29,28,44,41,33,46,46,45,45.05,44.97,45.0,52,520,5.0,0,0,0
7.4,64,0.25,0.27,0.27,11.0,10.5,10.8,0,-19.2,-0.03,0.01,206.4,3.3,274,1,1,68,698,83,-2,88,7.51,182.2,119,30.1,31.0,1.8,3.0,524.0,0,11.73,13.9,34.8,32.5,35.2,33.7,31.8,34.7,34.0,33.8,57.3,60.1,31,46,23.8,27.3,32,32,34,0,0,0,6,6,4,0,27,29,28,44,42,33,46,46,45,45.05,44.97,45.0,53,520,4.9,0,0,0
7.77,64,0.25,0.27,0.27,10.5,11.0,10.8,0,-3.8,0.05,0.09,208.4,3.7,268,1,1,131,698,159,-1,163,7.86,288.8,188,32.0,31.9,1.7,3.0,852.2,0,13.8,13.9,35.3,32.9,35.5,34.2,36.1,35.2,34.2,34.0,57.5,60.3,30,46,23.8,27.4,34,34,34,0,0,0,6,6,4,0,27,29,28,45,42,33,46,46,45,45.06,44.97,45.0,53,510,5.0,0,0,0
7.42,148,0.25,0.27,0.27,10.9,10.5,10.4,0,1.1,-0.03,-0.07,207.9,3.4,271,1,1,116,698,141,-3,141,7.47,263.1,174,29.1,29.8,1.7,3.0,590.0,0,12.21,14.0,34.7,32.4,35.1,33.6,34.6,34.7,33.9,33.7,57.2,60.1,31,46,23.8,27.3,31,31,34,0,0,0,6,6,4,0,27,29,28,44,42,33,46,46,45,45.05,44.97,45.0,54,510,5.0,0,0,0
7.42,104,0.25,0.27,0.27,10.4,10.8,10.8,0,1.6,-0.02,-0.05,207.3,3.7,265,1,1,63,698,77,-2,84,7.49,184.8,108,28.8,29.6,1.7,3.0,465.0,0,11.27,13.9,34.6,32.3,35.0,33.6,32.0,34.5,33.9,33.7,57.2,60.1,31,46,23.8,27.3,31,31,34,0,0,0,6,6,4,0,27,29,28,44,41,33,46,46,45,45.05,44.97,45.0,53,520,4.8,0,0,0
7.47,218,0.25,0.27,0.27,11.3,10.5,10.6,0,-6.4,0.01,-0.09,207.3,3.3,267,1,1,92,698,113,5,119,7.56,218.7,152,28.7,29.4,1.7,2.9,514.9,0,11.66,13.9,34.6,32.3,35.0,33.6,33.2,34.5,33.8,33.7,57.2,60.1,30,46,23.8,27.3,31,31,34,0,0,0,6,6,4,0,27,29,28,44,42,33,46,46,45,45.05,44.97,45.0,53,520,5.0,0,0,0
7.9,138,0.25,0.27,0.27,11.1,10.5,10.8,0,6.6,-0.02,0.09,25.5,3.2,248,1,1,127,697,154,0,160,8.07,295.4,194,33.4,33.1,1.7,3.0,937.1,0,14.24,13.9,35.1,32.7,35.4,33.9,31.1,35.0,34.1,33.9,57.4,60.3,31,46,23.8,27.3,35,35,34,0,0,0,6,6,4,1,27,29,28,45,42,33,46,46,45,45.05,44.97,45.0,53,510,5.0,0,0,0
7.81,156,0.25,0.27,0.27,10.5,10.6,10.5,0,-6.3,-0.02,0.08,25.4,3.9,272,1,1,119,697,145,0,153,7.95,288.6,189,31.8,31.6,1.7,3.0,838.9,0,13.73,13.9,35.3,32.9,35.5,34.1,32.2,35.2,34.2,34.0,57.4,60.3,31,46,23.8,27.4,34,34,34,0,0,0,6,6,4,2,27,29,28,45,42,33,46,46,45,45.05,44.97,45.0,53,520,5.0,0,0,0
