轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
16.31,240,7.12,7.16,7.12,17,15,13,16.9,3.0,0.13,0.01,207.3,11.0,118,1,3,1394,701,1695,0,1764,16.45,1554.8,1022,33.0,34.5,1.5,2.7,1756.5,0,16.36,11.1,88.5,86.4,90.5,86.5,88.2,89.5,60.3,77.7,66.0,65.6,29,36,22.3,26.5,42,43,44,0,0,0,6,6,4,0,25,25,25,42,42,46,36,36,38,44.9,44.63,45.13,54,540,5.7,0,0,0
16.54,272,9.16,9.19,9.15,13,11,11,17.19,6.7,0.08,0.12,207.3,13.2,115,1,3,1408,701,1712,5,1776,16.69,1553.7,1015,35.0,36.6,1.5,2.8,1756.5,0,16.36,11.1,87.5,85.6,89.4,85.3,87.4,88.3,59.5,76.9,66.0,65.4,29,36,22.2,26.5,43,44,44,0,0,0,6,6,4,0,25,25,25,42,41,46,36,36,38,44.89,44.64,45.13,53,540,5.6,0,0,0
16.6,296,8.78,8.82,8.78,15,14,14,17.2,5.0,-0.02,0.04,207.5,13.8,118,1,3,1410,702,1715,-5,1779,16.8,1551.4,1010,33.1,34.6,1.4,2.7,1756.5,0,16.36,11.1,88.5,86.4,90.5,86.7,88.1,89.3,60.3,77.7,66.0,65.6,30,36,22.3,26.5,42,43,44,0,0,0,6,6,4,0,25,25,25,42,41,46,36,36,38,44.89,44.63,45.12,54,540,5.7,0,0,0
16.51,48,8.33,8.36,8.32,13,12,15,17.18,4.7,0.08,0.02,207.4,13.3,113,1,3,1404,701,1708,2,1778,16.71,1553.2,1016,34.0,35.4,1.5,2.8,1756.5,0,16.36,11.1,88.2,86.2,90.2,86.3,87.9,89.0,60.1,77.6,65.9,65.5,30,36,22.3,26.5,42,43,44,0,0,0,6,6,4,0,25,25,25,42,41,46,36,36,37,44.89,44.63,45.12,54,540,5.7,0,0,0
16.51,144,8.81,8.84,8.81,12,12,12,17.09,1.9,0.26,-0.07,207.6,11.5,115,1,3,1405,701,1709,-2,1773,16.68,1553.1,1014,34.8,36.3,1.5,2.7,1756.5,0,16.36,11.1,87.7,85.7,89.7,85.9,87.4,88.6,59.7,77.0,66.0,65.3,30,36,22.3,26.5,43,44,44,0,0,0,6,6,4,0,25,25,25,42,41,46,36,36,37,44.9,44.63,45.12,53,540,5.7,0,0,0
16.4,88,8.65,8.7,8.65,12,18,16,17.07,4.5,0.05,-0.04,207.7,12.2,113,1,3,1402,701,1704,-1,1767,16.66,1552.9,1015,30.9,33.7,1.4,2.7,1756.5,0,16.36,11.2,89.3,87.2,91.2,87.4,88.8,90.1,60.9,78.5,65.9,65.4,30,36,22.5,26.5,40,41,44,0,0,0,6,6,4,0,25,25,25,42,42,46,36,36,38,44.89,44.63,45.13,53,540,5.7,0,0,0
16.49,32,8.52,8.56,8.52,15,18,12,17.1,1.4,0.11,0.0,207.8,11.7,117,1,3,1404,701,1707,4,1770,16.66,1554.0,1015,34.1,35.8,1.4,2.7,1756.5,0,16.36,11.1,87.9,86.0,90.0,85.9,87.8,88.8,60.0,77.3,65.9,65.5,30,36,22.3,26.5,43,43,44,0,0,0,6,6,4,0,25,25,25,42,42,46,36,36,37,44.89,44.63,45.12,53,540,5.7,0,0,0
16.46,160,7.53,7.57,7.53,14,12,12,17.06,2.6,0.07,0.01,207.3,14.1,118,1,3,1403,701,1706,-3,1767,16.55,1556.2,1020,34.3,36.0,1.5,2.7,1756.5,0,16.36,11.1,87.8,85.8,89.9,86.1,87.6,88.8,59.9,77.1,65.9,65.4,29,36,22.3,26.5,43,44,44,0,0,0,6,6,4,0,25,25,25,42,42,46,36,36,38,44.89,44.63,45.12,53,540,5.6,0,0,0
16.43,56,9.26,9.29,9.25,14,18,13,17.1,4.9,0.14,0.07,207.3,12.3,115,1,3,1401,702,1705,5,1771,16.64,1552.4,1015,34.8,36.5,1.5,2.7,1756.5,0,16.36,11.1,87.5,85.6,89.4,85.3,87.4,88.3,59.5,76.9,66.0,65.4,30,36,22.2,26.5,43,44,44,0,0,0,6,6,4,0,25,25,25,42,41,46,36,36,38,44.89,44.64,45.13,53,540,5.6,0,0,0
16.44,96,8.33,8.37,8.33,14,12,12,17.02,-5.6,0.19,0.04,207.9,14.2,121,1,3,1399,701,1702,6,1769,16.54,1557.4,1020,32.8,34.5,1.5,2.8,1756.5,0,16.36,11.1,88.6,86.5,90.6,86.6,88.2,89.5,60.5,77.8,66.0,65.5,29,36,22.3,26.5,41,42,44,0,0,0,6,6,4,0,25,25,25,42,42,46,36,36,38,44.9,44.64,45.13,54,550,5.6,0,0,0
