轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
15.57,304,0.24,0.24,0.24,12,13,14,16.27,-7.9,0.13,0.07,209.4,8.2,76,1,3,1005,700,1220,-2,1264,15.75,1096.6,768,32.9,34.0,1.5,2.7,2180.0,0,17.0,20.9,39.4,38.4,37.7,37.6,39.1,39.2,32.3,33.3,51.3,51.0,32,38,24.0,26.3,38,39,41,0,0,0,6,6,4,0,25,25,25,36,44,39,38,38,39,44.89,44.64,45.12,56,550,5.7,0,0,0
15.82,160,0.24,0.24,0.24,13,12,13,16.36,-1.5,0.12,0.07,209.4,9.2,71,1,3,1085,699,1314,4,1363,15.92,1151.1,823,32.9,33.8,1.5,2.8,2180.0,0,17.0,20.9,39.1,38.1,37.5,37.4,38.8,38.8,32.0,33.1,51.2,51.1,32,38,24.0,26.3,38,39,41,0,0,0,6,6,4,0,25,25,25,36,44,39,38,38,39,44.89,44.64,45.12,55,560,5.7,0,0,0
14.03,296,0.24,0.24,0.24,11,13,12,14.6,-8.5,0.11,0.01,209.5,8.9,81,1,3,714,697,867,4,902,14.18,936.2,606,32.4,33.6,1.5,2.7,1905.3,0,16.59,21.0,38.6,37.5,36.9,36.7,38.3,38.3,31.5,32.8,51.1,50.8,31,38,24.0,26.2,37,37,41,0,0,0,6,6,4,0,25,25,25,36,44,39,38,38,39,44.89,44.64,45.12,54,550,5.7,0,0,0
12.61,184,0.24,0.24,0.24,12,11,12,13.13,-4.4,0.21,0.01,209.7,6.1,78,1,3,519,696,626,-1,653,12.74,694.8,490,32.6,33.5,1.5,2.7,1332.0,0,15.7,20.9,38.3,37.2,36.6,37.0,38.1,37.9,30.7,32.6,50.9,50.8,32,38,24.0,26.2,36,37,41,0,0,0,6,6,4,0,25,25,25,36,44,39,38,38,39,44.89,44.64,45.12,54,550,5.7,0,0,0
12.31,48,0.24,0.24,0.24,11,11,12,12.84,14.4,0.12,0.03,208.6,6.6,63,1,3,489,696,590,-2,614,12.41,682.7,474,33.3,34.3,1.5,2.8,1650.3,0,16.04,21.1,38.1,37.0,36.3,36.1,37.7,37.7,31.2,32.1,50.6,50.4,31,38,23.8,26.0,36,37,41,0,0,0,6,6,4,0,25,25,25,35,44,39,38,38,39,44.89,44.64,45.12,54,540,5.7,0,0,0
13.67,312,0.24,0.24,0.24,13,11,11,14.29,-12.3,0.12,0.02,209.5,8.5,82,1,3,668,697,808,2,833,13.78,951.7,581,32.4,33.5,1.4,2.7,1905.3,0,16.59,21.0,38.4,37.4,36.9,36.6,38.3,38.2,31.4,32.8,51.1,50.7,32,38,24.0,26.2,37,37,41,0,0,0,6,6,4,0,25,25,25,36,44,39,38,38,39,44.89,44.64,45.13,55,550,5.6,0,0,0
14.1,96,0.24,0.24,0.24,11,13,12,14.62,-14.2,0.12,0.01,209.2,6.6,82,1,3,728,696,880,-2,910,14.24,939.5,613,32.7,33.7,1.5,2.7,1720.3,0,16.31,21.0,38.4,37.4,36.8,36.5,38.2,38.1,31.6,32.7,51.0,50.9,32,38,24.0,26.2,37,37,41,0,0,0,6,6,4,0,25,25,25,36,44,38,38,38,39,44.89,44.64,45.12,55,550,5.7,0,0,0
13.37,72,0.24,0.24,0.24,12,12,12,13.83,-3.5,0.09,0.01,209.5,5.5,78,1,3,623,696,752,5,788,13.49,840.1,559,32.6,33.6,1.5,2.7,2180.0,0,17.0,21.0,38.2,37.2,36.4,36.1,38.0,37.8,30.9,32.5,50.8,50.5,32,38,24.0,26.2,37,38,41,0,0,0,6,6,4,0,25,25,25,36,44,38,38,38,39,44.89,44.64,45.13,55,550,5.6,0,0,0
13.3,320,0.24,0.24,0.24,11,12,12,13.88,3.2,0.13,-0.01,210.7,7.8,64,1,3,617,696,745,4,774,13.45,786.4,547,32.8,33.9,1.5,2.7,1576.1,0,16.09,21.1,38.0,37.0,36.2,36.0,37.7,37.7,31.2,32.4,50.6,50.5,32,38,24.0,26.0,36,37,41,0,0,0,6,6,4,0,25,25,25,36,44,39,38,38,39,44.89,44.64,45.13,54,550,5.6,0,0,0
15.63,104,0.24,0.24,0.24,13,15,12,16.17,2.1,0.14,0.02,209.5,8.9,70,1,3,1054,699,1279,7,1334,15.78,1149.4,800,32.6,33.6,1.5,2.8,1936.4,0,16.63,20.9,38.9,37.8,37.2,37.1,38.5,38.6,31.6,32.9,51.3,51.0,32,38,24.0,26.3,38,39,41,0,0,0,6,6,4,0,25,25,25,36,44,39,38,38,39,44.89,44.63,45.12,55,560,5.7,0,0,0
