轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
12.81,336,0.26,0.32,0.33,11,12,12,13.44,-0.2,0.11,0.01,210.3,7.6,333,1,3,546,702,666,-4,689,12.95,738.2,508,29.3,29.9,1.4,2.8,2180,0,17,7.4,56.1,55.0,57.5,54.2,56.7,56.4,46.9,48.9,63.0,62.5,30,37,22.0,25.0,33,33,38,0,0,0,6,6,4,0,26,26,26,39,43,42,37,37,39,44.89,44.64,45.12,54,540,5.5,0,0,0
13.67,32,0.26,0.32,0.33,12,12,11,14.17,-11.9,0.12,0.01,210.2,8.0,336,1,3,659,702,803,0,839,13.83,839.2,577,30.6,30.8,1.4,2.7,2180,0,17,7.4,55.6,54.6,57.0,53.5,56.2,56.0,46.5,48.5,62.9,62.5,31,37,22.0,25.0,34,35,38,0,0,0,6,6,4,0,26,26,26,39,43,43,37,37,39,44.89,44.63,45.11,54,540,5.6,0,0,0
15.16,16,0.26,0.32,0.33,13,11,12,15.8,-4.8,0.11,0.01,210.4,8.4,333,1,3,898,703,1096,5,1135,15.27,1015.6,711,32.1,32.2,1.4,2.7,2180,0,17,7.5,57.1,56.1,58.5,55.0,57.7,57.5,47.4,49.8,63.0,62.4,31,37,22.0,25.0,37,38,38,0,0,0,6,6,4,0,26,26,26,39,42,43,37,37,39,44.89,44.63,45.11,54,540,5.7,0,0,0
14.2,112,0.26,0.32,0.33,13,12,11,14.72,0.0,0.1,-0.04,210.3,9.2,330,1,3,742,701,903,3,946,14.35,957.7,629,31.3,33.0,1.4,2.7,2180,0,17,7.5,56.8,55.7,58.2,54.8,57.4,57.2,47.0,49.2,62.9,62.2,31,37,22.0,25.0,37,37,38,0,0,0,6,6,4,0,26,26,26,39,42,43,37,37,39,44.89,44.63,45.11,54,540,5.6,0,0,0
12.45,144,0.26,0.32,0.33,11,11,11,12.93,-6.6,0.09,0.05,210.2,6.6,334,1,3,498,701,606,5,627,12.56,692.8,479,32.1,32.2,1.5,2.7,2180,0,17,7.4,55.1,54.2,56.5,53.0,55.8,55.5,46.5,48.1,63.0,62.4,31,37,22.0,25.0,36,36,38,0,0,0,6,6,4,0,26,26,26,39,42,42,37,37,38,44.9,44.63,45.12,53,540,5.5,0,0,0
13.24,312,0.26,0.32,0.33,11,11,13,13.88,-7.2,0.15,0.02,210.3,6.0,332,1,3,608,702,741,-5,768,13.42,806.4,550,30.9,32.5,1.4,2.7,2180,0,17,7.5,56.7,55.7,58.2,54.5,57.4,57.2,47.1,49.2,63.0,62.4,31,37,22.0,25.0,36,36,38,0,0,0,6,6,4,0,26,26,26,39,43,43,37,37,39,44.89,44.64,45.12,53,540,5.7,0,0,0
13.25,280,0.26,0.32,0.33,12,13,11,13.81,-6.3,0.13,0.03,210.6,8.2,332,1,3,609,702,742,-5,765,13.38,795.9,546,29.1,30.7,1.4,2.7,2180,0,17,7.5,56.3,55.3,57.7,53.7,56.9,56.7,47.4,49.0,62.9,62.5,31,37,22.0,25.0,33,33,38,0,0,0,6,6,4,0,26,26,26,39,43,43,37,37,39,44.89,44.63,45.11,54,540,5.7,0,0,0
12.8,352,0.26,0.32,0.33,11,12,11,13.35,-11.3,0.02,-0.04,210.3,7.0,337,1,3,540,701,657,1,680,12.92,739.1,507,28.9,30.1,1.4,2.7,2180,0,17,7.5,56.2,55.1,57.5,54.1,56.8,56.5,47.3,49.0,63.0,62.3,31,37,22.0,25.0,33,33,38,0,0,0,6,6,4,0,26,26,26,39,43,43,37,37,39,44.9,44.63,45.12,53,540,5.7,0,0,0
13.98,176,0.26,0.32,0.33,12,11,12,14.52,-11.5,0.16,-0.06,210.5,9.3,334,1,3,706,704,862,3,894,14.07,957.9,606,30.2,30.5,1.4,2.7,2180,0,17,7.5,57.4,56.3,58.7,55.8,58.1,57.7,47.0,50.0,63.0,62.4,31,37,22.2,25.1,35,35,38,0,0,0,6,6,4,0,26,26,26,39,42,43,37,37,39,44.89,44.63,45.11,54,550,5.7,0,0,0
15.1,160,0.26,0.32,0.33,13,13,11,15.66,-4.3,0.12,0.08,210.6,8.2,332,1,3,900,704,1099,2,1139,15.29,1019.3,711,32.1,32.2,1.5,2.7,2180,0,17,7.5,57.1,56.1,58.5,55.0,57.7,57.5,47.4,49.7,63.0,62.4,32,37,22.0,25.0,37,38,38,0,0,0,6,6,4,0,26,26,26,39,42,43,37,37,39,44.89,44.64,45.11,54,540,5.6,0,0,0
12.91,312,0.26,0.32,0.33,12,11,11,13.44,-8.8,0.14,0.01,210.1,6.9,335,1,3,553,702,673,2,696,13.02,740.2,514,30.2,31.7,1.4,2.7,2180,0,17,7.5,56.7,55.6,58.1,54.8,57.3,57.1,47.1,49.2,62.9,62.4,32,37,22.1,25.0,34,35,38,0,0,0,6,6,4,0,26,26,26,39,43,43,37,37,39,44.89,44.64,45.11,54,540,5.7,0,0,0
13.68,32,0.26,0.32,0.33,12,11,12,14.31,-12.7,0.12,0.08,210.3,6.0,335,1,3,668,703,815,2,849,13.83,966.4,585,30.2,30.7,1.4,2.7,2180,0,17,7.5,57.4,56.3,58.7,55.7,58.1,57.7,46.9,50.0,63.0,62.4,31,37,22.2,25.1,35,35,38,0,0,0,6,6,4,0,26,26,26,39,43,43,37,37,39,44.89,44.63,45.11,54,550,5.6,0,0,0
13.02,352,0.26,0.32,0.33,11,11,13,13.58,-2.4,0.04,0.02,210.2,7.0,333,1,3,569,701,692,5,721,13.15,757.5,520,29.3,30.2,1.4,2.7,2180,0,17,7.4,56.0,55.0,57.4,54.2,56.6,56.4,46.8,48.9,62.9,62.5,31,37,22.0,25.0,33,34,38,0,0,0,6,6,4,0,26,26,26,39,43,43,37,37,39,44.89,44.63,45.11,54,540,5.6,0,0,0
