轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
11.54,192,22.79,22.85,22.85,10,11,10,12.01,-5.2,0.12,0.01,209.2,13.4,140,1,3,432,695,521,5,543,11.68,623.5,445,31.7,31.3,1.4,2.7,547.4,0,11.91,2.0,23.3,23.6,23.5,23.1,24.4,23.1,22.0,19.4,55.1,54.5,21,25,13.7,16.1,35,35,34,0,0,0,6,6,4,0,15,15,15,31,39,34,25,25,27,44.93,44.67,45.2,40,400,4.2,0,0,0
11.79,328,22.79,22.85,22.85,11,10,10,12.22,-3.9,0.12,-0.01,209.1,16.6,138,1,3,438,695,529,0,551,11.86,618.6,441,31.1,31.0,1.4,2.7,547.4,0,11.91,2.1,23.3,23.6,23.6,22.6,24.4,23.1,22.8,19.5,55.2,54.3,21,25,13.7,16.1,34,35,34,0,0,0,6,6,4,0,15,15,15,32,39,34,25,25,27,44.93,44.67,45.2,40,400,4.1,0,0,0
11.67,72,22.79,22.85,22.85,10,10,11,12.18,2.9,0.19,-0.03,209.3,12.9,135,1,3,438,695,529,2,550,11.77,623.8,444,29.4,29.7,1.4,2.7,547.4,0,11.91,2.1,23.3,23.7,23.5,22.4,24.4,23.2,23.0,19.5,55.2,54.3,21,25,13.7,16.1,33,33,34,0,0,0,6,6,4,0,15,15,15,32,39,34,25,25,27,44.93,44.67,45.2,40,400,4.2,0,0,0
10.85,304,22.79,22.85,22.85,11,10,10,11.47,-4.8,0.18,0.07,209.2,14.8,139,1,3,412,695,497,4,514,10.95,635.4,452,33.3,32.7,1.4,2.7,547.4,0,11.91,2.0,23.3,23.5,23.4,22.7,24.2,23.1,22.5,19.5,55.1,54.2,21,25,13.7,16.1,36,37,34,0,0,0,6,6,4,0,15,15,15,31,39,34,25,25,27,44.93,44.68,45.2,39,390,4.2,0,0,0
11.59,272,22.76,22.82,22.82,11,10,10,12.12,-3.2,0.1,0.07,208.8,14.4,138,1,3,437,694,527,-2,551,11.72,625.2,446,29.5,29.7,1.4,2.7,547.4,0,11.91,2.0,23.2,23.5,23.4,22.4,24.2,23.0,22.4,19.4,55.0,54.3,21,25,13.7,16.1,32,33,34,0,0,0,6,6,4,0,15,15,15,32,39,34,25,25,27,44.93,44.67,45.2,40,400,4.1,0,0,0
11.52,152,22.86,22.92,22.92,11,10,12,12.01,-2.1,0.17,0.12,209.5,16.9,138,1,3,432,695,521,2,539,11.65,624.5,446,29.3,29.6,1.4,2.7,547.4,0,11.91,2.0,23.3,23.7,23.6,22.6,24.4,23.2,22.5,19.5,55.3,54.5,21,25,13.7,16.1,32,32,34,0,0,0,6,6,4,0,15,15,15,32,39,34,25,25,27,44.93,44.67,45.2,40,400,4.2,0,0,0
11.6,56,22.79,22.85,22.85,10,11,11,12.18,-0.1,0.12,0.01,209.2,13.9,137,1,3,431,694,520,-2,540,11.76,620.8,443,30.5,30.5,1.4,2.7,547.4,0,11.91,2.0,23.3,23.7,23.5,22.8,24.4,23.2,22.3,19.4,55.2,54.5,21,25,13.7,16.1,33,34,34,0,0,0,6,6,4,0,15,15,15,32,39,34,25,25,27,44.93,44.67,45.2,39,400,4.2,0,0,0
11.52,224,22.79,22.85,22.85,10,11,11,12.0,1.3,0.08,-0.04,209.2,11.7,136,1,3,434,695,523,0,544,11.65,625.6,446,29.0,29.3,1.4,2.7,547.4,0,11.91,2.0,23.3,23.7,23.6,22.9,24.4,23.2,22.5,19.5,55.2,54.4,21,25,13.7,16.1,33,33,34,0,0,0,6,6,4,0,15,15,15,32,39,34,25,25,27,44.93,44.67,45.2,39,400,4.2,0,0,0
11.9,48,22.79,22.85,22.85,10,11,11,12.41,0.0,0.14,-0.03,209.1,15.8,136,1,3,442,695,534,-2,553,12.05,613.7,438,31.2,30.7,1.4,2.7,547.4,0,11.91,2.0,23.3,23.7,23.5,22.7,24.4,23.1,22.7,19.5,55.2,54.5,21,25,13.7,16.1,34,35,34,0,0,0,6,6,4,0,15,15,15,32,39,34,25,25,27,44.92,44.67,45.2,40,400,4.1,0,0,0
11.48,0,22.79,22.85,22.85,10,10,11,12.0,1.0,0.07,0.02,209.2,10.0,136,1,3,436,695,526,0,543,11.59,628.4,447,29.4,30.4,1.4,2.6,547.4,0,11.91,2.1,23.2,23.5,23.4,22.5,24.3,23.0,22.8,19.6,55.0,54.3,21,25,13.7,16.1,32,33,34,0,0,0,6,6,4,0,15,15,15,32,39,34,25,25,27,44.93,44.67,45.2,40,400,4.1,0,0,0
