轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
16.99,152,10.79,10.77,10.86,13,13,13,17.64,4.1,0.17,0.02,211.4,16.9,190,1,3,1732,707,2124,4,2206,17.17,1977.0,1225,38.5,40.7,1.5,2.8,2180,0,17,18.1,81.4,78.7,83.0,79.2,80.6,82.1,62.3,72.8,66.1,65.7,34,39,26.9,30.5,49,50,46,0,0,0,6,6,4,0,28,28,28,41,43,45,39,39,41,44.88,44.62,45.11,57,580,6.1,0,0,0
17.32,224,11.64,11.61,11.71,11,12,13,17.94,-9.2,0.05,0.03,211.3,12.3,195,1,3,1748,707,2143,7,2222,17.52,1975.3,1211,36.9,39.0,1.5,2.8,2180,0,17,18.1,75.8,73.4,77.4,73.5,75.2,76.6,58.6,68.0,66.0,65.5,34,39,26.7,30.5,48,48,45,0,0,0,6,6,4,0,28,28,28,41,43,44,39,39,40,44.89,44.63,45.11,56,570,5.9,0,0,0
17.03,248,7.96,7.93,8.03,15,13,15,17.61,-12.1,0.12,0.02,211.3,13.9,194,1,3,1731,708,2125,0,2209,17.25,1971.9,1223,37.5,39.7,1.5,2.8,2180,0,17,18.1,78.2,75.8,79.8,75.7,77.5,79.0,59.8,69.9,66.0,65.3,34,39,26.9,30.5,48,49,46,0,0,0,6,6,4,0,28,28,28,41,43,44,39,39,40,44.89,44.63,45.11,57,580,6.0,0,0,0
16.99,120,11.1,11.08,11.18,10,13,10,17.74,-3.3,0.1,0.17,211.0,11.3,191,1,3,1731,708,2123,-5,2199,17.21,1972.7,1220,37.5,39.5,1.5,2.8,2180,0,17,18.2,77.3,74.9,78.9,74.8,76.6,78.0,59.8,69.1,66.0,65.6,33,39,26.7,30.5,48,49,45,0,0,0,6,6,4,0,28,28,28,41,43,44,39,39,40,44.89,44.62,45.1,56,570,6.0,0,0,0
17.18,40,12.73,12.7,12.8,16,14,17,17.82,1.0,0.14,-0.05,211.5,13.6,191,1,3,1740,708,2134,3,2213,17.39,1977.1,1215,38.3,40.3,1.5,2.8,2180,0,17,18.1,80.7,78.2,82.3,78.3,80.0,81.5,61.8,72.2,66.1,65.8,34,39,26.9,30.5,49,50,46,0,0,0,6,6,4,0,28,28,28,41,43,45,39,39,40,44.88,44.63,45.11,57,570,6.0,0,0,0
17.41,72,13.52,13.5,13.59,11,10,10,18.05,-7.7,0.16,-0.09,211.3,15.3,197,1,3,1749,708,2146,-4,2227,17.6,1976.0,1205,37.9,40.1,1.5,2.8,2180,0,17,18.1,79.9,77.4,81.4,77.6,79.2,80.6,60.9,71.4,66.2,65.7,33,39,26.9,30.5,48,49,46,0,0,0,6,6,4,0,28,28,28,41,43,45,39,39,40,44.88,44.63,45.1,56,570,6.0,0,0,0
17.31,144,9.59,9.56,9.66,12,13,13,17.94,-6.5,0.1,-0.02,211.4,13.1,196,1,3,1739,709,2136,-3,2206,17.5,1970.1,1207,37.8,39.9,1.5,2.7,2180,0,17,18.1,78.9,76.5,80.4,76.6,78.3,79.6,60.6,70.5,66.1,65.5,33,39,26.9,30.5,48,49,46,0,0,0,6,6,4,0,28,28,28,41,43,45,39,39,40,44.88,44.62,45.11,57,580,6.1,0,0,0
16.93,80,10.68,10.66,10.76,16,20,15,17.63,3.9,0.12,0.02,211.2,12.9,190,1,3,1727,707,2118,4,2194,17.14,1974.8,1225,38.3,40.6,1.5,2.8,2180,0,17,18.1,81.4,78.8,83.0,79.2,80.6,82.2,62.3,72.8,66.1,65.7,33,39,26.9,30.5,49,50,46,0,0,0,6,6,4,0,28,28,28,41,43,44,39,39,41,44.88,44.63,45.11,57,580,5.9,0,0,0
16.88,24,11.41,11.39,11.49,16,16,15,17.52,-3.0,0.08,-0.07,211.1,16.1,192,1,3,1727,706,2115,5,2192,17.1,1969.8,1223,36.8,38.8,1.5,2.8,2180,0,17,18.1,75.3,72.9,76.9,73.1,74.6,76.0,58.8,67.8,66.0,65.6,33,39,26.7,30.6,47,48,45,0,0,0,6,6,4,0,28,28,28,41,43,44,39,39,40,44.89,44.63,45.11,56,570,5.9,0,0,0
17.26,352,11.33,11.3,11.4,12,13,13,17.93,5.6,0.09,0.01,211.1,14.4,188,1,3,1743,707,2136,4,2215,17.45,1973.3,1214,37.4,39.4,1.5,2.8,2180,0,17,18.0,76.8,74.3,78.3,74.8,76.1,77.5,58.8,68.7,66.0,65.6,34,39,26.8,30.5,48,49,45,0,0,0,6,6,4,0,28,28,28,41,43,44,39,39,40,44.89,44.63,45.11,56,570,6.0,0,0,0
