轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
16.53,112,13.52,13.59,13.56,15,14,15,17.0,2.2,0.17,0.14,206.9,12.4,90,1,3,1332,707,1632,1,1696,16.64,1469.5,970,31.1,32.8,1.4,2.7,1664.7,0,16.23,13.5,89.1,86.3,92.8,86.3,88.6,90.4,62.4,79.9,66.5,66.2,31,36,25.0,29.7,39,40,44,0,0,0,6,6,4,0,26,26,26,42,42,46,36,36,38,44.89,44.63,45.12,53,550,5.7,0,0,0
16.19,24,14.62,14.68,14.67,11,13,12,16.86,-2.1,0.07,-0.04,207.3,13.7,92,1,3,1192,707,1461,5,1518,16.4,1324.9,884,31.4,33.3,1.4,2.8,1495.7,0,15.97,13.2,91.3,88.2,94.9,88.6,90.7,92.6,62.9,81.8,66.6,66.3,31,36,25.2,29.5,40,40,44,0,0,0,6,6,4,0,26,26,26,42,42,46,36,36,38,44.89,44.63,45.12,53,540,5.7,0,0,0
16.13,88,16.7,16.76,16.75,13,13,12,16.67,-0.8,0.21,0.07,207.3,13.1,97,1,3,1312,707,1608,5,1672,16.32,1474.0,978,31.3,33.0,1.5,2.7,1664.7,0,16.23,13.4,90.1,87.2,93.8,87.3,89.5,91.5,63.0,80.7,66.6,66.3,31,36,25.0,29.5,39,40,44,0,0,0,6,6,4,0,26,26,26,42,42,46,36,36,38,44.89,44.63,45.12,54,540,5.7,0,0,0
16.18,280,15.53,15.59,15.58,14,17,14,16.9,-7.4,0.09,0.01,206.9,15.7,95,1,3,1315,706,1611,-3,1674,16.41,1473.2,972,31.5,33.3,1.4,2.7,1664.7,0,16.23,13.4,90.7,87.8,94.4,88.0,90.1,92.1,63.5,81.3,66.6,66.2,31,36,25.1,29.5,40,40,44,0,0,0,6,6,4,0,26,26,26,42,42,46,36,36,38,44.89,44.63,45.12,53,540,5.7,0,0,0
16.69,344,13.81,13.87,13.85,10,10,10,17.38,1.2,0.12,-0.01,207.9,13.0,91,1,3,1299,708,1595,0,1657,16.84,1438.1,939,31.2,33.0,1.5,2.7,1631.7,0,16.18,13.2,91.2,88.2,94.7,88.2,90.6,92.5,63.7,82.1,66.6,66.0,31,36,25.2,29.5,39,40,45,0,0,0,6,6,4,0,26,26,26,42,42,46,36,36,38,44.89,44.63,45.12,53,540,5.7,0,0,0
15.86,248,14.56,14.62,14.6,15,16,15,16.47,-7.5,0.1,-0.11,207.4,14.4,98,1,3,1290,706,1580,5,1634,16.02,1473.7,975,31.3,33.0,1.4,2.7,1664.7,0,16.23,13.4,90.0,87.2,93.7,87.2,89.5,91.4,62.9,80.6,66.6,66.3,31,36,25.0,29.5,39,40,44,0,0,0,6,6,4,0,26,26,26,42,42,46,36,36,38,44.89,44.63,45.12,54,540,5.7,0,0,0
16.57,96,10.84,10.9,10.88,12,13,17,17.1,-1.5,0.12,-0.01,207.4,12.4,91,1,3,1326,706,1624,-3,1686,16.74,1460.5,961,31.1,32.9,1.5,2.8,1664.7,0,16.23,13.4,89.2,86.4,92.8,86.3,88.7,90.5,62.4,80.0,66.6,66.2,31,36,25.0,29.7,39,40,44,0,0,0,6,6,4,0,26,26,26,42,42,46,36,36,38,44.89,44.63,45.12,53,550,5.7,0,0,0
15.71,88,9.55,9.62,9.59,14,17,14,16.16,-7.7,0.1,-0.06,203.1,10.5,90,1,3,1269,709,1559,3,1615,15.81,1458.1,975,31.3,33.1,1.4,2.7,1631.7,0,16.18,13.1,91.9,88.8,95.5,89.3,91.1,93.3,64.3,82.6,66.6,66.3,31,36,25.2,29.7,39,40,45,0,0,0,6,6,4,0,26,26,26,42,42,46,36,36,38,44.89,44.63,45.12,54,550,5.7,0,0,0
16.68,104,17.85,17.91,17.9,12,12,11,17.42,-3.0,0.12,0.02,207.1,19.8,98,1,3,1326,707,1625,4,1690,16.92,1457.9,952,31.3,33.2,1.5,2.8,1664.7,0,16.23,13.3,90.3,87.3,94.0,87.7,89.6,91.7,63.1,80.8,66.6,66.0,31,36,25.0,29.5,39,40,44,0,0,0,6,6,4,0,26,26,26,42,42,46,36,36,38,44.89,44.63,45.12,52,540,5.6,0,0,0
16.84,56,12.42,12.48,12.47,13,13,12,17.43,5.4,0.01,0.13,208.0,13.1,91,1,3,1305,708,1601,6,1662,16.93,1431.6,939,31.2,33.1,1.4,2.7,1631.7,0,16.18,13.2,91.3,88.3,94.9,88.5,90.6,92.6,63.9,82.1,66.6,66.1,31,36,25.2,29.5,39,40,45,0,0,0,6,6,4,0,26,26,26,42,42,46,36,36,38,44.89,44.63,45.12,53,540,5.7,0,0,0
16.6,296,15.04,15.1,15.08,10,10,13,17.21,0.0,0.02,-0.04,207.3,17.5,91,1,3,1421,707,1742,2,1809,16.77,1585.0,1031,31.5,33.2,1.5,2.7,1783.4,0,16.4,13.3,91.1,88.1,94.7,88.2,90.5,92.5,63.6,81.6,66.6,66.3,31,36,25.2,29.5,40,40,44,0,0,0,6,6,4,0,26,26,26,42,42,46,36,36,38,44.89,44.63,45.11,53,540,5.6,0,0,0
16.72,96,15.81,15.87,15.85,10,13,11,17.32,1.7,0.02,-0.05,207.1,17.3,91,1,3,1416,706,1733,-2,1804,16.99,1573.3,1011,31.5,33.2,1.4,2.7,1783.4,0,16.4,13.3,91.1,88.2,94.8,88.2,90.6,92.5,63.6,81.7,66.6,66.3,31,36,25.2,29.5,39,40,44,0,0,0,6,6,4,0,26,26,26,42,42,46,36,36,38,44.89,44.63,45.12,53,540,5.6,0,0,0
15.59,232,14.68,14.74,14.72,13,13,12,16.17,-2.0,-0.03,0.07,207.6,16.1,94,1,3,1243,706,1521,2,1581,15.74,1430.4,961,31.1,33.0,1.5,2.7,1664.7,0,16.23,13.4,89.9,87.1,93.5,87.1,89.4,91.2,62.7,80.5,66.5,66.3,31,36,25.2,29.6,39,40,44,0,0,0,6,6,4,0,26,26,26,42,42,46,36,36,38,44.89,44.63,45.12,54,550,5.7,0,0,0
16.36,88,11.46,11.52,11.5,16,12,16,17.02,-13.6,0.15,0.07,203.8,9.3,92,1,3,1297,709,1594,-5,1648,16.49,1446.4,957,31.2,33.1,1.4,2.7,1631.7,0,16.18,13.2,91.9,88.8,95.5,89.4,91.1,93.3,64.9,82.7,66.6,66.3,31,36,25.2,29.6,39,40,45,0,0,0,6,6,4,0,26,26,26,42,42,46,36,36,38,44.89,44.63,45.12,54,550,5.7,0,0,0
16.7,112,11.56,11.62,11.59,11,10,10,17.41,0.8,0.36,-0.01,208.6,15.4,91,1,3,1338,706,1642,-5,1700,16.88,1471.3,962,31.1,33.0,1.4,2.7,1664.7,0,16.23,13.4,89.1,86.4,92.8,86.3,88.7,90.5,62.4,80.0,66.6,66.3,31,36,25.0,29.7,39,40,44,0,0,0,6,6,4,0,26,26,26,42,42,46,36,36,38,44.89,44.63,45.12,53,540,5.7,0,0,0
15.77,160,14.16,14.22,14.2,12,13,12,16.39,-4.7,0.13,-0.14,207.2,13.0,95,1,3,1295,706,1586,2,1655,15.92,1479.2,992,31.1,32.9,1.4,2.7,1664.7,0,16.23,13.4,89.9,87.1,93.5,87.0,89.4,91.2,62.7,80.5,66.5,66.3,31,36,25.2,29.6,39,40,44,0,0,0,6,6,4,0,26,26,26,42,42,46,36,36,38,44.89,44.63,45.12,54,550,5.6,0,0,0
16.27,176,17.26,17.33,17.31,12,12,12,16.98,-8.3,0.02,0.01,207.3,11.1,99,1,3,1323,707,1622,-5,1679,16.5,1472.5,972,31.2,33.1,1.4,2.7,1664.7,0,16.23,13.4,90.1,87.3,93.8,87.3,89.5,91.5,63.0,80.7,66.6,66.2,31,36,25.0,29.5,39,40,44,0,0,0,6,6,4,0,26,26,26,42,42,46,36,36,38,44.89,44.63,45.12,53,540,5.6,0,0,0
16.82,216,17.03,17.1,17.08,11,12,12,17.41,-5.6,0.19,0.07,206.9,14.5,95,1,3,1330,706,1629,3,1687,16.97,1458.0,952,31.1,32.9,1.5,2.7,1664.7,0,16.23,13.4,89.7,87.0,93.4,86.8,89.3,91.1,62.7,80.5,66.5,66.2,31,36,25.2,29.7,39,40,44,0,0,0,6,6,4,0,26,26,26,42,42,45,36,36,38,44.89,44.63,45.12,53,540,5.6,0,0,0
16.08,152,12.98,13.04,13.03,12,11,11,16.89,-1.7,0.03,0.01,207.0,14.6,91,1,3,1314,706,1609,5,1672,16.24,1480.5,982,31.3,33.3,1.4,2.8,1664.7,0,16.23,13.4,91.0,88.0,94.6,88.1,90.3,92.3,63.6,81.5,66.6,66.3,31,37,25.2,29.5,40,40,44,0,0,0,6,6,4,0,26,26,26,42,42,46,37,37,38,44.89,44.63,45.12,54,540,5.7,0,0,0
16.45,248,17.7,17.76,17.74,15,16,14,17.1,-4.2,0.07,-0.05,207.2,17.6,98,1,3,1325,706,1623,7,1685,16.74,1459.9,959,31.4,33.2,1.4,2.7,1664.7,0,16.23,13.3,90.3,87.3,94.0,87.7,89.6,91.7,63.0,80.8,66.6,66.0,31,36,25.0,29.5,39,40,44,0,0,0,6,6,4,0,26,26,26,42,42,46,36,36,38,44.89,44.63,45.12,52,540,5.5,0,0,0
16.65,216,11.09,11.16,11.13,14,14,13,17.36,-12.5,0.17,0.01,24.4,13.1,97,1,3,1300,708,1597,0,1660,16.71,1441.5,950,31.3,33.1,1.4,2.7,1631.7,0,16.18,13.2,91.5,88.6,95.2,88.7,90.8,92.9,64.1,82.4,66.6,66.2,30,36,25.2,29.7,39,40,45,0,0,0,6,6,4,2,26,26,26,42,42,46,36,36,38,44.89,44.63,45.12,54,540,5.7,0,0,0
15.7,16,8.74,8.8,8.78,14,12,12,16.18,-6.0,0.14,0.12,203.2,11.6,90,1,3,1271,708,1561,2,1622,15.77,1466.2,977,31.2,33.1,1.5,2.8,1631.7,0,16.18,13.2,92.0,88.8,95.5,89.2,91.1,93.3,64.3,82.6,66.6,66.3,31,36,25.2,29.7,39,40,45,0,0,0,6,6,4,0,26,26,26,42,42,46,36,36,38,44.89,44.63,45.12,54,550,5.7,0,0,0
16.35,208,14.11,14.17,14.15,11,11,11,17.06,-1.7,0.16,0.13,207.2,17.1,95,1,3,1322,707,1621,4,1685,16.52,1475.9,973,31.3,33.3,1.4,2.8,1664.7,0,16.23,13.4,90.5,87.6,94.3,87.7,89.9,92.0,63.6,81.2,66.6,66.1,31,37,25.0,29.5,39,40,44,0,0,0,6,6,4,0,26,26,26,42,42,46,37,37,38,44.89,44.63,45.12,52,540,5.5,0,0,0
