轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.45,40,0.24,0.24,0.24,10,10,10,7.86,-0.9,0.17,0.02,208.8,4.5,134,1,3,85,698,104,1,105,7.46,191.7,136,29.4,29.2,1.4,2.7,1040.3,0,14.75,2.9,14.6,15.8,14.0,15.3,15.9,14,13.5,12.1,41.6,41.3,22,28,13.8,16.9,31,32,34,0,0,0,6,6,4,0,17,17,17,31,39,34,28,28,29,44.9,44.66,45.17,43,430,4.4,0,0,0
7.43,40,0.24,0.24,0.24,10,11,11,7.86,-1.1,0.12,0.08,208.6,4.6,136,1,3,90,698,110,2,115,7.49,216.1,148,28.4,29.1,1.4,2.7,873.7,0,13.91,2.8,14.6,15.8,14.1,15.3,15.9,14,13.2,12.1,41.6,41.2,22,28,13.8,16.9,30,31,34,0,0,0,6,6,4,0,17,17,17,31,39,34,28,28,29,44.9,44.66,45.17,43,430,4.5,0,0,0
7.32,40,0.24,0.24,0.24,11,10,10,7.79,-7.4,-0.09,-0.06,208.9,2.8,135,1,3,71,699,87,-1,88,7.4,167.3,119,33.2,32.4,1.4,2.7,763.3,0,13.3,2.8,14.6,15.9,14.1,14.7,15.9,14,13.9,12.1,41.5,41.2,22,28,13.7,16.9,34,35,34,0,0,0,6,6,4,0,17,17,17,31,39,34,28,28,29,44.9,44.66,45.17,43,440,4.4,0,0,0
7.39,40,0.24,0.24,0.24,10,11,11,7.83,3.4,0.12,0.14,208.8,3.2,133,1,3,83,698,101,4,100,7.43,190.4,132,31.1,32.2,1.4,2.7,936.0,0,14.12,2.8,14.6,15.8,14.0,15.4,15.9,14,13.5,12.1,41.6,41.1,23,28,13.8,16.9,32,33,34,0,0,0,6,6,4,0,17,17,17,31,39,34,28,28,29,44.91,44.66,45.17,42,430,4.4,0,0,0
7.39,40,0.24,0.24,0.24,10,11,10,7.82,-3.9,0.06,0.13,208.8,4.6,136,1,3,87,699,106,0,111,7.43,194.2,142,29.0,30.0,1.4,2.7,913.6,0,14.12,2.8,14.6,15.8,14.0,15.0,15.9,14,13.5,12.1,41.6,41.1,23,28,13.8,16.9,30,31,34,0,0,0,6,6,4,0,17,17,17,31,39,34,28,28,29,44.9,44.66,45.17,43,430,4.4,0,0,0
7.39,40,0.24,0.24,0.24,10,11,11,7.83,12.2,0.11,0.02,209.3,4.0,134,1,3,85,699,105,0,109,7.5,198.3,144,31.6,31.4,1.4,2.7,939.1,0,14.25,2.6,14.6,15.8,14.1,14.9,15.9,14,13.8,12.1,41.5,41.2,24,28,13.7,16.8,32,34,33,0,0,0,6,6,4,0,17,17,17,31,39,34,28,28,29,44.91,44.66,45.17,43,430,4.4,0,0,0
7.42,40,0.24,0.24,0.24,10,10,12,7.92,0.9,0.17,0.17,208.7,4.3,134,1,3,94,698,114,4,120,7.51,217.0,153,29.0,28.9,1.4,2.7,1031.1,0,14.7,2.9,14.6,15.8,14.0,15.3,15.9,14,13.6,12.2,41.6,41.1,23,28,13.8,16.9,30,31,34,0,0,0,6,6,4,0,17,17,17,31,39,34,28,28,29,44.91,44.66,45.17,42,430,4.5,0,0,0
7.36,40,0.24,0.24,0.24,10,10,12,7.85,19.6,0.16,-0.06,209.1,2.7,128,1,3,76,699,93,0,97,7.41,187.9,128,32.0,31.7,1.4,2.7,926.9,0,14.19,2.7,14.6,15.8,14.1,15.1,15.9,14,13.8,12.1,41.5,41.1,23,28,13.7,16.8,33,34,33,0,0,0,6,6,4,0,17,17,17,31,39,34,28,28,29,44.9,44.66,45.17,42,430,4.5,0,0,0
7.44,40,0.24,0.24,0.24,11,10,10,7.9,4.8,0.12,-0.07,208.5,4.2,132,1,3,94,698,114,2,114,7.46,203.7,149,30.1,29.7,1.4,2.7,1040.3,0,14.75,2.9,14.6,15.8,14.0,15.3,15.9,14,13.5,12.1,41.6,41.1,22,28,13.8,16.9,31,32,34,0,0,0,6,6,4,0,17,17,17,31,39,34,28,28,29,44.91,44.66,45.17,43,440,4.3,0,0,0
7.44,40,0.24,0.24,0.24,11,11,10,7.81,1.3,0.19,0.16,208.8,4.8,134,1,3,95,698,116,2,119,7.51,205.3,150,28.5,29.1,1.4,2.7,870.6,0,13.9,2.9,14.6,15.8,14.1,14.8,15.9,14,13.6,12.1,41.6,41.3,22,28,13.8,16.9,30,31,34,0,0,0,6,6,4,0,17,17,17,31,39,34,28,28,29,44.91,44.66,45.17,42,440,4.5,0,0,0
