轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
8.7,192,0.24,0.24,0.24,11,10,10,9.12,-3.0,0.14,-0.01,210.7,4.7,88,1,3,167,698,203,1,212,8.78,329.6,234,31.1,31.9,1.4,2.7,1155.9,0,15.27,8.9,20.7,21.5,20.5,20.7,21.6,20.1,20.1,19.7,43.6,43.3,22,27,15.1,17.8,33,33,35,0,0,0,6,6,4,0,16,16,16,32,39,35,27,27,29,44.91,44.66,45.17,43,430,4.5,0,0,0
11.97,136,0.24,0.24,0.24,12,12,12,12.6,-6.7,0.11,0.01,210.7,5.4,92,1,3,457,700,555,0,571,12.14,642.4,450,33.1,33.1,1.4,2.7,2180.0,0,17.0,8.7,20.7,21.5,20.5,21.1,21.5,20.1,19.6,19.7,43.5,43.3,23,27,15.1,17.8,37,37,35,0,0,0,6,6,4,0,16,16,16,32,40,35,27,27,29,44.91,44.66,45.17,43,440,4.5,0,0,0
13.11,24,0.24,0.24,0.24,11,12,12,13.66,-2.9,0.14,0.04,211.9,7.0,80,1,3,580,701,705,1,737,13.24,753.5,531,28.9,29.9,1.4,2.7,2180.0,0,17.0,8.6,20.4,21.2,20.2,20.6,21.2,19.9,19.6,19.3,43.2,42.7,22,27,15.0,17.7,32,33,35,0,0,0,6,6,4,0,16,16,16,32,40,35,27,27,29,44.91,44.66,45.17,43,440,4.5,0,0,0
9.94,192,0.24,0.24,0.24,11,11,11,10.45,0.2,0.12,0.01,210.8,6.1,88,1,3,256,698,311,5,319,10.05,433.6,308,31.8,32.7,1.4,2.7,1814.4,0,16.45,8.8,20.7,21.6,20.5,20.8,21.6,20.2,19.9,19.7,43.6,43.2,22,27,15.1,17.8,34,35,35,0,0,0,6,6,4,0,16,16,16,32,39,35,27,27,29,44.91,44.66,45.17,43,440,4.4,0,0,0
8.96,192,0.24,0.24,0.24,11,11,11,9.45,-6.2,0.21,0.02,210.9,4.1,89,1,3,185,698,225,3,233,9.05,353.3,250,31.2,32.1,1.4,2.7,1452.5,0,15.9,8.8,20.7,21.5,20.5,20.9,21.6,20.1,19.8,19.7,43.6,43.3,23,27,15.1,17.8,33,34,35,0,0,0,6,6,4,0,16,16,16,32,39,35,27,27,29,44.91,44.66,45.17,43,430,4.6,0,0,0
9.35,192,0.24,0.24,0.24,11,11,11,9.8,2.5,0.06,0.01,210.7,5.4,85,1,3,206,698,250,-2,261,9.4,363.1,265,30.7,31.5,1.4,2.7,1155.9,0,15.27,8.8,20.7,21.4,20.4,21.3,21.5,20.1,19.7,19.8,43.7,43.2,22,27,15.1,17.8,33,33,35,0,0,0,6,6,4,0,16,16,16,32,39,35,27,27,29,44.91,44.67,45.17,43,430,4.4,0,0,0
13.08,88,0.24,0.24,0.24,13,12,12,13.77,-6.1,0.14,-0.03,211.0,5.5,89,1,3,584,701,710,0,737,13.21,754.5,534,30.0,29.9,1.4,2.7,2180.0,0,17.0,8.6,20.6,21.3,20.3,20.8,21.5,20.0,19.5,19.4,43.3,43.0,23,27,15.0,17.7,33,34,35,0,0,0,6,6,4,0,16,16,16,32,40,35,27,27,29,44.91,44.66,45.17,43,440,4.5,0,0,0
10.49,192,0.24,0.24,0.24,11,11,11,10.97,-9.5,0.12,0.04,210.7,5.5,89,1,3,295,699,358,1,368,10.59,469.7,337,30.5,31.1,1.4,2.7,1006.6,0,14.59,8.9,20.7,21.4,20.3,20.9,21.5,20.1,19.6,19.7,43.7,43.4,23,27,15.1,17.8,32,33,35,0,0,0,6,6,4,0,16,16,16,32,40,35,27,27,29,44.91,44.66,45.17,43,440,4.6,0,0,0
11.35,192,0.24,0.24,0.24,11,11,11,11.95,-10.8,0.1,0.02,211.0,6.9,94,1,3,385,699,467,1,487,11.48,572.0,403,32.8,33.2,1.4,2.7,2180.0,0,17.0,8.7,20.8,21.6,20.5,21.2,21.6,20.2,19.7,19.7,43.5,43.1,22,27,15.1,17.8,36,37,35,0,0,0,6,6,4,0,16,16,16,32,40,35,27,27,29,44.91,44.66,45.17,44,430,4.6,0,0,0
12.85,8,0.24,0.24,0.24,11,12,12,13.36,-6.9,0.12,-0.01,210.8,7.5,92,1,3,545,701,663,-3,688,12.98,711.7,507,32.7,32.6,1.4,2.7,2180.0,0,17.0,8.7,20.7,21.5,20.4,20.7,21.5,20.1,19.5,19.5,43.5,42.9,22,27,15.1,17.7,36,37,35,0,0,0,6,6,4,0,16,16,16,32,40,35,27,27,29,44.91,44.66,45.17,43,440,4.5,0,0,0
