轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.31,248,0.25,0.25,0.25,10,11,10,7.65,3.1,0.12,0.07,210.7,3.1,111,1,3,49,694,61,0,64,7.31,125.7,89,32.6,32.5,1.5,2.7,977.0,0,14.44,10.2,28.4,28.9,28.0,27.6,29.5,28.0,26.8,24.5,47.6,47.0,32,39,23.5,27.0,33,35,36,0,0,0,6,6,4,0,28,27,28,38,44,42,39,39,40,44.88,44.63,45.11,55,550,5.8,0,0,0
7.22,248,0.25,0.25,0.25,10,11,10,7.74,-6.4,0.08,0.09,211.2,3.4,122,1,3,51,693,63,2,64,7.27,120.8,85,30.2,30.2,1.5,2.7,731.7,0,12.55,10.3,28.6,29.1,28.1,28.2,29.7,28.2,26.6,24.6,47.6,47.2,32,39,23.5,27.2,31,32,36,0,0,0,6,6,4,0,28,28,28,38,44,41,39,39,40,44.89,44.63,45.1,54,550,5.7,0,0,0
7.26,248,0.25,0.25,0.25,10,11,10,7.72,6.9,0.19,0.05,211.0,2.6,116,1,3,55,694,67,-2,69,7.3,129.9,94,31.6,31.4,1.4,2.7,814.4,0,13.59,10.2,28.5,29.0,28.1,27.9,29.6,28.1,26.4,24.5,47.5,47.3,33,39,23.5,27.2,32,34,36,0,0,0,6,6,4,0,28,27,28,38,44,41,39,39,40,44.88,44.63,45.11,55,550,5.8,0,0,0
7.24,248,0.25,0.25,0.25,10,11,10,7.71,19.0,0.09,0.07,210.5,2.3,106,1,3,54,694,70,1,69,7.32,124.6,92,30.9,31.8,1.5,2.7,1230.8,0,13.66,10.2,28.3,28.9,28.0,27.7,29.5,28.0,27.0,24.5,47.6,47.1,33,39,23.5,27.0,32,33,36,0,0,0,6,6,4,0,28,27,28,38,44,41,39,39,40,44.89,44.63,45.1,55,550,5.8,0,0,0
7.25,248,0.25,0.25,0.25,10,10,10,7.65,-1.6,0.08,0.01,210.8,3.2,117,1,3,51,694,63,0,69,7.36,132.4,84,31.6,31.2,1.4,2.7,666.2,0,12.71,10.2,28.5,29.1,28.1,28.0,29.6,28.1,26.8,24.5,47.6,47.1,32,39,23.5,27.2,32,34,36,0,0,0,6,6,4,0,28,28,28,38,44,41,39,39,40,44.89,44.63,45.1,55,550,5.7,0,0,0
7.26,248,0.25,0.25,0.25,11,10,10,7.67,-3.0,0.22,0.02,210.8,3.5,118,1,3,51,694,62,3,67,7.34,124.6,84,30.6,30.4,1.4,2.7,689.7,0,12.86,10.4,28.5,29.1,28.1,27.4,29.6,28.1,27.2,24.5,47.5,47.2,33,39,23.5,27.2,31,33,36,0,0,0,6,6,4,0,28,28,28,38,44,41,39,39,40,44.89,44.63,45.1,55,540,5.7,0,0,0
7.3,248,0.25,0.25,0.25,10,11,10,7.63,-7.6,0.03,0.01,210.7,3.2,121,1,3,49,694,60,1,65,7.3,123.1,87,30.3,30.2,1.4,2.7,640.7,0,12.55,10.4,28.5,29.1,28.1,27.9,29.6,28.1,27.2,24.7,47.6,47.0,33,39,23.5,27.2,31,33,36,0,0,0,6,6,4,0,28,27,28,38,44,41,39,39,40,44.88,44.63,45.11,55,550,5.7,0,0,0
7.25,248,0.25,0.25,0.25,10,10,11,7.74,1.8,0.36,0.13,210.6,3.5,109,1,3,58,694,71,0,74,7.37,148.1,96,32.4,32.9,1.4,2.7,1205.6,0,16.02,10.1,28.5,28.9,28.1,28.1,29.5,28.0,26.1,24.4,47.6,47.2,33,39,23.5,27.0,33,35,36,0,0,0,6,6,4,0,28,28,28,38,44,41,39,39,40,44.88,44.63,45.11,55,550,5.8,0,0,0
7.25,248,0.25,0.25,0.25,11,10,10,7.67,7.1,0.08,0.02,210.8,2.8,111,1,3,51,694,62,-2,63,7.32,129.7,87,32.1,31.9,1.4,2.7,890.1,0,14.0,10.2,28.6,28.9,28.1,28.1,29.5,28.1,26.4,24.5,47.6,47.1,32,39,23.5,27.2,33,34,36,0,0,0,6,6,4,0,28,27,28,38,44,41,39,39,40,44.89,44.63,45.11,55,550,5.8,0,0,0
7.22,248,0.25,0.25,0.25,10,10,11,7.67,-1.7,0.05,0.03,210.8,3.8,116,1,3,51,694,62,-1,67,7.3,133.6,90,32.0,31.6,1.4,2.8,854.3,0,13.81,10.2,28.5,29.0,28.1,27.9,29.5,28.1,26.5,24.5,47.6,47.3,32,39,23.5,27.2,33,34,36,0,0,0,6,6,4,0,28,27,28,38,44,41,39,39,40,44.89,44.63,45.1,55,550,5.7,0,0,0
7.26,248,0.25,0.25,0.25,11,10,10,7.73,2.2,0.1,0.04,210.5,3.0,111,1,3,49,694,60,1,64,7.36,123.0,85,32.6,32.4,1.4,2.7,977.0,0,14.44,10.2,28.4,28.9,28.0,27.6,29.5,28.1,26.8,24.5,47.6,47.1,32,39,23.5,27.0,33,35,36,0,0,0,6,6,4,0,28,27,28,38,44,42,39,39,40,44.89,44.63,45.11,55,560,5.8,0,0,0
7.2,248,0.25,0.25,0.25,10,10,12,7.62,-21.1,0.23,0.01,208.7,2.6,118,1,3,30,694,37,4,36,7.2,85.7,51,28.9,29.3,1.4,2.7,910.5,0,14.11,10.4,28.7,29.1,28.2,28.4,29.7,28.2,26.6,24.6,47.6,47.1,33,39,23.7,27.2,29,31,36,0,0,0,6,6,4,0,28,27,28,38,44,41,39,39,40,44.89,44.63,45.1,54,550,5.8,0,0,0
7.22,248,0.25,0.25,0.25,11,10,10,7.59,-0.6,0.09,0.0,210.8,3.0,117,1,3,43,694,53,1,61,7.31,116.1,75,31.2,31.1,1.4,2.7,666.2,0,12.71,10.2,28.5,29.1,28.1,28.1,29.6,28.1,26.8,24.5,47.6,47.3,32,39,23.5,27.2,32,33,36,0,0,0,6,6,4,0,28,28,28,38,44,41,39,39,40,44.88,44.63,45.11,55,540,5.7,0,0,0
7.25,248,0.25,0.25,0.25,10,10,12,7.72,9.5,-0.01,-0.06,210.7,2.5,114,1,3,55,693,67,-3,69,7.28,135.7,90,31.6,31.4,1.5,2.7,814.4,0,13.59,10.2,28.5,29.0,28.1,27.9,29.6,28.1,26.4,24.5,47.5,47.2,33,38,23.5,27.2,32,34,36,0,0,0,6,6,4,0,28,27,28,38,44,41,38,38,40,44.88,44.63,45.1,55,550,5.8,0,0,0
7.31,248,0.25,0.25,0.25,10,10,12,7.7,12.3,0.19,-0.02,210.8,3.0,109,1,3,64,694,78,2,81,7.34,149.3,104,32.1,32.0,1.4,2.7,890.1,0,14.0,10.2,28.5,28.9,28.1,28.2,29.5,28.1,26.5,24.6,47.6,47.3,33,38,23.5,27.2,33,34,36,0,0,0,6,6,4,0,28,27,28,38,44,41,38,38,40,44.89,44.63,45.11,55,540,5.8,0,0,0
7.3,248,0.25,0.25,0.25,11,10,10,7.67,2.4,-0.09,0.07,210.6,3.4,110,1,3,51,694,63,1,66,7.34,138.9,87,32.6,32.3,1.5,2.7,977.0,0,14.44,10.2,28.4,28.9,28.0,27.7,29.5,28.0,26.7,24.5,47.6,47.3,33,39,23.5,27.0,33,35,36,0,0,0,6,6,4,0,28,27,28,38,44,41,39,39,40,44.89,44.63,45.11,55,560,5.8,0,0,0
7.31,248,0.25,0.25,0.25,10,11,10,7.7,4.4,0.27,-0.05,210.7,3.0,110,1,3,57,694,70,-2,72,7.32,137.2,99,32.6,32.5,1.5,2.7,977.0,0,14.44,10.2,28.4,28.9,28.0,27.7,29.5,28.1,26.8,24.5,47.6,47.2,32,38,23.5,27.0,33,35,36,0,0,0,6,6,4,0,28,27,28,38,44,41,38,38,40,44.89,44.63,45.11,54,550,5.8,0,0,0
7.15,248,0.25,0.25,0.25,10,11,10,7.65,-16.3,0.08,-0.04,208.7,2.8,116,1,3,34,693,41,3,46,7.23,79.1,58,29.0,29.3,1.4,2.7,910.5,0,14.11,10.4,28.7,29.1,28.2,28.4,29.7,28.2,26.6,24.6,47.5,47.0,32,39,23.7,27.2,29,31,36,0,0,0,6,6,4,0,28,27,28,38,44,41,39,39,40,44.88,44.63,45.11,55,550,5.8,0,0,0
7.2,248,0.25,0.25,0.25,11,10,10,7.62,3.8,0.06,0.02,210.7,3.0,116,1,3,38,693,47,1,52,7.25,113.4,66,30.9,30.6,1.4,2.7,779.7,0,13.63,10.3,28.6,29.1,28.1,27.6,29.7,28.1,26.5,24.4,47.6,47.0,33,39,23.5,27.2,31,33,36,0,0,0,6,6,4,0,28,28,28,38,44,41,39,39,40,44.89,44.63,45.11,55,550,5.8,0,0,0
7.27,248,0.25,0.25,0.25,11,10,10,7.75,14.6,0.21,0.15,210.5,2.9,103,1,3,55,694,67,0,74,7.34,125.6,91,30.1,31.1,1.4,2.7,826.7,0,13.66,10.2,28.4,28.9,28.0,27.6,29.5,28.0,26.7,24.4,47.6,47.3,32,39,23.5,27.0,31,32,36,0,0,0,6,6,4,0,28,28,28,38,44,41,39,39,40,44.89,44.63,45.1,55,550,5.8,0,0,0
7.29,248,0.25,0.25,0.25,10,10,11,7.66,11.9,0.12,0.02,210.6,2.9,109,1,3,61,693,74,4,78,7.38,149.1,102,32.2,31.9,1.5,2.7,890.1,0,14.0,10.2,28.5,28.9,28.1,28.2,29.5,28.1,26.5,24.5,47.6,47.3,33,38,23.5,27.2,33,34,36,0,0,0,6,6,4,0,28,27,28,38,44,41,38,38,40,44.89,44.63,45.11,54,550,5.8,0,0,0
7.26,248,0.25,0.25,0.25,11,10,10,7.63,-6.4,0.11,-0.01,210.7,3.5,119,1,3,55,693,67,0,65,7.3,132.8,89,31.6,31.4,1.4,2.7,814.4,0,13.59,10.2,28.6,29.1,28.1,27.9,29.6,28.1,26.5,24.5,47.6,47.2,32,39,23.5,27.2,32,34,36,0,0,0,6,6,4,0,28,27,28,38,44,41,39,39,40,44.88,44.63,45.1,55,550,5.7,0,0,0
7.3,248,0.25,0.25,0.25,10,10,12,7.67,1.9,0.14,0.09,210.7,2.9,111,1,3,57,694,69,1,70,7.34,140.5,95,32.7,32.6,1.5,2.8,977.0,0,14.44,10.2,28.4,28.9,28.0,27.6,29.5,28.1,26.8,24.5,47.6,47.1,33,38,23.5,27.0,33,35,36,0,0,0,6,6,4,0,28,27,28,38,44,41,38,38,40,44.88,44.63,45.1,54,540,5.8,0,0,0
7.26,248,0.25,0.25,0.25,10,11,10,7.61,4.9,-0.07,0.02,210.6,2.5,111,1,3,53,693,64,2,72,7.29,124.0,89,31.1,31.9,1.4,2.7,1530.8,0,16.02,10.2,28.3,28.9,28.0,27.9,29.5,28.0,27.0,24.5,47.6,47.1,32,39,23.5,27.0,32,33,36,0,0,0,6,6,4,0,28,27,28,38,44,41,39,39,40,44.89,44.63,45.11,55,550,5.8,0,0,0
7.29,248,0.25,0.25,0.25,10,10,12,7.72,6.1,0.14,0.01,210.8,2.8,113,1,3,63,694,77,2,76,7.34,150.0,103,32.0,32.0,1.4,2.7,854.3,0,13.81,10.2,28.5,29.0,28.1,28.0,29.5,28.1,26.5,24.5,47.5,47.2,33,38,23.5,27.2,33,34,36,0,0,0,6,6,4,0,28,27,28,38,44,41,38,38,40,44.89,44.63,45.11,55,550,5.8,0,0,0
7.22,248,0.25,0.25,0.25,10,10,11,7.61,-6.8,0.08,-0.01,210.8,4.1,121,1,3,43,694,53,0,55,7.27,117.1,77,30.2,30.2,1.5,2.7,640.7,0,12.55,10.4,28.5,29.1,28.1,28.0,29.6,28.1,27.1,24.7,47.5,47.1,33,38,23.5,27.2,31,33,36,0,0,0,6,6,4,0,28,27,28,38,44,41,38,38,40,44.89,44.63,45.11,54,560,5.8,0,0,0
7.17,248,0.25,0.25,0.25,11,10,10,7.48,-10.0,0.05,-0.04,208.7,2.5,114,1,3,30,694,37,0,37,7.26,84.2,54,29.0,29.1,1.5,2.7,910.5,0,14.11,10.4,28.7,29.2,28.2,28.4,29.7,28.2,26.5,24.6,47.5,47.0,33,39,23.7,27.2,29,31,36,0,0,0,6,6,4,0,28,28,28,38,44,42,39,39,40,44.89,44.63,45.11,55,540,5.8,0,0,0
7.19,248,0.25,0.25,0.25,10,10,11,7.67,-13.8,0.0,-0.04,208.7,2.9,112,1,3,51,693,63,1,64,7.33,129.2,86,29.4,30.4,1.4,2.7,1007.6,0,14.59,10.4,28.6,29.2,28.2,27.9,29.7,28.3,26.9,24.7,47.6,47.1,33,39,23.7,27.2,30,31,36,0,0,0,6,6,4,0,28,27,28,38,44,41,39,39,40,44.88,44.63,45.11,55,540,5.8,0,0,0
7.33,248,0.25,0.25,0.25,10,11,10,7.73,-1.0,0.19,0.05,208.7,3.5,109,1,3,65,694,79,2,78,7.33,149.2,102,29.7,30.7,1.4,2.7,1007.6,0,14.59,10.4,28.7,29.2,28.3,27.9,29.7,28.3,26.9,24.7,47.5,47.0,32,39,23.7,27.2,30,32,36,0,0,0,6,6,4,0,28,27,28,38,44,42,39,39,40,44.88,44.63,45.1,54,550,5.9,0,0,0
7.25,248,0.25,0.25,0.25,10,11,10,7.71,-13.2,0.14,0.08,208.7,2.7,113,1,3,53,693,65,0,68,7.35,125.8,93,29.3,30.3,1.4,2.7,1007.6,0,14.59,10.4,28.6,29.2,28.2,28.0,29.7,28.3,26.9,24.7,47.6,47.2,33,39,23.7,27.2,30,31,36,0,0,0,6,6,4,0,28,27,28,38,44,41,39,39,40,44.89,44.63,45.11,55,550,5.8,0,0,0
7.22,248,0.25,0.25,0.25,10,11,10,7.65,-4.5,0.14,0.02,210.7,3.1,117,1,3,55,694,67,1,69,7.32,117.3,90,30.9,30.9,1.4,2.7,821.6,0,13.63,10.2,28.6,29.0,28.1,28.1,29.7,28.1,26.4,24.5,47.5,47.2,33,39,23.5,27.2,32,33,36,0,0,0,6,6,4,0,28,27,28,38,44,41,39,39,40,44.88,44.63,45.1,55,550,5.7,0,0,0
7.23,248,0.25,0.25,0.25,10,10,11,7.68,-8.3,0.27,0.01,211.4,3.8,124,1,3,53,694,65,6,63,7.29,127.0,86,29.6,29.7,1.4,2.7,944.2,0,14.28,10.4,28.6,29.1,28.2,28.1,29.7,28.2,26.7,24.6,47.6,47.1,32,38,23.7,27.2,30,32,36,0,0,0,6,6,4,0,28,27,28,38,44,41,38,38,40,44.89,44.63,45.11,54,560,5.8,0,0,0
7.28,248,0.25,0.25,0.25,10,11,10,7.66,-18.8,0.1,-0.09,208.8,3.2,116,1,3,49,694,59,-2,65,7.31,122.7,88,28.8,29.9,1.4,2.7,833.8,0,13.7,10.4,28.6,29.2,28.2,27.9,29.7,28.3,27.1,24.6,47.5,47.0,33,39,23.7,27.2,30,31,36,0,0,0,6,6,4,0,28,28,28,38,44,41,39,39,40,44.88,44.63,45.11,55,550,5.8,0,0,0
