轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
15.77,24,0.24,0.24,0.25,13,12,13,16.54,-5.4,0.12,0.05,209.1,8.2,303,1,3,1060,704,1293,0,1344,15.87,1130.3,813,29.8,30.4,1.4,2.7,2180.0,0,17.0,-7.7,28.6,28.2,29.7,27.1,29.5,28.9,26.2,23.6,56.3,55.7,20,24,12.3,15.0,36,37,34,0,0,0,6,6,4,0,14,14,14,32,40,35,24,24,27,44.93,44.67,45.18,40,400,4.3,0,0,0
15.67,8,0.24,0.24,0.25,13,12,12,16.23,-5.0,0.12,0.0,209.2,7.7,297,1,3,1000,703,1219,-2,1263,15.78,1047.7,770,29.3,29.9,1.4,2.7,2180.0,0,17.0,-7.9,29.3,28.8,30.5,27.8,30.1,29.6,27.2,24.7,56.5,55.8,20,24,12.2,14.8,35,36,35,0,0,0,6,6,4,0,14,14,14,32,41,35,24,24,27,44.93,44.68,45.18,40,410,4.2,0,0,0
15.54,120,0.24,0.24,0.25,13,12,13,16.08,0.2,0.12,-0.02,209.3,7.5,296,1,3,966,703,1177,-1,1224,15.67,1035.8,749,32.3,32.9,1.4,2.7,2180.0,0,17.0,-7.7,29.4,28.9,30.5,27.8,30.4,29.7,26.9,24.6,56.4,55.7,21,24,12.2,15.0,38,39,35,0,0,0,6,6,4,0,14,14,14,32,40,35,24,24,27,44.93,44.67,45.18,40,410,4.2,0,0,0
15.64,288,0.24,0.24,0.25,12,14,14,16.33,-2.7,0.09,0.01,209.2,9.6,297,1,3,1014,703,1236,7,1286,15.78,1094.4,776,29.3,29.8,1.4,2.7,2180.0,0,17.0,-7.9,29.3,28.8,30.5,27.7,30.1,29.7,27.2,24.7,56.5,55.8,20,24,12.2,14.8,35,36,35,0,0,0,6,6,4,0,14,14,14,32,41,35,24,24,27,44.93,44.68,45.17,40,410,4.2,0,0,0
15.25,320,0.24,0.24,0.25,12,12,14,15.85,1.9,0.1,0.01,209.1,6.9,295,1,3,905,703,1104,-1,1141,15.37,979.3,713,30.4,32.3,1.4,2.7,2180.0,0,17.0,-7.8,29.3,28.8,30.5,27.7,30.1,29.7,27.1,24.7,56.4,55.8,21,24,12.2,14.9,36,37,35,0,0,0,6,6,4,0,14,14,14,32,41,35,24,24,27,44.93,44.68,45.18,40,400,4.2,0,0,0
15.59,0,0.24,0.24,0.25,13,12,12,16.25,1.8,0.11,0.06,209.2,9.8,298,1,3,994,703,1212,2,1255,15.73,1041.7,769,30.3,30.9,1.4,2.7,2180.0,0,17.0,-7.9,29.4,28.9,30.5,27.9,30.2,29.7,27.2,24.8,56.5,56.0,20,24,12.2,14.8,36,37,35,0,0,0,6,6,4,0,14,14,14,32,41,35,24,24,27,44.93,44.68,45.17,40,400,4.2,0,0,0
14.98,104,0.24,0.24,0.25,12,12,14,15.55,3.8,0.14,0.01,209.0,8.3,295,1,3,864,703,1053,-2,1086,15.09,957.0,690,30.8,32.4,1.4,2.7,2180.0,0,17.0,-7.8,29.4,28.8,30.5,27.8,30.2,29.7,26.8,24.6,56.4,55.8,20,24,12.2,14.9,36,37,35,0,0,0,6,6,4,0,14,14,14,32,41,35,24,24,27,44.93,44.68,45.18,40,410,4.2,0,0,0
15.02,248,0.24,0.24,0.25,12,14,14,15.61,1.3,0.12,0.05,209.0,6.1,297,1,3,878,703,1070,-2,1107,15.2,967.0,697,31.7,32.8,1.4,2.7,2180.0,0,17.0,-7.7,29.4,28.8,30.5,27.8,30.2,29.7,27.3,24.7,56.4,55.9,20,24,12.2,14.9,36,37,35,0,0,0,6,6,4,0,14,14,14,32,41,35,24,24,27,44.93,44.68,45.18,40,400,4.2,0,0,0
14.23,120,0.24,0.24,0.25,13,13,11,14.93,3.2,0.12,0.03,209.3,6.3,296,1,3,754,701,917,-3,951,14.33,913.4,631,32.5,33.0,1.4,2.7,2180.0,0,17.0,-7.8,29.5,28.9,30.6,28.3,30.5,29.7,26.8,24.7,56.4,55.9,20,24,12.2,15.0,38,39,35,0,0,0,6,6,4,0,14,14,14,32,41,35,24,24,27,44.93,44.68,45.18,40,400,4.2,0,0,0
14.58,16,0.24,0.24,0.25,12,11,12,15.14,1.0,0.11,0.01,209.2,8.8,293,1,3,791,702,964,0,1007,14.71,917.9,654,28.4,29.3,1.4,2.7,2180.0,0,17.0,-7.8,29.3,28.8,30.5,27.7,30.3,29.6,27.3,24.8,56.5,55.9,20,24,12.2,14.8,34,35,35,0,0,0,6,6,4,0,14,14,14,32,41,35,24,24,27,44.93,44.68,45.18,40,400,4.2,0,0,0
