轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
15.29,320,8.51,8.51,8.51,11,13,11,15.89,14.0,0.21,0.02,210.7,11.7,148,1,3,840,706,1028,-1,1064,15.41,940.3,661,33.2,34.9,1.5,2.8,1047.5,0,14.78,18.7,50.8,50.1,51.9,49.3,51.3,50.8,45.8,45.2,64.1,63.6,35,40,28.2,31.0,38,39,41,0,0,0,6,6,4,0,28,28,28,41,49,44,40,40,42,44.89,44.63,45.11,58,580,5.9,0,0,0
14.65,256,10.11,10.11,10.11,11,12,12,15.21,-8.3,0.14,0.02,210.3,11.6,167,1,3,878,705,1074,-2,1113,14.77,1039.1,718,34.8,35.7,1.5,2.8,1121.1,0,15.12,18.7,50.3,49.8,51.4,48.8,50.9,50.4,45.5,44.8,64.0,63.4,35,40,28.2,31.2,40,40,41,0,0,0,6,6,4,0,28,28,28,41,49,44,40,40,42,44.89,44.63,45.1,58,580,5.9,0,0,0
15.03,296,7.4,7.39,7.39,13,11,12,15.52,8.5,0.1,-0.01,210.2,7.5,155,1,3,838,705,1024,-2,1063,15.14,961.9,671,31.2,32.7,1.5,2.7,1047.5,0,14.78,18.7,51.0,50.5,52.0,49.3,51.6,51.1,46.2,45.7,64.1,63.5,36,40,28.2,31.0,36,37,41,0,0,0,6,6,4,0,28,28,28,41,49,44,40,40,42,44.88,44.63,45.11,57,580,5.9,0,0,0
14.84,352,9.26,9.26,9.26,12,11,12,15.3,12.4,0.16,-0.07,209.6,9.3,151,1,3,827,706,1013,1,1056,14.89,977.5,677,34.3,35.6,1.5,2.7,1047.5,0,14.78,18.7,50.7,50.1,51.8,49.4,51.2,50.8,45.8,45.1,64.1,63.6,35,40,28.2,31.0,39,40,41,0,0,0,6,6,4,0,28,28,28,41,49,44,40,40,42,44.88,44.62,45.11,58,580,5.9,0,0,0
14.53,328,10.36,10.35,10.36,12,11,11,15.18,0.2,0.17,-0.02,210.1,12.3,163,1,3,826,705,1011,-6,1047,14.67,997.9,682,31.5,33.0,1.5,2.8,1047.5,0,14.78,18.6,50.9,50.3,52.0,49.4,51.5,50.9,45.9,45.6,64.1,63.6,35,40,28.2,31.0,37,37,41,0,0,0,6,6,4,0,28,28,28,41,49,44,40,40,42,44.89,44.63,45.11,58,580,5.9,0,0,0
14.69,96,7.46,7.45,7.46,11,12,13,15.23,4.9,0.14,0.02,209.8,11.4,161,1,3,878,706,1075,-2,1115,14.79,1044.3,720,34.9,35.9,1.5,2.8,1121.1,0,15.12,18.7,50.4,49.9,51.6,48.9,50.9,50.5,46.1,44.9,64.0,63.5,35,40,28.2,31.2,40,40,41,0,0,0,6,6,4,0,28,28,28,41,49,44,40,40,42,44.88,44.63,45.11,58,590,6.0,0,0,0
14.55,40,9.38,9.38,9.38,14,16,15,15.24,-4.8,0.12,-0.01,210.0,11.4,166,1,3,873,705,1067,-3,1108,14.8,1037.3,717,34.9,35.9,1.5,2.7,1121.1,0,15.12,18.7,50.4,49.8,51.5,49.3,50.9,50.5,45.4,44.9,64.1,63.5,36,40,28.2,31.2,40,41,41,0,0,0,6,6,4,0,28,28,28,41,49,44,40,40,42,44.89,44.63,45.11,58,580,5.9,0,0,0
14.63,8,10.44,10.44,10.44,11,11,12,15.26,4.0,0.28,0.0,210.3,11.3,160,1,3,876,705,1071,6,1115,14.87,1029.6,716,34.9,36.1,1.5,2.8,1121.1,0,15.12,18.7,50.6,50.0,51.8,49.2,51.1,50.6,46.0,45.0,64.0,63.5,35,40,28.2,31.2,40,41,41,0,0,0,6,6,4,0,28,28,28,41,49,44,40,40,42,44.89,44.63,45.11,58,580,5.9,0,0,0
15.14,56,12.53,12.52,12.52,10,10,11,15.68,-13.2,0.18,-0.01,210.1,10.8,170,1,3,838,705,1025,5,1069,15.28,954.5,666,31.8,33.3,1.5,2.8,1047.5,0,14.78,18.7,50.9,50.3,52.0,49.3,51.4,50.9,46.5,45.7,64.1,63.5,36,40,28.2,31.0,36,37,41,0,0,0,6,6,4,0,28,28,28,41,49,44,40,40,42,44.88,44.62,45.11,57,580,5.9,0,0,0
14.77,104,6.02,6.02,6.01,10,11,10,15.23,13.4,0.1,0.01,209.9,7.5,149,1,3,830,706,1016,-3,1054,14.83,988.7,680,33.8,35.2,1.5,2.8,1047.5,0,14.78,18.7,50.7,50.1,51.9,49.2,51.2,50.8,45.9,45.1,64.0,63.4,35,40,28.2,31.0,39,39,41,0,0,0,6,6,4,0,28,28,28,41,49,44,40,40,42,44.88,44.63,45.11,58,580,5.9,0,0,0
