轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
15.55,192.0,19.78,19.83,19.82,14.0,16.0,13.0,16.21,-4.1,0.12,0.01,211.5,13.1,149.0,1.0,3.0,1128.0,705.0,1379.0,5.0,1435.0,15.77,1259.6,867.0,34.9,35.9,1.5,2.8,1443.2,0.0,15.88,17.4,58.2,56.7,60.0,54.7,58.4,58.9,49.1,48.8,64.5,63.8,33.0,37.0,26.3,29.2,41.0,42.0,42.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,25.0,41.0,48.0,43.0,37.0,37.0,39.0,44.89,44.63,45.12,54.0,540.0,5.5,0.0,0.0,0.0
15.73,312.0,13.75,13.81,13.79,11.0,13.0,12.0,16.26,-5.1,0.06,0.09,211.9,12.5,149.0,1.0,3.0,1140.0,706.0,1396.0,-5.0,1449.0,15.89,1260.2,872.0,32.8,34.6,1.5,2.7,1443.2,0.0,15.88,17.5,59.6,57.9,61.4,56.2,59.7,60.3,50.3,49.9,64.6,63.9,33.0,38.0,26.5,29.2,39.0,40.0,42.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,41.0,48.0,44.0,38.0,38.0,39.0,44.9,44.63,45.12,54.0,550.0,5.6,0.0,0.0,0.0
16.12,272.0,16.11,16.17,16.15,12.0,11.0,13.0,16.78,-4.5,0.14,0.22,211.9,14.9,148.0,1.0,3.0,1155.0,706.0,1414.0,-3.0,1467.0,16.29,1253.7,860.0,33.5,35.1,1.4,2.7,1443.2,0.0,15.88,17.5,59.3,57.6,61.1,55.7,59.4,60.0,50.3,49.6,64.5,63.9,33.0,38.0,26.5,29.2,40.0,41.0,42.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,41.0,48.0,43.0,38.0,38.0,39.0,44.89,44.63,45.12,54.0,540.0,5.5,0.0,0.0,0.0
15.78,232.0,17.29,17.35,17.33,15.0,14.0,16.0,16.47,-2.5,0.24,0.01,211.6,17.3,148.0,1.0,3.0,1145.0,704.0,1397.0,4.0,1453.0,16.0,1257.9,869.0,34.2,35.9,1.4,2.7,1443.2,0.0,15.88,17.5,59.0,57.4,60.8,55.3,59.2,59.6,49.8,49.2,64.5,63.9,34.0,38.0,26.5,29.2,41.0,41.0,42.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,25.0,41.0,48.0,44.0,38.0,38.0,39.0,44.89,44.63,45.12,54.0,550.0,5.6,0.0,0.0,0.0
16.08,200.0,13.19,13.25,13.23,17.0,16.0,12.0,16.79,-3.9,0.23,-0.1,211.6,12.4,147.0,1.0,3.0,1158.0,705.0,1415.0,7.0,1472.0,16.24,1254.2,863.0,33.2,34.9,1.5,2.8,1443.2,0.0,15.88,17.5,59.4,57.7,61.2,55.9,59.5,60.0,50.3,49.7,64.5,63.8,33.0,38.0,26.5,29.2,40.0,41.0,42.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,41.0,48.0,44.0,38.0,38.0,39.0,44.89,44.63,45.12,54.0,550.0,5.6,0.0,0.0,0.0
16.08,136.0,21.08,21.13,21.11,16.0,11.0,15.0,16.58,-6.7,0.17,0.13,212.1,25.9,148.0,1.0,3.0,934.0,705.0,1142.0,5.0,1184.0,16.2,1002.1,701.0,32.5,34.1,1.4,2.7,1168.2,0.0,15.33,17.6,59.9,58.3,61.8,56.3,60.0,60.7,50.6,50.5,64.6,63.8,33.0,38.0,26.5,29.2,38.0,39.0,42.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,41.0,48.0,44.0,38.0,38.0,39.0,44.89,44.63,45.12,54.0,540.0,5.5,0.0,0.0,0.0
14.85,104.0,22.61,22.66,22.63,11.0,11.0,12.0,15.43,-4.3,0.04,0.09,212.1,14.8,150.0,1.0,3.0,823.0,702.0,1003.0,5.0,1042.0,15.02,958.8,661.0,32.0,33.5,1.4,2.7,1021.9,0.0,14.66,17.7,59.5,57.8,61.4,55.8,59.6,60.3,51.3,50.5,64.6,63.8,33.0,38.0,26.5,29.2,37.0,38.0,42.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,41.0,48.0,44.0,38.0,38.0,39.0,44.89,44.63,45.11,54.0,540.0,5.5,0.0,0.0,0.0
15.56,240.0,14.18,14.24,14.22,13.0,15.0,15.0,16.16,-5.1,0.13,0.15,211.7,14.2,149.0,1.0,3.0,1130.0,705.0,1382.0,-2.0,1433.0,15.7,1260.9,870.0,32.8,34.5,1.5,2.7,1443.2,0.0,15.88,17.5,59.6,57.9,61.4,56.2,59.7,60.3,50.3,49.9,64.6,63.9,33.0,37.0,26.5,29.2,39.0,40.0,42.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,41.0,48.0,44.0,37.0,37.0,39.0,44.9,44.63,45.12,54.0,540.0,5.6,0.0,0.0,0.0
15.75,48.0,20.13,20.2,20.18,12.0,13.0,14.0,16.29,-4.1,0.08,-0.19,211.1,18.6,149.0,1.0,3.0,1142.0,705.0,1396.0,5.0,1449.0,15.88,1260.0,868.0,34.7,35.8,1.5,2.8,1443.2,0.0,15.88,17.4,58.2,56.7,60.0,54.7,58.4,58.9,49.1,48.8,64.5,63.8,33.0,37.0,26.3,29.2,41.0,42.0,42.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,25.0,41.0,48.0,43.0,37.0,37.0,39.0,44.9,44.63,45.12,54.0,540.0,5.5,0.0,0.0,0.0
15.99,280.0,19.31,19.38,19.36,11.0,12.0,11.0,16.7,-6.6,0.14,0.05,211.7,17.3,151.0,1.0,3.0,1150.0,705.0,1405.0,4.0,1459.0,16.16,1256.3,865.0,34.4,35.4,1.5,2.8,1443.2,0.0,15.88,17.4,58.0,56.4,59.6,54.3,58.2,58.5,49.1,48.7,64.5,63.8,33.0,37.0,26.3,29.2,41.0,42.0,42.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,25.0,26.0,25.0,41.0,48.0,43.0,37.0,37.0,39.0,44.89,44.63,45.12,54.0,540.0,5.5,0.0,0.0,0.0
