轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
7.15,104,0.26,0.25,0.25,11,10,10,7.58,-11.2,0.02,0.04,209.2,2.6,342,1,3,29,698,36,5,39,7.22,68.5,50,30.9,30.4,1.4,2.7,1429.8,0,15.86,-7.9,12.7,13.5,12.8,12.6,13.9,12.4,12.6,9.7,48.5,47.9,18,24,11.0,14.3,31,33,33,0,0,0,6,6,4,0,13,14,13,29,37,32,24,24,25,44.93,44.69,45.21,37,390,4.0,0,0,0
7.18,336,0.26,0.25,0.25,10,11,10,7.67,-1.3,0.33,0.09,209.2,2.4,337,1,3,28,698,35,0,41,7.2,72.7,49,29.6,29.4,1.4,2.7,960.6,0,14.36,-7.7,12.7,13.6,12.9,12.4,14.0,12.5,13.1,9.9,48.7,48.1,18,24,11.0,14.3,30,32,33,0,0,0,6,6,4,0,13,14,13,29,37,32,24,24,26,44.93,44.68,45.21,38,390,4.0,0,0,0
7.17,312,0.26,0.25,0.25,10,10,11,7.59,-13.8,0.2,-0.13,209.3,2.3,335,1,3,27,697,34,0,36,7.23,74.0,52,28.7,28.5,1.4,2.7,1421.6,0,15.85,-7.7,12.8,13.7,13.0,12.5,14.1,12.6,12.9,9.9,48.8,48.2,18,24,11.1,14.5,29,31,33,0,0,0,6,6,4,0,13,14,13,29,37,32,24,24,26,44.93,44.69,45.21,39,390,4.0,0,0,0
7.21,96,0.26,0.25,0.25,10,10,11,7.62,-4.0,0.18,0.1,209.2,2.6,336,1,3,35,698,43,0,44,7.27,88.4,64,28.6,28.4,1.4,2.7,1344.3,0,15.72,-7.7,12.8,13.6,13.0,12.8,14.1,12.6,12.6,9.9,48.7,48.5,18,24,11.1,14.5,29,31,33,0,0,0,6,6,4,0,13,14,13,29,37,32,24,24,26,44.93,44.69,45.21,37,390,4.0,0,0,0
7.1,84,0.26,0.25,0.25,10,10,11,7.52,-3.3,0.02,-0.1,209.3,1.6,338,1,3,27,698,34,1,38,7.18,77.4,51,29.5,29.1,1.4,2.7,960.6,0,14.36,-7.7,12.7,13.6,12.9,12.2,14.0,12.6,13.0,9.8,48.7,48.0,18,24,11.0,14.3,30,32,33,0,0,0,6,6,4,0,13,14,13,29,37,32,24,24,26,44.92,44.69,45.21,38,390,3.9,0,0,0
7.11,80,0.26,0.25,0.25,10,10,10,7.45,0.5,0.17,0.28,209.2,2.2,331,1,3,18,697,23,-1,26,7.15,60.2,28,30.3,30.2,1.4,2.7,969.8,0,14.41,-7.8,12.7,13.6,12.9,12.7,14.0,12.5,12.6,9.7,48.6,48.4,18,24,11.0,14.3,31,32,33,0,0,0,6,6,4,0,13,14,13,29,37,32,24,24,25,44.93,44.68,45.21,38,380,4.0,0,0,0
7.07,164,0.26,0.25,0.25,10,10,12,7.48,-6.0,0.31,0.01,209.5,1.8,337,1,3,23,697,29,5,30,7.17,62.1,35,28.9,28.7,1.4,2.7,1293.8,0,15.64,-7.7,12.8,13.6,12.9,12.8,14.0,12.6,12.7,9.9,48.6,48.3,19,24,11.1,14.5,30,32,33,0,0,0,6,6,4,0,13,14,13,29,37,32,24,24,26,44.93,44.68,45.21,38,380,4.0,0,0,0
7.1,24,0.26,0.25,0.25,10,10,11,7.52,-5.8,0.17,-0.01,209.3,2.5,330,1,3,27,698,33,0,33,7.17,66.5,43,28.2,28.3,1.4,2.7,1421.6,0,15.85,-7.7,12.8,13.7,13.0,12.6,14.1,12.6,12.8,9.9,48.7,48.2,18,24,11.1,14.5,29,31,33,0,0,0,6,6,4,0,13,14,13,29,37,32,24,24,25,44.93,44.69,45.21,38,380,4.0,0,0,0
7.2,68,0.26,0.25,0.25,10,10,10,7.6,-8.1,0.16,-0.13,209.0,2.6,342,1,3,29,697,36,2,38,7.21,81.1,55,31.5,30.7,1.4,2.7,1529.8,0,16.5,-7.9,12.7,13.5,12.8,12.5,13.8,12.4,12.7,9.7,48.5,48.1,18,24,11.0,14.3,32,33,33,0,0,0,6,6,4,0,13,14,13,29,37,32,24,24,25,44.93,44.69,45.21,37,390,3.9,0,0,0
7.18,96,0.26,0.25,0.25,10,10,10,7.62,-5.9,0.1,-0.03,209.0,2.6,339,1,3,25,697,32,-2,32,7.25,66.9,51,31.6,31.1,1.4,2.7,1783.9,0,16.35,-7.9,12.6,13.5,12.8,12.7,13.8,12.3,12.5,9.7,48.5,48.0,18,24,11.0,14.3,32,34,33,0,0,0,6,6,4,0,13,14,13,29,37,32,24,24,25,44.92,44.69,45.21,38,380,4.0,0,0,0
7.15,44,0.26,0.25,0.25,10,10,11,7.51,2.0,0.14,0.22,209.3,2.2,331,1,3,21,697,27,4,31,7.19,64.2,37,30.4,29.9,1.4,2.7,969.8,0,14.41,-7.8,12.7,13.6,12.9,12.8,14.0,12.5,12.6,9.8,48.7,48.1,18,24,11.0,14.3,31,33,33,0,0,0,6,6,4,0,13,14,13,29,37,32,24,24,25,44.93,44.69,45.21,37,390,4.0,0,0,0
7.14,176,0.26,0.25,0.25,10,10,11,7.61,-6.1,0.12,-0.1,209.6,2.4,334,1,3,27,698,34,-1,37,7.24,79.5,53,27.8,29.4,1.4,2.7,1794.8,0,16.42,-7.6,12.9,13.7,13.0,12.5,14.1,12.7,13.3,10.0,48.8,48.5,18,24,11.1,14.5,29,30,34,0,0,0,6,6,4,0,13,14,13,29,37,32,24,24,26,44.93,44.69,45.21,38,380,4.0,0,0,0
