轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
10.54,0,0.26,0.32,0.33,11,11,11,11.04,0.4,0.08,0.06,210.1,6.2,346,1,3,303,698,368,-1,382,10.64,489.3,344,29.5,29.8,1.4,2.7,2149.2,0,16.95,4.7,32.7,32.9,33.5,31.7,33.9,32.7,30.9,28.4,58.7,58.1,29,35,20.3,23.5,32,32,36,0,0,0,6,6,4,0,24,24,24,36,43,39,35,35,36,44.89,44.64,45.13,51,500,5.2,0,0,0
10.57,0,0.26,0.32,0.33,11,11,11,11.06,-2.3,0.12,-0.06,210.7,5.5,342,1,3,310,699,377,2,390,10.68,490.8,349,33.0,32.7,1.5,2.7,1773.0,0,16.39,4.7,32.8,33.0,33.7,32.1,34.1,32.9,30.7,28.5,58.8,58.1,29,35,20.3,23.7,35,36,36,0,0,0,6,6,4,0,24,24,24,36,43,39,35,35,36,44.9,44.64,45.13,51,510,5.2,0,0,0
10.77,0,0.26,0.32,0.33,11,11,11,11.25,-7.5,0.19,-0.04,210.2,5.9,351,1,3,324,698,393,-4,410,10.9,504.9,359,30.9,30.9,1.4,2.7,1992.2,0,16.72,4.7,32.7,32.9,33.4,31.8,33.8,32.6,30.6,28.3,58.7,58.0,29,35,20.2,23.5,33,34,36,0,0,0,6,6,4,0,24,24,24,36,43,39,35,35,36,44.89,44.64,45.13,50,510,5.2,0,0,0
10.73,0,0.26,0.32,0.33,11,11,11,11.26,10.2,0.12,0.07,210.1,6.4,343,1,3,318,697,386,2,401,10.81,502.3,356,31.5,31.5,1.4,2.7,2180.0,0,17.0,4.7,32.5,32.9,33.4,31.3,33.8,32.6,30.8,28.2,58.6,58.2,29,35,20.2,23.5,34,35,36,0,0,0,6,6,4,0,24,24,24,36,43,39,35,35,36,44.89,44.64,45.13,51,510,5.2,0,0,0
10.21,0,0.26,0.32,0.33,11,11,11,10.74,-0.2,0.14,0.01,210.1,5.6,346,1,3,278,698,337,0,347,10.31,463.9,325,30.1,30.1,1.4,2.7,2068.7,0,16.83,4.7,32.7,32.9,33.5,31.7,33.8,32.7,30.9,28.4,58.7,58.2,28,35,20.3,23.5,32,33,36,0,0,0,6,6,4,0,24,24,24,36,43,39,35,35,36,44.89,44.64,45.13,51,500,5.2,0,0,0
10.54,0,0.26,0.32,0.33,11,11,11,11.15,0.5,0.1,0.03,209.9,5.2,346,1,3,304,697,368,4,383,10.66,487.4,345,29.8,29.8,1.4,2.7,2149.2,0,16.95,4.7,32.7,32.9,33.5,31.7,33.8,32.7,30.9,28.4,58.7,58.0,29,35,20.3,23.5,32,33,36,0,0,0,6,6,4,0,24,24,24,36,43,39,35,35,36,44.89,44.64,45.12,50,500,5.2,0,0,0
10.02,0,0.26,0.32,0.33,11,11,11,10.43,3.1,0.12,0.01,209.6,6.7,346,1,3,258,699,313,0,325,10.09,431.1,306,31.2,31.1,1.4,2.7,1698.7,0,16.28,4.7,33.1,33.2,33.9,32.5,34.2,33.1,30.8,28.7,58.9,58.3,29,35,20.3,23.7,33,34,36,0,0,0,6,6,4,0,24,24,24,36,43,39,35,35,36,44.89,44.64,45.13,51,510,5.2,0,0,0
10.64,0,0.26,0.32,0.33,11,11,11,11.06,-0.8,0.1,0.05,209.9,5.7,347,1,3,318,698,385,5,396,10.73,499.5,351,29.4,29.6,1.4,2.7,1823.7,0,16.46,4.7,32.7,32.9,33.5,31.7,33.9,32.7,30.8,28.4,58.7,58.2,29,35,20.3,23.5,32,32,36,0,0,0,6,6,4,0,24,24,24,36,43,39,35,35,36,44.89,44.64,45.13,51,500,5.2,0,0,0
9.96,0,0.26,0.32,0.33,11,11,11,10.45,14.2,0.11,0.01,209.5,4.9,344,1,3,256,698,311,-2,321,10.05,431.5,306,30.9,30.9,1.5,2.7,1769.9,0,16.38,4.7,33.1,33.2,33.9,32.5,34.3,33.1,31.1,28.8,58.9,58.2,29,35,20.3,23.7,33,34,36,0,0,0,6,6,4,0,24,24,24,36,43,39,35,35,36,44.89,44.64,45.13,51,510,5.2,0,0,0
9.81,0,0.26,0.32,0.33,11,11,11,10.27,20.6,0.12,0.04,209.3,5.0,341,1,3,244,699,296,2,307,9.93,424.0,299,32.3,32.3,1.4,2.7,1947.7,0,16.65,4.8,32.8,33.1,33.8,31.9,34.1,32.9,31.4,28.6,58.8,58.3,29,35,20.3,23.7,34,35,36,0,0,0,6,6,4,0,24,24,24,36,43,39,35,35,36,44.89,44.64,45.13,51,510,5.2,0,0,0
